Time,Block,NR/2023/16929/C,NR/2023/16855/D,NR/2023/13253/A,NR/2023/13383/A,NR/2023/13387/A,NR/2023/13385/A,NR/2023/16520/F,NR/2023/13242/A,NR/2023/16291/F,NR/2023/16933/C,NR/2023/16921/D,NR/2023/13519/A,NR/2023/16185/A,NR/2023/16191/A,NR/2023/15770/A,NR/2023/16073/A,NR/2023/13376/A,NR/2023/16854/D,NR/2023/13908/A,NR/2023/16291/F/II,NR/2023/13165/A,NR/2023/13148/A,ER/2023/10728/C,NR/2023/13150/A,NR/2023/16943/C,NR/2023/13254/A,ER/2023/10737/C,NR/2023/16077/A,NR/2023/16931/C,NR/2023/16437/F,NR/2023/13636/A,NR/2023/16932/C,Total
,,GBHHPL,IEXL,APPCPL,APPCPL,NVVNL,NVVNL,IEXL,APPCPL,ITCLH,TPDDL,NVVNL,STATKRAFT,MANIKARAN,MANIKARAN,NVVNL,APPCPL,APPCPL,IEXL,TPTCL,ITCLH,GMRETL,KEIPL,HPXL,KEIPL,SJVNL,APPCPL,IEXL,APPCPL,SJVNL,NVVNL,NVVNL,SJVNL,Total

,,HIMACHAL PRADESH,TAMIL NADU,UTTARAKHAND,HIMACHAL PRADESH,NA,MP,UTTAR PRADESH,SIKKIM,ANDHRA PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,GOA,MEGHALAYA,TAMIL NADU,NA,ANDHRA PRADESH,MEGHALAYA,MEGHALAYA,DELHI,MEGHALAYA,NA,MEGHALAYA,DELHI,HIMACHAL PRADESH,NA,NA,NA,UTTAR PRADESH,
,,GBHHPL,OPGPGPLU4TN,UTTARAKHAND,HP,JPNIGRIE_JNSTPP,JP BINA,PPGCL,SIKKIM,ITCWIND,CHANJUII,SOLAPUR_SOLAR,HP,HP,HP,SKS Raigarh,GOA_Beneficiary,Meghalaya_Ben,OPGPGUNIT1TN,JPL,ITCWIND,Meghalaya_Ben,Meghalaya_Ben,BYPL,Meghalaya_Ben,RSRPL_BKN,Meghalaya_Ben,BYPL,HP,DIKCHU,KAMENG,KAMENG,BCMLB001,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,ODISHA,DELHI,DELHI,DELHI,WEST BENGAL,DELHI,DELHI,DELHI,DELHI,DELHI,
,,DIAPL,BRPL,BYPL,BYPL,BRPL,BRPL,BRPL,BYPL,ITCLH,TPDDL,MES (Delhi),BYPL,BRPL,BRPL,NDMC,BRPL,BYPL,BRPL,BRPL,ITCLH,BYPL,BYPL,VLSEZ,BYPL,NDMC,BYPL,IPCL_WB,BRPL,NDMC,TPDDL,BRPL,NDMC,
,,North-North,South-East-North,North-North,North-North,West-North,West-North,North-North,East-North,South-West-North,North-North,West-North,North-North,North-North,North-North,West-North,West-North,North East-East-North,South-East-North,West-North,South-East-North,North East-East-North,North East-East-North,North-East,North East-East-North,North-North,North East-East-North,North-East,North-North,East-North,North East-East-North,North East-East-North,North-North,
1,00:00-00:15,6.050000,67.910000,48.510000,46.280000,100.420000,30.720000,0.000000,29.690000,0.810000,10.000000,0,58.640000,77.620000,142.620000,63.060000,24.260000,20.370000,4.850000,175.680000,0.060000,22.310000,36.610000,0.000000,63.260000,0,19.690000,0.000000,107.980000,0.000000,148.580000,19.230000,0.000000,1325.21

2,00:15-00:30,6.050000,67.910000,48.510000,46.280000,100.420000,30.720000,0.000000,29.690000,0.810000,10.000000,0,58.640000,77.620000,142.620000,63.060000,24.260000,20.370000,4.850000,175.680000,0.060000,22.310000,36.610000,0.000000,63.260000,0,19.690000,0.000000,107.980000,0.000000,148.580000,19.230000,0.000000,1325.21
