Block,Time,KGSU1AND2,RAMPUR,RAPPB,RAPPC,SALAL,SASAN,ANTA_CRF,BSIUL,JHAJJAR,KHSTPP-II,KOLDAM,KUDGI,NLCEXP,SEWA2,PARBATI3,RIHAND2,UNCHAHAR1,UNCHAHAR2,UNCHAHAR4,AURY_RF,FSTPP I & II,KHSTPP-I,TANAKPUR,URI,AURY_LF,CHAMERA1,NAPP,NLCIIST1,NLCTS2EXP,SINGRAULI,UNCHAHAR3,ANTA_LF,AURY_GF,DADRI_LF,CHAMERA3,KGSU3AND4,KKNP,KKNPPU2,KOTESHWR,RIHAND1,SINGRAULI_HYDRO,TALA,TelanganaSTPP,VALLURNTECL,DADRI_CRF,DADRI_GF,DULHASTI,KISHANGANGA,MAPS,NLCIIST2,NNTPP,NTPL,RSTPSU7,SIMHST1,SIMHST2,TALST2,URI2,ANTA_GF,DADRI_RF,BRBCL,CHAMERA2,DADRT2,DHAULIGNGA,NJPC,RIHAND3,RSTPSU1TO6,TANDA2,TEHRI,ANTA_RF,AURY_CRF
1,00:00-00:15,0,0,0,26.14,1.4,411.75,0,0,434.65,148.3,0,0,0,0,0,118.76,9.14,42.39,0,70.81,20.8,41.27,0,0.55,0,0,43.79,0,0,139.69,26.4,0,0,0,0,0,0,0,17.75,92,0.63,0,0,0,0,0,16.48,0,0,0,0,0,0,0,0,0,4.31,0,90.42,20,0,683.14,0,0,62.16,0,0,27.09,43.99,0

2,00:15-00:30,0,0,0,26.14,1.4,411.75,0,0,434.65,148.3,0,0,0,0,0,118.76,9.14,42.39,0,70.81,20.8,42.49,0,0.55,0,0,43.79,0,0,139.69,26.4,0,0,0,0,0,0,0,17.75,92,0.63,0,0,0,0,0,16.48,0,0,0,0,0,0,0,0,0,4.31,0,90.42,20,0,683.14,0,0,62.16,0,0,27.09,43.99,0

3,00:30-00:45,0,0,0,26.14,1.4,411.75,0,0,434.65,148.3,0,0,0,0,0,118.76,9.14,42.39,0,70.81,20.8,43.71,0,0.55,0,0,43.79,0,0,139.69,26.4,0,0,0,0,0,0,0,17.75,92,0.63,0,0,0,0,0,16.48,0,0,0,0,0,0,0,0,0,4.31,0,90.42,20,0,683.14,0,0,62.16,0,0,27.09,44.21,0

4,00:45-01:00,0,0,0,26.14,1.4,411.75,0,0,434.65,148.3,0,0,0,0,0,118.76,9.14,42.39,0,70.81,20.8,43.71,0,0.55,0,0,43.79,0,0,139.69,26.4,0,0,0,0,0,0,0,17.75,92,0.63,0,0,0,0,0,16.48,0,0,0,0,0,0,0,0,0,4.31,0,90.42,20,0,683.14,0,0,62.16,0,0,27.09,44.21,0

5,01:00-01:15,0,0,0,26.14,1.4,411.75,0,0,434.65,148.3,0,0,0,0,0,118.76,9.14,42.39,0,70.81,20.8,44.92,0,0.55,0,0,43.79,0,0,139.69,26.4,0,0,0,0,0,0,0,17.75,92,0.63,0,0,0,0,0,16.48,0,0,0,0,0,0,0,0,0,4.31,0,90.42,20,0,683.14,0,0,62.16,0,0,27.09,44.21,0

6,01:15-01:30,0,0,0,26.14,1.4,411.75,0,0,434.65,148.3,0,0,0,0,0,118.76,9.14,42.39,0,70.81,20.8,44.92,0,0.55,0,0,43.79,0,0,139.69,26.4,0,0,0,0,0,0,0,17.75,92,0.63,0,0,0,0,0,16.48,0,0,0,0,0,0,0,0,0,4.31,0,90.42,20,0,683.14,0,0,62.16,0,0,27.09,44.21,0

7,01:30-01:45,0,0,0,26.14,1.4,411.75,0,0,434.65,148.3,0,0,0,0,0,118.76,9.14,42.39,0,70.81,20.8,45.53,0,0.55,0,0,43.79,0,0,139.69,26.4,0,0,0,0,0,0,0,17.75,92,0.63,0,0,0,0,0,16.48,0,0,0,0,0,0,0,0,0,4.31,0,90.42,20,0,683.14,0,0,62.16,0,0,27.09,44.21,0

8,01:45-02:00,0,0,0,26.14,1.4,411.75,0,0,434.65,148.3,0,0,0,0,0,118.76,9.14,42.39,0,70.81,20.8,45.53,0,0.55,0,0,43.79,0,0,139.69,26.4,0,0,0,0,0,0,0,17.75,92,0.63,0,0,0,0,0,16.48,0,0,0,0,0,0,0,0,0,4.31,0,90.42,20,0,683.14,0,0,62.16,0,0,13.55,44.21,0

9,02:00-02:15,0,0,0,26.14,1.4,411.75,0,0,434.65,148.3,0,0,0,0,0,118.76,9.14,42.39,0,70.81,20.8,45.53,6.54,0.55,0,0,43.79,0,0,139.69,26.4,0,0,0,0,0,0,0,17.75,92,0.63,0,0,0,0,0,16.48,0,0,0,0,0,0,0,0,0,4.31,0,90.42,20,0,683.14,0,0,62.16,0,0,13.55,44.21,0

10,02:15-02:30,0,0,0,26.14,1.4,411.75,0,0,434.65,148.3,0,0,0,0,0,118.76,9.14,42.39,0,70.81,20.8,45.53,6.54,0.55,0,0,43.79,0,0,139.69,26.4,0,0,0,0,0,0,0,17.75,92,0.63,0,0,0,0,0,16.48,0,0,0,0,0,0,0,0,0,4.31,0,90.42,20,0,683.14,0,0,62.16,0,0,13.55,44.42,0

11,02:30-02:45,0,0,0,26.14,1.4,411.75,0,0,434.65,148.3,0,0,0,0,0,118.76,9.14,42.39,0,70.81,20.8,45.53,6.54,0,0,0,43.79,0,0,139.69,26.4,0,0,0,0,0,0,0,17.75,92,0.63,0,0,0,0,0,16.48,0,0,0,0,0,0,0,0,0,4.31,0,90.42,20,0,683.14,0,0,62.16,0,0,13.55,44.21,0

12,02:45-03:00,0,0,0,26.14,1.4,411.75,0,0,434.65,148.3,0,0,0,0,0,118.76,9.14,42.39,0,70.81,20.8,45.53,6.54,0,0,0,43.79,0,0,139.69,26.4,0,0,0,0,0,0,0,17.75,92,0.63,0,0,0,0,0,16.48,0,0,0,0,0,0,0,0,0,4.31,0,90.42,20,0,683.14,0,0,62.16,0,0,13.55,44.21,0

13,03:00-03:15,0,0,0,26.14,1.4,411.75,0,0,434.65,148.3,0,0,0,0,0,118.76,9.14,42.39,0,70.81,20.8,45.53,6.54,0.55,0,0,43.79,0,0,139.69,26.4,0,0,0,0,0,0,0,17.75,92,0.63,0,0,0,0,0,16.48,0,0,0,0,0,0,0,0,0,4.31,0,90.42,20,0,683.14,0,0,62.16,0,0,13.55,44.42,0

14,03:15-03:30,0,0,0,26.14,1.4,411.75,0,0,434.65,148.3,0,0,0,0,0,118.76,9.14,42.39,0,70.81,20.8,45.53,6.54,0.55,0,0,43.79,0,0,139.69,26.4,0,0,0,0,0,0,0,17.75,92,0.63,0,0,0,0,0,16.48,0,0,0,0,0,0,0,0,0,4.31,0,90.42,20,0,683.14,0,0,62.16,0,0,13.55,44.42,0

15,03:30-03:45,0,0,0,26.14,1.4,411.75,0,0,434.65,148.3,0,0,0,0,0,118.76,9.14,42.39,0,70.81,20.8,45.53,0,0.55,0,0,43.79,0,0,139.69,26.4,0,0,0,0,0,0,0,17.75,92,0.63,0,0,0,0,0,16.48,0,0,0,0,0,0,0,0,0,4.31,0,90.42,20,0,683.14,0,0,62.16,0,0,27.09,44.42,0

16,03:45-04:00,0,0,0,26.14,1.4,411.75,0,0,434.65,148.3,0,0,0,0,0,118.76,9.14,42.39,0,70.81,20.8,45.53,0,0.55,0,0,43.79,0,0,139.69,26.4,0,0,0,0,0,0,0,17.75,92,0.63,0,0,0,0,0,16.48,0,0,0,0,0,0,0,0,0,4.31,0,90.42,20,0,683.14,0,0,62.16,0,0,27.09,44.52,0

