Time,Block,NR/2023/17165/A,NR/2023/17402/F,NR/2023/14875/A,NR/2023/17791/C,NR/2023/17496/F,NR/2023/17404/F,WR/2023/17681/A,WR/2023/17681/A/II,NR/2023/17793/C,NR/2023/17344/F,NR/2023/17263/F,WR/2023/19090/A,Total
,,NVVNL,MANIKARAN,APPCPL,TPDDL,IEXL,MANIKARAN,MANIKARAN,MANIKARAN,NVVNL,ITCLH,APPCPL,TPTCL,Total

,,NA,DELHI,DELHI,HIMACHAL PRADESH,KARNATAKA,DELHI,DELHI,DELHI,NA,ANDHRA PRADESH,DELHI,DELHI,
,,SKS Raigarh,BRPL,BYPL,CHANJUII,NSLSUGAR,BRPL,BYPL,BYPL,SOLAPUR_SOLAR,ITCWIND,BRPL,BYPL,
,,DELHI,HIMACHAL PRADESH,HIMACHAL PRADESH,DELHI,DELHI,HIMACHAL PRADESH,MAHARASHTRA,MAHARASHTRA,DELHI,DELHI,HIMACHAL PRADESH,MAHARASHTRA,
,,NDMC,HP,HP,TPDDL,MES (Delhi),HP,AEML,AEML,MES (Delhi),ITCLH,HP,TPC MSEB,
,,West-North,North-North,North-North,North-North,South-East-North,North-North,North-West,North-East-West,West-North,South-West-North,North-North,North-West,
7,01:30-01:45,62.820000,0.000000,42.710000,6.000000,6.770000,20.400000,100.000000,0.000000,0,0.530000,99.420000,0.000000,338.65

8,01:45-02:00,62.820000,0.000000,42.710000,6.000000,6.770000,20.400000,100.000000,0.000000,0,0.530000,99.420000,0.000000,338.65

9,02:00-02:15,62.820000,0.000000,42.710000,5.910000,6.770000,20.400000,100.000000,0.000000,0,0.530000,99.420000,0.000000,338.56

10,02:15-02:30,62.820000,0.000000,42.710000,5.910000,6.770000,20.400000,100.000000,0.000000,0,0.530000,99.420000,0.000000,338.56

11,02:30-02:45,62.820000,0.000000,42.710000,5.910000,6.770000,20.400000,100.000000,0.000000,0,0.530000,99.420000,0.000000,338.56

12,02:45-03:00,62.820000,0.000000,42.710000,5.910000,6.770000,20.400000,100.000000,0.000000,0,0.530000,99.420000,0.000000,338.56

13,03:00-03:15,62.820000,0.000000,42.710000,5.910000,6.770000,20.400000,100.000000,0.000000,0,0.530000,99.420000,0.000000,338.56

14,03:15-03:30,62.820000,0.000000,42.710000,5.910000,6.770000,20.400000,100.000000,0.000000,0,0.530000,99.420000,0.000000,338.56

15,03:30-03:45,62.820000,0.000000,42.710000,5.910000,6.770000,20.400000,100.000000,0.000000,0,0.530000,99.420000,0.000000,338.56

16,03:45-04:00,62.820000,0.000000,42.710000,5.910000,6.770000,20.400000,100.000000,0.000000,0,0.530000,99.420000,0.000000,338.56

17,04:00-04:15,62.820000,0.000000,42.710000,5.910000,6.770000,20.400000,100.000000,0.000000,0,0.530000,99.420000,0.000000,338.56

18,04:15-04:30,62.820000,0.000000,42.710000,5.910000,6.770000,20.400000,100.000000,0.000000,0,0.530000,99.420000,0.000000,338.56

19,04:30-04:45,62.820000,0.000000,42.710000,5.910000,6.770000,20.400000,100.000000,0.000000,0,0.530000,99.420000,0.000000,338.56

20,04:45-05:00,62.820000,0.000000,42.710000,5.910000,6.770000,20.400000,100.000000,0.000000,0,0.530000,99.420000,0.000000,338.56

21,05:00-05:15,62.820000,0.000000,42.710000,5.910000,6.770000,20.400000,100.000000,0.000000,0,0.530000,99.420000,0.000000,338.56

22,05:15-05:30,62.820000,0.000000,42.710000,5.910000,6.770000,20.400000,100.000000,0.000000,0,0.530000,99.420000,0.000000,338.56

23,05:30-05:45,62.820000,0.000000,42.710000,5.910000,6.770000,20.400000,100.000000,0.000000,0,0.530000,99.420000,0.000000,338.56

24,05:45-06:00,62.820000,0.000000,42.710000,5.910000,6.770000,20.400000,100.000000,0.000000,0,0.530000,99.420000,0.000000,338.56

25,06:00-06:15,62.820000,201.890000,0.000000,5.910000,6.770000,20.400000,0.000000,100.000000,0,0.580000,0.000000,0.000000,398.37

26,06:15-06:30,62.820000,201.890000,0.000000,5.910000,6.770000,20.400000,0.000000,100.000000,0,0.580000,0.000000,0.000000,398.37

27,06:30-06:45,62.820000,201.890000,0.000000,5.910000,6.770000,20.400000,0.000000,100.000000,0.14,0.580000,0.000000,0.000000,398.51

28,06:45-07:00,62.820000,201.890000,0.000000,5.910000,6.770000,20.400000,0.000000,100.000000,0.43,0.580000,0.000000,0.000000,398.8

29,07:00-07:15,62.820000,201.890000,0.000000,5.810000,6.770000,20.400000,0.000000,100.000000,0.75,0.680000,0.000000,0.000000,399.12

30,07:15-07:30,62.820000,201.890000,0.000000,5.810000,6.770000,20.400000,0.000000,100.000000,1.14,0.680000,0.000000,0.000000,399.51

31,07:30-07:45,62.820000,201.890000,0.000000,5.810000,6.770000,20.400000,0.000000,100.000000,1.59,0.680000,0.000000,0.000000,399.96

32,07:45:08:00,62.820000,201.890000,0.000000,5.810000,6.770000,20.400000,0.000000,100.000000,2.08,0.680000,0.000000,0.000000,400.45

33,08:00-08:15,62.820000,201.890000,0.000000,5.810000,6.770000,20.400000,0.000000,100.000000,2.54,0.970000,0.000000,0.000000,401.2

34,08:15-08:30,62.820000,201.890000,0.000000,5.810000,6.770000,20.400000,0.000000,100.000000,3.03,0.970000,0.000000,0.000000,401.69

35,08:30-08:45,62.820000,201.890000,0.000000,5.810000,6.770000,20.400000,0.000000,100.000000,3.55,0.970000,0.000000,0.000000,402.21

36,08:45:09:00,62.820000,201.890000,0.000000,5.810000,6.770000,20.400000,0.000000,100.000000,4.04,0.970000,0.000000,0.000000,402.7

37,09:00:09:15,62.820000,201.890000,0.000000,5.810000,6.770000,20.400000,0.000000,100.000000,4.51,0.970000,0.000000,0.000000,403.17

38,09:15-09:30,62.820000,201.890000,0.000000,5.810000,6.770000,20.400000,0.000000,100.000000,4.93,0.970000,0.000000,0.000000,403.59

39,09:30-09:45,62.820000,201.890000,0.000000,5.810000,6.770000,20.400000,0.000000,100.000000,5.32,0.970000,0.000000,0.000000,403.98

40,09:45-10:00,62.820000,201.890000,0.000000,5.810000,6.770000,20.400000,0.000000,100.000000,5.51,0.970000,0.000000,0.000000,404.17

41,10:00-10:15,62.820000,201.890000,0.000000,5.810000,6.770000,20.400000,0.000000,100.000000,5.7,0.970000,0.000000,0.000000,404.36

42,10:15-10:30,62.820000,201.890000,0.000000,5.810000,6.770000,20.400000,0.000000,100.000000,5.99,0.970000,0.000000,0.000000,404.65

43,10:30-10:45,62.820000,201.890000,0.000000,5.810000,6.770000,20.400000,0.000000,100.000000,6.09,0.970000,0.000000,0.000000,404.75

44,10:45-11:00,62.820000,201.890000,0.000000,5.810000,6.770000,20.400000,0.000000,100.000000,6.19,0.970000,0.000000,0.000000,404.85

45,11:00-11:15,62.820000,201.890000,0.000000,5.810000,6.770000,20.400000,0.000000,100.000000,6.38,0.970000,0.000000,0.000000,405.04

46,11:15-11:30,62.820000,201.890000,0.000000,5.810000,6.770000,20.400000,0.000000,100.000000,6.57,0.970000,0.000000,0.000000,405.23

47,11:30-11:45,62.820000,201.890000,0.000000,5.810000,6.770000,20.400000,0.000000,100.000000,6.77,0.970000,0.000000,0.000000,405.43

48,11:45-12:00,62.820000,201.890000,0.000000,5.810000,6.770000,20.400000,0.000000,100.000000,6.96,0.970000,0.000000,0.000000,405.62

49,12:00-12:15,62.820000,201.890000,0.000000,5.810000,6.770000,20.400000,0.000000,100.000000,7.35,0.970000,0.000000,0.000000,406.01

50,12:15-12:30,62.820000,201.890000,0.000000,5.810000,6.770000,20.400000,0.000000,100.000000,7.54,0.970000,0.000000,0.000000,406.2

51,12:30-12:45,62.820000,201.890000,0.000000,5.810000,6.770000,20.400000,0.000000,100.000000,7.73,0.970000,0.000000,0.000000,406.39

52,12:45-13:00,62.820000,201.890000,0.000000,5.810000,6.770000,20.400000,0.000000,100.000000,8.22,0.970000,0.000000,0.000000,406.88

53,13:00-13:15,62.820000,201.890000,0.000000,5.810000,6.770000,20.400000,0.000000,100.000000,7.83,0.970000,0.000000,0.000000,406.49

54,13:15-13:30,62.820000,201.890000,0.000000,5.810000,6.770000,20.400000,0.000000,100.000000,7.54,0.970000,0.000000,0.000000,406.2

55,13:30-13:45,62.820000,201.890000,0.000000,5.810000,6.770000,20.400000,0.000000,100.000000,7.06,0.970000,0.000000,0.000000,405.72

56,13:45-14:00,62.820000,201.890000,0.000000,5.810000,6.770000,20.400000,0.000000,100.000000,6.57,0.970000,0.000000,0.000000,405.23

57,14:00-14:15,62.820000,201.890000,0.000000,5.810000,6.770000,20.400000,0.000000,100.000000,6.38,0.970000,0.000000,0.000000,405.04

58,14:15-14:30,62.820000,201.890000,0.000000,5.810000,6.770000,20.400000,0.000000,100.000000,6.06,0.970000,0.000000,0.000000,404.72

59,14:30-14:45,62.820000,201.890000,0.000000,5.810000,6.770000,20.400000,0.000000,100.000000,5.6,0.970000,0.000000,0.000000,404.26

60,14:45-15:00,62.820000,201.890000,0.000000,5.810000,6.770000,20.400000,0.000000,100.000000,5.32,0.970000,0.000000,0.000000,403.98

61,15:00-15:15,62.820000,201.890000,0.000000,5.910000,6.770000,20.400000,0.000000,100.000000,4.87,0.970000,0.000000,0.000000,403.63

62,15:15-15:30,62.820000,201.890000,0.000000,5.910000,6.770000,20.400000,0.000000,100.000000,4.39,0.970000,0.000000,0.000000,403.15

