Block,Time,ANTA_LF,RAPPB,RAPPC,AURY_CRF,DHAULIGNGA,KOLDAM,KOTESHWR,AURY_RF,RAMPUR,KISHANGANGA,ANTA_RF,CHAMERA1,DADRI_CRF,URI,UNCHAHAR2,RIHAND3,DADRI_GF,ANTA_GF,URI2,NJPC,AURY_GF,DADRI_LF,TEHRI,PARBATI3,SALAL,UNCHAHAR1,DULHASTI,CHAMERA3,ANTA_CRF,DADRT2,BSIUL,UNCHAHAR4,UNCHAHAR3,SEWA2,JHAJJAR,RIHAND2,TANDA2,RIHAND1,SINGRAULI_HYDRO,TANAKPUR,FSTPP I & II,KHSTPP-II,KHSTPP-I,BRBCL,SINGRAULI,AURY_LF,NAPP,TALA,DADRI_RF,CHAMERA2,SASAN,KUDGI,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,0.000000,51.996323,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,38.317190,26.875651,119.226029,0.000000,0.000000,23.863095,0.000000,0.000000,0.000000,0.000000,0.000000,12.323126,0.964100,15.887261,0.000000,0.000000,174.502100,0.000000,0.000000,0.964100,0.000000,232.757842,113.884312,0.000000,88.697200,0.571740,2.470024,11.250783,66.917549,28.427356,19.281969,118.584300,0.000000,0.000000,0.000000,0.000000,0.000000,403.736157,65.56,0,0,0,0,0

2,00:15-00:30,0.000000,0.000000,51.996323,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,38.317190,17.289278,119.226029,0.000000,0.000000,23.863095,0.000000,0.000000,0.000000,0.000000,0.000000,12.323126,0.964100,15.887261,0.000000,0.000000,174.502100,0.000000,0.000000,0.964100,0.000000,232.757842,113.884312,0.000000,88.697200,0.571740,2.470024,5.717464,65.047923,28.427356,18.840864,118.584300,0.000000,0.000000,0.000000,0.000000,0.000000,403.736157,62.67,0,0,0,0,0

3,00:30-00:45,0.000000,0.000000,51.996323,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.514931,15.252062,119.226029,0.000000,0.000000,23.863095,0.000000,0.000000,0.000000,0.000000,0.000000,12.323126,0.964100,15.887261,0.000000,0.000000,174.502100,0.000000,0.000000,0.964100,0.000000,232.757842,113.884312,0.000000,88.697200,0.571740,2.470024,4.820500,65.047923,28.427356,17.134328,118.584300,0.000000,0.000000,0.000000,0.000000,0.000000,403.736157,60.74,0,0,0,0,0

4,00:45-01:00,0.000000,0.000000,51.996323,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.514931,15.252062,119.226029,0.000000,0.000000,23.863095,0.000000,0.000000,0.000000,0.000000,0.000000,12.323126,0.964100,15.887261,0.000000,0.000000,174.502100,0.000000,0.000000,0.964100,0.000000,232.757842,113.884312,0.000000,88.697200,0.571740,2.470024,4.820500,65.047923,28.427356,15.016943,118.584300,0.000000,0.000000,0.000000,0.000000,0.000000,403.736157,60.74,0,0,0,0,0

5,01:00-01:15,0.000000,0.000000,51.996323,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.514931,15.252062,119.226029,0.000000,0.000000,23.863095,0.000000,0.000000,0.000000,0.000000,0.000000,12.323126,0.964100,15.887261,0.000000,0.000000,174.502100,0.000000,0.000000,0.964100,0.000000,232.757842,113.884312,0.000000,88.697200,0.571740,3.705036,4.820500,65.047923,28.427356,14.241832,118.584300,0.000000,0.000000,0.000000,0.000000,0.000000,403.736157,59.77,0,0,0,0,0

