Block,Time,LT-31,L_NR_2020_05,L_NR_2023_10,L_NR_2012_02,SH-07,L_NR_2019_05,L_NR_2021_13,L_NR_2022_09,SH-06,LT-35,L_NR_2012_07,L_NR_2021_15,LT-36,LT-59,L_NR_2020_02,L_NR_2012_01,L_NR_2023_04,L_NR_2023_07,L_NR_2021_14,L_NR_2020_06,L_NR_2021_17,L_NR_2019_19,LT-05,L_NR_2019_11,L_NR_2019_06,L_NR_2022_08,L_NR_2018_61,L_NR_2019_07,L_NR_2022_10,L_NR_2012_04,L_NR_2020_07,L_NR_2021_16,L_NR_2021_12
1,00:00-00:15,0.000000,48.93,0,261.750000,30.950000,0,0,52.68,30.950000,0.000000,74.170000,0,0.000000,9.330000,7.580000,101.320000,30.750000,0,0,16.31,0,0,58.040000,9.230000,0,13.32,14.46,0,52.68,272.050000,16.31,0,0

2,00:15-00:30,0.000000,48.37,0,261.750000,30.950000,0,0,52.44,30.950000,0.000000,74.170000,0,0.000000,9.330000,7.580000,101.320000,30.750000,0,0,16.12,0,0,58.040000,9.230000,0,13.7,14.3,0,52.44,272.050000,16.12,0,0

3,00:30-00:45,0.000000,47.74,0,261.750000,30.950000,0,0,52.32,30.950000,0.000000,74.170000,0,0.000000,9.330000,7.580000,101.320000,30.750000,0,0,15.91,0,0,58.040000,9.230000,0,12.25,10.12,0,52.32,272.050000,15.91,0,0

4,00:45-01:00,0.000000,46.97,0,261.750000,30.950000,0,0,52.17,30.950000,0.000000,74.170000,0,0.000000,9.330000,7.580000,101.320000,30.750000,0,0,15.66,0,0,58.040000,9.230000,0,12.42,9.79,0,52.17,272.050000,15.64,0,0

5,01:00-01:15,0.000000,46.74,0,261.750000,35.180000,0,0,51.58,35.180000,0.000000,74.170000,0,0.000000,9.180000,7.490000,101.320000,29.730000,0,0,15.58,0,0,58.040000,9.080000,0,12.45,9.53,0,51.58,272.050000,15.58,0,0

6,01:15-01:30,0.000000,46.62,0,261.750000,36.970000,0,0,50.97,36.970000,0.000000,74.170000,0,0.000000,9.180000,7.490000,101.320000,29.730000,0,0,15.54,0,0,58.040000,9.080000,0,12.41,9.33,0,50.97,272.050000,15.53,0,0

7,01:30-01:45,0.000000,46.49,0,261.750000,36.970000,0,0,50.37,36.970000,0.000000,74.170000,0,0.000000,9.180000,7.490000,101.320000,29.730000,0,0,15.5,0,0,58.040000,9.080000,0,12.35,9.39,0,50.37,272.050000,15.5,0,0

8,01:45-02:00,0.000000,46.28,0,261.750000,36.970000,0,0,50.03,36.970000,0.000000,74.170000,0,0.000000,9.180000,7.490000,101.320000,29.730000,0,0,15.43,0,0,58.040000,9.080000,0,12.28,9.31,0,50.03,272.050000,15.41,0,0

9,02:00-02:15,0.000000,58.07,0,261.750000,36.970000,0,0,49.45,36.970000,0.000000,74.170000,0,0.000000,9.020000,7.350000,101.320000,29.730000,0,0,19.36,0,0,58.040000,8.850000,0,12.14,8.45,0,49.45,272.050000,19.35,0,0

10,02:15-02:30,0.000000,56.99,0,261.750000,36.970000,0,0,48.84,36.970000,0.000000,74.170000,0,0.000000,9.020000,7.350000,101.320000,29.730000,0,0,19,0,0,58.040000,8.850000,0,12.34,8.03,0,48.84,272.050000,18.98,0,0

11,02:30-02:45,0.000000,55.74,0,261.750000,30.950000,0,0,48.22,30.950000,0.000000,74.170000,0,0.000000,9.020000,7.350000,101.320000,29.730000,0,0,18.58,0,0,58.040000,8.850000,0,12.32,7.89,0,48.22,272.050000,18.59,0,0

12,02:45-03:00,0.000000,54.71,0,261.750000,30.950000,0,0,47.55,30.950000,0.000000,74.170000,0,0.000000,9.020000,7.350000,101.320000,29.730000,0,0,18.24,0,0,58.040000,8.850000,0,12.27,7.65,0,47.55,272.050000,18.22,0,0

13,03:00-03:15,0.000000,53.81,0,261.750000,30.950000,0,0,46.6,30.950000,0.000000,74.170000,0,0.000000,8.870000,7.210000,101.320000,29.730000,0,0,17.94,0,0,58.040000,8.850000,0,12.05,7.4,0,46.6,272.050000,17.94,0,0

14,03:15-03:30,0.000000,54.11,0,261.750000,30.950000,0,0,45.47,30.950000,0.000000,74.170000,0,0.000000,8.870000,7.210000,101.320000,29.730000,0,0,18.04,0,0,58.040000,8.850000,0,12.24,7.4,0,45.47,272.050000,18.03,0,0

15,03:30-03:45,0.000000,54.1,0,261.750000,30.950000,0,0,49.32,30.950000,0.000000,74.170000,0,0.000000,8.870000,7.210000,101.320000,29.730000,0,0,18.03,0,0,58.040000,8.850000,0,14.66,8.45,0,49.32,272.050000,18.04,0,0

16,03:45-04:00,0.000000,53.09,0,261.750000,30.950000,0,0,48.27,30.950000,0.000000,74.170000,0,0.000000,8.870000,7.210000,101.320000,29.730000,0,0,17.7,0,0,58.040000,8.850000,0,14.24,8.03,0,48.27,272.050000,17.69,0,0

17,04:00-04:15,0.000000,52.33,0,261.750000,30.950000,0,0,47,30.950000,0.000000,74.170000,0,0.000000,8.870000,7.070000,101.320000,29.730000,0,0,17.44,0,0,58.040000,8.620000,0,14,7.89,0,47,272.050000,17.46,0,0

18,04:15-04:30,0.000000,51.42,0,261.750000,30.950000,0,0,46.21,30.950000,0.000000,74.170000,0,0.000000,8.870000,7.070000,101.320000,29.730000,0,0,17.14,0,0,58.040000,8.620000,0,13.59,7.65,0,46.21,272.050000,17.13,0,0

