Column1,Block,GNA/WR/2025/04/01/4420,NR/30092023/31122025/SH-07,NR/2025/25791/A/63453,NR/2025/25790/A/63454,NR/2025/25792/A/63452,GNA/NR/2025/04/01/9334,NR/2025/25794/A/63451,NR/2025/25924/A/63412,NR/2025/25795/A/63448,WR/2025/27350/A/63161,GNARE/NR/2024/12/20/3668,NR/2025/25940/C,WR/2025/27369/A/63533,WR/2025/27361/A/63481,NR/2025/25752/A/63067,GNA/SR/2025/04/01/2597,GNA/NR/2025/04/01/7459,GNA/NR/2025/04/01/1831,GNA/NR/2025/04/01/6216,GNA/NR/2025/04/11/4172,GNA/NR/2025/04/01/4565,GNA/NR/2025/04/11/3573,GNA/NR/2025/04/01/7960,NR/30092023/26122029/SH-06,GNA/NR/2025/04/11/9952,GNA/NR/2025/04/01/1333,GNA/NR/2025/04/01/5285,GNA/NR/2025/04/01/6490,NR/01082024/19092033/Chanju/TPDDL/01082024,Total
,,IVPL_Trader,BAWANA_GAS,APPCPL,APPCPL,APPCPL,IEXL,APPCPL,DIAPL,APPCPL,KEIPL,SECI_Trader,TPDDL,MANIKARAN,APPCPL,IEXL,APPCPL,IEXL,IEXL,IEXL,HPXL,PXIL,HPXL,NDMC,PUNJAB,HPXL,IEXL,IEXL,HPXL,DELHI,
,,DELHI_UT,DELHI_UT,NA,NA,NA,SIKKIM_STATE,NA,HIMACHAL_STATE,NA,DELHI_UT,NA,NA,DELHI_UT,DELHI_UT,NA,DELHI_UT,HIMACHAL_STATE,HIMACHAL_STATE,SIKKIM_STATE,NA,UTTARPRADESH_STATE,UTTARPRADESH_STATE,NA,DELHI_UT,NA,SIKKIM_STATE,SIKKIM_STATE,CSEB_State,HIMACHAL_STATE,
,,BYPL,BAWANA_GAS,JIPL,SKS_Raigarh,RKM_POWER,Kalez_Khola_HEP,RKM_POWER,GBHHPL,TRN_ENERGY,BYPL,APSEPL_FTG,JHAJJAR,BYPL,BYPL,TPSL_BKN2,BYPL,KGEPL_HP,RHPPL_HP,LLHEP1234,RKM_POWER,LAPL_UP,PPGCL,JPL2,BAWANA_GAS,ACBIL,RCHEP,MEYONGCHU_HEP,MSPLTD,CHANJUII,
,,MSEB_State,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,CSEB_State,DELHI_UT,DELHI_UT,CSEB_State,CSEB_State,DELHI_UT,KERALA_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,TPC_MSEB,HARYANA,NDMC,NDMC,NDMC,BRPL,NDMC,DIAPL,NDMC,CSEB_Beneficiary,TPDDL,TPDDL,CSEB_Beneficiary,CSEB_Beneficiary,MES_Delhi,KSEB,BRPL,BRPL,BRPL,BYPL,BRPL,BRPL,NDMC,PUNJAB,BRPL,BRPL,BRPL,BRPL,TPDDL,
,,North-West,North-North,East-North,West-North,West-North,East-North,West-North,North-North,West-North,North-West,North-North,North-North,North-West,North-West,North-North,North-West-South,North-North,North-North,East-North,West-North,North-North,North-North,West-North,North-North,West-North,East-North,East-North,West-North,North-North,
1,00:00-00:15,0,27,21.88,10.93,32.81,2.89,32.81,3.85,10.93,144.38,0,204.05,48.12,48.12,0,52.5,9.62,1.92,9.62,48.12,48.12,109.72,43.75,27,38.5,2.89,2.89,9.62,7.83,999.87

2,00:15-00:30,0,27,21.88,10.93,32.81,2.89,32.81,3.85,10.93,144.38,0,204.05,48.12,48.12,0,52.5,9.62,1.92,9.62,48.12,48.12,109.72,43.75,27,38.5,2.89,2.89,9.62,7.83,999.87

3,00:30-00:45,0,27,21.88,10.93,32.81,2.89,32.81,3.85,10.93,144.38,0,204.05,48.12,48.12,0,52.5,9.62,1.92,9.62,48.12,48.12,109.72,43.75,27,38.5,2.89,2.89,9.62,7.83,999.87

4,00:45-01:00,0,27,21.88,10.93,32.81,2.89,32.81,3.85,10.93,144.38,0,204.05,48.12,48.12,0,52.5,9.62,1.92,9.62,48.12,48.12,109.72,43.75,27,38.5,2.89,2.89,9.62,7.83,999.87

5,01:00-01:15,0,27,21.88,10.93,32.81,2.89,32.81,3.85,10.93,144.38,0,204.05,48.12,48.12,0,52.5,9.62,1.92,9.62,0,48.12,109.72,43.75,27,38.5,2.89,2.89,9.62,7.83,951.75

6,01:15-01:30,0,27,21.88,10.93,32.81,2.89,32.81,3.85,10.93,144.38,0,204.05,48.12,48.12,0,52.5,9.62,1.92,9.62,0,48.12,109.72,43.75,27,38.5,2.89,2.89,9.62,7.83,951.75

7,01:30-01:45,0,27,21.88,10.93,32.81,2.89,32.81,3.85,10.93,144.38,0,204.05,48.12,48.12,0,52.5,9.62,1.92,9.62,0,48.12,109.72,43.75,27,38.5,2.89,2.89,9.62,7.83,951.75

8,01:45-02:00,0,27,21.88,10.93,32.81,2.89,32.81,3.85,10.93,144.38,0,204.05,48.12,48.12,0,52.5,9.62,1.92,9.62,0,48.12,109.72,43.75,27,38.5,2.89,2.89,9.62,7.83,951.75

9,02:00-02:15,0,27,21.88,10.93,32.81,2.89,32.81,3.85,10.93,144.38,0,204.05,48.12,48.12,0,0,9.62,1.92,9.62,0,48.12,0,43.75,27,0,2.89,2.89,9.62,7.74,750.9399999999999

10,02:15-02:30,0,27,21.88,10.93,32.81,2.89,32.81,3.85,10.93,144.38,0,204.05,48.12,48.12,0,0,9.62,1.92,9.62,0,48.12,0,43.75,27,0,2.89,2.89,9.62,7.74,750.9399999999999

11,02:30-02:45,0,27,21.88,10.93,32.81,2.89,32.81,3.85,10.93,144.38,0,204.05,48.12,48.12,0,0,9.62,1.92,9.62,0,48.12,0,43.75,27,0,2.89,2.89,9.62,7.74,750.9399999999999

12,02:45-03:00,0,27,21.88,10.93,32.81,2.89,32.81,3.85,10.93,144.38,0,204.05,48.12,48.12,0,0,9.62,1.92,9.62,0,48.12,0,43.75,27,0,2.89,2.89,9.62,7.74,750.9399999999999

13,03:00-03:15,0,27,21.88,10.93,32.81,2.89,32.81,3.85,10.93,144.38,0,204.05,48.12,48.12,0,0,9.62,1.92,9.62,0,48.12,0,43.75,27,0,2.89,2.89,9.62,7.64,750.8399999999999

14,03:15-03:30,0,27,21.88,10.93,32.81,2.89,32.81,3.85,10.93,144.38,0,204.05,48.12,48.12,0,0,9.62,1.92,9.62,0,48.12,0,43.75,27,0,2.89,2.89,9.62,7.64,750.8399999999999

15,03:30-03:45,0,27,21.88,10.93,32.81,2.89,32.81,3.85,10.93,144.38,0,204.05,48.12,48.12,0,0,9.62,1.92,9.62,0,48.12,0,43.75,27,0,2.89,2.89,9.62,7.64,750.8399999999999

16,03:45-04:00,0,27,21.88,10.93,32.81,2.89,32.81,3.85,10.93,144.38,0,204.05,48.12,48.12,0,0,9.62,1.92,9.62,0,48.12,0,43.75,27,0,2.89,2.89,9.62,7.64,750.8399999999999

17,04:00-04:15,0,27,21.88,10.93,32.81,2.89,32.81,3.85,10.93,144.38,0,204.05,48.12,48.12,0,0,9.62,1.92,9.62,0,48.12,0,43.75,27,0,2.89,2.89,9.62,7.56,750.7599999999999

18,04:15-04:30,0,27,21.88,10.93,32.81,2.89,32.81,3.85,10.93,144.38,0,204.05,48.12,48.12,0,0,9.62,1.92,9.62,0,48.12,0,43.75,27,0,2.89,2.89,9.62,7.56,750.7599999999999

19,04:30-04:45,0,27,21.88,10.93,32.81,2.89,32.81,3.85,10.93,144.38,0,204.05,48.12,48.12,0,0,9.62,1.92,9.62,0,48.12,0,43.75,27,0,2.89,2.89,9.62,7.56,750.7599999999999

20,04:45-05:00,0,27,21.88,10.93,32.81,2.89,32.81,3.85,10.93,144.38,0,204.05,48.12,48.12,0,0,9.62,1.92,9.62,0,48.12,0,43.75,27,0,2.89,2.89,9.62,7.56,750.7599999999999

21,05:00-05:15,0,32,21.88,10.93,32.81,2.89,32.81,3.85,10.93,144.38,0,204.05,48.12,48.12,0,0,9.62,1.92,9.62,0,48.12,0,43.75,27,0,2.89,2.89,9.62,7.46,755.66

22,05:15-05:30,0,32,21.88,10.93,32.81,2.89,32.81,3.85,10.93,144.38,0,204.05,48.12,48.12,0,0,9.62,1.92,9.62,0,48.12,0,43.75,27,0,2.89,2.89,9.62,7.46,755.66

23,05:30-05:45,0,32,21.88,10.93,32.81,2.89,32.81,3.85,10.93,144.38,0,204.05,48.12,48.12,0,0,9.62,1.92,9.62,0,48.12,0,43.75,32,0,2.89,2.89,9.62,7.46,760.66

24,05:45-06:00,0,32,21.88,10.93,32.81,2.89,32.81,3.85,10.93,144.38,0,204.05,48.12,48.12,0,0,9.62,1.92,9.62,0,48.12,0,43.75,32,0,2.89,2.89,9.62,7.46,760.66

25,06:00-06:15,0,32,21.88,10.93,32.81,2.89,32.81,3.85,10.93,144.38,0,204.05,48.12,48.12,0,0,9.62,1.92,9.62,0,48.12,0,43.75,27,0,2.89,2.89,9.62,7.37,755.5699999999999

26,06:15-06:30,0,32,21.88,10.93,32.81,2.89,32.81,3.85,10.93,144.38,0.37,204.05,48.12,48.12,0,0,9.62,1.92,9.62,0,48.12,0,43.75,27,0,2.89,2.89,9.62,7.37,755.9399999999999

27,06:30-06:45,0,32,21.88,10.93,32.81,2.89,32.81,3.85,10.93,144.38,0.15,204.05,48.12,48.12,0,0,9.62,1.92,9.62,0,48.12,0,43.75,27,0,2.89,2.89,9.62,7.37,755.7199999999999

28,06:45-07:00,0,32,21.88,10.93,32.81,2.89,32.81,3.85,10.93,144.38,1.34,204.05,48.12,48.12,0,0,9.62,1.92,9.62,0,48.12,0,43.75,27,0,2.89,2.89,9.62,7.37,756.91

29,07:00-07:15,0,32,21.88,10.93,32.81,2.89,32.81,3.85,10.93,144.38,4.23,232.92,48.12,48.12,0,0,9.62,1.92,9.62,0,48.12,0,43.75,27,0,2.89,2.89,9.62,7.28,788.5799999999999

30,07:15-07:30,0,32,21.88,10.93,32.81,2.89,32.81,3.85,10.93,144.38,8.05,252.18,48.12,48.12,0,0,9.62,1.92,9.62,0,48.12,0,43.75,27,0,2.89,2.89,9.62,7.28,811.66

31,07:30-07:45,0,32,21.88,10.93,32.81,2.89,32.81,3.85,10.93,144.38,13.19,252.18,48.12,48.12,0,0,9.62,1.92,9.62,0,48.12,0,43.75,27,0,2.89,2.89,9.62,7.28,816.8

32,07:45-08:00,0,32,21.88,10.93,32.81,2.89,32.81,3.85,10.93,144.38,19.81,67.38,48.12,48.12,0,0,9.62,1.92,9.62,0,48.12,0,43.75,27,0,2.89,2.89,9.62,7.28,638.62

33,08:00-08:15,0,27,21.88,10.93,32.81,2.89,32.81,3.85,10.93,0,25.89,67.38,48.12,48.12,3.85,0,9.62,1.92,9.62,0,48.12,0,43.75,27,0,2.89,2.89,9.62,7.28,499.17

34,08:15-08:30,0,27,21.88,10.93,32.81,2.89,32.81,3.85,10.93,0,33.03,67.38,48.12,48.12,3.85,0,9.62,1.92,9.62,0,48.12,0,43.75,27,0,2.89,2.89,9.62,7.28,506.31

35,08:30-08:45,0,27,21.88,10.93,32.81,2.89,32.81,3.85,10.93,0,40.52,115.5,48.12,48.12,1.83,0,9.62,1.92,9.62,0,48.12,0,43.75,27,0,2.89,2.89,9.62,7.28,559.9

36,08:45-09:00,0,27,21.88,10.93,32.81,2.89,32.81,3.85,10.93,0,47.91,115.5,48.12,48.12,2.02,0,9.62,1.92,9.62,0,48.12,0,43.75,27,0,2.89,2.89,9.62,7.28,567.4799999999999

37,09:00-09:15,0,27,21.88,10.93,32.81,2.89,32.81,4.81,10.93,0,55.19,211.75,48.12,48.12,4.33,0,9.62,1.92,9.62,0,48.12,0,43.75,27,0,2.89,2.89,9.62,7.19,674.1899999999999

38,09:15-09:30,0,27,21.88,10.93,32.81,2.89,32.81,4.81,10.93,0,61.96,211.75,48.12,48.12,4.52,0,9.62,1.92,9.62,0,48.12,0,43.75,27,0,2.89,2.89,9.62,7.19,681.15

39,09:30-09:45,0,27,21.88,10.93,32.81,2.89,32.81,4.81,10.93,0,68.37,211.75,48.12,48.12,4.81,0,9.62,1.92,9.62,0,48.12,0,43.75,27,0,2.89,2.89,9.62,7.19,687.8499999999999

40,09:45-10:00,0,27,21.88,10.93,32.81,2.89,32.81,4.81,10.93,0,74.34,211.75,48.12,48.12,5.01,0,9.62,1.92,9.62,0,48.12,0,43.75,27,0,2.89,2.89,9.62,7.19,694.02

41,10:00-10:15,0,27,21.88,10.93,32.81,2.89,32.81,4.81,10.93,0,79.61,211.75,48.12,48.12,6.74,0,9.62,1.92,9.62,0,48.12,0,43.75,27,0,2.89,2.89,9.62,7.09,700.92

42,10:15-10:30,0,27,21.88,10.93,32.81,2.89,32.81,4.81,10.93,0,88.26,231,48.12,48.12,6.93,0,9.62,1.92,9.62,0,48.12,0,43.75,27,0,2.89,2.89,9.62,7.09,729.0099999999999

43,10:30-10:45,0,27,21.88,10.93,32.81,2.89,32.81,4.81,10.93,0,92.43,231,48.12,48.12,7.32,0,9.62,1.92,9.62,0,48.12,0,43.75,27,0,2.89,2.89,9.62,7.09,733.57

44,10:45-11:00,0,27,21.88,10.93,32.81,2.89,32.81,4.81,10.93,0,98.33,231,48.12,48.12,7.6,0,9.62,1.92,9.62,0,48.12,0,43.75,27,0,2.89,2.89,9.62,7.09,739.75

45,11:00-11:15,0,27,21.88,10.93,32.81,2.89,32.81,4.81,10.93,0,98.33,231,48.12,48.12,7.99,0,9.62,1.92,9.62,0,48.12,0,43.75,27,0,2.89,2.89,9.62,7.09,740.14

46,11:15-11:30,0,27,21.88,10.93,32.81,2.89,32.81,4.81,10.93,0,98.33,231,48.12,48.12,7.99,0,9.62,1.92,9.62,0,48.12,0,43.75,27,0,2.89,2.89,9.62,7.09,740.14

47,11:30-11:45,0,27,21.88,10.93,32.81,2.89,32.81,4.81,10.93,0,98.33,231,48.12,48.12,7.99,0,9.62,1.92,9.62,0,48.12,0,43.75,27,0,2.89,2.89,9.62,7.09,740.14

48,11:45-12:00,0,27,21.88,10.93,32.81,2.89,32.81,4.81,10.93,0,98.33,231,48.12,48.12,7.99,0,9.62,1.92,9.62,0,48.12,0,43.75,27,0,2.89,2.89,9.62,7.09,740.14

49,12:00-12:15,0,27,21.88,10.93,32.81,2.89,32.81,4.81,10.93,0,100,231,48.12,48.12,7.99,0,9.62,1.92,9.62,0,48.12,0,43.75,27,0,2.89,2.89,9.62,7,741.7199999999999

50,12:15-12:30,0,27,21.88,10.93,32.81,2.89,32.81,4.81,10.93,0,100,231,48.12,48.12,7.99,0,9.62,1.92,9.62,0,48.12,0,43.75,27,0,2.89,2.89,9.62,7,741.7199999999999

51,12:30-12:45,0,27,21.88,10.93,32.81,2.89,32.81,4.81,10.93,0,100,231,48.12,48.12,7.99,0,9.62,1.92,9.62,0,48.12,0,43.75,27,0,2.89,2.89,9.62,7,741.7199999999999

52,12:45-13:00,0,27,21.88,10.93,32.81,2.89,32.81,4.81,10.93,0,100,231,48.12,48.12,7.99,0,9.62,1.92,9.62,0,48.12,0,43.75,27,0,2.89,2.89,9.62,7,741.7199999999999

53,13:00-13:15,0,27,21.88,10.93,32.81,2.89,32.81,4.81,10.93,0,100,231,48.12,48.12,7.99,0,9.62,1.92,9.62,0,48.12,0,43.75,27,0,2.89,2.89,9.62,6.91,741.6299999999999

54,13:15-13:30,0,27,21.88,10.93,32.81,2.89,32.81,4.81,10.93,0,100,221.38,48.12,48.12,7.99,0,9.62,1.92,9.62,0,48.12,0,43.75,27,0,2.89,2.89,9.62,6.91,732.0099999999999

55,13:30-13:45,0,27,21.88,10.93,32.81,2.89,32.81,4.81,10.93,0,100,221.38,48.12,48.12,7.99,0,9.62,1.92,9.62,0,48.12,0,43.75,27,0,2.89,2.89,9.62,6.91,732.0099999999999

56,13:45-14:00,0,27,21.88,10.93,32.81,2.89,32.81,4.81,10.93,0,100,221.38,48.12,48.12,7.99,0,9.62,1.92,9.62,0,48.12,0,43.75,27,0,2.89,2.89,9.62,6.91,732.0099999999999

57,14:00-14:15,0,27,21.88,10.93,32.81,2.89,32.81,5.78,10.93,0,100,221.38,48.12,48.12,7.12,0,9.62,1.92,9.62,0,48.12,0,43.75,27,0,2.89,2.89,9.62,6.81,732.0099999999999

58,14:15-14:30,0,27,21.88,10.93,32.81,2.89,32.81,5.78,10.93,0,100,221.38,48.12,48.12,7.12,0,9.62,1.92,9.62,0,48.12,0,43.75,27,0,2.89,2.89,9.62,6.81,732.0099999999999

59,14:30-14:45,0,27,21.88,10.93,32.81,2.89,32.81,5.78,10.93,0,100,221.38,48.12,48.12,7.22,0,9.62,1.92,9.62,0,48.12,0,43.75,27,0,2.89,2.89,9.62,6.81,732.1099999999999

60,14:45-15:00,0,27,21.88,10.93,32.81,2.89,32.81,5.78,10.93,0,100,221.38,48.12,48.12,7.22,0,9.62,1.92,9.62,0,48.12,0,43.75,27,0,2.89,2.89,9.62,6.81,732.1099999999999

61,15:00-15:15,0,27,21.88,10.93,32.81,2.89,32.81,5.78,10.93,0,93.33,221.38,48.12,48.12,6.35,0,9.62,1.92,9.62,0,48.12,0,43.75,27,0,2.89,2.89,9.62,6.81,724.5699999999999

62,15:15-15:30,0,27,21.88,10.93,32.81,2.89,32.81,5.78,10.93,0,87.92,221.38,48.12,48.12,6.45,0,9.62,1.92,9.62,0,48.12,0,43.75,27,0,2.89,2.89,9.62,6.81,719.2599999999999

63,15:30-15:45,0,27,21.88,10.93,32.81,2.89,32.81,5.78,10.93,0,83.43,288.75,48.12,48.12,6.55,0,9.62,1.92,9.62,0,48.12,0,43.75,27,0,2.89,2.89,9.62,6.81,782.2399999999999

