Time,Block,NR/2024/19043/A/15041,NR/2024/18936/A/14967,NR/2024/18935/A/14966,NR/2024/18996/A/15540,NR/2024/19075/A/15028,NR/2024/19024/A/15091,NR/2024/19121/A/15317,NR/2024/18977/A/14977,NR/2024/18978/A/14978,NR/2024/19441/C,NR/2024/19172/A/15668,NR/2024/18934/A/14965,NR/2024/18855/A/15319,NR/2024/19444/C,NR/2024/19337/A/15083,NR/2024/19030/A/15049,NR/2024/19454/C,NR/2024/19143/A/15062,NR/2024/19245/A/15086,NR/2024/18919/A/15519,NR/2024/18986/A/14996,NR/2024/19290/A/15667,NR/2024/19445/C,NR/2024/19462/C,NR/2024/18976/A/14976,NR/2024/19115/A/15066,NR/2024/19440/C,Total
,,IEXL,PXIL,PXIL,PTC,IEXL,DIAPL,GMRETL,PXIL,PXIL,NVVNL,TPDDL,PXIL,GMRETL,PXIL,DIAPL,IEXL,PXIL,IEXL,DIAPL,APPCPL,ITCLH,TPDDL,PXIL,HPXL,PXIL,IEXL,NVVNL,Total

,,NA,TAMIL NADU,TAMIL NADU,MAHARASHTRA,ODISHA,HIMACHAL PRADESH,RAJASTHAN,NA,TAMIL NADU,NA,NA,TAMIL NADU,RAJASTHAN,NA,HIMACHAL PRADESH,NA,DVC,DELHI,HIMACHAL PRADESH,NAGALAND,ANDHRA PRADESH,NA,Gujarat,NA,ODISHA,MAHARASHTRA,NA,
,,MBMP,SAKTHISUGARSLTD,SAKTHISUGARS_ELMTN,JPL_DHULE,VSL,GBHHPL,RUVNL,MEENAKSHI,BIRLACARBONTN,KAMENG,JHAJJAR,SAKTHISUGRAR_TN,RUVNL,DGEN,GBHHPL,JHABUA_IPP,DVC,EDWPCL12,GBHHPL,Nagaland_Ben,ITCWIND,JHAJJAR,SUGEN_GUVNL,SINGOLI,FACORPOWER,SWPL,SOLAPUR_SOLAR,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BRPL,BRPL,BRPL,BRPL,BRPL,DIAPL,BYPL,BRPL,BRPL,TPDDL,TPDDL,BRPL,BYPL,BRPL,DIAPL,BRPL,BYPL,UPPCL,DIAPL,BYPL,ITCLH,TPDDL,BRPL,BYPL,BRPL,BRPL,MES (Delhi),
,,West-East-North,South-West-North,South-West-North,West-North,East-North,North-North,North-North,South-West-North,South-West-North,North East-East-North,North-North,South-West-North,North-North,West-North,North-North,West-East-North,East-North,North-North,North-North,North East-East-North,South-West-North,North-North,West-North,North-North,East-West-North,West-East-North,West-North,
1,00:00-00:15,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,0.000000,0.000000,52.590000,116.000000,0.000000,66.890000,20.300000,1.930000,0.000000,72.500000,2.000000,0.000000,9.670000,0.530000,67.670000,29.000000,38.670000,0.000000,0.000000,0,482.58

2,00:15-00:30,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,0.000000,0.000000,52.590000,116.000000,0.000000,66.890000,20.300000,1.930000,0.000000,72.500000,2.000000,0.000000,9.670000,0.530000,67.670000,29.000000,38.670000,0.000000,0.000000,0,482.58
