Block,Time,LT_MEJA_Delhi,LT-36,L_NR_2019_19,LT-05,L_NR_2020_02,L_NR_2012_04,SH-07,LT-31,SH-06,L_NR_2020_07,L_NR_2022_08,L_NR_2022_10,LT-35,L_NR_2021_13,L_NR_2021_17,L_NR_2021_12,L_NR_2021_14,L_NR_2021_16,L_NR_2021_15,L_NR_2012_01,L_NR_2012_02,LT-59,L_NR_2012_07,L_NR_2020_06,L_NR_2020_05,L_NR_2019_05,L_NR_2019_06,L_NR_2018_61,L_NR_2019_11,L_NR_2019_07,L_NR_2022_09
1,00:00-00:15,6.450000,0.000000,0.000000,115.660000,6.950000,270.930000,30.340000,0.000000,30.340000,35.98,20.11,68.97,0.000000,0,0,0,0,0,0,100.910000,260.670000,6.740000,86.890000,35.98,107.93,0,0,7.15,5.440000,0,68.97

2,00:15-00:30,6.450000,0.000000,0.000000,115.660000,6.950000,270.930000,30.340000,0.000000,30.340000,35.53,19.75,68.2,0.000000,0,0,0,0,0,0,100.910000,260.670000,6.740000,86.890000,35.53,106.59,0,0,7.15,5.440000,0,68.2

3,00:30-00:45,6.450000,0.000000,0.000000,115.660000,6.950000,270.930000,30.340000,0.000000,30.340000,35.98,22.43,70.26,0.000000,0,0,0,0,0,0,100.910000,260.670000,6.740000,86.890000,35.98,107.94,0,0,7.16,6.130000,0,70.26

4,00:45-01:00,6.450000,0.000000,0.000000,115.660000,6.950000,270.930000,30.340000,0.000000,30.340000,35.81,22.34,70.15,0.000000,0,0,0,0,0,0,100.910000,260.670000,6.740000,86.890000,35.82,107.45,0,0,7.19,6.130000,0,70.15

5,01:00-01:15,6.450000,0.000000,0.000000,115.660000,6.810000,270.930000,30.340000,0.000000,30.340000,35.56,22.05,70.11,0.000000,0,0,0,0,0,0,100.910000,260.670000,6.590000,86.890000,35.57,106.7,0,0,7.04,6.130000,0,70.11

6,01:15-01:30,6.450000,0.000000,0.000000,115.660000,6.810000,270.930000,30.340000,0.000000,30.340000,35.1,22.01,70.08,0.000000,0,0,0,0,0,0,100.910000,260.670000,6.590000,86.890000,35.1,105.3,0,0,7.23,6.130000,0,70.08

7,01:30-01:45,6.450000,0.000000,0.000000,115.660000,6.810000,270.930000,30.340000,0.000000,30.340000,34.65,22.01,61.88,0.000000,0,0,0,0,0,0,100.910000,260.670000,6.590000,86.890000,34.65,103.95,0,0,7.13,6.130000,0,61.88

8,01:45-02:00,6.450000,0.000000,0.000000,115.660000,6.810000,270.930000,30.340000,0.000000,30.340000,29.25,16.98,61.51,0.000000,0,0,0,0,0,0,100.910000,260.670000,6.590000,86.890000,29.25,87.75,0,0,7.3,6.130000,0,61.51

9,02:00-02:15,6.450000,0.000000,0.000000,115.660000,6.670000,270.930000,30.340000,0.000000,30.340000,29.12,16.92,61.09,0.000000,0,0,0,0,0,0,100.910000,260.670000,6.200000,86.890000,29.12,87.36,0,0,7.79,5.970000,0,61.09

10,02:15-02:30,6.450000,0.000000,0.000000,115.660000,6.670000,270.930000,30.340000,0.000000,30.340000,28.9,16.45,60.68,0.000000,0,0,0,0,0,0,100.910000,260.670000,6.200000,86.890000,28.92,86.75,0,0,7.89,5.970000,0,60.68

11,02:30-02:45,6.450000,0.000000,0.000000,115.660000,6.670000,270.930000,30.340000,0.000000,30.340000,28.64,16.4,60.22,0.000000,0,0,0,0,0,0,100.910000,260.670000,6.200000,86.890000,28.64,85.93,0,0,7.9,5.970000,0,60.22

12,02:45-03:00,6.450000,0.000000,0.000000,115.660000,6.670000,270.930000,30.340000,0.000000,30.340000,28.32,16.16,59.65,0.000000,0,0,0,0,0,0,100.910000,260.670000,6.200000,86.890000,28.32,84.96,0,0,8.29,5.970000,0,59.65

13,03:00-03:15,6.450000,0.000000,0.000000,115.660000,6.530000,270.930000,30.340000,0.000000,30.340000,28.37,16.01,58.78,0.000000,0,0,0,0,0,0,100.910000,260.670000,6.040000,86.890000,28.36,85.08,0,0,10.96,5.970000,0,58.78

