Block,Time,L_NR_2019_11,LT-35,L_NR_2012_04,LT-31,L_NR_2023_04,L_NR_2012_02,L_NR_2012_07,SH-07,LT-36,L_NR_2012_01,LT-05,L_NR_2020_02,SH-06,LT-59,L_NR_2018_61,L_NR_2021_16,L_NR_2020_07,L_NR_2021_17,L_NR_2021_13,L_NR_2019_06,L_NR_2019_19,L_NR_2021_14,L_NR_2022_10,L_NR_2022_08,L_NR_2022_09,L_NR_2019_07,L_NR_2021_15,L_NR_2019_05,L_NR_2020_05,L_NR_2020_06,L_NR_2021_12
1,00:00-00:15,10.780000,0.000000,134.320000,0.000000,26.140000,261.940000,77.720000,0.000000,0.000000,101.400000,58.100000,11.920000,0.000000,10.360000,36.66,0,30.73,0,0,0,0,0,67.4,27.6,67.4,0,0,0,92.18,30.73,0

2,00:15-00:30,10.780000,0.000000,134.320000,0.000000,24.200000,261.940000,77.720000,0.000000,0.000000,101.400000,58.100000,11.920000,0.000000,10.360000,36.52,0,30.92,0,0,0,0,0,66.4,27.69,66.4,0,0,0,92.74,30.91,0

3,00:30-00:45,10.780000,0.000000,134.320000,0.000000,25.170000,261.940000,77.720000,0.000000,0.000000,101.400000,58.100000,11.920000,0.000000,10.360000,35.44,0,33.39,0,0,0,0,0,70.78,25.61,70.78,0,0,0,100.18,33.39,0

4,00:45-01:00,10.780000,0.000000,134.320000,0.000000,25.170000,261.940000,77.720000,0.000000,0.000000,101.400000,58.100000,11.920000,0.000000,10.360000,34.62,0,33.29,0,0,0,0,0,69.78,25.76,69.78,0,0,0,99.82,33.27,0

5,01:00-01:15,10.780000,0.000000,134.320000,0.000000,24.200000,261.940000,53.520000,0.000000,0.000000,101.400000,58.100000,11.920000,0.000000,10.360000,33.81,0,33.14,0,0,0,0,0,69.16,25.94,69.16,0,0,0,99.43,33.14,0

6,01:15-01:30,10.780000,0.000000,134.320000,0.000000,24.200000,261.940000,47.430000,0.000000,0.000000,101.400000,58.100000,11.920000,0.000000,10.360000,33.11,0,32.17,0,0,0,0,0,67.12,26.14,67.12,0,0,0,96.53,32.18,0

7,01:30-01:45,10.780000,0.000000,134.320000,0.000000,23.230000,240.420000,47.430000,0.000000,0.000000,101.400000,58.100000,11.920000,0.000000,10.360000,28.78,0,31.66,0,0,0,0,0,65.65,26.31,65.65,0,0,0,94.97,31.66,0

8,01:45-02:00,10.780000,0.000000,134.320000,0.000000,24.200000,240.420000,47.430000,0.000000,0.000000,101.400000,58.100000,11.920000,0.000000,10.360000,28.95,0,31.45,0,0,0,0,0,74.11,26.55,74.11,0,0,0,94.33,31.44,0

9,02:00-02:15,10.780000,0.000000,134.320000,0.000000,24.200000,240.420000,47.430000,0.000000,0.000000,101.400000,58.100000,11.920000,0.000000,10.360000,28.62,0,28.94,0,0,0,0,0,73.63,25.13,73.63,0,0,0,86.83,28.94,0

