Block,Time,CHAMERA3,SINGRAULI,UNCHAHAR3,PARBATI3,JHAJJAR,BSIUL,URI,RAMPUR,NAPP,UNCHAHAR4,ANTA_LF,DADRI_LF,DHAULIGNGA,ANTA_RF,CHAMERA1,DADRI_CRF,SEWA2,TEHRI,RAPPB,AURY_LF,DULHASTI,TANAKPUR,TANDA2,DADRI_RF,UNCHAHAR2,ANTA_CRF,KOTESHWR,DADRI_GF,RIHAND2,AURY_GF,DADRT2,RAPPC,KOLDAM,RIHAND1,SALAL,AURY_RF,KISHANGANGA,AURY_CRF,URI2,ANTA_GF,NJPC,RIHAND3,UNCHAHAR1,KHSTPP-II,CHAMERA2,FSTPP I & II,TALA,BRBCL,KHSTPP-I,SINGRAULI_HYDRO,SASAN,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,33.608676,126.026249,26.668853,4.122141,407.612356,6.291920,35.153237,6.508748,46.374858,2.981541,0.000000,0.000000,42.008019,48.420331,40.668682,0.000000,18.140715,0.000000,0.000000,0.000000,57.098346,3.584507,5.170020,68.129651,42.138823,0.000000,0.000000,0.000000,120.014262,0.000000,663.963077,65.604402,8.949257,93.552789,80.727394,73.565282,8.047894,0.000000,36.560562,0.000000,173.645772,125.996738,18.647300,142.033280,46.797484,18.815550,0.000000,19.298004,42.754719,1.149350,390.784500,0,0,0,0,0

2,00:15-00:30,33.608676,142.894880,26.668853,4.122141,407.612356,6.291920,35.153237,6.508748,46.374858,2.981541,0.000000,0.000000,42.008019,48.420331,40.668682,0.000000,18.140715,0.000000,0.000000,0.000000,57.098346,3.584507,5.170020,68.129651,42.138823,0.000000,0.000000,0.000000,120.014262,0.000000,663.963077,65.604402,8.949257,93.552789,80.727394,73.565282,8.047894,0.000000,36.560562,0.000000,173.645772,125.996738,19.424042,142.033280,46.797484,18.815550,0.000000,17.469343,42.754719,1.149350,390.784500,0,0,0,0,0

3,00:30-00:45,33.608676,105.677906,26.668853,4.122141,407.612356,6.291920,35.153237,6.508748,46.374858,2.981541,0.000000,0.000000,42.008019,48.420331,40.668682,0.000000,12.087690,0.000000,0.000000,0.000000,57.098346,3.584507,5.170020,68.129651,42.138823,0.000000,0.000000,0.000000,120.014262,0.000000,663.963077,65.604402,8.949257,93.552789,80.727394,73.565282,8.047894,0.000000,36.560562,0.000000,173.645772,125.996738,17.139698,142.033280,46.797484,18.815550,0.000000,17.744958,42.754719,1.149350,390.784500,0,0,0,0,0

4,00:45-01:00,33.608676,105.677906,26.668853,4.122141,407.612356,6.291920,35.153237,6.508748,46.374858,2.981541,0.000000,0.000000,42.008019,48.420331,40.668682,0.000000,12.087690,0.000000,0.000000,0.000000,57.098346,3.584507,5.170020,68.129651,42.138823,0.000000,0.000000,0.000000,120.014262,0.000000,663.963077,65.604402,8.949257,93.552789,80.727394,73.565282,8.047894,0.000000,36.560562,0.000000,173.645772,125.996738,17.139698,142.033280,46.797484,18.815550,0.000000,14.653288,42.754719,1.149350,390.784500,0,0,0,0,0

5,01:00-01:15,33.608676,105.677906,26.668853,0.000000,407.612356,6.291920,35.153237,6.508748,46.374858,2.981541,0.000000,0.000000,42.008019,48.420331,40.668682,0.000000,10.710611,0.000000,0.000000,0.000000,57.098346,3.584507,5.170020,68.129651,42.138823,0.000000,0.000000,0.000000,120.014262,0.000000,663.963077,65.604402,8.949257,93.552789,80.727394,74.855901,8.047894,0.000000,36.560562,0.000000,173.645772,125.996738,17.139698,142.033280,46.797484,18.815550,0.000000,17.902380,42.754719,1.149350,390.784500,0,0,0,0,0

6,01:15-01:30,33.608676,105.677906,26.668853,0.000000,407.612356,6.291920,35.153237,6.508748,46.374858,2.981541,0.000000,0.000000,42.008019,48.420331,40.668682,0.000000,5.814332,0.000000,0.000000,0.000000,57.098346,3.584507,5.170020,68.129651,42.138823,0.000000,0.000000,0.000000,120.014262,0.000000,663.963077,65.604402,8.949257,93.552789,80.727394,74.855901,8.047894,0.000000,36.560562,0.000000,173.645772,125.996738,17.139698,142.033280,46.797484,18.815550,0.000000,14.792558,42.754719,1.149350,390.784500,0,0,0,0,0

7,01:30-01:45,33.608676,105.677906,26.668853,0.000000,407.612356,6.291920,35.153237,6.508748,46.374858,2.981541,0.000000,0.000000,42.008019,29.122331,40.668682,0.000000,5.661323,0.000000,0.000000,0.000000,57.098346,3.584507,5.170020,47.866751,42.138823,0.000000,0.000000,0.000000,120.014262,0.000000,663.963077,65.604402,8.949257,93.552789,80.727394,28.947000,8.047894,0.000000,36.560562,0.000000,173.645772,125.996738,17.139698,142.033280,46.797484,19.490980,0.000000,14.981343,42.754719,1.149350,390.784500,0,0,0,0,0

