Column1,Block,GNA/NR/2025/05/01/9252,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2025/26879/A/76507,NR/2025/25967/A/76720,NR/2025/27756/C,NR/2025/27732/C,NR/2025/26827/A/76796,NR/2025/27759/C,NR/2025/26828/A/76794,NR/2025/27657/C,NR/2025/27774/C,NR/2025/26289/A/76766,NR/2025/27658/C,NR/2025/27663/C,NR/2025/27775/C,NR/2025/27692/C,NR/2025/27660/C,NR/2025/27720/C,NR/2025/27758/C,NR/2025/27661/C,NR/2025/27662/C,NR/2025/27773/C,NR/2025/27659/C,NR/2025/26825/A/76797,NR/2025/26829/A/76789,NR/2025/27746/C,NR/2025/26191/A/76452,NR/2025/26232/A/76769,NR/2025/26785/A/76484,NR/2025/26085/A/76341,NR/2025/26233/A/76768,NR/2025/26379/A/76719,NR/2025/27149/A/76490,NR/2025/27750/C,NR/2025/26265/A/76767,NR/2025/26959/A/76489,NR/2025/26336/A/76508,NR/2025/27751/C,NR/2025/27755/C,NR/2025/27757/C,NR/2025/25861/A/76755,NR/2025/26004/A/76456,NR/2025/25860/A/76756,NR/2025/25859/A/76757,NR/2025/26101/A/76546,NR/2025/26153/A/76458,NR/2025/26202/A/76852,NR/2025/26291/A/76765,GNA/NR/2025/05/01/4138,NR/2025/26082/A/76853,NR/2025/26822/A/76798,NR/2025/26005/A/76457,GNA/NR/2025/05/01/2069,GNA/NR/2025/05/01/3877,GNA/NR/2025/05/01/5800,GNA/NR/2025/05/01/8954,GNA/NR/2025/05/01/7902,GNA/NR/2025/05/01/6363,GNA/NR/2025/05/01/7791,GNA/NR/2025/05/16/9317,GNA/NR/2025/05/16/1698,GNA/NR/2025/05/01/6957,GNA/NR/2025/05/01/2474,GNA/NR/2025/05/01/9395,NR/30092023/26122029/SH-06,GNA/NR/2025/05/01/6160,NR/30092023/31122025/SH-07,GNA/NR/2025/05/01/8068,GNARE/NR/2024/12/20/3668,NR/2025/26755/A/76431,NR/2025/26335/A/76509,Total
,,HPXL,DELHI,BRPL,PowerPulse,APPCPL,TPDDL,APPCPL,APPCPL,APPCPL,HPXL,GEPL_Trader,HPXL,HPXL,IEXL,GEPL_Trader,PXIL,HPXL,PowerPulse,APPCPL,HPXL,IEXL,GEPL_Trader,HPXL,APPCPL,APPCPL,NVVNL,PXIL,HPXL,IEXL,ITCLH,HPXL,PowerPulse,DIAPL,NVVNL,HPXL,DIAPL,BRPL,NVVNL,APPCPL,APPCPL,PowerPulse,PXIL,PowerPulse,PowerPulse,GMRETL,IEXL,NVVNL,HPXL,PowerPulse,NVVNL,APPCPL,PXIL,HPXL,PXIL,PXIL,HPXL,PXIL,PXIL,IEXL,JPL,SIMHAPURI,PowerPulse,NDMC,IEXL,PUNJAB,PXIL,BAWANA_GAS,PXIL,SECI_Trader,IEXL,BRPL,
,,HIMACHAL_STATE,HIMACHAL_STATE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KARNATAKA_STATE,NA,GEB_State,NA,NA,GEB_State,TAMILNADU_State,NA,MP_State,NA,NA,NA,NA,GEB_State,NA,ANDHRA_PRADESH_STATE,GEB_State,NA,HIMACHAL_STATE,NA,NA,HIMACHAL_STATE,NA,NA,NA,NA,NA,NA,NA,NA,HIMACHAL_STATE,TAMILNADU_State,NA,MP_State,NA,NA,NA,NA,NA,UTTARPRADESH_STATE,Meghalaya_State,MSEB_State,NA,ODISHA_STATE,ODISHA_STATE,NA,NA,NA,NA,JK_and_LADAKH_UT,DELHI_UT,ODISHA_STATE,DELHI_UT,CSEB_State,NA,NA,NA,
,,KGEPL_HP,CHANJUII,RIHAND3,MAHAN_ENERGEN,RKM_POWER,JHAJJAR,JPL2,RKM_POWER,TRN_ENERGY,JPL,SORANG_HEP,SIMHAPURI,SIMHAPURI,MBMP,TADASWIND_KAR,JPNIGRIE_JNSTPP,PCBL_PALEJ,COASTGEN,TRN_ENERGY,PCBL_MUNDRA,SURYADEV_ALLOYSTN,DIKCHU,Ultratech_Sidhi_MP,RKM_POWER,RKM_POWER,JPNIGRIE_JNSTPP,JPNIGRIE_JNSTPP,PCBL_PALEJ,MBMP,ITCWIND,PCBL_MUNDRA,COASTGEN,GBHHPL,SORANG_HEP,JPL,GBHHPL,DADRT2,Kameng,SKS_Raigarh,JPL2,APL_Raipur_TPP,ILFS,APL_Raipur_TPP,APL_Raipur_TPP,GBHHPL,SURYADEV_ALLOYSTN,JPNIGRIE_JNSTPP,Ultratech_Sidhi_MP,COASTGEN,SKS_Raigarh,SKS_Raigarh,SKS_Raigarh,JPL,LAPL_UP,Meghalaya_Ben,GRETAENERGY,SINGOLI,FACORPOWER,VSL,JPL2,SIMHAPURI,APL_Raipur_TPP,JIPL,O2ZTPL,BAWANA_GAS,FACORPOWER,BAWANA_GAS,SKSIPL,APSEPL_FTG,TPSL_BKN2,TS1PL_BKN,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,BRPL,TPDDL,BRPL,BRPL,NDMC,TPDDL,NDMC,NDMC,NDMC,BRPL,BYPL,BRPL,BRPL,NDMC,BYPL,BRPL,BRPL,BRPL,NDMC,BRPL,BRPL,BYPL,BRPL,NDMC,NDMC,TPDDL,BRPL,BRPL,NDMC,ITCLH,BRPL,BRPL,DIAPL,TPDDL,BRPL,DIAPL,BRPL,TPDDL,NDMC,NDMC,TPDDL,BYPL,TPDDL,TPDDL,TPDDL,BRPL,TPDDL,BRPL,BRPL,BYPL,NDMC,BYPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,NDMC,BRPL,PUNJAB,BRPL,HARYANA,BRPL,TPDDL,MES_Delhi,BRPL,
,,North-North,North-North,North-North,West-North,West-North,North-North,West-North,West-North,West-North,West-North,North-North,South-West-North,South-West-North,West-North,South-West-North,West-North,West-North,South-West-North,West-North,West-North,South-West-North,East-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,South-West-North,West-North,South-West-North,North-North,North-North,West-North,North-North,North-North,North East-East-North,West-North,West-North,West-North,South-West-North,West-North,West-North,North-North,South-West-North,West-North,West-North,South-East-North,West-North,West-North,West-North,West-North,North-North,North East-East-North,West-North,North-North,East-North,East-North,West-North,South-West-North,West-North,East-North,North-North,North-North,East-North,North-North,West-North,North-North,North-North,North-North,
1,00:00-00:15,13.53,13.23,33.81,164.24,0,62.8,37.32,0,12.44,0,86.95,48.3,0,0,18.14,0,0,0,0,0,0,88.61,0,25.3,25.3,0,48.3,4.83,0,0.77,4.83,77.29,1.93,0,96.61,6.76,111.1,108.55,0,0,0,48.3,144.92,67.63,0,62.8,67.63,24.15,0,47.34,12.44,48.3,0,28.98,67.63,5.8,28.98,14.49,0,0,0,164.24,17.56,0,30,14.49,26.26,10.63,0,0,0,2023.51

2,00:15-00:30,13.53,13.23,33.81,164.24,0,62.8,37.32,0,12.44,0,86.95,48.3,0,0,18.14,0,0,0,0,0,0,88.61,0,25.3,25.3,0,48.3,4.83,0,0.77,4.83,77.29,1.93,0,96.61,6.76,111.1,108.55,0,0,0,48.3,144.92,67.63,0,62.8,67.63,24.15,0,47.34,12.44,48.3,0,28.98,67.63,5.8,28.98,14.49,0,0,0,164.24,17.56,0,30,14.49,26.26,10.63,0,0,0,2023.51

