Block,Time,LT-59,SH-06,L_NR_2012_02,L_NR_2020_02,LT-31,LT-35,L_NR_2012_01,LT-05,L_NR_2019_11,LT-36,L_NR_2012_04,L_NR_2023_04,SH-07,L_NR_2012_07,L_NR_2020_05,L_NR_2021_12,L_NR_2020_06,L_NR_2018_61,L_NR_2019_05,L_NR_2019_19,L_NR_2019_07,L_NR_2022_10,L_NR_2021_14,L_NR_2019_06,L_NR_2023_07,L_NR_2021_16,L_NR_2021_13,L_NR_2020_07,L_NR_2022_09,L_NR_2021_17,L_NR_2021_15,L_NR_2023_10,L_NR_2022_08
1,00:00-00:15,10.340000,30.930000,261.530000,11.900000,0.000000,0.000000,0.000000,115.990000,10.770000,0.000000,133.380000,31.680000,30.930000,74.110000,100.43,0,33.48,42.08,0,0,0,71.84,0,0,0,0,0,33.47,71.84,0,0,0,29.99

2,00:15-00:30,10.340000,30.930000,261.530000,11.900000,0.000000,0.000000,0.000000,115.990000,10.770000,0.000000,133.380000,31.680000,30.930000,74.110000,100.56,0,33.52,42.05,0,0,0,71.83,0,0,0,0,0,33.51,71.83,0,0,0,30.09

3,00:30-00:45,10.340000,30.930000,261.530000,11.900000,0.000000,0.000000,0.000000,115.990000,10.770000,0.000000,133.380000,31.680000,30.930000,74.110000,101.38,0,33.79,42.08,0,0,0,71.84,0,0,0,0,0,33.8,71.84,0,0,0,30.43

4,00:45-01:00,10.340000,30.930000,261.530000,11.900000,0.000000,0.000000,0.000000,115.990000,10.770000,0.000000,133.380000,31.680000,30.930000,74.110000,101.86,0,33.95,42.09,0,0,0,71.84,0,0,0,0,0,33.96,71.84,0,0,0,30.68

5,01:00-01:15,10.340000,30.930000,261.530000,11.900000,0.000000,0.000000,0.000000,115.990000,10.770000,0.000000,133.380000,31.680000,30.930000,74.110000,102.04,0,34.01,41.94,0,0,0,71.74,0,0,0,0,0,34.03,71.74,0,0,0,30.71

6,01:15-01:30,10.340000,30.930000,261.530000,11.900000,0.000000,0.000000,0.000000,115.990000,10.770000,0.000000,133.380000,31.680000,30.930000,74.110000,102.11,0,34.03,41.93,0,0,0,71.84,0,0,0,0,0,34.04,71.84,0,0,0,30.84

7,01:30-01:45,10.340000,30.930000,261.530000,11.900000,0.000000,0.000000,0.000000,115.990000,10.770000,0.000000,133.380000,31.680000,30.930000,74.110000,102.35,0,34.12,41.97,0,0,0,71.84,0,0,0,0,0,34.1,71.84,0,0,0,31.38

8,01:45-02:00,10.340000,30.930000,261.530000,11.900000,0.000000,0.000000,0.000000,115.990000,10.770000,0.000000,133.380000,31.680000,30.930000,74.110000,103.09,0,34.36,41.99,0,0,0,71.75,0,0,0,0,0,34.37,71.75,0,0,0,32.58

