Block,Time,NR/01102023/05012040/L_NR_2020_02,NR/01102023/06022042/L_NR_2012_07,NR/15122023/15122023/HPX-TAMCTG-141223-05389,NR/01122023/15122023/HP-15,NR/01102023/30042040/GNA_LT_35,NR/01102023/23072042/L_NR_2012_04,NR/30092023/26122029/SH-06,NR/01102023/22052037/LT-59,NR/01102023/19072037/LT-05,NR/01102023/30042040/GNA_LT_36,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/06022042/L_NR_2012_02,NR/01102023/31102037/L_NR_2019_11,SR/01122023/31122023/BYPL_KSEB_DEC23,NR/30092023/31122025/SH-07,NR/01122023/31122023/5412UPCL/CE(Comm)/SE/Banking dt. 17.11.2023,NR/01102023/31052040/LT-31,NR/08122023/15122023/HP-19,NR/15122023/15122023/DD20231215NR21789,SR/01102023/07102043/L_NR_2018_61,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/15082037/GNA_NR_2012_01,WR/01102023/29112042/L_NR_2019_05,NR/01102023/02012046/L_NR_2021_17,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/22102023/11042047/L_NR_2021_16,WR/01102023/24112044/L_NR_2020_07,NR/01102023/13082046/L_NR_2021_12,WR/01102023/30052048/L_NR_2022_10,L_NR_2019_19,WR/01102023/31032046/L_NR_2020_05,NR/01102023/14082046/L_NR_2021_16,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/25072045/L_NR_2021_15,WR/01102023/01102023/L_NR_2022_09,NR/22102023/11042047/L_NR_2021_17,NR/01102023/02122045/L_NR_2021_13,NR/01102023/08032047/L_NR_2021_14,WR/01102023/01102023/L_NR_2020_06,NR/26072023/25122043/L_NR_2023_10,NR/26072023/31072042/L_NR_2023_07
1,00:00-00:15,1.750000,55.180000,0.000000,57.030000,0.000000,148.120000,25.850000,1.080000,63.860000,0.000000,23.940000,173.550000,1.220000,47.88,25.850000,95.760000,0.000000,127.340000,0.000000,8.54,0.000000,100.300000,0,0,0,0,7.92,0,18.74,0,23.76,0,7.81,0,0,18.74,0,0,0,7.92,0,0

2,00:15-00:30,1.750000,31.600000,0.000000,57.030000,0.000000,148.120000,25.850000,1.080000,63.860000,0.000000,23.940000,173.550000,1.220000,47.88,25.850000,95.760000,0.000000,127.340000,0.000000,9.34,0.000000,100.300000,0,0,0,0,7.76,0,18.46,0,23.27,0,7.58,0,0,18.46,0,0,0,7.75,0,0

3,00:30-00:45,1.750000,31.600000,0.000000,57.030000,0.000000,148.120000,25.850000,1.080000,63.860000,0.000000,23.940000,173.550000,1.220000,47.88,25.850000,95.760000,0.000000,127.340000,0.000000,15.87,0.000000,100.300000,0,0,0,0,7.44,0,17.68,0,22.32,0,7.35,0,0,17.68,0,0,0,7.44,0,0

4,00:45-01:00,1.750000,31.600000,0.000000,57.030000,0.000000,148.120000,25.850000,1.080000,63.860000,0.000000,22.980000,113.950000,1.220000,47.88,25.850000,95.760000,0.000000,127.340000,0.000000,16.34,0.000000,100.300000,0,0,0,0,7.33,0,17.23,0,22,0,7.09,0,0,17.23,0,0,0,7.34,0,0

5,01:00-01:15,1.750000,31.600000,0.000000,57.030000,0.000000,148.120000,25.850000,1.080000,63.860000,0.000000,22.980000,113.950000,1.180000,47.88,25.850000,95.760000,0.000000,127.340000,0.000000,17.1,0.000000,100.300000,0,0,0,0,7.33,0,26.75,0,22,0,7,0,0,26.75,0,0,0,7.34,0,0

6,01:15-01:30,1.750000,31.600000,0.000000,57.030000,0.000000,148.120000,25.850000,1.080000,63.860000,0.000000,23.940000,113.950000,1.180000,47.88,25.850000,95.760000,0.000000,127.340000,0.000000,18.04,0.000000,100.300000,0,0,0,0,7.33,0,26.42,0,22,0,7,0,0,26.42,0,0,0,7.34,0,0

7,01:30-01:45,1.750000,31.600000,0.000000,57.030000,0.000000,148.120000,25.850000,1.080000,63.860000,0.000000,23.940000,113.950000,1.180000,47.88,25.850000,95.760000,0.000000,127.340000,0.000000,18.97,0.000000,100.300000,0,0,0,0,11.67,0,41.75,0,35,0,7,0,0,41.75,0,0,0,11.66,0,0

8,01:45-02:00,1.750000,31.600000,0.000000,57.030000,0.000000,148.120000,25.850000,1.080000,63.860000,0.000000,23.940000,113.950000,1.180000,47.88,25.850000,95.760000,0.000000,127.340000,0.000000,19.94,0.000000,100.300000,0,0,0,0,11.33,0,41.08,0,34,0,7,0,0,41.08,0,0,0,11.34,0,0

9,02:00-02:15,1.750000,31.600000,0.000000,57.030000,0.000000,148.120000,25.850000,1.080000,63.860000,0.000000,22.980000,113.950000,1.180000,47.88,25.850000,95.760000,0.000000,127.340000,0.000000,14.9,0.000000,100.300000,0,0,0,0,11,0,40.17,0,33,0,7,0,0,40.17,0,0,0,11,0,0

10,02:15-02:30,1.750000,31.600000,0.000000,57.030000,0.000000,148.120000,25.850000,1.080000,63.860000,0.000000,22.980000,113.950000,1.180000,47.88,25.850000,95.760000,0.000000,127.340000,0.000000,15.1,0.000000,100.300000,0,0,0,0,10.67,0,39.42,0,32,0,7,0,0,39.42,0,0,0,10.66,0,0

11,02:30-02:45,1.750000,31.600000,0.000000,57.030000,0.000000,148.120000,25.850000,1.080000,71.250000,0.000000,23.940000,113.950000,1.180000,47.88,25.850000,95.760000,0.000000,127.340000,0.000000,18.89,0.000000,100.300000,0,0,0,0,10.33,0,31.94,0,31,0,7,0,0,31.94,0,0,0,10.34,0,0

12,02:45-03:00,1.750000,31.600000,0.000000,57.030000,0.000000,148.120000,25.850000,1.080000,71.250000,0.000000,23.940000,113.950000,1.180000,47.88,25.850000,95.760000,0.000000,127.340000,0.000000,19.13,0.000000,100.300000,0,0,0,0,10,0,31.17,0,30,0,7,0,0,31.17,0,0,0,10,0,0

13,03:00-03:15,1.750000,31.600000,0.000000,57.030000,0.000000,148.120000,25.850000,1.120000,71.250000,0.000000,23.940000,113.950000,1.180000,47.88,25.850000,95.760000,0.000000,127.340000,0.000000,23.7,0.000000,100.300000,0,0,0,0,9.17,0,30.57,0,27.5,0,7,0,0,30.57,0,0,0,9.16,0,0

14,03:15-03:30,1.750000,31.600000,0.000000,57.030000,0.000000,148.120000,25.850000,1.120000,71.250000,0.000000,23.940000,113.950000,1.180000,47.88,25.850000,95.760000,0.000000,127.340000,0.000000,24.26,0.000000,100.300000,0,0,0,0,8.33,0,29.43,0,25,0,7,0,0,29.43,0,0,0,8.34,0,0

15,03:30-03:45,1.750000,31.600000,0.000000,57.030000,0.000000,148.120000,25.850000,1.120000,71.250000,0.000000,22.980000,113.950000,1.180000,47.88,25.850000,95.760000,0.000000,127.340000,0.000000,24.76,0.000000,100.300000,0,0,0,0,8.17,0,28.45,0,24.51,0,7,0,0,28.45,0,0,0,8.16,0,0

16,03:45-04:00,1.750000,31.600000,0.000000,57.030000,0.000000,148.120000,25.850000,1.120000,71.250000,0.000000,22.980000,113.950000,1.180000,47.88,25.850000,95.760000,0.000000,127.340000,0.000000,25.2,0.000000,100.300000,0,0,0,0,8.17,0,27.35,0,24.51,0,7,0,0,27.35,0,0,0,8.16,0,0

17,04:00-04:15,1.700000,31.600000,0.000000,57.030000,0.000000,148.120000,25.850000,1.120000,71.250000,0.000000,22.980000,113.950000,1.140000,47.88,25.850000,95.760000,0.000000,127.340000,0.000000,25.74,0.000000,100.300000,0,0,0,0,8.21,0,25.08,0,24.64,0,7,0,0,25.08,0,0,0,8.21,0,0

18,04:15-04:30,1.700000,31.600000,0.000000,57.030000,0.000000,148.120000,25.850000,1.120000,71.250000,0.000000,22.980000,113.950000,1.140000,47.88,25.850000,95.760000,0.000000,127.340000,0.000000,26.03,0.000000,100.300000,0,0,0,0,8.41,0,24.39,0,25.22,0,7,0,0,24.39,0,0,0,8.39,0,0

19,04:30-04:45,1.700000,31.600000,0.000000,57.030000,0.000000,148.120000,25.850000,1.120000,71.250000,0.000000,22.980000,133.110000,1.140000,47.88,25.850000,95.760000,0.000000,127.340000,0.000000,26.34,0.000000,100.300000,0,0,0,0,8.69,0,22.08,0,26.06,0,7,0,0,22.08,0,0,0,8.67,0,0

20,04:45-05:00,1.700000,31.600000,0.000000,57.030000,0.000000,148.120000,25.850000,1.120000,71.250000,0.000000,22.980000,147.470000,1.140000,47.88,25.850000,95.760000,0.000000,127.340000,0.000000,26.41,0.000000,100.300000,0,0,0,0,8.96,0,21.36,0,26.88,0,7,0,0,21.36,0,0,0,8.95,0,0

21,05:00-05:15,1.700000,55.180000,0.000000,57.030000,0.000000,191.520000,25.850000,1.120000,71.250000,0.000000,22.980000,173.550000,1.140000,47.88,25.850000,95.760000,0.000000,127.340000,0.000000,27.34,0.000000,100.300000,0,0,0,0,9.16,0,21.32,0,27.49,0,7,0,0,21.32,0,0,0,9.17,0,0

