Block,Time,DULHASTI,JHAJJAR,KHSTPP-I,KKNP,KKNPPU2,NJPC,RAPPB,SIMHST2,TANDA2,URI,ANTA_RF,DADRI_RF,NLCIIST2,NNTPP,NTPL,PARBATI2,PARBATI3,RSTPSU1TO6,SASAN,TelanganaSTPP,UNCHAHAR4,ANTA_CRF,ANTA_LF,AURY_GF,AURY_LF,AURY_RF,DADRI_GF,BSIUL,CHAMERA2,RAMPUR,SIMHST1,TALA,TALST2,KGSU1AND2,MAPS,NLCIIST1,TEHRI,VALLURNTECL,ANTA_GF,DADRI_CRF,DADRI_LF,BRBCL,KOLDAM,RIHAND2,RSTPSU7,TANAKPUR,URI2,CHAMERA3,KGSU3AND4,KISHANGANGA,KUDGI,RAPPC,RAPPD,SINGRAULI,UNCHAHAR1,UNCHAHAR3,CHAMERA1,DHAULIGNGA,KOTESHWR,NAPP,NLCTS2EXP,SALAL,SEWA2,DADRT2,FSTPP I & II,KHSTPP-II,NLCEXP,RIHAND1,RIHAND3,SINGRAULI_HYDRO,UNCHAHAR2,AURY_CRF
1,00:00-00:15,59.5,418.67,45.53,0,0,110.67,0,0,5.7,49.68,53.54,112.08,0,0,0,16.53,19.64,0,345.38,0,2.3,0,0,0,0,85.48,0,0,48.81,4.33,0,0,0,0,0,0,12.6,0,0,0,0,20,7.19,124.58,0,6.27,38.56,35.03,0,8.63,0,68.56,30,150.34,21.64,27.68,42.15,10.95,10.43,25.51,0,0,18.9,688.55,18.2,148.3,0,97.23,130.79,1,44.5,0

2,00:15-00:30,59.5,418.67,45.53,0,0,110.67,0,0,5.7,49.68,53.54,112.08,0,0,0,16.53,19.64,0,345.38,0,2.3,0,0,0,0,85.48,0,0,48.81,4.33,0,0,0,0,0,0,12.35,0,0,0,0,20,7.19,124.58,0,6.27,38.56,35.03,0,8.63,0,68.56,30,150.34,21.64,27.68,42.15,10.95,10.43,25.51,0,0,18.9,688.55,18.2,148.3,0,97.23,130.79,1,44.5,0

3,00:30-00:45,59.5,418.67,45.53,0,0,110.67,0,0,5.7,52.36,53.54,112.08,0,0,0,16.53,19.64,0,365.62,0,2.3,0,0,0,0,85.48,0,0,48.81,4.33,0,0,0,0,0,0,12.12,0,0,0,0,20,7.19,124.58,0,6.27,38.56,35.03,0,8.63,0,68.56,30,150.34,21.64,27.68,42.15,10.95,10.43,25.51,0,0,18.9,688.55,18.2,148.3,0,97.23,130.79,1,44.5,0

4,00:45-01:00,59.5,418.67,45.53,0,0,110.67,0,0,5.7,52.36,53.54,112.08,0,0,0,16.53,19.64,0,385.88,0,2.3,0,0,0,0,85.48,0,0,48.81,4.33,0,0,0,0,0,0,0,0,0,0,0,20,7.19,124.58,0,6.27,38.56,35.03,0,8.63,0,68.56,30,150.34,21.64,27.68,42.15,10.95,10.43,25.51,0,0,18.9,688.55,18.2,148.3,0,97.23,130.79,1,44.5,0

5,01:00-01:15,59.5,418.67,45.53,0,0,110.67,0,0,5.7,52.36,53.54,112.08,0,0,0,16.53,19.64,0,393.75,0,2.3,0,0,0,0,85.48,0,0,48.81,4.33,0,0,0,0,0,0,0,0,0,0,0,20,7.19,124.58,0,6.27,34.54,35.03,0,8.63,0,68.56,30,150.34,21.64,27.68,42.15,10.95,10.43,25.51,0,0,18.9,688.55,18.2,148.3,0,97.23,130.79,1,44.5,0

6,01:15-01:30,59.5,418.67,45.53,0,0,110.67,0,0,5.7,52.36,53.54,112.08,0,0,0,16.53,19.64,0,401.62,0,2.3,0,0,0,0,85.48,0,0,48.81,4.33,0,0,0,0,0,0,0,0,0,0,0,20,7.19,124.58,0,6.27,34.54,35.03,0,8.63,0,68.56,30,150.34,21.64,27.68,42.15,10.95,10.43,25.51,0,0,18.9,688.55,18.2,148.3,0,97.23,130.79,1,44.5,0

7,01:30-01:45,59.5,418.67,45.53,0,0,110.67,0,0,5.7,52.36,53.54,112.08,0,0,0,16.53,16.88,0,409.5,0,2.3,0,0,0,0,85.48,0,0,48.81,4.33,0,0,0,0,0,0,0,0,0,0,0,20,4.79,124.58,0,6.27,34.54,35.03,0,8.63,0,68.56,30,150.34,21.64,27.68,42.15,10.95,10.43,25.51,0,0,18.9,688.55,18.2,148.3,0,97.23,130.79,1,44.5,0

8,01:45-02:00,59.5,418.67,45.53,0,0,110.67,0,0,5.7,52.36,53.54,112.08,0,0,0,16.53,16.88,0,413.44,0,2.3,0,0,0,0,85.48,0,0,48.81,4.33,0,0,0,0,0,0,0,0,0,0,0,20,2.28,124.58,0,6.27,34.54,35.03,0,8.63,0,68.56,30,150.34,21.64,27.68,42.15,10.95,10.43,25.51,0,0,18.9,688.55,18.2,148.3,0,97.23,130.79,1,44.5,0

9,02:00-02:15,59.5,418.67,45.53,0,0,110.67,0,0,5.7,50.23,53.54,112.08,0,0,0,16.53,16.88,0,365.62,0,2.3,0,0,0,0,85.48,0,0,48.81,4.33,0,0,0,0,0,0,0,0,0,0,0,20,1.93,124.58,0,0.77,34.54,35.03,0,8.63,0,68.56,30,150.34,21.64,27.68,42.15,10.95,10.43,25.51,0,0,18.9,688.55,18.2,148.3,0,97.23,130.79,1,44.5,0

10,02:15-02:30,59.5,418.67,45.53,0,0,110.67,0,0,5.7,50.23,53.54,112.08,0,0,0,16.53,16.88,0,365.62,0,2.3,0,0,0,0,85.48,0,0,48.81,4.33,0,0,0,0,0,0,0,0,0,0,0,20,1.93,124.58,0,0,34.54,35.03,0,8.63,0,68.56,30,150.34,21.64,27.68,42.15,10.95,10.43,25.51,0,0,18.9,688.55,18.2,148.3,0,97.23,130.79,1,44.5,0

11,02:30-02:45,59.5,418.67,45.53,0,0,110.67,0,0,5.7,50.23,53.54,112.08,0,0,0,16.53,16.88,0,393.75,0,2.3,0,0,0,0,85.48,0,0,48.81,4.33,0,0,0,0,0,0,0,0,0,0,0,20,1.93,124.58,0,0,34.54,35.03,0,8.63,0,68.56,30,150.34,21.64,27.68,42.15,10.95,10.43,25.51,0,0,18.9,688.55,18.2,148.3,0,97.23,130.79,1,44.5,0

12,02:45-03:00,59.5,418.67,45.53,0,0,110.67,0,0,5.7,50.23,53.54,112.08,0,0,0,16.53,16.88,0,405,0,2.3,0,0,0,0,85.48,0,0,48.81,4.33,0,0,0,0,0,0,0,0,0,0,0,20,1.93,124.58,0,0,34.54,35.03,0,8.63,0,68.56,30,150.34,21.64,27.68,42.15,10.95,10.43,25.51,0,0,18.9,688.55,18.2,148.3,0,97.23,130.79,1,44.5,0

13,03:00-03:15,59.5,418.67,45.53,0,0,110.67,0,0,5.7,50.23,53.54,112.08,0,0,0,16.53,16.88,0,413.44,0,2.3,0,0,0,0,85.48,0,0,48.81,4.33,0,0,0,0,0,0,0,0,0,0,0,20,1.93,124.58,0,0,34.54,35.03,0,8.63,0,68.56,30,150.34,21.64,27.68,42.15,21.88,10.43,25.51,0,0,18.9,688.55,18.2,148.3,0,97.23,130.79,1,44.5,0

14,03:15-03:30,59.5,418.67,45.53,0,0,110.67,0,0,5.7,50.23,53.54,112.08,0,0,0,16.53,16.88,0,413.44,0,2.3,0,0,0,0,85.48,0,0,48.81,4.33,0,0,0,0,0,0,0,0,0,0,0,20,1.93,124.58,0,0,34.54,35.03,0,8.63,0,68.56,30,150.34,21.64,27.68,42.15,21.88,10.43,25.51,0,0,18.9,688.55,18.2,148.3,0,97.23,130.79,1,44.5,0

15,03:30-03:45,59.5,418.67,45.53,0,0,110.67,0,0,5.7,50.23,53.54,112.08,0,0,0,16.53,16.88,0,413.44,0,2.3,0,0,0,0,85.48,0,0,48.81,4.33,0,0,0,0,0,0,0,0,0,0,0,20,1.93,124.58,0,0,34.54,23.33,0,8.63,0,68.56,30,150.34,21.64,27.68,42.15,21.88,10.43,25.51,0,0,18.9,688.55,18.2,148.3,0,97.23,130.79,1,44.5,0

16,03:45-04:00,59.5,418.67,45.53,0,0,110.67,0,0,5.7,50.23,53.54,112.08,0,0,0,16.53,16.88,0,413.44,0,2.3,0,0,0,0,85.48,0,0,48.81,4.33,0,0,0,0,0,0,0,0,0,0,0,20,1.93,124.58,0,0,34.54,23.33,0,8.63,0,68.56,30,150.34,21.64,27.68,42.15,21.88,10.43,25.51,0,0,18.9,688.55,18.2,148.3,0,97.23,130.79,1,44.5,0

