Block,Time,RAPPC,SINGRAULI_HYDRO,DULHASTI,RIHAND3,UNCHAHAR2,DADRI_LF,TEHRI,TANDA2,RAPPB,PARBATI3,SEWA2,UNCHAHAR1,JHAJJAR,ANTA_GF,CHAMERA1,URI2,DADRT2,ANTA_RF,URI,BSIUL,NJPC,DADRI_RF,AURY_CRF,RIHAND2,AURY_RF,SINGRAULI,DHAULIGNGA,KOLDAM,RIHAND1,AURY_GF,DADRI_CRF,CHAMERA3,DADRI_GF,RAMPUR,CHAMERA2,ANTA_LF,UNCHAHAR3,AURY_LF,UNCHAHAR4,ANTA_CRF,SALAL,NAPP,KISHANGANGA,TANAKPUR,KOTESHWR,KHSTPP-II,KHSTPP-I,BRBCL,FSTPP I & II,SASAN,TALA,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,52.378863,0.734515,0.000000,118.706633,26.446813,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.435601,346.931858,0.000000,0.000000,8.005796,454.992600,0.000000,21.194592,0.000000,0.000000,0.000000,0.000000,56.691694,0.000000,120.551441,0.000000,0.000000,84.687753,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,17.845021,0.000000,0.000000,0.000000,2.230808,20.503464,0.000000,6.517049,8.518153,122.482257,34.624796,14.398548,10.659306,401.977323,0.000000,0,0,0,0,0

2,00:15-00:30,52.378863,0.734515,0.000000,118.706633,28.430030,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.998510,346.931858,0.000000,0.000000,8.005796,418.064702,0.000000,21.194592,0.000000,0.000000,0.000000,0.000000,56.691694,0.000000,120.551441,0.000000,0.000000,84.687753,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,17.845021,0.000000,0.000000,0.000000,2.230808,20.503464,0.000000,6.517049,8.518153,95.202751,28.797000,14.398548,10.659306,401.977323,0.000000,0,0,0,0,0

3,00:30-00:45,52.378863,0.734515,0.000000,118.706633,28.430030,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.998510,346.931858,0.000000,0.000000,8.005796,368.601600,0.000000,3.179189,0.000000,0.000000,0.000000,0.000000,56.691694,0.000000,120.551441,0.000000,0.000000,84.687753,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,17.845021,0.000000,0.000000,0.000000,2.230808,20.503464,0.000000,6.517049,8.518153,93.869389,28.797000,12.052945,10.659306,401.977323,0.000000,0,0,0,0,0

4,00:45-01:00,52.378863,0.734515,0.000000,118.706633,28.430030,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.719300,346.931858,0.000000,0.000000,8.005796,337.884800,0.000000,1.589594,0.000000,0.000000,0.000000,0.000000,56.691694,0.000000,120.551441,0.000000,0.000000,84.687753,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.599000,0.000000,0.000000,0.000000,2.230808,20.503464,0.000000,6.517049,8.518153,93.869389,28.797000,12.943627,10.659306,401.977323,0.000000,0,0,0,0,0

5,01:00-01:15,52.378863,0.734515,0.000000,118.706633,15.358400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.719300,340.764500,0.000000,0.000000,4.519401,337.884800,0.000000,1.059730,0.000000,0.000000,0.000000,0.000000,56.691694,0.000000,120.551441,0.000000,0.000000,84.687753,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.599000,0.000000,0.000000,0.000000,6.692423,20.503464,0.000000,6.517049,8.518153,93.869389,28.797000,12.127976,10.659306,401.977323,0.000000,0,0,0,0,0

