Block,Time,BRBCL,CHAMERA1,CHAMERA3,FSTPP I & II,RIHAND3,SASAN,TANAKPUR,BSIUL,DADRT2,KHSTPP-II,NAPP,RAPPB,RSTPSU1TO6,ANTA_LF,AURY_CRF,AURY_GF,AURY_RF,KISHANGANGA,MAPS,NTPL,RIHAND1,SALAL,SIMHST2,UNCHAHAR1,URI,VALLURNTECL,DADRI_RF,DHAULIGNGA,JHAJJAR,KOLDAM,NLCIIST1,NNTPP,AURY_LF,CHAMERA2,KHSTPP-I,KKNPPU2,NJPC,PARBATI3,RSTPSU7,SINGRAULI,SINGRAULI_HYDRO,TelanganaSTPP,UNCHAHAR3,UNCHAHAR4,KGSU3AND4,KKNP,KUDGI,NLCEXP,SEWA2,TEHRI,URI2,ANTA_RF,DADRI_CRF,DADRI_GF,DULHASTI,RIHAND2,SIMHST1,TALST2,UNCHAHAR2,ANTA_GF,KGSU1AND2,KOTESHWR,NLCIIST2,NLCTS2EXP,RAMPUR,RAPPC,TALA,TANDA2,ANTA_CRF,DADRI_LF
1,00:00-00:15,20,0,0,18.2,124.33,407.25,0,6.52,683.14,148.3,20.19,0,0,0,0,0,52.67,0,0,0,92,2.33,0,20.85,34.78,0,59.73,0,434.65,0,0,0,0,0,45.53,0,0,14,0,139.69,0.8,0,26.4,0,0,0,0,0,0,0,28.25,28.46,0,0,0,118.76,0,0,42.39,0,0,8.87,0,0,0,25.76,0,0,0,0

2,00:15-00:30,20,0,0,18.2,124.33,407.25,0,6.52,683.14,148.3,20.19,0,0,0,0,0,52.67,0,0,0,92,2.33,0,20.85,34.78,0,59.73,0,434.65,0,0,0,0,0,45.53,0,0,14,0,139.69,0.8,0,26.4,0,0,0,0,0,0,0,28.25,28.46,0,0,0,118.76,0,0,42.39,0,0,8.87,0,0,0,25.76,0,0,0,0

3,00:30-00:45,20,0,0,18.2,124.33,407.25,0,6.52,683.14,148.3,20.19,0,0,0,0,0,52.67,0,0,0,92,2.33,0,20.85,34.78,0,59.73,0,434.65,0,0,0,0,0,45.53,0,0,14,0,139.69,0.8,0,26.4,0,0,0,0,0,0,0,28.25,28.46,0,0,0,118.76,0,0,42.39,0,0,8.87,0,0,0,25.76,0,0,0,0

4,00:45-01:00,20,0,0,18.2,124.33,407.25,0,6.52,683.14,148.3,20.19,0,0,0,0,0,52.67,0,0,0,92,2.33,0,20.85,34.78,0,59.73,0,434.65,0,0,0,0,0,45.53,0,0,14,0,139.69,0.8,0,26.4,0,0,0,0,0,0,0,28.25,28.46,0,0,0,118.76,0,0,42.39,0,0,8.87,0,0,0,25.76,0,0,0,0

5,01:00-01:15,20,0,0,18.2,124.33,407.25,0,6.52,683.14,148.3,20.19,0,0,0,0,0,52.67,0,0,0,92,15.11,0,20.85,34.78,0,59.73,0,434.65,0,0,0,0,0,45.53,0,0,3.57,0,139.69,0.8,0,26.4,0,0,0,0,0,0,0,28.25,28.46,0,0,0,118.76,0,0,42.39,0,0,8.87,0,0,0,25.76,0,0,0,0

6,01:15-01:30,20,0,0,18.2,124.33,407.25,0,6.52,683.14,148.3,20.19,0,0,0,0,0,52.67,0,0,0,92,70.88,0,20.85,34.78,0,59.73,0,434.65,0,0,0,0,0,45.53,0,0,3.57,0,139.69,0.8,0,26.4,0,0,0,0,0,0,0,28.25,28.66,0,0,0,118.76,0,0,42.39,0,0,8.87,0,0,0,25.76,0,0,0,0

7,01:30-01:45,20,0,0,18.2,124.33,407.25,0,6.52,683.14,148.3,20.19,0,0,0,0,0,52.67,0,0,0,92,70.88,0,20.85,34.78,0,59.73,0,434.65,0,0,0,0,0,45.53,0,0,3.57,0,139.69,0.8,0,26.4,0,0,0,0,0,0,0,28.25,28.66,0,0,0,118.76,0,0,42.39,0,0,8.87,0,0,0,25.76,0,0,0,0

8,01:45-02:00,20,0,0,18.2,124.33,407.25,0,6.52,683.14,148.3,20.19,0,0,0,0,0,52.67,0,0,0,92,70.88,0,20.85,34.78,0,59.73,0,434.65,0,0,0,0,0,45.53,0,0,3.57,0,139.69,0.8,0,26.4,0,0,0,0,0,0,0,28.25,28.66,0,0,0,118.76,0,0,42.39,0,0,8.87,0,0,0,25.76,0,0,0,0

9,02:00-02:15,20,0,0,18.2,124.33,407.25,0,13.04,683.14,148.3,20.19,0,0,0,0,0,52.67,0,0,0,92,70.88,0,20.85,34.78,0,59.73,0,434.65,0,0,0,0,0,45.53,0,0,3.57,0,139.69,0.8,0,26.4,0,0,0,0,0,0,0,28.25,28.66,0,0,0,118.76,0,0,42.39,0,0,8.87,0,0,0,25.76,0,0,0,0

10,02:15-02:30,20,0,0,18.2,124.33,407.25,0,13.04,683.14,148.3,20.19,0,0,0,0,0,52.67,0,0,0,92,70.88,0,20.85,34.78,0,59.73,0,434.65,0,0,0,0,0,45.53,0,0,0,0,139.69,0.8,0,26.4,0,0,0,0,0,0,0,28.25,28.66,0,0,0,118.76,0,0,42.39,0,0,8.87,0,0,0,25.76,0,0,0,0

11,02:30-02:45,20,0,0,18.2,124.33,407.25,0,13.04,683.14,148.3,20.19,0,0,0,0,0,52.67,0,0,0,92,70.88,0,20.85,34.78,0,59.73,0,434.65,0,0,0,0,0,45.53,0,0,0,0,139.69,0.8,0,26.4,0,0,0,0,0,0,0,28.25,28.66,0,0,0,118.76,0,0,42.39,0,0,8.87,0,0,0,25.76,0,0,0,0

12,02:45-03:00,20,0,0,18.2,124.33,407.25,0,13.04,683.14,148.3,20.19,0,0,0,0,0,52.67,0,0,0,92,15.11,0,20.85,34.78,0,59.73,0,434.65,0,0,0,0,0,45.53,0,0,0,0,139.69,0.8,0,26.4,0,0,0,0,0,0,0,28.25,28.66,0,0,0,118.76,0,0,42.39,0,0,8.87,0,0,0,25.76,0,0,0,0

13,03:00-03:15,20,0,0,18.2,124.33,407.25,0,13.04,683.14,148.3,20.19,0,0,0,0,0,52.67,0,0,0,92,12.78,0,20.85,34.78,0,59.73,0,434.65,0,0,0,0,0,45.53,0,0,0,0,139.69,0.8,0,26.4,0,0,0,0,0,0,0,28.25,28.66,0,0,0,118.76,0,0,42.39,0,0,8.87,0,0,0,25.76,0,0,0,0

14,03:15-03:30,20,0,0,18.2,124.33,407.25,0,13.04,683.14,148.3,20.19,0,0,0,0,0,52.67,0,0,0,92,12.78,0,20.85,34.78,0,59.73,0,434.65,0,0,0,0,0,45.53,0,0,0,0,139.69,0.8,0,26.4,0,0,0,0,0,0,0,28.25,28.66,0,0,0,118.76,0,0,42.39,0,0,8.87,0,0,0,25.76,0,0,0,0

15,03:30-03:45,20,0,0,18.2,124.33,407.25,0,6.52,683.14,148.3,20.19,0,0,0,0,0,52.67,0,0,0,92,12.78,0,20.85,34.78,0,59.73,0,434.65,0,0,0,0,0,45.53,0,0,0,0,139.69,0.8,0,26.4,0,0,0,0,0,0,0,28.25,28.56,0,0,0,118.76,0,0,42.39,0,0,8.87,0,0,0,25.76,0,0,0,0

16,03:45-04:00,20,0,0,18.2,124.33,407.25,0,6.52,683.14,148.3,20.19,0,0,0,0,0,52.67,0,0,0,92,12.78,0,20.85,34.78,0,59.73,0,434.65,0,0,0,0,0,45.53,0,0,0,0,139.69,0.8,0,26.4,0,0,0,0,0,0,0,28.25,28.56,0,0,0,118.76,0,0,42.39,0,0,8.87,0,0,0,25.76,0,0,0,0

17,04:00-04:15,20,0,0,18.2,124.33,407.25,0,13.04,683.14,148.3,20.19,0,0,0,0,0,52.67,0,0,0,92,12.78,0,20.85,34.78,0,59.73,0,434.65,0,0,0,0,0,45.53,0,0,0,0,139.69,0.8,0,26.4,0,0,0,0,0,0,0,28.25,28.56,0,0,0,118.76,0,0,42.39,0,0,8.87,0,0,0,25.76,0,0,0,0

18,04:15-04:30,20,0,0,18.2,124.33,407.25,0,13.04,683.14,148.3,20.19,0,0,0,0,0,52.67,0,0,0,92,12.78,0,20.85,34.78,0,59.73,0,434.65,0,0,0,0,0,45.53,0,0,0,0,139.69,0.8,0,26.4,0,0,0,0,0,0,0,28.25,28.56,0,0,0,118.76,0,0,42.39,0,0,8.87,0,0,0,25.76,0,0,0,0

19,04:30-04:45,20,0,0,18.2,124.33,414,0,13.04,683.14,148.3,20.19,0,0,0,0,0,52.67,0,0,0,92,12.78,0,20.85,34.78,0,59.73,0,434.65,0,0,0,0,0,45.53,0,0,0,0,139.69,0.8,0,26.4,0,0,0,0,0,0,0,28.25,28.56,0,0,0,118.76,0,0,42.39,0,0,8.87,0,0,0,25.76,0,0,0,0

20,04:45-05:00,20,0,0,18.2,124.33,414,0,13.04,683.14,148.3,20.19,0,0,0,0,0,52.67,0,0,0,82,12.78,0,20.85,34.78,0,59.73,0,434.65,0,0,0,0,0,45.53,0,0,0,0,139.69,0.8,0,26.4,0,0,0,0,0,10.53,10.97,28.25,28.56,0,0,0,118.76,0,0,42.39,0,0,8.87,0,0,0,25.76,0,0,0,0

21,05:00-05:15,20,0,0,18.2,124.33,414,0,13.04,683.14,148.3,20.19,0,0,0,0,0,52.67,0,0,0,72,12.78,0,20.85,34.78,0,59.73,0,434.65,0,0,0,0,0,45.53,0,0,0,0,139.69,0.8,0,26.4,0,0,0,0,0,10.53,21.92,28.25,28.56,0,0,0,118.76,0,0,42.39,0,0,8.87,0,0,0,25.76,0,0,0,0

22,05:15-05:30,20,0,0,18.2,124.33,414,0,13.04,683.14,148.3,20.19,0,0,0,0,0,52.67,0,0,0,67,12.78,0,20.85,34.78,0,59.73,0,434.65,0,0,0,0,0,45.53,0,0,0,0,139.69,0.8,0,26.4,0,0,0,0,0,10.53,21.92,28.25,28.56,0,0,0,118.76,0,0,42.39,0,0,8.87,0,0,0,25.76,0,0,0,0

23,05:30-05:45,20,0,9.68,18.2,124.33,414,0,6.52,683.14,148.3,20.19,0,0,0,0,0,52.67,0,0,0,67,12.78,0,20.85,34.78,0,59.73,0,434.65,0,0,0,0,0,45.53,0,18.94,0,0,139.69,0.8,0,26.4,0,0,0,0,0,10.53,32.89,28.25,28.56,0,0,0,118.76,0,0,42.39,0,0,8.87,0,0,0,25.76,0,0,0,0

24,05:45-06:00,20,12.25,9.68,18.2,124.33,414,0,6.52,683.14,148.3,20.19,0,0,0,0,0,52.67,0,0,0,67,12.78,0,20.85,34.78,0,59.73,9.14,434.65,0,0,0,0,2.66,45.53,0,38.45,0,0,139.69,0.8,0,26.4,0,0,0,0,0,10.53,32.89,28.25,28.56,0,0,0,118.76,0,0,42.39,0,0,8.87,0,0,0,25.76,0,0,0,0

25,06:00-06:15,20,12.25,9.68,18.2,124.33,414,0,6.52,683.14,148.3,32.04,0,0,0,0,0,52.67,0,0,0,67,12.78,0,20.85,39.75,0,59.73,9.14,434.65,0,0,0,0,13.17,45.53,0,62.51,3.82,0,139.69,0.8,0,26.4,0,0,0,0,0,10.53,32.89,28.25,28.98,0,0,0,118.76,0,0,42.39,0,0,8.87,0,0,0,25.76,0,0,0,0

26,06:15-06:30,20,28.05,19.35,18.2,124.33,414,0,6.52,683.14,148.3,32.04,0,0,0,0,0,52.67,0,0,0,67,12.78,0,20.85,39.75,0,59.73,18.27,434.65,0,0,0,0,13.17,45.53,0,83.33,16.54,0,139.69,0.8,0,26.4,0,0,0,0,0,10.53,43.84,28.25,28.98,0,0,0,118.76,0,0,42.39,0,0,17.75,0,0,0,25.76,0,0,0,0

27,06:30-06:45,20,42.15,29.06,18.2,124.33,414,0,19.56,683.14,148.3,32.04,0,0,0,0,0,52.67,0,0,0,67,12.78,0,20.85,39.75,0,59.73,27.41,434.65,0,0,0,0,39.51,45.53,0,116.95,33.1,0,139.69,0.8,0,26.4,0,0,0,0,0,10.53,43.84,33.23,28.98,0,0,0,118.76,0,0,42.39,0,0,39.05,0,0,0,25.76,0,0,0,0

28,06:45-07:00,20,42.15,29.06,18.2,124.33,414,0,19.56,683.14,148.3,32.04,0,0,0,0,0,52.67,0,0,0,67,12.78,0,20.85,39.75,0,59.73,27.41,434.65,0,0,0,0,39.51,45.53,0,116.95,33.1,0,139.69,0.8,0,26.4,0,0,0,0,0,10.53,43.84,33.23,29.08,0,0,0,118.76,0,0,42.39,0,0,39.05,0,0,0,25.76,0,0,0,0

29,07:00-07:15,20,42.15,29.06,18.2,124.33,414,0,19.56,683.14,148.3,32.04,0,0,0,0,0,52.67,0,0,0,67,12.78,0,20.85,34.78,0,59.73,27.41,434.65,0,0,0,0,39.51,45.53,0,140.35,33.1,0,139.69,0.8,0,26.4,0,0,0,0,0,10.53,43.84,33.23,29.08,0,0,0,118.76,0,0,42.39,0,0,39.05,0,0,0,25.76,0,0,0,0

30,07:15-07:30,20,42.15,29.06,18.2,124.33,414,0,19.56,683.14,148.3,32.04,0,0,0,0,0,52.67,0,0,0,67,12.78,0,20.85,34.78,0,59.73,27.41,434.65,0,0,0,0,39.51,45.53,0,140.35,33.1,0,139.69,0.8,0,26.4,0,0,0,0,0,10.53,43.84,33.23,29.08,0,0,0,118.76,0,0,42.39,0,0,39.05,0,0,0,25.76,0,0,0,0

31,07:30-07:45,20,42.15,29.06,18.2,124.33,414,0,19.56,683.14,148.3,32.04,0,0,0,0,0,52.67,0,0,0,67,12.78,0,20.85,34.78,0,59.73,27.41,434.65,0,0,0,0,39.51,45.53,0,122.54,16.54,0,139.69,0.8,0,26.4,0,0,0,0,0,10.53,43.84,33.23,29.08,0,0,0,118.76,0,0,42.39,0,0,39.05,0,0,0,25.76,0,0,0,0

