Block,Time,L_NR_2021_15,LT-36,L_NR_2021_13,LT-05,L_NR_2020_02,L_NR_2020_06,L_NR_2020_05,L_NR_2023_07,L_NR_2022_08,L_NR_2021_16,L_NR_2012_04,L_NR_2023_04,L_NR_2021_17,SH-07,LT-35,L_NR_2022_10,L_NR_2019_19,L_NR_2018_61,L_NR_2021_12,L_NR_2012_07,SH-06,LT-31,LT-59,L_NR_2012_02,L_NR_2019_05,L_NR_2023_10,L_NR_2019_07,L_NR_2022_09,L_NR_2012_01,L_NR_2019_11,L_NR_2019_06,L_NR_2021_14,L_NR_2020_07
1,00:00-00:15,0,0.000000,0,116.130000,11.910000,37.6,112.79,0,26.8,0,132.770000,28.780000,0,30.970000,0.000000,77.69,0,8.13,0,74.200000,30.970000,0.000000,10.430000,261.860000,0,0,0,77.69,0.000000,10.780000,0,0,37.59

2,00:15-00:30,0,0.000000,0,116.130000,11.910000,37.65,112.94,0,26.98,0,132.770000,29.750000,0,30.970000,0.000000,77.35,0,8.13,0,74.200000,30.970000,0.000000,10.430000,261.860000,0,0,0,77.35,0.000000,10.780000,0,0,37.64

3,00:30-00:45,0,0.000000,0,116.130000,11.910000,37.5,112.51,0,27,0,132.770000,29.750000,0,30.970000,0.000000,79.67,0,8.13,0,74.200000,30.970000,0.000000,10.430000,261.860000,0,0,0,79.67,0.000000,10.780000,0,0,37.51

4,00:45-01:00,0,0.000000,0,116.130000,11.910000,37.51,112.53,0,26.95,0,132.770000,29.750000,0,30.970000,0.000000,79.67,0,8.13,0,74.200000,30.970000,0.000000,10.430000,261.860000,0,0,0,79.67,0.000000,10.780000,0,0,37.51

5,01:00-01:15,0,0.000000,0,116.130000,11.910000,37.62,112.88,0,27.07,0,132.770000,29.750000,0,30.970000,0.000000,79.67,0,8.13,0,74.200000,30.970000,0.000000,10.430000,261.860000,0,0,0,79.67,0.000000,10.780000,0,0,37.63

6,01:15-01:30,0,0.000000,0,116.130000,11.910000,37.52,112.56,0,27.27,0,132.770000,29.800000,0,30.970000,0.000000,79.67,0,8.13,0,74.200000,30.970000,0.000000,10.430000,261.860000,0,0,0,79.67,0.000000,10.780000,0,0,37.51

7,01:30-01:45,0,0.000000,0,116.130000,11.910000,37.6,112.81,0,27.33,0,132.770000,29.800000,0,30.970000,0.000000,79.67,0,8.06,0,74.200000,30.970000,0.000000,10.430000,261.860000,0,0,0,79.67,0.000000,10.780000,0,0,37.61

8,01:45-02:00,0,0.000000,0,116.130000,11.910000,37.56,112.68,0,27.17,0,132.770000,29.800000,0,30.970000,0.000000,79.67,0,8.14,0,74.200000,30.970000,0.000000,10.430000,261.860000,0,0,0,79.67,0.000000,10.780000,0,0,37.57

9,02:00-02:15,0,0.000000,0,116.130000,11.910000,36.7,110.09,0,28.59,0,132.770000,29.800000,0,30.970000,0.000000,79.67,0,8.25,0,74.200000,30.970000,0.000000,10.430000,261.860000,0,0,0,79.67,0.000000,10.780000,0,0,36.7

10,02:15-02:30,0,0.000000,0,116.130000,11.910000,36.79,110.38,0,28.54,0,132.770000,29.800000,0,30.970000,0.000000,79.67,0,8.33,0,74.200000,30.970000,0.000000,10.430000,261.860000,0,0,0,79.67,0.000000,10.780000,0,0,36.8

11,02:30-02:45,0,0.000000,0,116.130000,11.910000,36.72,110.16,0,28.56,0,132.770000,29.800000,0,30.970000,0.000000,79.67,0,7.74,0,74.200000,30.970000,0.000000,10.430000,261.860000,0,0,0,79.67,0.000000,10.780000,0,0,36.72

12,02:45-03:00,0,0.000000,0,116.130000,11.910000,36.83,110.5,0,28.43,0,132.770000,29.750000,0,30.970000,0.000000,79.67,0,7.68,0,74.200000,30.970000,0.000000,10.430000,261.860000,0,0,0,79.67,0.000000,10.780000,0,0,36.84

13,03:00-03:15,0,0.000000,0,116.130000,11.910000,36.68,110.05,0,27.86,0,134.320000,29.750000,0,30.970000,0.000000,79.67,0,7.14,0,74.200000,25.570000,0.000000,10.430000,261.860000,0,0,0,79.67,0.000000,10.780000,0,0,36.69

14,03:15-03:30,0,0.000000,0,116.130000,11.910000,36.68,110.04,0,27.56,0,134.320000,29.750000,0,30.970000,0.000000,79.67,0,7.14,0,74.200000,25.570000,0.000000,10.430000,261.860000,0,0,0,79.67,0.000000,10.780000,0,0,36.68

