Block,Time Block,NJPC,MAPS,NAPP,NLCEXP,KUDGI,KISHANGANGA,KHSTPP-I,JHAJJAR,KGSU1AND2,KGSU3AND4,FSTPP I & II,KHSTPP-II,KKNP,KKNPPU2,KOLDAM,KOTESHWR,DULHASTI,DADRT2,CHAMERA1,BSIUL,CHAMERA3,CHAMERA2,DHAULIGNGA,BRBCL,AURY_RF,DADRI_LF,ANTA_CRF,ANTA_RF,AURY_LF,DADRI_GF,ANTA_LF,AURY_GF,DADRI_CRF,DADRI_RF,ANTA_GF,AURY_CRF,RIHAND2,NLCIIST1,SALAL,NLCIIST2,RIHAND1,NLCTS2EXP,RAMPUR,RSTPSU1TO6,NNTPP,RAPPC,NTPL,RSTPSU7,PARBATI3,RIHAND3,RAPPB,UNCHAHAR2,URI,TEHRI,UNCHAHAR1,UNCHAHAR4,URI2,UNCHAHAR3,VALLURNTECL,TelanganaSTPP,SINGRAULI_HYDRO,SEWA2,SASAN,SIMHST2,SIMHST1,SINGRAULI,TALST2,TANAKPUR,TANDA2,TALA,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,0,40.34,0,0,0,44.17,539.26,0,0,17.54,142.43,0,0,0,6.18,15.88,658.34,0,12.57,9.33,12.69,0,19.27,0,0,0,0,0,0,0,0,0,0,0,0,114.45,0,25.76,0,88.66,0,0,0,0,49.16,0,0,0,119.82,0,40.85,34.05,0,19.25,0,32.02,25.35,0,0,0.76,0,399.99,0,0,100.37,0,0,0,0,0,0,0,0,0

2,00:15-00:30,0,0,40.34,0,0,0,44.17,539.26,0,0,17.54,142.43,0,0,0,6.18,15.88,658.34,0,12.57,9.33,12.69,0,18.97,0,0,0,0,0,0,0,0,0,0,0,0,114.45,0,25.76,0,88.66,0,0,0,0,49.16,0,0,0,119.82,0,40.85,34.05,0,19.25,0,32.02,25.35,0,0,0.76,0,400.05,0,0,100.37,0,0,0,0,0,0,0,0,0

3,00:30-00:45,0,0,40.34,0,0,0,44.17,539.26,0,0,17.54,142.43,0,0,0,6.18,15.88,658.34,0,12.57,9.33,12.69,0,17.48,0,0,0,0,0,0,0,0,0,0,0,0,114.45,0,25.76,0,88.66,0,0,0,0,49.16,0,0,0,119.82,0,40.85,34.05,0,19.25,0,32.02,25.35,0,0,0.76,0,400.05,0,0,100.37,0,0,0,0,0,0,0,0,0

4,00:45-01:00,0,0,40.34,0,0,0,44.17,539.26,0,0,17.54,142.43,0,0,0,6.18,15.88,658.34,0,12.57,9.33,12.69,0,14.56,0,0,0,0,0,0,0,0,0,0,0,0,114.45,0,25.76,0,88.66,0,0,0,0,49.16,0,0,0,119.82,0,40.85,34.05,0,19.25,0,32.02,25.35,0,0,0.76,0,400.05,0,0,100.37,0,0,0,0,0,0,0,0,0

5,01:00-01:15,0,0,40.34,0,0,0,44.17,538.36,0,0,17.54,142.43,0,0,0,6.18,15.88,642.98,0,12.57,0,12.69,0,14.85,0,0,0,0,0,0,0,0,0,0,0,0,114.45,0,25.76,0,88.66,0,0,0,0,49.16,0,0,0,119.82,0,40.85,34.05,0,19.25,0,32.02,25.35,0,0,0.76,0,400.05,0,0,94.54,0,0,0,0,0,0,0,0,0

6,01:15-01:30,0,0,40.34,0,0,0,44.17,538.36,0,0,17.54,142.43,0,0,0,6.18,15.88,642.98,0,12.57,0,12.69,0,13.94,0,0,0,0,0,0,0,0,0,0,0,0,114.45,0,25.76,0,88.66,0,0,0,0,49.16,0,0,0,119.82,0,40.85,34.05,0,19.25,0,32.02,25.35,0,0,0.76,4.88,400.05,0,0,94.54,0,0,0,0,0,0,0,0,0

7,01:30-01:45,0,0,40.34,0,0,0,44.17,537.47,0,0,17.54,142.43,0,0,0,6.18,15.88,628.3,0,12.57,0,12.69,0,13.81,0,0,0,0,0,0,0,0,0,0,0,0,114.45,0,25.76,0,88.66,0,0,0,0,49.16,0,0,0,119.82,0,40.85,34.05,0,19.25,0,32.02,25.35,0,0,0.76,4.88,400.05,0,0,94.54,0,0,0,0,0,0,0,0,0

8,01:45-02:00,0,0,40.34,0,0,0,44.17,537.47,0,0,17.54,142.43,0,0,0,6.18,15.88,628.3,0,12.57,0,12.69,0,13.43,0,0,0,0,0,0,0,0,0,0,0,0,114.45,0,25.76,0,88.66,0,0,0,0,49.16,0,0,0,119.82,0,40.85,34.05,0,19.25,0,32.02,25.35,0,0,0.76,4.88,400.05,0,0,94.54,0,0,0,0,0,0,0,0,0

9,02:00-02:15,0,0,40.34,0,0,0,44.17,536.46,0,0,17.54,142.43,0,0,0,6.18,15.88,558.98,0,12.57,0,12.69,0,12.58,0,0,0,0,0,0,0,0,0,0,0,0,114.45,0,25.76,0,88.66,0,0,0,0,49.16,0,0,0,119.82,0,40.85,34.05,0,19.25,0,32.02,25.35,0,0,0.76,4.88,400.05,0,0,94.54,0,0,0,0,0,0,0,0,0

