Block,Time,PARBATI3,KOTESHWR,RAPPC,RAMPUR,DHAULIGNGA,CHAMERA2,SEWA2,CHAMERA3,DULHASTI,NJPC,KOLDAM,KISHANGANGA,CHAMERA1,UNCHAHAR4,BSIUL,RIHAND1,SINGRAULI,SINGRAULI_HYDRO,TEHRI,RIHAND3,NAPP,TANDA2,DADRI_RF,AURY_RF,AURY_CRF,ANTA_RF,AURY_GF,DADRT2,DADRI_CRF,SALAL,URI,ANTA_LF,DADRI_GF,JHAJJAR,URI2,RAPPB,TANAKPUR,RIHAND2,ANTA_CRF,UNCHAHAR1,DADRI_LF,UNCHAHAR2,ANTA_GF,AURY_LF,UNCHAHAR3,TALA,BRBCL,KHSTPP-I,KUDGI,FSTPP I & II,KHSTPP-II,SASAN,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,8.579383,25.518879,0.000000,0.000000,0.000000,0.000000,0.000000,15.931754,20.142311,0.000000,0.000000,0.000000,0.000000,0.000000,88.945600,100.063800,0.573341,0.000000,119.559926,19.308543,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,330.220305,0.000000,12.357638,48.030624,0.000000,0.000000,401.149439,30.838389,0.000000,11.765473,67.273827,0.000000,6.157814,0.000000,32.560410,0.000000,0.000000,16.181121,1.136957,18.756152,43.718696,135.35,20.041764,95.075112,404.866836,0,0,0,0,0

2,00:15-00:30,0.000000,8.579383,25.518879,0.000000,0.000000,0.000000,0.000000,0.000000,15.931754,20.142311,0.000000,0.000000,0.000000,0.000000,0.000000,88.945600,100.063800,0.573341,0.000000,119.559926,19.308543,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,330.220305,0.000000,12.357638,48.030624,0.000000,0.000000,517.955940,30.838389,0.000000,11.765473,54.817560,0.000000,8.012598,0.000000,39.744252,0.000000,0.000000,21.990976,1.136957,17.569887,43.718696,135.35,20.041764,95.075112,404.866836,0,0,0,0,0

3,00:30-00:45,0.000000,8.579383,25.518879,0.000000,0.000000,0.000000,0.000000,0.000000,15.931754,20.142311,0.000000,0.000000,0.000000,0.000000,0.000000,88.945600,100.063800,0.573341,0.000000,119.559926,19.308543,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,330.220305,0.000000,12.357638,6.404083,0.000000,0.000000,630.828611,30.838389,0.000000,11.765473,54.817560,0.000000,9.651062,0.000000,40.982749,0.000000,0.000000,25.448532,1.136957,17.319484,43.718696,135.35,20.041764,95.075112,404.866836,0,0,0,0,0

4,00:45-01:00,0.000000,8.579383,25.518879,0.000000,0.000000,0.000000,0.000000,0.000000,15.931754,20.142311,0.000000,0.000000,0.000000,0.000000,0.000000,88.945600,100.063800,0.573341,0.000000,119.559926,19.308543,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,330.220305,0.000000,12.357638,6.404083,0.000000,0.000000,630.986951,30.838389,0.000000,11.765473,54.817560,0.000000,9.658332,0.000000,40.982749,0.000000,0.000000,25.513949,1.136957,14.747580,43.718696,135.35,20.041764,95.075112,404.866836,0,0,0,0,0

5,01:00-01:15,0.000000,8.579383,25.518879,0.000000,0.000000,0.000000,0.000000,0.000000,15.931754,20.142311,0.000000,0.000000,0.000000,0.000000,0.000000,88.945600,100.063800,0.573341,0.000000,119.559926,19.308543,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,330.220305,0.000000,12.357638,6.404083,0.000000,0.000000,630.986951,10.404315,0.000000,4.953883,54.817560,0.000000,9.658332,0.000000,40.982749,0.000000,0.000000,25.513949,1.136957,14.834712,43.718696,135.35,20.041764,95.075112,404.866836,0,0,0,0,0

