Column1,Time,SR/01102023/07102043/L_NR_2018_61,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/L_NR_2019_05,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/01102023/L_NR_2022_09,WR/01102023/30052048/L_NR_2022_10,L_NR_2019_19,WR/01102023/24112044/L_NR_2020_07,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/22102023/11042047/L_NR_2021_16,NR/26072023/31072042/L_NR_2023_07,NR/01102023/13082046/L_NR_2021_12,NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_17,NR/01102023/08032047/L_NR_2021_14,NR/26072023/25122043/L_NR_2023_10,NR/01102023/02122045/L_NR_2021_13,NR/01102023/06022042/L_NR_2012_07,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01082024/30092024/LT_MEJA_DELHI,GNA/NR/2024/08/22/7956,NR/01102023/30042040/GNA_LT_35,NR/16082024/31082024/MPL/24-25/STOA/128,NR/01102023/31052040/LT-31,NR/01102023/06022042/L_NR_2012_02,NR/01102023/05012040/L_NR_2020_02,NR/01102023/19072037/LT-05,NR/01082024/30082024/NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/16082024/31082024/IIPL/JPL-T-BRPL/05/Aug'24,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/30042040/GNA_LT_36,NR/01082024/31082024/jitpl,NR/01082024/31082024/APPCPL/180/F25/GNA/12763,NR/30092023/26122029/SH-06,NR/01102023/31102037/L_NR_2019_11,NR/01102023/15082037/GNA_NR_2012_01,NR/30092023/31122025/SH-07,GNA/NR/2024/08/22/6290,NR/01102023/22052037/LT-59,NR/16082024/31082024/APL-Raigarh_august,NR/01082024/31082024/SKS-Raigarh,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/16082024/31082024/1000011627-ACBL-BRPL(DISCOM)
1,00:00-00:15,19,30.5,0,11.66,10.16,0,31.67,31.67,0,10.17,0,0,0,0,0,0,0,0,0,87.11,273.05,6.39,0,0,21.25,0,262.19,5.21,66.22,0,96.57,31.29,16.87,0,24.68,38.63,0,0,100.61,0,125.54,0,96.57,12.44,48.28,24.14

2,00:15-00:30,19,31,0,11.66,10.34,0,31.33,31.33,0,10.33,0,0,0,0,0,0,0,0,0,87.11,273.05,6.39,0,0,21.25,0,262.19,5.21,66.22,0,96.57,31.29,16.87,0,24.68,38.63,0,0,100.61,0,125.54,0,96.57,12.44,48.28,24.14

3,00:30-00:45,11.01,31,0,11.34,10.34,0,31.33,31.33,0,10.33,0,0,0,0,0,0,0,0,0,87.11,273.05,6.39,0,0,21.25,0,262.19,5.21,66.22,0,96.57,31.29,16.87,0,24.68,38.63,0,0,100.61,0,125.54,0,96.57,12.44,48.28,24.14

4,00:45-01:00,11.01,31,0,11,10.34,0,31.67,31.67,0,10.33,0,0,0,0,0,0,0,0,0,87.11,273.05,6.39,0,0,21.25,0,262.19,5.21,66.22,0,96.57,31.29,16.87,0,24.68,38.63,0,0,100.61,0,125.54,0,96.57,12.44,48.28,24.14

5,01:00-01:15,10.61,31,0,10.66,10.34,0,31.67,31.67,0,10.33,0,0,0,0,0,0,0,0,0,87.11,273.05,6.39,0,0,21.25,0,262.19,5.01,66.22,0,96.57,31.29,16.87,0,24.68,38.63,0,0,100.61,0,0,0,96.57,12.44,48.28,24.14

6,01:15-01:30,10.21,31,0,10.34,10.34,0,31.33,31.33,0,10.33,0,0,0,0,0,0,0,0,0,87.11,273.05,6.39,0,0,21.25,0,262.19,5.01,66.22,0,96.57,31.29,16.87,0,24.68,38.63,0,0,100.61,0,0,0,96.57,12.44,48.28,24.14

7,01:30-01:45,9.81,31,0,10.34,10.34,0,32.33,32.33,0,10.33,0,0,0,0,0,0,0,0,0,87.11,273.05,6.39,0,0,21.25,0,262.19,5.01,66.22,0,96.57,31.29,16.87,0,24.68,38.63,0,0,100.61,0,0,0,96.57,12.44,48.28,24.14

8,01:45-02:00,9.21,31,0,10,10.34,0,33.33,33.33,0,10.33,0,0,0,0,0,0,0,0,0,87.11,273.05,6.39,0,0,21.25,0,262.19,5.01,66.22,0,96.57,31.29,16.87,0,24.68,38.63,0,0,100.61,0,0,0,96.57,12.44,48.28,24.14

9,02:00-02:15,9.01,31,0,10.34,10.34,0,34,34,0,10.33,0,0,0,0,0,0,0,0,0,87.11,273.05,6.39,0,0,21.25,0,262.19,4.83,70.37,0,96.57,31.29,16.87,0,24.68,38.63,0,0,100.61,3,0,0,96.57,12.44,48.28,24.14

10,02:15-02:30,9.41,31,0,10.34,10.34,0,34,34,0,10.33,0,0,0,0,0,0,0,0,0,87.11,273.05,6.39,0,0,21.25,0,262.19,4.83,70.37,0,96.57,31.29,16.87,0,24.68,38.63,0,0,100.61,3,0,0,96.57,12.44,48.28,24.14

11,02:30-02:45,9.81,42.5,0,10,14.16,0,33,33,0,14.17,0,0,0,0,0,0,0,0,0,62.96,273.05,6.39,0,0,21.25,0,262.19,4.83,70.37,0,96.57,31.29,16.87,0,24.68,38.63,0,0,100.61,18.5536,0,0,96.57,12.44,48.28,24.14

12,02:45-03:00,10.21,43.5,0,10,14.5,0,32,32,0,14.5,0,0,0,0,0,0,0,0,0,57.65,273.05,6.39,0,0,21.25,0,235.2,4.83,70.37,0,96.57,31.29,16.87,0,24.68,38.63,0,0,100.61,18.5536,0,0,96.57,12.44,48.28,24.14

13,03:00-03:15,10.61,44,0,10,14.66,0,32.33,32.33,0,14.67,0,0,0,0,0,0,0,0,0,57.65,273.05,6.39,0,0,21.25,0,235.2,4.65,70.37,0,96.57,31.29,16.41,0,24.68,0,26.8708,0,100.61,26.8708,0,0,96.57,12.44,48.28,24.14

14,03:15-03:30,11.01,44,0,10,14.66,0,32,32,0,14.67,0,0,0,0,0,0,0,0,0,57.65,273.05,6.39,0,0,21.25,0,206.23,4.65,70.37,0,96.57,31.29,16.41,0,24.68,0,26.8708,0,100.61,26.8708,0,0,96.57,12.44,48.28,24.14

15,03:30-03:45,11.01,30,0,10,10,0,25,25,0,10,0,0,0,0,0,0,0,0,0,57.65,273.05,6.39,0,0,21.25,0,206.23,4.65,70.37,0,96.57,31.29,16.41,0,24.68,0,26.8708,0,100.61,26.8708,0,0,96.57,12.44,48.28,24.14

16,03:45-04:00,11.01,30,0,10,10,0,24.67,24.67,0,10,0,0,0,0,0,0,0,0,0,57.65,251.08,6.39,0,0,21.25,0,206.23,4.65,70.37,0,96.57,31.29,16.41,0,24.68,0,26.8708,0,100.61,26.8708,0,0,96.57,12.44,48.28,24.14

17,04:00-04:15,11.01,30.5,0,8.34,10.16,0,24.33,24.33,0,10.17,0,0,0,0,0,0,0,0,0,57.65,231.77,6.39,0,0,21.25,0,206.23,4.5,70.37,0,96.57,31.29,16.41,0,24.68,0,26.8708,0,100.61,26.8708,0,0,96.57,12.44,48.28,24.14

18,04:15-04:30,11.01,30.5,0,8.34,10.16,0,24.33,24.33,0,10.17,0,0,0,0,0,0,0,0,0,57.65,231.77,6.39,0,0,21.25,0,206.23,4.5,70.37,0,96.57,31.29,16.41,0,24.68,0,26.8708,0,100.61,26.8708,0,0,96.57,12.44,48.28,24.14

19,04:30-04:45,10.61,30,0,8.34,10,0,23.67,23.67,0,10,0,0,0,0,0,0,0,0,0,57.65,231.77,6.39,0,0,21.25,0,206.23,4.5,70.37,0,96.57,31.29,16.41,0,24.68,0,26.8708,0,100.61,26.8708,0,0,96.57,12.44,48.28,24.14

20,04:45-05:00,10.21,30,0,8.34,10,0,23.33,23.33,0,10,0,0,0,0,0,0,0,0,0,57.65,213.42,6.39,0,0,21.25,0,206.23,4.5,70.37,0,96.57,30.78,16.41,0,24.68,0,26.8708,0,100.61,26.8708,0,0,96.57,12.44,48.28,24.14

21,05:00-05:15,9.81,29.5,0,8.34,9.84,0,23,23,0,9.83,0,0,0,0,0,0,0,0,0,57.65,213.42,6.39,0,0,21.25,0,206.23,4.36,70.37,0,96.57,30.78,16.41,0,24.68,0,26.8708,0,100.61,26.8708,0,0,96.57,12.44,48.28,24.14

22,05:15-05:30,9.41,29,0,8.34,9.66,0,23,23,0,9.67,0,0,0,0,0,0,0,0,0,57.65,213.42,6.39,0,0,21.25,0,206.23,4.36,70.37,0,96.57,30.78,16.41,0,24.68,0,26.8708,0,100.61,26.8708,0,0,96.57,12.44,48.28,24.14

23,05:30-05:45,9.01,28.5,0,8.66,9.5,0,23.33,23.33,0,9.5,0,0,0,0,0,0,0,0,0,68.11,231.77,6.39,0,0,21.25,0,206.23,4.36,70.37,0,96.57,30.78,16.41,0,24.68,0,26.8708,0,100.61,26.8708,0,0,96.57,12.44,48.28,24.14

24,05:45-06:00,8.61,28,0,8.66,9.34,0,23,23,0,9.33,0,0,0,0,0,0,0,0,0,68.11,251.08,6.39,0,0,21.25,0,206.23,4.36,70.37,0,96.57,31.29,16.41,0,24.68,0,26.8708,0,100.61,26.8708,0,0,96.57,12.44,48.28,24.14

25,06:00-06:15,8.21,25.5,8.12,9,8.5,8.12,22.33,22.33,2.96,8.5,0,1,1,2.43,1,0,0.82,1,0.49,87.11,273.05,6.39,0,0,21.25,0,254.51,4.23,70.37,0,96.57,30.79,16.14,0,24.68,0,26.8708,0,100.61,26.8708,0,0,96.57,12.44,48.28,24.14

26,06:15-06:30,7.81,24,12.77,9,8,12.77,22.33,22.33,8.43,8,1,2,4,5.52,2,1,2.92,1,1.1,87.11,273.05,6.39,0,0,21.25,0,262.19,4.23,70.37,0,96.57,30.79,16.14,0,24.68,0,26.8708,0,100.61,26.8708,0,0,96.57,12.44,48.28,24.14

27,06:30-06:45,7.41,22.5,20.97,8.66,7.5,20.97,20,20,14.25,7.5,5,5,7,9.38,3,3,4.94,3,1.88,87.11,273.05,6.39,0,0.77,21.25,0.77,262.19,4.23,70.37,0,96.57,30.28,16.14,0.79,24.68,0,26.8708,0,100.61,26.8708,0,0,96.57,12.44,48.28,24.14

