Time,Block,NR/2023/14745/A,NR/2023/12167/A,NR/2023/13635/A,NR/2023/12591/A,NR/2023/14898/A,NR/2023/12168/A,NR/2023/15910/C,NR/2023/15306/F,NR/2023/15057/F,ER/2023/9874/C,NR/2023/13862/A,NR/2023/12422/A,NR/2023/12148/A,NR/2023/15402/F,NR/2023/15309/F,NR/2023/15304/F,NR/2023/12347/A,NR/2023/15900/D,NR/2023/15694/F,NR/2023/14737/A,NR/2023/12052/A,NR/2023/12053/A,NR/2023/15905/C,NR/2023/12592/A,NR/2023/12431/A,NR/2023/15303/F,NR/2023/15898/D,NR/2023/14746/A,NR/2023/15296/F,NR/2023/14895/A,NR/2023/15918/C,NR/2023/15896/D,NR/2023/15919/C,Total
,,APPCPL,APPCPL,NVVNL,NVVNL,MANIKARAN,APPCPL,SJVNL,BSHP,ITCLH,HPXL,MANIKARAN,APPCPL,GMRETL,SJVNL,IEXL,BSHP,STATKRAFT,KEIPL,NVVNL,NVVNL,KEIPL,KEIPL,GBHHPL,NVVNL,TPTCL,BSHP,KEIPL,APPCPL,BSHP,MANIKARAN,TPDDL,NVVNL,SJVNL,Total

,,GOA,MEGHALAYA,NA,NA,HIMACHAL PRADESH,UTTARAKHAND,NA,HIMACHAL PRADESH,ANDHRA PRADESH,DELHI,TAMIL NADU,HIMACHAL PRADESH,MEGHALAYA,UTTAR PRADESH,JAMMU AND KASHMIR,HIMACHAL PRADESH,TAMIL NADU,UTTAR PRADESH,NA,NA,MEGHALAYA,MEGHALAYA,HIMACHAL PRADESH,NA,NA,HIMACHAL PRADESH,MAHARASHTRA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NA,
,,GOA_Beneficiary,Meghalaya_Ben,KAMENG,JPNIGRIE_JNSTPP,HP,UTTARAKHAND,DIKCHU,BSHP,ITCWIND,BYPL,TANGEDCO,HP,Meghalaya_Ben,BCMLB001,SAPU1234,BSHP,TANGEDCO,LAPL-UP,KAMENG,SKS Raigarh,Meghalaya_Ben,Meghalaya_Ben,GBHHPL,JPNIGRIE_JNSTPP,JPL-2,BSHP,LMEL MSEB,HP,BSHP,HP,CHANJUII,SOLAPUR_SOLAR,RSRPL_BKN,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,ODISHA,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BRPL,BYPL,BRPL,BRPL,BRPL,BYPL,NDMC,BMDRC,ITCLH,VLSEZ,BRPL,BYPL,BYPL,NDMC,MES (Delhi),MHIL,BYPL,BYPL,TPDDL,NDMC,BYPL,BYPL,DIAPL,BRPL,BRPL,MAX-HPTL,BYPL,BRPL,JHPL-DL,BRPL,TPDDL,MES (Delhi),NDMC,
,,West-North,North East-East-North,North East-East-North,West-North,North-North,North-North,East-North,North-North,South-West-North,North-East,South-East-North,North-North,North East-East-North,North-North,North-North,North-North,South-West-North,North-North,North East-East-North,West-North,North East-East-North,North East-East-North,North-North,West-North,West-North,North-North,West-North,North-North,North-North,North-North,North-North,West-North,North-North,
1,00:00-00:15,24.130000,24.130000,21.230000,42.450000,69.970000,46.520000,0.000000,0.930000,0.870000,0.000000,23.090000,33.300000,22.200000,0.000000,4.830000,0.580000,98.440000,0.000000,193.020000,62.730000,62.970000,36.410000,6.050000,84.910000,108.570000,0.910000,0.000000,77.690000,0.970000,95.540000,18.840000,0,0,1161.28

2,00:15-00:30,24.130000,24.130000,21.230000,42.450000,69.970000,46.520000,0.000000,0.930000,0.870000,0.000000,23.090000,33.300000,22.200000,0.000000,4.830000,0.580000,98.440000,0.000000,193.020000,62.730000,62.970000,36.410000,6.050000,84.910000,108.570000,0.910000,0.000000,77.690000,0.970000,95.540000,18.840000,0,0,1161.28
