Block,Time Block,NAPP,RIHAND2,NTPL,PARBATI3,RIHAND1,PARBATI2,RAPPB,NLCEXP,RAPPD,NLCIIST1,RAMPUR,NJPC,NLCIIST2,RAPPC,NLCTS2EXP,NNTPP,KOLDAM,KISHANGANGA,KUDGI,MAPS,KOTESHWR,KHSTPP-II,KKNP,KKNPPU2,KGSU3AND4,KGSU1AND2,FSTPP I & II,DADRT2,DULHASTI,CHAMERA1,BRBCL,JHAJJAR,CHAMERA3,CHAMERA2,DHAULIGNGA,BSIUL,KHSTPP-I,TANDA2,UNCHAHAR1,VALLURNTECL,UNCHAHAR4,TALST2,TANAKPUR,UNCHAHAR3,URI2,TelanganaSTPP,UNCHAHAR2,TEHRI,URI,ANTA_GF,ANTA_CRF,ANTA_LF,AURY_GF,DADRI_CRF,DADRI_RF,AURY_CRF,AURY_RF,DADRI_LF,ANTA_RF,AURY_LF,DADRI_GF,SASAN,SIMHST1,SINGRAULI_HYDRO,RSTPSU1TO6,SIMHST2,TALA,RSTPSU7,SINGRAULI,SALAL,SEWA2,RIHAND3,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,24.65,119.78,0,18.88,44.71,18.06,0,0,28.84,0,4.23,106.41,0,66.41,0,0,2.31,8.3,0,0,10.03,142.59,0,0,0,0,18.97,657.01,57.21,27.02,17.11,420.59,22.43,31.28,10.53,18.81,43.78,1.87,20.19,0,1.05,0,0,25.61,0,0,41.16,34.03,47.77,0,0,0,0,0,0,0,0,0,0,0,0,400.18,0,0.96,0,0,0,0,144.55,51.39,18.17,125.75,0,0,0,0,0

2,00:15-00:30,24.65,119.78,0,18.88,44.71,18.06,0,0,28.84,0,4.23,106.41,0,66.41,0,0,2.31,8.3,0,0,10.03,142.59,0,0,0,0,18.97,657.01,57.21,27.02,14.11,420.59,22.43,31.28,10.53,18.81,43.78,1.87,20.19,0,1.05,0,0,25.61,0,0,41.16,34.03,47.77,0,0,0,0,0,0,0,0,0,0,0,0,400.22,0,0.96,0,0,0,0,144.55,51.39,18.17,125.75,0,0,0,0,0

3,00:30-00:45,24.65,119.78,0,18.88,44.71,18.06,0,0,28.84,0,4.23,106.41,0,66.41,0,0,2.31,8.3,0,0,10.03,142.59,0,0,0,0,18.97,657.01,57.21,27.02,13.35,420.59,22.43,31.28,10.53,18.81,43.78,1.87,20.19,0,1.05,0,0,25.61,0,0,41.16,34.03,47.77,0,0,0,0,0,0,0,0,0,0,0,0,400.22,0,0.96,0,0,0,0,138.15,51.39,18.17,125.75,0,0,0,0,0

4,00:45-01:00,24.65,119.78,0,18.88,44.71,18.06,0,0,28.84,0,4.23,106.41,0,66.41,0,0,0,8.3,0,0,10.03,142.59,0,0,0,0,18.97,657.01,57.21,27.02,13.16,420.59,22.43,31.28,10.53,18.81,43.78,1.87,20.19,0,1.05,0,0,25.61,0,0,41.16,34.03,50.34,0,0,0,0,0,0,0,0,0,0,0,0,400.22,0,0.96,0,0,0,0,138.15,51.39,18.17,125.75,0,0,0,0,0

5,01:00-01:15,24.65,119.78,0,18.88,44.71,18.06,0,0,28.84,0,2.87,72.15,0,66.41,0,0,0,8.3,0,0,10.03,142.59,0,0,0,0,18.97,657.01,57.21,27.02,14.27,420.59,22.43,31.28,10.53,18.81,43.78,1.87,20.19,0,1.05,0,0,25.61,0,0,41.16,34.03,50.34,0,0,0,0,0,0,0,0,0,0,0,0,400.22,0,0.96,0,0,0,0,138.15,49.16,18.17,125.75,0,0,0,0,0

6,01:15-01:30,24.65,119.78,0,18.88,44.71,18.06,0,0,28.84,0,2.06,51.69,0,66.41,0,0,0,8.3,0,0,10.03,142.59,0,0,0,0,18.97,657.01,57.21,27.02,13.15,420.59,22.43,31.28,10.53,18.81,43.78,1.87,20.19,0,1.05,0,0,25.61,0,0,41.16,34.03,50.34,0,0,0,0,0,0,0,0,0,0,0,0,400.22,0,0.96,0,0,0,0,138.15,49.16,18.17,125.75,0,0,0,0,0

7,01:30-01:45,24.65,119.78,0,18.88,44.71,18.06,0,0,28.84,0,2.06,51.69,0,66.41,0,0,0,8.3,0,0,10.03,142.59,0,0,0,0,18.97,659.69,57.21,27.02,13.37,420.59,22.43,31.28,10.53,18.81,43.78,1.87,20.19,0,1.83,0,0,25.61,0,0,42.08,34.03,50.34,0,0,0,0,0,0,0,0,0,0,0,0,400.22,0,0.96,0,0,0,0,138.15,49.16,18.17,125.75,0,0,0,0,0

8,01:45-02:00,24.65,119.78,0,18.88,44.71,18.06,0,0,28.84,0,2.06,51.69,0,66.41,0,0,0,8.3,0,0,10.03,142.59,0,0,0,0,18.97,659.7,57.21,27.02,13.26,420.59,22.43,31.28,10.53,18.81,43.78,1.87,20.19,0,1.83,0,0,25.61,0,0,42.08,22.22,50.34,0,0,0,0,0,0,0,0,0,0,0,0,400.22,0,0.96,0,0,0,0,138.15,49.16,18.17,125.75,0,0,0,0,0

9,02:00-02:15,24.65,119.78,0,18.88,44.71,18.06,0,0,28.84,0,2.06,51.69,0,66.41,0,0,0,8.3,0,0,10.03,142.59,0,0,0,0,18.97,659.7,57.21,27.02,12.07,420.59,22.43,31.28,10.53,18.81,43.78,1.87,20.19,0,1.83,0,0,25.61,0,0,42.08,22.22,50.34,0,0,0,0,0,0,0,0,0,0,0,0,400.22,0,0.96,0,0,0,0,138.15,49.16,18.17,125.75,0,0,0,0,0

10,02:15-02:30,24.65,119.78,0,18.88,44.71,18.06,0,0,28.84,0,2.06,51.69,0,66.41,0,0,0,8.3,0,0,10.03,142.59,0,0,0,0,18.97,659.7,57.21,27.02,12.01,420.59,22.43,31.28,10.53,18.81,43.78,1.87,20.19,0,1.83,0,0,25.61,0,0,42.08,11.35,47.77,0,0,0,0,0,0,0,0,0,0,0,0,400.22,0,0.96,0,0,0,0,138.15,49.16,12.12,125.75,0,0,0,0,0

11,02:30-02:45,24.65,119.78,0,18.88,44.71,18.06,0,0,28.84,0,2.06,51.69,0,66.41,0,0,0,8.3,0,0,10.03,142.59,0,0,0,0,18.97,659.7,57.21,27.02,13.2,420.59,22.43,31.28,10.53,18.81,43.78,1.87,20.19,0,1.83,0,0,25.61,0,0,42.08,11.35,47.77,0,0,0,0,0,0,0,0,0,0,0,0,400.22,0,0.96,0,0,0,0,138.15,49.16,12.12,125.75,0,0,0,0,0

12,02:45-03:00,24.65,119.78,0,18.88,44.71,18.06,0,0,28.84,0,2.06,51.69,0,66.41,0,0,0,8.3,0,0,10.03,142.59,0,0,0,0,18.97,659.7,57.21,27.02,12.81,420.59,22.43,31.28,10.53,18.81,43.78,1.87,20.19,0,1.83,0,0,25.61,0,0,42.08,11.11,47.77,0,0,0,0,0,0,0,0,0,0,0,0,400.22,0,0.96,0,0,0,0,138.15,49.16,12.12,125.75,0,0,0,0,0

13,03:00-03:15,24.65,119.78,0,18.88,44.71,18.06,0,0,28.84,0,2.06,51.69,0,66.41,0,0,0,8.3,0,0,10.03,142.59,0,0,0,0,18.97,592.69,57.21,27.02,13.94,420.59,22.43,31.28,10.53,12.54,43.78,1.87,20.19,0,1.83,0,6.03,25.61,0,0,42.08,0,47.77,0,0,0,0,0,0,0,0,0,0,0,0,400.22,0,0.96,0,0,0,0,138.15,49.16,12.12,125.75,0,0,0,0,0

14,03:15-03:30,24.65,119.78,0,18.88,44.71,18.06,0,0,28.84,0,2.06,51.69,0,66.41,0,0,0,8.3,0,0,10.03,142.59,0,0,0,0,18.97,553.62,57.21,27.02,12.46,420.59,22.43,31.28,10.53,12.54,43.78,1.87,20.19,0,1.83,0,6.03,25.61,0,0,42.08,0,47.77,0,0,0,0,0,0,0,0,0,0,0,0,400.22,0,0.96,0,0,0,0,138.15,49.16,12.12,125.75,0,0,0,0,0

