Block,Time,NR/01102023/30042040/GNA_LT_35,NR/01102023/19072037/LT-05,NR/01112023/30112023/HP-09,NR/01102023/22052037/LT-59,NR/30092023/31122025/SH-07,NR/01102023/15082037/GNA_NR_2012_01,NR/03112023/30112023/HPX-TAMDLY-011123-05147,NR/01112023/30112023/HP-10,NR/01102023/30042040/GNA_LT_36,NR/01102023/25122043/GNA_MEJA_DELHI,NR/03112023/30112023/IEX-231101-05680,NR/01102023/31102037/L_NR_2019_11,NR/01102023/06022042/L_NR_2012_02,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/06022042/L_NR_2012_07,NR/02112023/15112023/D20231102NR21539,NR/01102023/31052040/LT-31,NR/30092023/26122029/SH-06,NR/01102023/05012040/L_NR_2020_02,NR/01102023/23072042/L_NR_2012_04,NR/26072023/25122043/L_NR_2023_10,WR/01102023/24112044/L_NR_2020_07,WR/01102023/16072048/L_NR_2022_08,SR/01112023/30112023/KSEB_BYPL-NOV23,SR/01102023/07102043/L_NR_2018_61,WR/01102023/30052048/L_NR_2022_10,WR/01102023/01102023/L_NR_2022_09,NR/01102023/08032047/L_NR_2021_14,NR/01102023/02012046/L_NR_2021_17,NR/22102023/11042047/L_NR_2021_16,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/14082046/L_NR_2021_16,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/13082046/L_NR_2021_12,L_NR_2019_19,NR/01102023/25072045/L_NR_2021_15,NR/26072023/31072042/L_NR_2023_07,NR/22102023/11042047/L_NR_2021_17,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/L_NR_2019_05,NR/01102023/02122045/L_NR_2021_13
1,00:00-00:15,0.000000,96.680000,76.850000,2.250000,26.090000,101.260000,48.340000,49.320000,0.000000,0.000000,48.340000,2.000000,261.620000,27.070000,74.130000,48.340000,0.000000,26.090000,2.650000,271.910000,0,6.77,6.93,145.02,7.21,23.16,23.16,0,0,0,6.77,0,0,0,0,0,0,0,0,20.32,0,0

2,00:15-00:30,0.000000,96.680000,76.850000,2.250000,26.090000,101.260000,48.340000,49.320000,0.000000,0.000000,48.340000,2.000000,261.620000,27.070000,74.130000,48.340000,0.000000,26.090000,2.650000,271.910000,0,7.11,7.08,145.02,7.21,22.97,22.97,0,0,0,7.11,0,0,0,0,0,0,0,0,21.33,0,0

3,00:30-00:45,0.000000,96.680000,76.850000,2.250000,26.090000,101.260000,48.340000,49.320000,0.000000,0.000000,48.340000,2.000000,261.620000,27.070000,74.130000,48.340000,0.000000,26.090000,2.650000,271.910000,0,7.44,7.2,145.02,7.21,23.02,23.02,0,0,0,7.45,0,0,0,0,0,0,0,0,22.33,0,0

4,00:45-01:00,0.000000,96.680000,76.850000,2.250000,26.090000,101.260000,48.340000,49.320000,0.000000,0.000000,48.340000,2.000000,261.620000,27.070000,74.130000,48.340000,0.000000,26.090000,2.650000,271.910000,0,7.78,7.36,145.02,7.21,23.02,23.02,0,0,0,7.77,0,0,0,0,0,0,0,0,23.33,0,0

5,01:00-01:15,0.000000,96.680000,76.850000,2.250000,26.090000,101.260000,48.340000,49.320000,0.000000,0.000000,48.340000,2.000000,261.620000,27.070000,74.130000,48.340000,0.000000,26.090000,2.650000,271.910000,0,8.11,7.64,145.02,7.21,22.35,22.35,0,0,0,8.11,0,0,0,0,0,0,0,0,24.33,0,0

