Column1,Time,NR/01102023/02122045/L_NR_2021_13,NR/01102023/25072045/L_NR_2021_15,SR/01102023/07102043/L_NR_2018_61,NR/01102023/13082046/L_NR_2021_12,L_NR_2019_19,WR/01102023/31032046/L_NR_2020_05,WR/01102023/01102023/L_NR_2022_09,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/24112044/L_NR_2020_07,WR/01102023/30052048/L_NR_2022_10,WR/01102023/01102023/L_NR_2020_06,NR/22102023/11042047/L_NR_2021_17,NR/01102023/08032047/L_NR_2021_14,NR/26072023/31072042/L_NR_2023_07,NR/01102023/22052037/LT-59,NR/30092023/31122025/SH-07,GNA/NR/2024/11/01/5428,NR/22102023/11042047/L_NR_2021_16,NR/01102023/31102037/L_NR_2019_11,NR/26072023/25122043/L_NR_2023_10,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2024/11/01/9061,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/30092023/26122029/SH-06,GNA/NR/2024/11/01/9042,GNA/NR/2024/11/01/4503,GNA/NR/2024/11/01/3646,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/31052040/LT-31,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/05012040/L_NR_2020_02,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2024/11/01/1868,NR/01102023/30042040/GNA_LT_36,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/WR/2024/11/01/4200,GNA/NR/2024/11/01/5474,NR/01102023/06022042/L_NR_2012_07,NR/01102023/30042040/GNA_LT_35,GNA/NR/2024/11/01/5444,GNA/WR/2024/10/15/7089,NR/01102023/19072037/LT-05
1,00:00-00:15,0,0,18.21,0,0,19.99,13.33,6.67,0,0,6.67,13.34,6.67,0,0,0,1.39,0,25.94,0,1.91,0,52.84,25.94,0,0,17.29,8.65,63.42,149.4,0,2.66,1.81,170.66,8.65,0,27.26,0,190.26,57.35,0,25.94,0,70.04

2,00:15-00:30,0,0,18.01,0,0,19.99,13.33,6.67,0,0,6.67,13.34,6.67,0,0,0,1.39,0,25.94,0,1.91,0,52.84,25.94,0,0,17.29,8.65,63.42,149.4,0,2.66,1.81,170.66,8.65,0,27.26,0,190.26,57.35,0,25.94,0,70.04

3,00:30-00:45,0,0,17.81,0,0,19.99,13.33,6.67,0,0,6.67,13.34,6.67,0,0,0,1.39,0,25.94,0,1.91,0,52.84,25.94,0,0,17.29,8.65,63.42,149.4,0,2.66,1.81,170.66,8.65,0,27.75,0,190.26,57.35,0,25.94,0,70.04

4,00:45-01:00,0,0,17.41,0,0,19.99,13.33,6.67,0,0,6.67,13.34,6.67,0,0,0,1.39,0,25.94,0,1.91,0,52.84,25.94,0,0,17.29,8.65,63.42,149.4,0,2.66,1.81,170.66,8.65,0,27.75,0,190.26,57.35,0,25.94,0,70.04

5,01:00-01:15,0,0,17.21,0,0,19.99,13,6.67,0,0,6.67,13,6.67,0,0,0,1.39,0,25.94,0,1.83,0,52.84,25.94,0,0,17.29,8.65,63.42,149.4,0,2.66,1.81,170.66,8.65,0,27.75,0,190.26,57.35,0,25.94,0,70.04

6,01:15-01:30,0,0,17.01,0,0,19.99,12.67,6.67,0,0,6.67,12.66,6.67,0,0,0,1.39,0,25.94,0,1.83,0,52.84,25.94,0,0,17.29,8.65,63.42,149.4,0,2.66,1.81,170.66,8.65,0,27.75,0,190.26,57.35,0,25.94,0,70.04

7,01:30-01:45,0,0,17.01,0,0,19.99,12.33,6.67,0,0,6.67,12.34,6.67,0,0,0,1.39,0,25.94,0,1.83,0,52.84,25.94,0,0,17.29,8.65,63.42,149.4,0,2.66,1.81,170.66,8.65,0,27.26,0,190.26,57.35,0,25.94,0,70.04

8,01:45-02:00,0,0,17.01,0,0,19.99,12,6.67,0,0,6.67,12,6.67,0,0,0,1.39,0,25.94,0,1.83,0,52.84,25.94,0,0,17.29,8.65,63.42,149.4,0,2.66,1.81,170.66,8.65,0,27.26,0,190.26,57.35,0,25.94,0,70.04

9,02:00-02:15,0,0,16.61,0,0,19.99,11.67,6.67,0,0,6.67,11.66,6.67,0,0,0,1.39,0,25.94,0,1.76,0,52.84,25.94,0,0,17.29,8.65,63.42,149.4,0,2.66,1.81,170.66,8.65,0,27.26,0,190.26,57.35,0,25.94,0,70.04

10,02:15-02:30,0,0,16.21,0,0,19.99,11.67,6.67,0,0,6.67,11.66,6.67,0,0,0,1.39,0,25.94,0,1.76,0,52.84,25.94,0,0,17.29,8.65,63.42,149.4,0,2.66,1.81,122.62,8.65,0,26.75,0,190.26,57.35,0,25.94,0,70.04

11,02:30-02:45,0,0,16.21,0,0,25.01,16.67,6.67,0,0,8.33,16.66,8.33,0,0,0,1.39,0,25.94,0,1.76,0,52.84,25.94,0,0,17.29,8.65,63.42,149.4,0,2.66,1.81,110.48,8.65,0,26.75,0,190.26,57.35,0,25.94,0,70.04

12,02:45-03:00,0,0,16.21,0,0,25.01,16.67,6.67,0,0,8.33,16.66,8.33,0,0,0,1.39,0,25.94,0,1.76,0,52.84,25.94,0,0,17.29,8.65,63.42,149.4,0,2.66,1.81,110.48,8.65,0,26.75,0,190.26,57.35,0,25.94,0,70.04

