Block,Time,BSIUL,CHAMERA1,CHAMERA3,DULHASTI,DADRT2,DHAULIGNGA,JHAJJAR,CHAMERA2,UNCHAHAR2,UNCHAHAR4,URI,UNCHAHAR3,URI2,RIHAND3,SALAL,SINGRAULI,SINGRAULI_HYDRO,TANAKPUR,TEHRI,UNCHAHAR1,KOLDAM,KOTESHWR,NAPP,PARBATI3,RAMPUR,RAPPB,RAPPC,RIHAND2,TANDA2,RIHAND1,SEWA2,NJPC,KISHANGANGA,DADRI_GF,DADRI_RF,DADRI_LF,DADRI_CRF,ANTA_GF,ANTA_RF,ANTA_LF,ANTA_CRF,AURY_GF,AURY_RF,AURY_LF,AURY_CRF,NNTPP,NTPL,RSTPSU1TO6,KGSU1AND2,KGSU3AND4,KKNP,KKNPPU2,KUDGI,MAPS,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,RSTPSU7,VALLURNTECL,SIMHST1,SIMHST2,TALST2,KHSTPP-I,KHSTPP-II,TALA,BRBCL,FSTPP I & II,SASAN
1,00:00-00:15,13.0416,42.66,29.062808,49.436556,686.779957,36.5917,435.435,39.51012,42.392196,0,41.952,26.39091,32.41932,123.665625,85.988,139.3125,0.97563,13.1943,67.536,19.1285,0,35.496,38.8752,0,0,0,52.029,118.125,0,92,15.804048,153.6034,0,0,63.568,0,0,0,36.75,0,0,0,59.73,0,2.172,0,0,0,0,0,0,0,93.75,0,0,0,0,0,0,0,0,0,0,30.35,147.515625,23.961,15.00135,14.253199,415.125

2,00:15-00:30,13.0416,42.66,29.062808,49.436556,686.779957,36.5917,435.435,39.51012,42.392196,0,41.952,26.39091,32.41932,123.665625,85.988,139.3125,0.97563,13.1943,67.536,19.1285,0,35.496,38.8752,0,0,0,52.029,118.125,0,92,15.804048,153.6034,0,0,63.568,0,0,0,36.75,0,0,0,59.73,0,2.172,0,0,0,0,0,0,0,93.75,0,0,0,0,0,0,0,0,0,0,30.35,147.515625,23.961,15.00135,14.253199,415.125

3,00:30-00:45,13.0416,42.66,29.062808,49.436556,686.779957,36.5917,435.435,39.51012,42.392196,0,41.952,26.39091,31.6122,123.665625,85.988,139.3125,0.97563,13.1943,67.536,19.1285,0,35.496,38.8752,0,0,0,52.029,118.125,0,92,10.5307,153.6034,0,0,59.184,0,0,0,36.75,0,0,0,59.73,0,2.172,0,0,0,0,0,0,0,93.75,0,0,0,0,0,0,0,0,0,0,30.35,147.515625,24.99,15.00135,14.253199,415.125

4,00:45-01:00,13.0416,42.66,29.062808,49.436556,686.779957,36.5917,435.435,39.51012,42.392196,0,41.952,26.39091,31.6122,123.665625,85.988,139.3125,0.97563,13.1943,67.536,19.1285,0,35.496,38.8752,0,0,0,52.029,118.125,0,92,10.5307,153.6034,0,0,59.184,0,0,0,36.75,0,0,0,59.73,0,2.172,0,0,0,0,0,0,0,93.75,0,0,0,0,0,0,0,0,0,0,30.35,147.515625,24.99,15.00135,14.253199,415.125

5,01:00-01:15,13.0416,42.66,29.062808,49.436556,686.779957,36.5917,435.435,39.51012,42.392196,0,41.952,26.39091,31.6122,123.665625,85.988,139.3125,0.97563,13.1943,67.536,19.1285,0,35.496,38.8752,0,0,0,52.029,118.125,0,92,10.55736,153.6034,0,0,59.184,0,0,0,36.75,0,0,0,59.73,0,2.172,0,0,0,0,0,0,0,93.75,0,0,0,0,0,0,0,0,0,0,30.35,147.515625,24.99,15.00135,14.253199,415.125

