Block,Time,KHSTPP-II,KHSTPP-I,BRBCL,FSTPP I & II,TALA,SASAN,TANAKPUR,AURY_CRF,URI2,DADRI_RF,ANTA_GF,AURY_RF,AURY_LF,ANTA_LF,ANTA_RF,RAMPUR,CHAMERA3,ANTA_CRF,TEHRI,UNCHAHAR4,UNCHAHAR3,BSIUL,UNCHAHAR1,DADRI_LF,NJPC,DULHASTI,KOLDAM,SINGRAULI,RAPPB,KISHANGANGA,SALAL,SEWA2,SINGRAULI_HYDRO,NAPP,TANDA2,PARBATI3,RIHAND3,AURY_GF,KOTESHWR,CHAMERA1,RIHAND1,DADRI_CRF,RAPPC,DHAULIGNGA,JHAJJAR,DADRT2,UNCHAHAR2,URI,DADRI_GF,RIHAND2,CHAMERA2,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,95.239785,30.989457,14.449476,13.775190,9.770752,330.532312,10.488892,0.000000,36.499938,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.497955,33.552946,0.000000,62.940746,2.976597,26.624629,6.281487,10.548231,0.000000,173.357832,57.003666,9.836884,137.308623,0.000000,8.034549,80.593531,0.000000,1.189171,47.815925,5.161459,0.000000,125.787810,0.000000,28.317874,0.000000,93.493990,0.000000,65.495617,41.938361,397.776625,528.578073,42.068949,35.094946,0.000000,119.815254,46.719885,0,0,0,0,0

2,00:15-00:30,95.239785,30.989457,14.449476,13.775190,9.770752,330.532312,10.488892,0.000000,36.499938,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.497955,33.552946,0.000000,62.940746,2.976597,26.624629,6.281487,10.548231,0.000000,173.357832,57.003666,9.836884,137.308623,0.000000,8.034549,80.593531,0.000000,1.189171,47.815925,5.161459,0.000000,125.787810,0.000000,28.317874,0.000000,93.493990,0.000000,65.495617,41.938361,397.776625,528.578073,42.068949,35.094946,0.000000,119.815254,46.719885,0,0,0,0,0

3,00:30-00:45,95.239785,30.989457,14.449476,13.775190,9.629147,330.532312,10.488892,0.000000,36.499938,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.497955,33.552946,0.000000,62.940746,2.976597,26.624629,6.281487,10.548231,0.000000,173.357832,57.003666,9.836884,137.308623,0.000000,8.034549,80.593531,0.000000,1.189171,47.815925,5.161459,0.000000,125.787810,0.000000,28.317874,0.000000,93.493990,0.000000,65.495617,41.938361,397.776625,528.578073,42.068949,35.094946,0.000000,119.815254,46.719885,0,0,0,0,0

4,00:45-01:00,95.239785,30.989457,14.449476,13.775190,9.629147,330.532312,10.488892,0.000000,36.499938,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.497955,33.552946,0.000000,62.940746,2.976597,26.624629,6.281487,10.548231,0.000000,173.357832,57.003666,9.836884,137.308623,0.000000,8.034549,80.593531,0.000000,1.189171,47.815925,5.161459,0.000000,125.787810,0.000000,28.317874,0.000000,93.493990,0.000000,65.495617,41.938361,397.776625,528.578073,42.068949,35.094946,0.000000,119.815254,46.719885,0,0,0,0,0

5,01:00-01:15,95.239785,30.989457,13.172247,13.775190,9.629147,330.532312,10.488892,0.000000,36.499938,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.497955,33.552946,0.000000,62.940746,2.976597,26.624629,6.281487,10.548231,0.000000,173.357832,57.003666,9.836884,137.308623,0.000000,8.034549,80.593531,0.000000,1.189171,47.815925,5.161459,0.000000,125.787810,0.000000,28.317874,0.000000,93.493990,0.000000,65.495617,41.938361,349.263681,472.358045,42.068949,35.094946,0.000000,119.815254,46.719885,0,0,0,0,0

