Block,Time Block,SALAL,SEWA2,RIHAND3,SINGRAULI_HYDRO,RIHAND2,SASAN,SINGRAULI,RIHAND1,SIMHST1,RSTPSU1TO6,SIMHST2,RAPPC,RSTPSU7,TALST2,TANAKPUR,TALA,TEHRI,TANDA2,DHAULIGNGA,FSTPP I & II,DULHASTI,JHAJJAR,KGSU1AND2,NTPL,PARBATI3,RAPPB,RAMPUR,CHAMERA1,BSIUL,BRBCL,DADRT2,CHAMERA3,CHAMERA2,NLCEXP,NLCIIST1,NJPC,NLCIIST2,NLCTS2EXP,NNTPP,KKNPPU2,KUDGI,NAPP,KOLDAM,KISHANGANGA,MAPS,KOTESHWR,KHSTPP-II,KKNP,ANTA_RF,UNCHAHAR4,AURY_LF,DADRI_GF,URI2,ANTA_LF,AURY_GF,DADRI_RF,DADRI_CRF,ANTA_GF,AURY_CRF,URI,AURY_RF,DADRI_LF,ANTA_CRF,VALLURNTECL,UNCHAHAR1,UNCHAHAR2,UNCHAHAR3,KGSU3AND4,KHSTPP-I,TelanganaSTPP,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,1.34,0,119.1,0,91.3,398.77,111.33,60.67,0,0,0,24.68,0,0,5.52,0,0,0,0,15.7,15.79,344.76,0,0,0,0,0,0,0,19.16,331.12,0,0,0,0,0,0,0,0,0,0,42.35,0,0,0,8.51,83.18,0,0,0,0,0,4.13,0,0,0,0,0,0,25.38,0,0,0,0,5.75,24.99,13.9,0,18.34,0,0,0,0,0,0

2,00:15-00:30,8.9,0,119.1,0,91.3,398.77,109.95,60.67,0,0,0,24.68,0,0,5.52,0,0,0,0,12.32,15.79,344.76,0,0,0,0,0,0,0,18.13,359.95,0,0,0,0,0,0,0,0,0,0,42.35,0,0,0,8.51,78.14,0,0,0,0,0,4.13,0,0,0,0,0,0,25.38,0,0,0,0,5.75,22.33,13.9,0,18.34,0,0,0,0,0,0

3,00:30-00:45,40.07,0,119.1,0,91.3,398.77,109.95,60.67,0,0,0,24.68,0,0,5.52,0,0,0,0,10.96,15.79,344.76,0,0,0,0,0,0,0,15.44,359.95,0,0,0,0,0,0,0,0,0,0,42.35,0,0,0,8.51,78.14,0,0,0,0,0,4.13,0,0,0,0,0,0,25.38,0,0,0,0,5.75,22.33,13.9,0,18.34,0,0,0,0,0,0

4,00:45-01:00,40.07,0,119.1,0,91.3,398.77,109.95,60.67,0,0,0,24.68,0,0,5.52,0,0,0,0,10.96,15.79,344.76,0,0,0,0,0,0,0,15.05,359.95,0,0,0,0,0,0,0,0,0,0,42.35,0,0,0,8.51,78.14,0,0,0,0,0,4.13,0,0,0,0,0,0,3.17,0,0,0,0,5.75,22.33,13.9,0,18.34,0,0,0,0,0,0

5,01:00-01:15,40.07,0,119.1,0,91.3,398.77,109.95,60.67,0,0,0,24.68,0,0,5.52,0,0,0,0,10.96,15.79,344.76,0,0,0,0,0,0,0,12.99,359.95,0,0,0,0,0,0,0,0,0,0,42.35,0,0,0,8.51,78.14,0,0,0,0,0,4.13,0,0,0,0,0,0,2.12,0,0,0,0,5.75,22.33,13.9,0,18.34,0,0,0,0,0,0

