Block,Time,LT-36,LT-05,L_NR_2023_04,L_NR_2012_07,L_NR_2012_01,L_NR_2012_04,L_NR_2019_19,L_NR_2020_05,L_NR_2019_11,LT-31,L_NR_2022_09,L_NR_2021_14,LT-59,L_NR_2020_06,L_NR_2012_02,L_NR_2021_16,L_NR_2020_07,L_NR_2018_61,L_NR_2019_06,SH-06,L_NR_2021_15,L_NR_2023_07,L_NR_2019_07,L_NR_2021_12,L_NR_2020_02,L_NR_2022_08,LT-35,SH-07,L_NR_2022_10,L_NR_2021_17,L_NR_2019_05,L_NR_2021_13,L_NR_2023_10
1,00:00-00:15,0.000000,87.370000,29.710000,74.110000,0.000000,133.380000,0,102.75,10.770000,0.000000,78.33,0,10.340000,34.25,261.530000,0,34.26,35.72,0,0.000000,0,0,0,0,11.900000,35.23,0.000000,30.930000,78.33,0,0,0,0

2,00:15-00:30,0.000000,87.370000,29.710000,74.110000,0.000000,133.380000,0,102.75,10.770000,0.000000,78.33,0,10.340000,34.25,261.530000,0,34.26,36.52,0,0.000000,0,0,0,0,11.900000,35.4,0.000000,30.930000,78.33,0,0,0,0

3,00:30-00:45,0.000000,87.370000,29.710000,74.110000,0.000000,133.380000,0,107.69,10.770000,0.000000,80,0,10.340000,35.9,261.530000,0,35.89,40.55,0,0.000000,0,0,0,0,11.900000,35.59,0.000000,30.930000,80,0,0,0,0

4,00:45-01:00,0.000000,87.370000,29.710000,74.110000,0.000000,133.380000,0,107.69,10.770000,0.000000,80,0,10.340000,35.9,261.530000,0,35.89,40.72,0,0.000000,0,0,0,0,11.900000,35.67,0.000000,30.930000,80,0,0,0,0

5,01:00-01:15,0.000000,87.370000,29.710000,74.110000,0.000000,133.380000,0,108.07,10.770000,0.000000,80,0,10.340000,36.02,261.530000,0,36.02,40.92,0,15.840000,0,0,0,0,11.900000,35.76,0.000000,30.930000,80,0,0,0,0

6,01:15-01:30,0.000000,87.370000,29.710000,74.110000,0.000000,133.380000,0,108.23,10.770000,0.000000,80,0,10.340000,36.08,261.530000,0,36.07,41.32,0,14.870000,0,0,0,0,11.900000,35.79,0.000000,30.930000,80,0,0,0,0

7,01:30-01:45,0.000000,87.370000,29.710000,64.950000,0.000000,133.380000,0,108.51,10.770000,0.000000,80,0,10.340000,36.17,261.530000,0,36.17,41.92,0,14.870000,0,0,0,0,11.900000,35.67,0.000000,30.930000,80,0,0,0,0

8,01:45-02:00,0.000000,87.370000,29.710000,64.950000,0.000000,133.380000,0,106.89,10.770000,0.000000,80,0,10.340000,35.63,261.530000,0,35.63,41.95,0,25.360000,0,0,0,0,11.900000,35.67,0.000000,30.930000,80,0,0,0,0

9,02:00-02:15,0.000000,87.370000,29.710000,74.110000,0.000000,133.380000,0,101.79,10.770000,0.000000,80,0,10.340000,33.93,261.530000,0,33.93,37.55,0,25.360000,0,0,0,0,11.900000,32.32,0.000000,30.930000,80,0,0,0,0

10,02:15-02:30,0.000000,87.370000,29.710000,74.110000,0.000000,133.380000,0,101.11,10.770000,0.000000,80,0,10.340000,33.7,261.530000,0,33.71,37.85,0,25.360000,0,0,0,0,11.900000,32.32,0.000000,30.930000,80,0,0,0,0

11,02:30-02:45,0.000000,87.370000,29.710000,74.110000,0.000000,133.380000,0,99.93,10.770000,0.000000,80,0,10.340000,33.31,261.530000,0,33.31,38.15,0,25.360000,0,0,0,0,11.900000,32.44,0.000000,30.930000,80,0,0,0,0

12,02:45-03:00,0.000000,87.370000,29.710000,74.110000,0.000000,133.380000,0,100.65,10.770000,0.000000,80,0,10.340000,33.55,261.530000,0,33.55,38.2,0,25.360000,0,0,0,0,11.900000,32.49,0.000000,30.930000,80,0,0,0,0

13,03:00-03:15,0.000000,87.370000,29.710000,74.110000,0.000000,133.380000,0,101.29,10.770000,0.000000,80,0,10.340000,33.76,261.530000,0,33.78,38.25,0,25.360000,0,0,0,0,11.900000,32.54,0.000000,30.930000,80,0,0,0,0

14,03:15-03:30,0.000000,87.370000,29.710000,64.950000,0.000000,133.380000,0,99.73,10.770000,0.000000,80,0,10.340000,33.24,261.530000,0,33.25,41.54,0,25.360000,0,0,0,0,11.900000,32.59,0.000000,30.930000,80,0,0,0,0

