Block,Time,CHAMERA2,KGSU3AND4,KHSTPP-II,RAPPC,RAPPD,SIMHST1,TelanganaSTPP,AURY_RF,DADRI_CRF,KOLDAM,KUDGI,RAMPUR,SINGRAULI_HYDRO,UNCHAHAR3,UNCHAHAR4,ANTA_LF,AURY_CRF,BRBCL,DHAULIGNGA,NLCIIST2,NLCTS2EXP,RAPPB,RIHAND2,SEWA2,URI2,ANTA_GF,DADRI_LF,CHAMERA3,KHSTPP-I,MAPS,SALAL,TANAKPUR,UNCHAHAR2,VALLURNTECL,AURY_GF,NTPL,PARBATI3,TALA,TANDA2,URI,ANTA_CRF,AURY_LF,BSIUL,KKNP,NNTPP,RSTPSU1TO6,TEHRI,UNCHAHAR1,DADRT2,FSTPP I & II,JHAJJAR,KGSU1AND2,KISHANGANGA,KKNPPU2,NJPC,NLCEXP,NLCIIST1,PARBATI2,RIHAND3,SIMHST2,SINGRAULI,DADRI_RF,CHAMERA1,DULHASTI,KOTESHWR,NAPP,RIHAND1,RSTPSU7,SASAN,TALST2,ANTA_RF,DADRI_GF
1,00:00-00:15,48.81,0,148.3,69.23,22.02,0,0,80.77,0,9.59,0,5.42,0.98,27.68,2.3,0,0,15,10.95,0,0,0,124.58,12.61,38.1,0,0,23.33,45.53,0,79.38,6.27,44.5,0,0,0,18.41,0,5.7,37.53,0,0,6.52,0,0,0,32.74,21.94,548.92,20.8,670.67,0,8.63,0,138.33,0,0,18.78,130.79,0,150.34,100.46,28.13,59.5,10.43,26.03,97.23,0,390.38,0,51.17,0

2,00:15-00:30,48.81,0,148.3,69.23,22.02,0,0,80.77,0,9.59,0,5.42,0.98,27.68,2.3,0,0,15,10.95,0,0,0,124.58,12.61,38.1,0,0,23.33,45.53,0,79.38,6.27,45,0,0,0,18.41,0,5.7,37.53,0,0,6.52,0,0,0,32.74,21.94,548.92,20.8,670.67,0,8.63,0,138.33,0,0,18.78,130.79,0,150.34,100.46,28.13,59.5,10.43,26.03,97.23,0,398.25,0,51.17,0

3,00:30-00:45,48.81,0,148.3,69.23,22.02,0,0,80.77,0,7.19,0,5.42,0.98,27.68,2.3,0,0,15,10.95,0,0,0,124.58,12.61,38.1,0,0,23.33,45.53,0,79.38,6.27,45,0,0,0,18.41,0,5.7,37.53,0,0,6.52,0,0,0,31.62,21.94,548.92,20.8,670.67,0,8.63,0,138.33,0,0,18.78,130.79,0,150.34,100.46,28.13,59.5,10.43,26.03,97.23,0,406.12,0,51.17,0

4,00:45-01:00,48.81,0,148.3,69.23,22.02,0,0,80.77,0,4.79,0,5.42,0.98,27.68,3.2,0,0,15,10.95,0,0,0,124.58,12.61,38.1,0,0,23.33,45.53,0,79.38,6.27,45,0,0,0,18.41,0,5.7,37.53,0,0,6.52,0,0,0,31.29,21.94,548.92,20.8,670.67,0,8.63,0,138.33,0,0,18.78,130.79,0,150.34,100.46,28.13,59.5,10.43,26.03,97.23,0,414,0,51.17,0

5,01:00-01:15,48.81,0,148.3,69.23,22.02,0,0,80.77,0,4.79,0,5.42,0.98,27.68,3.2,0,0,15,10.95,0,0,0,124.58,12.61,38.1,0,0,23.33,45.53,0,79.38,6.27,45,0,0,0,18.41,0,5.7,37.53,0,0,6.52,0,0,0,31.29,21.94,548.92,20.8,670.67,0,8.63,0,138.33,0,0,18.78,130.79,0,150.34,100.46,28.13,59.5,10.43,26.03,97.23,0,414,0,51.17,0

6,01:15-01:30,48.81,0,148.3,69.23,22.02,0,0,80.77,0,4.79,0,5.42,0.98,27.68,3.2,0,0,15,10.95,0,0,0,124.58,12.61,38.1,0,0,23.33,45.53,0,79.38,6.27,45,0,0,0,18.41,0,5.7,37.53,0,0,6.52,0,0,0,31.29,21.94,548.92,20.8,670.67,0,8.63,0,138.33,0,0,18.78,130.79,0,150.34,100.46,14.05,59.5,10.43,26.03,97.23,0,414,0,51.17,0

7,01:30-01:45,48.81,0,148.3,69.23,22.02,0,0,80.77,0,4.79,0,5.42,0.98,27.68,3.2,0,0,15,10.95,0,0,0,124.58,12.61,38.1,0,0,23.33,45.53,0,79.38,6.27,45,0,0,0,18.41,0,5.7,37.53,0,0,13.04,0,0,0,31.29,21.94,548.92,20.8,670.67,0,8.63,0,138.33,0,0,18.78,130.79,0,150.34,100.46,14.05,59.5,10.43,26.03,97.23,0,414,0,51.83,0

8,01:45-02:00,48.81,0,148.3,69.23,22.02,0,0,80.77,0,4.79,0,5.42,0.98,27.68,3.2,0,0,15,10.95,0,0,0,124.58,12.61,38.1,0,0,23.33,45.53,0,79.38,6.27,45,0,0,0,18.41,0,5.7,37.53,0,0,13.04,0,0,0,20.87,21.94,548.92,20.8,670.67,0,8.63,0,138.33,0,0,18.78,130.79,0,150.34,100.46,0,59.5,10.43,26.03,97.23,0,414,0,51.83,0

9,02:00-02:15,48.81,0,148.3,69.23,22.02,0,0,80.77,0,4.79,0,5.42,0.98,27.68,3.2,0,0,15,10.95,0,0,0,124.58,12.61,38.1,0,0,23.33,45.53,0,79.38,1.15,45,0,0,0,18.41,0,5.7,37.53,0,0,13.04,0,0,0,20.87,21.94,548.92,20.8,670.67,0,8.63,0,138.33,0,0,18.78,130.79,0,150.34,100.46,0,59.5,10.43,26.03,97.23,0,414,0,51.83,0

