Column1,Time,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/31032046/L_NR_2020_05,WR/01102023/01102023/L_NR_2020_06,L_NR_2019_19,WR/01102023/24112044/L_NR_2020_07,WR/01102023/16072048/L_NR_2022_08,WR/01102023/30052048/L_NR_2022_10,NR/22102023/11042047/L_NR_2021_17,WR/01102023/29112042/RUMS(L_NR_2019_06),SR/01102023/07102043/L_NR_2018_61,NR/22102023/11042047/L_NR_2021_16,WR/01102023/29112042/L_NR_2019_05,WR/01102023/01102023/L_NR_2022_09,NR/01102023/25072045/L_NR_2021_15,NR/01102023/13082046/L_NR_2021_12,NR/26072023/31072042/L_NR_2023_07,NR/01102023/02122045/L_NR_2021_13,NR/01102023/08032047/L_NR_2021_14,NR/26072023/25122043/L_NR_2023_10,NR/01102023/06022042/L_NR_2012_02,NR/01102023/30042040/GNA_LT_36,GNA/WR/2024/10/15/7089,NR/01102023/06022042/L_NR_2012_07,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/31102037/L_NR_2019_11,NR/01102023/31052040/LT-31,NR/30092023/26122029/SH-06,NR/01102023/30042040/GNA_LT_35,GNA/NR/2024/10/01/9072,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/10/01/6101,GNA/NR/2024/10/01/9582,GNA/NR/2024/10/16/4393,NR/01102023/22052037/LT-59,GNA/NR/2024/10/16/2350,GNA/NR/2024/10/01/3642,GNA/NR/2024/10/01/8106,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/05012040/L_NR_2020_02,NR/30092023/31122025/SH-07,NR/01102023/19072037/LT-05
1,00:00-00:15,0,25,8.34,0,8.33,6.66,20.33,0,0,7.81,0,0,20.33,0,0,0,0,0,0,261.67,0,200,86.93,272.51,2.83,0,0,0,37.23,4.97,37.23,12.41,95.13,1.55,31.71,37.23,12.41,100.41,29.77,2.78,32,70.27

2,00:15-00:30,0,24.5,8.16,0,8.17,6.66,20.33,0,0,7.61,0,0,20.33,0,0,0,0,0,0,261.67,0,200,86.93,272.51,2.83,0,0,0,37.23,4.97,37.23,12.41,95.13,2.55,31.71,37.23,12.41,100.41,29.77,2.78,32,70.27

3,00:30-00:45,0,23.5,7.84,0,7.83,6.66,19.67,0,0,7.41,0,0,19.67,0,0,0,0,0,0,261.67,0,200,86.93,272.51,2.83,0,0,0,37.23,4.97,37.23,12.41,95.13,2.55,31.71,37.23,12.41,100.41,29.77,2.78,0,70.27

4,00:45-01:00,0,22,7.34,0,7.33,6.66,19.33,0,0,7.21,0,0,19.33,0,0,0,0,0,0,205.82,0,200,86.93,272.51,2.83,0,0,0,37.23,4.97,37.23,12.41,95.13,2.55,31.71,37.23,12.41,100.41,29.77,2.78,0,70.27

5,01:00-01:15,0,21,7,0,7,6.66,19.33,0,0,7.01,0,0,19.33,0,0,0,0,0,0,205.82,0,200,86.93,272.51,2.83,0,0,0,37.23,4.97,37.23,12.41,95.13,2.48,31.71,37.23,12.41,100.41,29.77,2.78,0,70.27

6,01:15-01:30,0,20,6.66,0,6.67,6.66,19,0,0,7.01,0,0,19,0,0,0,0,0,0,205.82,0,200,86.93,272.51,2.83,0,0,0,37.23,4.97,37.23,12.41,95.13,2.48,31.71,37.23,12.41,100.41,29.77,2.78,0,70.27

7,01:30-01:45,0,20,6.66,0,6.67,6.66,18.67,0,0,6.81,0,0,18.67,0,0,0,0,0,0,205.82,0,200,86.93,272.51,2.83,0,0,0,37.23,4.97,37.23,12.41,95.13,2.48,31.71,37.23,12.41,100.41,29.77,2.78,0,70.27

8,01:45-02:00,0,20,6.66,0,6.67,6.66,18.33,0,0,6.81,0,0,18.33,0,0,0,0,0,0,205.82,0,200,86.93,272.51,2.83,0,0,0,37.23,4.97,37.23,12.41,95.13,2.48,31.71,37.23,12.41,100.41,29.77,2.78,0,70.27

9,02:00-02:15,0,20,6.66,0,6.67,6.66,18.33,0,0,6.81,0,0,18.33,0,0,0,0,0,0,205.82,0,0,86.93,272.51,2.76,0,24.08,0,37.23,4.97,37.23,12.41,95.13,2.48,31.71,37.23,12.41,100.41,29.27,2.78,24.08,70.27

10,02:15-02:30,0,20,6.66,0,6.67,6.66,18,0,0,6.61,0,0,18,0,0,0,0,0,0,205.82,0,0,86.93,272.51,2.76,0,24.08,0,37.23,4.97,37.23,12.41,95.13,2.48,31.71,37.23,12.41,100.41,29.27,2.78,24.08,70.27

11,02:30-02:45,0,20,6.66,0,6.67,6.66,17.67,0,0,6.61,0,0,17.67,0,0,0,0,0,0,205.82,0,0,86.93,272.51,2.76,0,26.91,0,37.23,4.97,37.23,12.41,95.13,2.48,31.71,37.23,12.41,100.41,28.77,2.78,24.08,70.27

12,02:45-03:00,0,20,6.66,0,6.67,6.66,17.67,0,0,6.61,0,0,17.67,0,0,0,0,0,0,205.82,0,0,67.98,272.51,2.76,0,26.91,0,37.23,4.97,37.23,12.41,95.13,2.48,31.71,37.23,12.41,89.63,28.77,2.78,24.08,70.27

13,03:00-03:15,0,20,6.66,0,6.67,6.66,17,0,0,6.61,0,0,17,0,0,0,0,0,0,205.82,0,0,67.98,272.51,2.76,0,26.91,0,37.23,4.97,37.23,12.41,95.13,2.32,31.71,37.23,12.41,84.81,28.77,2.78,26.91,70.27

