Block,Time Block,BSIUL,BRBCL,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DADRT2,FSTPP I & II,DULHASTI,JHAJJAR,KGSU1AND2,KHSTPP-I,KGSU3AND4,KISHANGANGA,KKNP,KKNPPU2,KUDGI,KOLDAM,MAPS,KHSTPP-II,KOTESHWR,NJPC,NAPP,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,RAMPUR,RAPPC,RAPPB,NTPL,PARBATI3,RIHAND1,RIHAND2,RSTPSU1TO6,RIHAND3,TANDA2,TEHRI,RSTPSU7,SALAL,TALST2,SINGRAULI_HYDRO,TANAKPUR,SIMHST1,SIMHST2,TALA,SASAN,SINGRAULI,SEWA2,UNCHAHAR4,UNCHAHAR1,VALLURNTECL,UNCHAHAR3,URI2,UNCHAHAR2,TelanganaSTPP,URI,DADRI_LF,ANTA_CRF,ANTA_RF,AURY_LF,DADRI_GF,ANTA_LF,AURY_GF,DADRI_CRF,DADRI_RF,ANTA_GF,AURY_CRF,AURY_RF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,19.21,0,1.8,0,0,312.13,13.09,15.83,231.73,0,31.56,0,0,0,0,0,0,0,65.71,8.52,0,41.74,0,0,0,0,0,0,50.94,0,0,0,88.14,114.06,0,119.4,0,0,0,1.34,0,0,8,0,0,0,402.19,117.01,0,0,15.4,0,18.81,18.08,15.66,0,34.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

2,00:15-00:30,0,18.17,0,1.8,0,0,312.13,13.09,15.83,231.73,0,31.56,0,0,0,0,0,0,0,65.71,8.52,0,41.74,0,0,0,0,0,0,50.94,0,0,0,78.18,101.14,0,119.4,0,0,0,1.34,0,0,8,0,0,0,390.95,117.01,0,0,15.4,0,18.81,18.08,15.66,0,34.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,0,16.68,0,1.8,0,0,312.13,13.09,15.83,231.73,0,31.56,0,0,0,0,0,0,0,65.71,8.52,0,41.74,0,0,0,0,0,0,50.94,0,0,0,77.57,99.23,0,119.4,0,0,0,1.34,0,0,8,0,0,0,390.95,117.01,0,0,15.4,0,18.81,18.08,15.66,0,3.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,0,14.82,0,1.8,0,0,312.13,13.09,15.83,230.41,0,31.56,0,0,0,0,0,0,0,65.71,8.52,0,41.74,0,0,0,0,0,0,50.94,0,0,0,77.57,99.23,0,119.4,0,0,0,1.34,0,0,3.7,0,0,0,390.95,117.01,0,0,11.53,0,13.94,18.08,12.49,0,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,0,13.84,0,1.8,0,0,312.13,13.09,15.83,230.41,0,31.56,0,0,0,0,0,0,0,65.71,8.52,0,41.74,0,0,0,0,0,0,50.94,0,0,0,77.57,99.23,0,119.4,0,0,0,1.34,0,0,3.7,0,0,0,390.95,117.01,0,0,11.53,0,13.94,18.08,12.49,0,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

6,01:15-01:30,0,12.56,0,1.8,0,0,297.72,13.09,15.83,230.41,0,31.56,0,0,0,0,0,0,0,65.71,8.52,0,41.74,0,0,0,0,0,0,50.94,0,0,0,77.57,99.23,0,119.4,0,0,0,1.34,0,0,3.7,0,0,0,390.95,117.01,0,0,11.53,0,13.94,18.08,12.49,0,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

7,01:30-01:45,0,11.94,0,1.8,0,0,283.32,13.09,15.83,230.41,0,31.56,0,0,0,0,0,0,0,65.71,8.52,0,41.74,0,0,0,0,0,0,50.94,0,0,0,77.57,99.23,0,119.4,0,0,0,1.34,0,0,3.7,0,0,0,390.95,117.01,0,0,11.53,0,13.94,4.39,12.49,0,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

8,01:45-02:00,0,11.28,0,1.8,0,0,276.6,13.09,15.83,230.41,0,31.56,0,0,0,0,0,0,0,65.71,8.52,0,41.74,0,0,0,0,0,0,50.94,0,0,0,77.57,99.23,0,119.4,0,0,0,1.34,0,0,3.7,0,0,0,390.95,117.01,0,0,11.53,0,13.94,4.39,12.49,0,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

9,02:00-02:15,0,10.6,0,1.8,0,0,263.15,13.09,15.83,230.41,0,31.56,0,0,0,0,0,0,0,65.71,8.52,0,41.74,0,0,0,0,0,0,50.94,0,0,0,88.14,98.54,0,119.4,0,0,0,1.34,0,0,8,0,0,0,402.19,134.15,0,0,11.53,0,13.94,4.39,12.49,0,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

10,02:15-02:30,0,12.15,0,1.8,0,0,256.43,13.09,15.83,230.41,0,31.56,0,0,0,0,0,0,0,65.71,8.52,0,41.74,0,0,0,0,0,0,50.94,0,0,0,88.14,98.54,0,119.4,0,0,0,1.34,0,0,8,0,0,0,402.19,134.15,0,0,11.53,0,13.94,4.39,12.49,0,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

11,02:30-02:45,0,13.22,0,1.8,0,0,257.39,13.09,15.83,230.41,0,31.56,0,0,0,0,0,0,0,65.71,8.52,0,41.74,0,0,0,0,0,0,50.94,0,0,0,88.14,98.54,0,119.4,0,0,0,1.34,0,0,8,0,0,0,402.19,134.15,0,0,11.53,0,13.94,4.39,12.49,0,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

12,02:45-03:00,0,14.62,0,1.8,0,0,250.66,13.09,15.83,230.41,0,31.56,0,0,0,0,0,0,0,65.71,8.52,0,41.74,0,0,0,0,0,0,50.94,0,0,0,88.14,98.54,0,119.4,0,0,0,1.34,0,0,3.7,0,0,0,402.19,134.15,0,0,11.53,0,13.94,4.39,12.49,0,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

13,03:00-03:15,0,16.18,0,1.8,0,0,248.74,13.09,15.83,230.41,0,31.56,0,0,0,0,0,0,0,65.71,8.52,0,41.74,0,0,0,0,0,0,50.94,0,0,0,88.14,98.54,0,119.4,0,0,0,1.34,0,0,3.7,0,0,0,402.19,134.15,0,0,11.53,0,13.94,4.39,12.49,0,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

14,03:15-03:30,0,16.14,0,1.8,0,0,247.78,13.09,15.83,230.41,0,31.56,0,0,0,0,0,0,0,65.71,8.52,0,41.74,0,0,0,0,0,0,50.94,0,0,0,88.14,98.54,0,119.4,0,0,0,12.27,0,0,3.7,0,0,0,402.19,134.15,0,0,11.53,0,13.94,4.39,12.49,0,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

15,03:30-03:45,0,14.92,0,1.8,0,0,249.7,13.09,15.83,230.41,0,31.56,0,0,0,0,0,0,0,65.71,8.52,0,41.74,0,0,0,0,0,0,50.94,0,0,0,88.14,98.54,0,119.4,0,0,0,53.56,0,0,3.7,0,0,0,402.19,134.15,0,0,11.53,0,13.94,4.39,12.49,0,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

16,03:45-04:00,0,16.97,0,1.8,0,0,254.51,13.09,15.83,230.41,0,31.56,0,0,0,0,0,0,0,65.71,8.52,0,41.74,0,0,0,0,0,0,50.94,0,0,0,88.14,98.54,0,119.4,0,0,0,53.56,0,0,3.7,0,0,0,402.19,134.15,0,0,11.53,0,13.94,4.39,12.49,0,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

17,04:00-04:15,0,19.21,0,1.8,0,0,272.75,13.09,15.83,230.41,0,31.56,0,0,0,0,0,0,0,65.71,8.52,0,41.74,0,0,0,0,0,0,50.94,0,0,0,88.14,98.54,0,119.4,0,0,0,53.56,0,0,3.7,0,0,0,402.19,134.15,0,0,11.53,0,13.94,4.39,12.49,0,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

18,04:15-04:30,0,19.21,0,1.8,0,0,290.04,13.09,15.83,230.41,0,31.56,0,0,0,0,0,0,0,65.71,8.52,0,41.74,0,0,0,0,0,0,50.94,0,0,0,88.14,98.54,0,119.4,0,0,0,53.56,0,0,3.7,0,0,0,402.19,134.15,0,0,11.53,0,13.94,4.39,12.49,0,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

19,04:30-04:45,0,19.21,0,1.8,0,0,306.37,13.09,15.83,231.73,0,31.56,0,0,0,0,0,0,0,65.71,8.52,0,41.74,0,0,0,0,0,0,50.94,0,0,0,88.14,114.06,0,119.4,0,0,0,12.27,0,0,3.7,0,0,0,402.19,134.15,0,0,15.4,0,18.81,4.39,15.66,0,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

20,04:45-05:00,0,19.21,0,1.8,0,0,312.13,13.09,15.83,231.73,0,31.56,0,0,0,0,0,0,0,65.71,8.52,0,41.74,0,0,0,0,0,0,50.94,0,0,0,88.14,114.06,0,119.4,0,0,0,1.34,0,0,3.7,0,0,0,402.19,134.15,0,0,15.4,0,18.81,4.39,15.66,0,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

21,05:00-05:15,0,19.21,0,1.8,9.3,0,340.94,13.09,15.83,231.73,0,31.56,0,0,0,0,0,0,0,65.71,8.52,0,41.74,0,0,0,0,0,0,50.94,0,0,0,88.14,114.06,0,119.4,0,14.94,0,1.34,0,0,3.7,0,0,0,402.19,134.15,0,0,15.4,0,18.81,4.39,15.66,0,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

