Block,Time,TANDA2,DADRI_RF,RIHAND1,UNCHAHAR3,RAPPB,SALAL,KOTESHWR,CHAMERA3,PARBATI3,DADRI_CRF,JHAJJAR,DADRI_LF,UNCHAHAR4,URI,BSIUL,ANTA_GF,DULHASTI,CHAMERA2,TANAKPUR,AURY_CRF,SINGRAULI,ANTA_LF,UNCHAHAR1,DHAULIGNGA,AURY_RF,URI2,RAMPUR,ANTA_CRF,RIHAND3,KOLDAM,AURY_LF,CHAMERA1,TEHRI,SINGRAULI_HYDRO,NAPP,AURY_GF,ANTA_RF,DADRT2,SEWA2,RIHAND2,DADRI_GF,NJPC,RAPPC,UNCHAHAR2,SASAN,KHSTPP-II,BRBCL,TALA,FSTPP I & II,KUDGI,KHSTPP-I,KISHANGANGA,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
25,06:00-06:15,1.348441,0.000000,90.352424,13.672361,0.000000,77.628340,16.948064,29.601353,66.614598,0.053154,343.315625,0.000000,0.354169,45.962390,19.036167,0.000000,50.334016,40.533274,8.061717,0.000000,137.484400,0.000000,10.834900,37.155045,0.000000,32.796320,1.710502,0.000000,121.310901,2.595375,0.000000,40.807771,34.178727,1.053942,40.559605,0.000000,0.000000,364.639230,5.364617,115.787038,0.000000,154.929110,53.835345,28.890313,398.656350,94.619959,19.363991,18.502302,14.160119,14.52,27.756358,2.114992,0,0,0,0,0

26,06:15-06:30,1.348441,0.000000,90.352424,13.672361,0.000000,77.628340,16.948064,29.601353,66.614598,0.053154,331.931976,0.000000,0.354169,45.962390,19.036167,0.000000,50.334016,40.533274,8.061717,0.000000,137.484400,0.000000,10.834900,37.155045,0.000000,32.796320,1.710502,0.000000,121.310901,2.595375,0.000000,40.807771,34.178727,1.053942,40.559605,0.000000,0.000000,364.645477,5.364617,115.787038,0.000000,154.929110,53.835345,28.890313,398.656350,94.619959,19.363991,18.502302,14.160119,14.52,27.756358,2.114992,0,0,0,0,0

27,06:30-06:45,1.348441,0.000000,90.352424,13.935515,0.000000,77.628340,16.948064,29.601353,66.614598,0.053154,344.607966,0.000000,0.388757,45.962390,19.036167,0.000000,50.334016,40.533274,8.061717,0.000000,137.484400,0.000000,10.976232,37.155045,0.000000,32.796320,1.710502,0.000000,121.310901,2.595375,0.000000,40.807771,34.178727,1.053942,40.559605,0.000000,0.000000,364.639230,5.364617,115.787038,0.000000,154.929110,53.835345,23.587058,398.656350,94.619959,19.363991,18.502302,14.160119,14.52,27.756358,2.114992,0,0,0,0,0

28,06:45-07:00,1.348441,0.000000,90.352424,13.935515,0.000000,77.628340,16.948064,29.601353,19.449140,0.053154,344.607966,0.000000,0.388757,50.237962,12.690778,0.000000,50.334016,40.533274,8.061717,0.000000,137.484400,0.000000,10.976232,37.155045,0.000000,32.796320,1.710502,0.000000,121.310901,2.595375,0.000000,40.807771,34.178727,1.053942,40.559605,0.000000,0.000000,364.645477,5.364617,115.787038,0.000000,154.929110,53.835345,18.163301,398.656350,94.619959,17.451361,18.502302,8.001689,14.52,18.041632,2.114992,0,0,0,0,0

29,07:00-07:15,1.348441,0.000000,90.352424,13.769874,0.000000,77.628340,16.948064,29.601353,16.207617,0.053154,344.607966,0.000000,0.387971,50.237962,12.690778,0.000000,50.334016,40.533274,10.542246,0.000000,137.484400,0.000000,10.973077,37.155045,0.000000,32.796320,1.710502,0.000000,121.310901,2.595375,0.000000,40.807771,34.178727,1.053942,40.559605,0.000000,0.000000,364.528767,5.364617,115.787038,0.000000,154.929110,53.835345,13.246524,398.656350,111.403886,19.363991,18.502302,8.815267,14.52,12.431688,2.114992,0,0,0,0,0

30,07:15-07:30,1.348441,0.000000,90.352424,13.769874,0.000000,77.628340,16.948064,29.601353,16.207617,0.053154,344.607966,0.000000,0.387971,45.962390,12.690778,0.000000,50.334016,40.533274,10.542246,0.000000,137.484400,0.000000,10.973077,37.155045,0.000000,32.796320,1.710502,0.000000,121.310901,2.595375,0.000000,40.807771,34.178727,1.053942,40.559605,0.000000,0.000000,364.535060,5.364617,115.787038,0.000000,154.929110,53.835345,18.183424,398.656350,116.436507,19.363991,18.502302,8.815267,14.52,12.431688,2.114992,0,0,0,0,0

