Block,Time,SALAL,RAPPB,TEHRI,JHAJJAR,FSTPP I & II,SASAN,TALA,KHSTPP-I,KHSTPP-II,BRBCL,NAPP,CHAMERA1,TANAKPUR,DULHASTI,DADRI_RF,ANTA_LF,TANDA2,KOTESHWR,UNCHAHAR2,DHAULIGNGA,DADRI_CRF,DADRI_GF,KOLDAM,ANTA_CRF,UNCHAHAR1,ANTA_GF,DADRI_LF,RIHAND3,DADRT2,RAMPUR,NJPC,ANTA_RF,SINGRAULI_HYDRO,CHAMERA3,KISHANGANGA,AURY_LF,AURY_RF,PARBATI3,BSIUL,AURY_GF,URI2,UNCHAHAR3,CHAMERA2,SINGRAULI,URI,RAPPC,AURY_CRF,SEWA2,RIHAND1,UNCHAHAR4,RIHAND2,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,80.727394,0.000000,0.000000,407.612356,20.069920,385.356938,0.000000,42.754719,142.613764,18.347419,46.628272,40.668682,1.112433,57.098346,3.788799,0.000000,5.170020,0.000000,43.330402,31.506014,0.000000,0.000000,8.949257,1.854388,10.917987,0.000000,0.000000,125.996738,664.252547,5.810321,150.528842,0.000000,1.149350,33.608676,8.047894,0.000000,2.636467,0.000000,6.291920,0.000000,36.560562,26.668853,46.797484,144.724338,31.957488,65.604402,0.000000,18.140715,93.649279,2.981541,120.014262,0,0,0,0,0

2,00:15-00:30,80.727394,0.000000,0.000000,407.612356,20.069920,385.356938,0.000000,42.754719,142.613764,17.707745,46.628272,40.668682,1.112433,57.098346,0.000000,0.000000,5.170020,0.000000,43.330402,31.506014,0.000000,0.000000,8.949257,0.000000,10.917987,0.000000,0.000000,125.996738,664.252547,5.810321,150.528842,0.000000,1.149350,33.608676,8.047894,0.000000,0.000000,0.000000,6.291920,0.000000,36.560562,26.668853,46.797484,144.724338,31.957488,65.604402,0.000000,18.140715,93.649279,2.981541,120.014262,0,0,0,0,0

3,00:30-00:45,80.727394,0.000000,0.000000,407.292588,20.069920,385.356938,0.000000,42.754719,142.613764,16.934752,46.628272,40.668682,1.112433,57.098346,0.000000,0.000000,5.170020,0.000000,43.330402,31.506014,0.000000,0.000000,8.949257,0.000000,10.917987,0.000000,0.000000,125.996738,664.252547,5.810321,150.528842,0.000000,1.149350,33.608676,8.047894,0.000000,0.000000,0.000000,6.291920,0.000000,36.560562,26.668853,46.797484,144.724338,33.022738,65.604402,0.000000,18.140715,93.649279,2.981541,120.014262,0,0,0,0,0

4,00:45-01:00,80.727394,0.000000,0.000000,407.292588,20.069920,385.356938,0.000000,42.754719,142.613764,17.329065,46.628272,40.668682,1.112433,57.098346,0.000000,0.000000,5.170020,0.000000,43.330402,31.506014,0.000000,0.000000,8.949257,0.000000,10.917987,0.000000,0.000000,125.996738,664.252547,5.810321,150.528842,0.000000,1.149350,33.608676,8.047894,0.000000,0.000000,0.000000,6.291920,0.000000,36.560562,26.668853,46.797484,144.724338,33.022738,65.604402,0.000000,18.140715,93.649279,2.981541,120.014262,0,0,0,0,0

5,01:00-01:15,80.727394,0.000000,0.000000,407.292588,20.069920,385.356938,0.000000,42.754719,142.613764,17.348124,46.628272,40.668682,1.112433,57.098346,0.000000,0.000000,5.170020,0.000000,43.330402,21.004010,0.000000,0.000000,8.949257,0.000000,10.917987,0.000000,0.000000,125.996738,664.252547,5.810321,150.528842,0.000000,1.149350,33.608676,8.047894,0.000000,0.000000,0.000000,6.291920,0.000000,36.560562,26.668853,46.797484,144.724338,33.022738,65.604402,0.000000,12.118291,93.649279,2.981541,120.014262,0,0,0,0,0

