Column1,Time,NR/26072023/25122043/L_NR_2023_10,GNARE/SR/2025/01/13/4532,NR/01102023/08032047/L_NR_2021_14,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_16,NR/01102023/25072045/L_NR_2021_15,NR/26072023/31072042/L_NR_2023_07,GNA/NR/2025/06/01/7782,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/06/01/7663,GNA/NR/2025/06/07/5932,GNA/NR/2025/06/01/4973,GNA/NR/2025/06/01/2868,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/06/16/6051,GNA/NR/2025/06/01/4444,GNA/NR/2025/06/16/8791,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2025/06/20/3628,GNA/NR/2025/06/01/9719,GNA/NR/2025/06/01/5280,GNA/NR/2025/06/01/7786,GNARE/NR/2024/12/20/3668,NR/01102023/02122045/L_NR_2021_13,NR/22102023/11042047/L_NR_2021_17,WR/01102023/30052048/L_NR_2022_10,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,WR/01102023/16072048/L_NR_2022_08,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/06/01/2569,NR/01102023/19072037/LT-05,NR/01102023/22052037/LT-59,NR/01102023/30042040/GNA_LT_36,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/06022042/L_NR_2012_07,NR/01102023/31052040/LT-31,GNA/NR/2025/04/01/8964,NR/01102023/05012040/L_NR_2020_02,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/06/01/7762,GNA/NR/2025/04/01/8510,GNA/NR/2025/04/01/8456,NR/30092023/31122025/SH-07,GNA/NR/2025/06/01/9257,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/26122029/SH-06,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/24112044/L_NR_2020_07,L_NR_2019_19,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_07)
1,00:00-00:15,0,44.02,0,0,0,0,0,11.91,10.71,41.07,-0,41.07,29.06,273.25,19.33,0,15.32,130.75,20.85,20.54,11.92,41.07,0,0,0,0,18,0,14.33,100.68,53.39,115.92,10.6,0,29.26,87.17,0,3.96,9.37,0,20.54,15.33,5.81,22.13,20.54,16.47,22.13,0,18,0,54,0,0

2,00:15-00:30,0,44.02,0,0,0,0,0,11.91,10.71,41.07,-0,41.07,29.06,273.25,19.33,0,15.32,130.75,20.85,20.54,11.92,41.07,0,0,0,0,17,0,14,100.68,53.39,115.92,10.6,0,29.26,87.17,0,3.96,9.37,0,20.54,15.33,5.81,22.13,20.54,16.47,22.13,0,17,0,51,0,0

3,00:30-00:45,0,44.02,0,0,0,0,0,11.91,10.71,41.07,-0,41.07,29.06,273.25,19.33,0,15.32,130.75,20.85,20.54,11.92,41.07,0,0,0,0,15.83,0,13.67,100.68,53.39,115.92,10.6,0,29.26,87.17,0,3.96,9.37,0,20.54,15.33,5.81,22.13,20.54,16.47,22.13,0,15.83,0,47.51,0,0

4,00:45-01:00,0,44.02,0,0,0,0,0,11.91,10.71,41.07,-0,41.07,29.06,273.25,19.33,0,15.32,130.75,20.85,20.54,11.92,41.07,0,0,0,0,15.5,0,13.33,100.68,53.39,115.92,10.6,0,29.26,87.17,0,3.96,9.37,0,20.54,15.33,5.81,22.13,20.54,16.47,22.13,0,15.5,0,46.5,0,0

5,01:00-01:15,0,44.02,0,0,0,0,0,11.91,10.71,41.07,-0,41.07,29.06,273.25,19.33,0,15.32,112.06,20.85,20.54,11.92,41.07,0,0,0,0,14.83,0,13,100.68,53.39,107.4,10.6,0,29.26,76.63,0,3.96,8.44,0,20.54,15.33,5.81,26.5,20.54,16.19,26.5,0,14.83,0,44.51,0,0

6,01:15-01:30,0,44.02,0,0,0,0,0,11.91,10.71,41.07,-0,41.07,29.06,273.25,19.33,0,15.32,112.06,20.85,20.54,11.92,41.07,0,0,0,0,13.67,0,12.67,100.68,53.39,98.87,10.6,0,29.26,75.98,0,3.96,8.44,0,20.54,15.33,5.81,26.5,20.54,16.19,26.5,0,13.67,0,40.99,0,0

7,01:30-01:45,0,44.02,0,0,0,0,0,11.91,10.71,41.07,-0,41.07,29.06,273.25,19.33,0,15.32,119.95,20.85,20.54,11.92,41.07,0,0,0,0,12.5,0,14.33,100.68,53.39,90.35,10.6,0,28.76,56.65,0,3.96,8.44,0,20.54,15.33,5.81,26.5,20.54,16.19,26.5,0,12.5,0,37.5,0,0

8,01:45-02:00,0,44.02,0,0,0,0,0,11.91,10.71,41.07,-0,41.07,29.06,273.25,19.33,0,15.32,106.75,20.85,20.54,11.92,41.07,0,0,0,0,11.67,0,13.67,100.68,53.39,70.46,10.6,0,28.76,56.65,0,3.96,8.44,0,20.54,15.33,5.81,26.5,20.54,16.19,26.5,0,11.67,0,34.99,0,0

9,02:00-02:15,0,40.02,0,0,0,0,0,11.91,10.71,41.07,-0,41.07,29.06,265.06,19.33,164.29,15.32,102.88,20.85,20.54,11.92,41.07,0,0,0,0,10.33,0,13.33,100.68,53.39,70.46,10.6,0,28.76,56.65,0,4.03,7.5,0,20.54,15.33,5.81,26.5,20.54,15.91,26.5,0,10.33,0,31.01,0,0

10,02:15-02:30,0,40.02,0,0,0,0,0,11.91,10.71,41.07,-0,41.07,29.06,242.2,19.33,164.29,15.32,102.88,20.85,20.54,11.92,41.07,0,0,0,0,9.83,0,12.67,100.68,53.39,70.46,10.6,0,28.76,56.65,0,4.03,7.5,0,20.54,15.33,5.81,26.93,20.54,15.91,26.93,0,9.83,0,29.51,0,0

11,02:30-02:45,0,37.62,0,0,0,0,0,11.91,10.71,41.07,-0,41.07,29.06,218.61,19.33,164.29,15.32,84.19,20.85,20.54,11.92,41.07,0,0,0,0,10,0,11.67,100.68,53.39,70.46,10.6,0,28.26,56.65,0,4.02,7.5,0,20.54,15.33,5.81,26.93,20.54,15.91,26.93,0,10,0,30,0,0

12,02:45-03:00,0,37.62,0,0,0,0,0,11.91,10.71,41.07,-0,41.07,29.06,192.46,19.33,164.29,15.32,84.19,20.85,20.54,11.92,41.07,0,0,0,0,10.33,0,11,100.68,53.39,70.46,10.6,0,28.26,56.65,0,4.02,7.5,0,20.54,15.33,5.81,26.93,20.54,15.91,26.93,0,10.33,0,31.01,0,0

13,03:00-03:15,0,37.62,0,0,0,0,0,11.91,10.71,41.07,-0,41.07,29.06,166.01,19.33,164.29,15.32,102.88,20.85,20.54,11.92,41.07,0,0,0,0,10.67,0,10,100.68,53.39,70.46,10.6,0,28.26,56.65,0,3.96,6.56,0,20.54,15.33,5.81,26.93,20.54,15.72,26.93,0,10.67,0,31.99,0,0

14,03:15-03:30,0,37.62,0,0,0,0,0,11.91,10.71,41.07,-0,41.07,29.06,150.28,19.33,164.29,15.32,102.88,20.85,20.54,11.92,41.07,0,0,0,0,10.83,0,9.33,100.68,53.39,70.46,10.6,0,28.26,56.65,0,3.96,6.56,0,20.54,15.33,5.81,26.93,20.54,15.72,26.93,0,10.83,0,32.51,0,0

15,03:30-03:45,0,34.41,0,0,0,0,0,11.91,10.71,41.07,-0,41.07,29.06,150.28,19.33,164.29,15.32,84.19,20.85,20.54,11.92,41.07,0,0,0,0,15,0,13.33,100.68,53.39,70.46,10.6,0,28.76,56.65,0,1.1,6.56,0,20.54,15.33,5.81,26.93,20.54,15.72,26.93,0,15,0,45,0,0

16,03:45-04:00,0,34.41,0,0,0,0,0,11.91,10.71,41.07,-0,41.07,29.06,150.28,19.33,164.29,15.32,84.19,20.85,20.54,11.92,41.07,0,0,0,0,14.49,0,13,100.68,53.39,70.46,10.6,0,29.26,56.65,0,1.34,6.56,0,20.54,15.33,5.81,26.93,20.54,15.72,26.93,0,14.49,0,43.47,0,0

17,04:00-04:15,0,34.01,0,0,0,0,0,11.91,10.71,41.07,-0,41.07,29.06,188.94,19.33,164.29,15.32,130.75,20.85,20.54,11.92,41.07,0,0,0,0,12.95,0,16.67,100.68,53.39,110.53,10.45,0,29.26,87.17,0,1.67,6.09,0,20.54,15.33,5.81,26.93,20.54,15.54,26.93,0,12.95,0,38.87,0,0

18,04:15-04:30,0,33.81,0,0,0,0,0,11.91,10.71,41.07,-0,41.07,29.06,227.6,19.33,164.29,15.32,130.75,20.85,20.54,11.92,41.07,0,0,0,0,11.89,0,16,100.68,53.39,70.46,10.45,0,29.26,87.17,0,4.03,6.09,0,20.54,15.33,5.81,26.93,20.54,15.54,26.93,0,11.89,0,35.68,0,0

19,04:30-04:45,0,28.01,0,0,0,0,0,11.91,10.71,41.07,-0,41.07,29.06,266.25,19.33,164.29,15.32,130.75,20.85,20.54,11.92,41.07,0,0,0,0,16.67,0,15,100.68,53.39,70.46,10.45,0,29.26,73.66,0,4.03,6.09,0,20.54,15.33,5.81,26.93,20.54,15.54,26.93,0,16.67,0,49.99,0,0

