Block,Time,L_NR_2020_02,L_NR_2019_11,LT-59,LT-31,L_NR_2012_02,L_NR_2012_04,SH-06,L_NR_2023_04,LT-05,LT-36,SH-07,L_NR_2012_07,LT-35,L_NR_2012_01,L_NR_2020_05,L_NR_2020_07,L_NR_2019_06,L_NR_2019_19,L_NR_2020_06,L_NR_2022_10,L_NR_2019_07,L_NR_2022_09,L_NR_2022_08,L_NR_2019_05,L_NR_2018_61,L_NR_2021_12,L_NR_2021_16,L_NR_2021_17,L_NR_2023_07,L_NR_2023_10,L_NR_2021_13,L_NR_2021_15,L_NR_2021_14
1,00:00-00:15,7.280000,10.030000,10.150000,0.000000,262.540000,272.870000,31.050000,28.870000,58.210000,0.000000,31.050000,74.390000,0.000000,101.630000,48.49,16.16,0,0,16.17,43.59,0,43.59,14.39,0,8,0,0,0,0,0,0,0,0

2,00:15-00:30,7.280000,10.030000,10.150000,0.000000,262.540000,272.870000,31.050000,28.870000,58.210000,0.000000,31.050000,74.390000,0.000000,101.630000,50.19,16.73,0,0,16.73,44.41,0,44.41,14.89,0,8,0,0,0,0,0,0,0,0

3,00:30-00:45,7.280000,10.030000,10.150000,0.000000,262.540000,272.870000,31.050000,28.870000,58.210000,0.000000,31.050000,74.390000,0.000000,101.630000,52,17.34,0,0,17.33,35.97,0,35.97,15.45,0,8,0,0,0,0,0,0,0,0

4,00:45-01:00,7.280000,10.030000,10.150000,0.000000,262.540000,272.870000,31.050000,28.870000,58.210000,0.000000,31.050000,74.390000,0.000000,101.630000,54.4,18.15,0,0,18.13,37.43,0,37.43,16.19,0,8,0,0,0,0,0,0,0,0

5,01:00-01:15,7.090000,9.640000,10.150000,0.000000,262.540000,272.870000,24.500000,28.870000,58.210000,0.000000,31.050000,74.390000,0.000000,101.630000,56.48,18.82,0,0,18.83,38.31,0,38.31,16.58,0,8,0,0,0,0,0,0,0,0

6,01:15-01:30,7.090000,9.640000,10.150000,0.000000,262.540000,272.870000,24.500000,28.870000,58.210000,0.000000,31.050000,74.390000,0.000000,101.630000,32.7,10.9,0,0,10.9,39.05,0,39.05,10.07,0,8,0,0,0,0,0,0,0,0

7,01:30-01:45,7.090000,9.640000,9.750000,0.000000,262.540000,272.870000,25.550000,28.870000,58.210000,0.000000,31.050000,74.390000,0.000000,101.630000,34.94,11.64,0,0,11.65,40.32,0,40.32,10.31,0,8,0,0,0,0,0,0,0,0

8,01:45-02:00,7.090000,9.410000,9.750000,0.000000,262.540000,272.870000,25.550000,28.870000,35.380000,0.000000,31.050000,59.330000,0.000000,101.630000,34.91,11.63,0,0,11.64,36.88,0,36.88,10.6,0,7.4,0,0,0,0,0,0,0,0

9,02:00-02:15,7.000000,9.410000,9.750000,0.000000,262.540000,272.870000,25.550000,28.870000,35.380000,0.000000,31.050000,59.330000,0.000000,101.630000,35.29,11.78,0,0,11.76,37.9,0,37.9,10.89,0,7.4,0,0,0,0,0,0,0,0

10,02:15-02:30,7.000000,9.410000,9.750000,0.000000,262.540000,272.870000,25.550000,28.870000,35.380000,0.000000,31.050000,59.330000,0.000000,101.630000,35.67,11.89,0,0,11.89,38.11,0,38.11,11.08,0,7.4,0,0,0,0,0,0,0,0

11,02:30-02:45,7.000000,9.410000,9.750000,0.000000,221.120000,272.870000,25.550000,28.870000,35.380000,0.000000,31.050000,59.330000,0.000000,101.630000,36.03,12,0,0,12.01,38.15,0,38.15,11.23,0,7.4,0,0,0,0,0,0,0,0

12,02:45-03:00,7.000000,9.410000,9.750000,0.000000,221.120000,272.870000,25.550000,28.870000,35.380000,0.000000,31.050000,59.330000,0.000000,101.630000,36.35,12.11,0,0,12.12,38.93,0,38.93,11.36,0,7.4,0,0,0,0,0,0,0,0

13,03:00-03:15,6.910000,9.260000,9.520000,0.000000,221.120000,272.870000,25.550000,28.870000,35.380000,0.000000,31.050000,59.330000,0.000000,101.630000,36.37,12.12,0,0,12.12,38.51,0,38.51,11.49,0,7.4,0,0,0,0,0,0,0,0

14,03:15-03:30,6.910000,9.260000,9.520000,0.000000,221.120000,272.870000,25.550000,28.870000,35.380000,0.000000,31.050000,59.330000,0.000000,101.630000,36.46,12.16,0,0,12.15,38.55,0,38.55,11.63,0,7.4,0,0,0,0,0,0,0,0

15,03:30-03:45,6.910000,9.260000,9.520000,0.000000,221.120000,272.870000,25.550000,28.870000,35.380000,0.000000,31.050000,59.330000,0.000000,101.630000,35.03,11.67,0,0,11.68,30.71,0,30.71,11.09,0,7.4,0,0,0,0,0,0,0,0

