Block,Time Block,KKNPPU2,KOLDAM,KUDGI,KOTESHWR,KKNP,FSTPP I & II,DULHASTI,ANTA_CRF,ANTA_RF,AURY_LF,DADRI_GF,ANTA_LF,AURY_GF,DADRI_CRF,DADRI_RF,ANTA_GF,AURY_CRF,AURY_RF,DADRI_LF,JHAJJAR,KGSU1AND2,VALLURNTECL,UNCHAHAR1,UNCHAHAR4,TANDA2,URI2,UNCHAHAR3,TALST2,TANAKPUR,TelanganaSTPP,UNCHAHAR2,URI,TEHRI,RSTPSU1TO6,SIMHST1,SINGRAULI_HYDRO,RSTPSU7,SIMHST2,SALAL,SEWA2,SINGRAULI,SASAN,TALA,DHAULIGNGA,DADRT2,CHAMERA3,KGSU3AND4,KHSTPP-I,KHSTPP-II,RIHAND1,NLCTS2EXP,RAMPUR,NNTPP,RAPPC,NAPP,NTPL,PARBATI3,RIHAND3,RAPPB,NLCEXP,RIHAND2,NLCIIST1,NJPC,NLCIIST2,KISHANGANGA,CHAMERA1,BSIUL,CHAMERA2,BRBCL,MAPS,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,0,0,8.51,0,14.98,15.81,0,0,0,0,0,0,0,0,0,0,0,0,232.43,0,0,15.38,0,0,6.45,18.79,0,3.07,0,15.65,25.41,0,0,0,0,0,0,1.34,0,134,302.58,0,0,371.06,0,0,38.29,78.22,44.13,0,0,0,49.91,41.9,0,0,119.26,0,0,113.93,0,0,0,0,0,0,0,17.44,0,0,0,0,0,0

2,00:15-00:30,0,0,0,8.51,0,14.98,15.81,0,0,0,0,0,0,0,0,0,0,0,0,232.43,0,0,15.38,0,0,18.06,18.79,0,7.99,0,15.65,25.41,0,0,0,0,0,0,1.34,0,134,310.13,0,0,293.55,0,0,36.79,78.22,44.13,0,0,0,49.91,41.9,0,0,119.26,0,0,113.93,0,0,0,0,0,0,0,18.3,0,0,0,0,0,0

3,00:30-00:45,0,0,0,8.51,0,14.98,15.81,0,0,0,0,0,0,0,0,0,0,0,0,251.2,0,0,17.3,0,0,18.06,20.71,0,7.99,0,17.56,6.36,0,0,0,0,0,0,1.34,0,134,267.82,0,0,293.55,0,0,36.79,78.22,44.13,0,0,0,49.91,41.9,0,0,119.26,0,0,113.93,0,0,0,0,0,0,0,17.34,0,0,0,0,0,0

4,00:45-01:00,0,0,0,8.51,0,14.98,15.81,0,0,0,0,0,0,0,0,0,0,0,0,251.2,0,0,17.3,0,0,18.06,20.71,0,3.07,0,17.56,2.12,0,0,0,0,0,0,1.34,0,134,267.82,0,0,311.77,0,0,36.79,78.22,44.13,0,0,0,49.91,41.9,0,0,119.26,0,0,113.93,0,0,0,0,0,0,0,17.03,0,0,0,0,0,0

5,01:00-01:15,0,0,0,8.51,0,14.98,15.81,0,0,0,0,0,0,0,0,0,0,0,0,251.2,0,0,17.3,0,0,18.06,20.71,0,3.07,0,17.56,2.12,0,0,0,0,0,0,1.34,0,134,267.82,0,0,294.51,0,0,36.79,78.22,44.13,0,0,0,49.91,41.9,0,0,119.26,0,0,113.93,0,0,0,0,0,0,0,14.87,0,0,0,0,0,0

6,01:15-01:30,0,0,0,8.51,0,14.98,15.81,0,0,0,0,0,0,0,0,0,0,0,0,251.2,0,0,17.3,0,0,18.06,20.71,0,3.07,0,17.56,2.12,0,0,0,0,0,0,1.34,0,134,267.82,0,0,274.36,0,0,36.79,78.22,44.13,0,0,0,49.91,41.9,0,0,119.26,0,0,113.93,0,0,0,0,0,0,0,13.32,0,0,0,0,0,0

7,01:30-01:45,0,0,0,8.51,0,14.98,15.81,0,0,0,0,0,0,0,0,0,0,0,0,251.2,0,0,17.3,0,0,10.32,20.71,0,3.07,0,17.56,2.12,0,0,0,0,0,0,1.34,0,134,267.82,0,0,267.64,0,0,36.79,78.22,44.13,0,0,0,49.91,41.9,0,0,119.26,0,0,113.93,0,0,0,0,0,0,0,13.93,0,0,0,0,0,0

8,01:45-02:00,0,0,0,8.51,0,14.98,15.81,0,0,0,0,0,0,0,0,0,0,0,0,251.2,0,0,17.3,0,0,4.26,20.71,0,3.07,0,17.56,2.12,0,0,0,0,0,0,1.34,0,134,267.82,0,0,259.97,0,0,36.79,78.22,44.13,0,0,0,49.91,41.9,0,0,119.26,0,0,113.93,0,0,0,0,0,0,0,14,0,0,0,0,0,0

9,02:00-02:15,0,0,0,8.51,0,14.98,0,0,0,0,0,0,0,0,0,0,0,0,0,251.2,0,0,17.3,0,0,4.26,20.71,0,3.07,0,17.56,2.12,0,0,0,0,0,0,1.34,0,134,267.82,0,0,246.54,0,0,36.79,78.22,44.13,0,0,0,49.91,41.9,0,0,119.26,0,0,113.93,0,0,0,0,0,0,0,14.23,0,0,0,0,0,0

10,02:15-02:30,0,0,0,8.51,0,14.98,0,0,0,0,0,0,0,0,0,0,0,0,0,251.2,0,0,17.3,0,0,4.26,20.71,0,7.99,0,17.56,2.12,0,0,0,0,0,0,1.34,0,134,267.82,0,0,238.87,0,0,36.79,78.22,44.13,0,0,0,49.91,41.9,0,0,119.26,0,0,113.93,0,0,0,0,0,0,0,14.68,0,0,0,0,0,0

11,02:30-02:45,0,0,0,8.51,0,14.98,0,0,0,0,0,0,0,0,0,0,0,0,0,251.2,0,0,17.51,0,0,4.26,21.38,0,3.07,0,17.93,2.12,0,0,0,0,0,0,1.34,0,134,267.82,0,0,234.07,0,0,36.79,78.22,44.13,0,0,0,49.91,41.9,0,0,119.26,0,0,113.93,0,0,0,0,0,0,0,16.11,0,0,0,0,0,0

12,02:45-03:00,0,0,0,8.51,0,14.98,0,0,0,0,0,0,0,0,0,0,0,0,0,248.52,0,0,13.64,0,0,4.26,16.4,0,3.07,0,13.99,2.12,0,0,0,0,0,0,1.34,0,134,267.82,0,0,223.52,0,0,36.79,78.22,44.13,0,0,0,49.91,41.9,0,0,119.26,0,0,113.93,0,0,0,0,0,0,0,19.19,0,0,0,0,0,0

13,03:00-03:15,0,0,0,8.51,0,14.98,0,0,0,0,0,0,0,0,0,0,0,0,0,248.52,0,0,13.64,0,0,4.26,16.4,0,3.07,0,13.99,2.12,0,0,0,0,0,0,13.38,0,134,267.82,0,0,224.48,0,0,36.79,78.22,44.13,0,0,0,49.91,41.9,0,0,119.26,0,0,113.93,0,0,0,0,0,0,0,18.44,0,0,0,0,0,0

14,03:15-03:30,0,0,0,8.51,0,14.98,0,0,0,0,0,0,0,0,0,0,0,0,0,248.52,0,0,13.64,0,0,4.26,16.4,0,3.07,0,13.99,2.12,0,0,0,0,0,0,53.5,0,134,267.82,0,0,224.48,0,0,36.79,78.22,44.13,0,0,0,49.91,41.9,0,0,119.26,0,0,113.93,0,0,0,0,0,0,0,17.52,0,0,0,0,0,0

15,03:30-03:45,0,0,0,8.51,0,14.98,0,0,0,0,0,0,0,0,0,0,0,0,0,248.52,0,0,13.64,0,0,4.26,16.4,0,3.07,0,13.99,2.12,0,0,0,0,0,0,53.5,0,134,267.82,0,0,223.52,0,0,36.79,78.22,44.13,0,0,0,49.91,41.9,0,0,119.26,0,0,113.93,0,0,0,0,0,0,0,18.83,0,0,0,0,0,0

16,03:45-04:00,0,0,0,8.51,0,14.98,0,0,0,0,0,0,0,0,0,0,0,0,0,251.2,0,0,17.51,0,0,4.26,21.38,0,3.07,0,17.93,2.12,0,0,0,0,0,0,53.5,0,134,267.82,0,0,233.11,0,0,36.79,78.22,44.13,0,0,0,49.91,41.9,0,0,119.26,0,0,113.93,0,0,0,0,0,0,0,19.19,0,0,0,0,0,0

