Block,Time,DHAULIGNGA,KGSU1AND2,KHSTPP-II,KKNP,MAPS,RAPPC,SIMHST1,TEHRIPSP,URI,DADRI_RF,CHAMERA2,DULHASTI,RAPPB,TALST2,ANTA_GF,ANTA_LF,BRBCL,FSTPP I & II,RIHAND3,SEWA2,AURY_LF,KHSTPP-I,NLCIIST1,NLCIIST2,NLCTS2EXP,RAPPD,RIHAND2,RSTPSU7,SINGRAULI,TALA,UNCHAHAR1,UNCHAHAR2,ANTA_RF,AURY_RF,DADRI_GF,BSIUL,DADRT2,JHAJJAR,KUDGI,NJPC,NLCEXP,NTPL,PARBATI2,RSTPSU1TO6,SALAL,SIMHST2,TANAKPUR,KKNPPU2,KOLDAM,NAPP,NNTPP,SASAN,TEHRI,TelanganaSTPP,UNCHAHAR4,ANTA_CRF,AURY_CRF,DADRI_CRF,CHAMERA3,KISHANGANGA,KOTESHWR,PARBATI3,TANDA2,UNCHAHAR3,URI2,VALLURNTECL,AURY_GF,CHAMERA1,KGSU3AND4,RAMPUR,RIHAND1,SINGRAULI_HYDRO,DADRI_LF
1,00:00-00:15,1.53,0,148.3,0,0,65.42,0,0,33.12,79.04,47.12,55.38,0,0,0,0,24.99,20.8,130.84,0,0,45.53,0,0,0,0,125.27,0,149.89,18.46,21.65,45,51.2,79.74,0,13.04,549.38,580.05,0,175.79,0,0,0,0,84.24,0,13.06,0,8.62,24.48,0,343.12,59.52,0,3.22,0,0,0,33.94,7.05,40.57,32.71,5.73,27.69,38.97,0,0,42.15,0,5.7,98.32,0.96,0

2,00:15-00:30,1.53,0,148.3,0,0,65.42,0,0,33.12,79.04,47.12,55.38,0,0,0,0,24.99,20.8,130.84,0,0,45.53,0,0,0,0,125.27,0,149.89,18.46,21.65,45,51.2,79.74,0,13.04,549.38,580.05,0,175.79,0,0,0,0,84.24,0,13.06,0,8.62,24.48,0,343.12,59.52,0,3.22,0,0,0,33.94,7.05,40.57,32.71,5.73,27.69,38.97,0,0,42.15,0,5.7,98.32,0.96,0

3,00:30-00:45,0,0,148.3,0,0,65.42,0,0,26.49,79.04,47.12,55.38,0,0,0,0,24.99,20.8,130.84,0,0,45.53,0,0,0,0,125.27,0,149.89,18.46,21.65,45,51.2,79.74,0,13.04,549.38,667.25,0,175.79,0,0,0,0,84.24,0,13.06,0,8.62,24.48,0,343.12,59.52,0,3.22,0,0,0,33.94,7.05,40.57,32.71,5.73,27.69,24.94,0,0,42.15,0,5.7,98.32,0.96,0

4,00:45-01:00,0,0,148.3,0,0,65.42,0,0,26.49,79.04,47.12,55.38,0,0,0,0,24.99,20.8,130.84,0,0,45.53,0,0,0,0,125.27,0,149.89,18.46,21.65,45,51.2,79.74,0,13.04,549.38,667.25,0,175.79,0,0,0,0,84.24,0,13.06,0,8.62,24.48,0,343.12,59.52,0,3.22,0,0,0,33.94,7.05,40.57,32.71,5.73,27.69,24.94,0,0,42.15,0,5.7,98.32,0.96,0

5,01:00-01:15,0,0,148.3,0,0,65.42,0,0,26.49,79.04,47.12,55.38,0,0,0,0,24.99,20.8,130.84,0,0,45.53,0,0,0,0,125.27,0,149.89,18.46,21.65,45,51.2,79.74,0,13.04,549.38,667.25,0,175.79,0,0,0,0,84.24,0,13.06,0,8.62,24.48,0,343.12,59.52,0,3.22,0,0,0,33.94,7.05,40.57,32.71,5.73,27.69,24.94,0,0,42.15,0,5.7,98.32,0.96,0

6,01:15-01:30,0,0,148.3,0,0,65.42,0,0,26.49,79.04,47.12,55.38,0,0,0,0,24.99,20.8,130.84,0,0,45.53,0,0,0,0,125.27,0,149.89,18.46,21.65,45,51.2,79.74,0,13.04,549.38,667.25,0,175.79,0,0,0,0,84.24,0,13.06,0,8.62,24.48,0,343.12,59.52,0,3.22,0,0,0,33.94,7.05,40.57,32.71,5.73,27.69,24.94,0,0,42.15,0,5.7,98.32,0.96,0

7,01:30-01:45,0,0,148.3,0,0,65.42,0,0,39.75,79.04,47.12,55.38,0,0,0,0,24.99,20.8,130.84,0,0,45.53,0,0,0,0,125.27,0,149.89,18.46,21.65,45,51.2,79.74,0,13.04,549.38,667.25,0,175.79,0,0,0,0,84.24,0,13.06,0,8.62,24.48,0,343.12,59.52,0,3.22,0,0,0,33.94,7.05,40.57,32.71,5.73,27.69,23.38,0,0,42.15,0,5.7,98.32,0.96,0

8,01:45-02:00,0,0,148.3,0,0,65.42,0,0,39.75,79.04,47.12,55.38,0,0,0,0,24.99,20.8,130.84,0,0,45.53,0,0,0,0,125.27,0,149.89,18.46,21.65,45,51.2,79.74,0,13.04,549.38,667.25,0,175.79,0,0,0,0,84.24,0,13.06,0,8.62,24.48,0,343.12,59.52,0,3.22,0,0,0,33.94,7.05,40.57,32.71,5.73,27.69,23.38,0,0,42.15,0,5.7,98.32,0.96,0

9,02:00-02:15,0,0,148.3,0,0,65.42,0,0,52.36,79.04,47.12,55.38,0,0,0,0,24.99,20.8,130.84,0,0,45.53,0,0,0,0,125.27,0,149.89,18.46,21.65,45,51.2,80,0,13.04,549.38,667.25,0,175.79,0,0,0,0,84.24,0,13.06,0,8.62,24.48,0,343.12,59.52,0,3.22,0,0,0,33.94,7.05,40.57,22.3,5.73,27.69,38.97,0,0,42.15,0,5.7,98.32,0.96,0

10,02:15-02:30,0,0,148.3,0,0,65.42,0,0,52.36,79.04,47.12,55.38,0,0,0,0,24.99,20.8,130.84,0,0,45.53,0,0,0,0,125.27,0,149.89,18.46,21.65,45,51.2,80,0,13.04,549.38,667.25,0,175.79,0,0,0,0,84.24,0,13.06,0,8.62,24.48,0,343.12,59.52,0,3.22,0,0,0,33.94,7.05,40.57,22.3,5.73,27.69,38.97,0,0,42.15,0,5.7,98.32,0.96,0

11,02:30-02:45,0,0,148.3,0,0,65.42,0,0,52.36,79.04,47.12,55.38,0,0,0,0,24.99,20.8,130.84,0,0,45.53,0,0,0,0,125.27,0,149.89,18.46,21.65,45,51.2,80,0,13.04,549.38,667.25,0,175.79,0,0,0,0,84.24,0,13.06,0,8.62,24.48,0,343.12,59.52,0,3.22,0,0,0,33.94,7.05,40.57,22.3,5.73,27.69,23.38,0,0,42.15,0,5.7,98.32,0.96,0

12,02:45-03:00,0,0,148.3,0,0,65.42,0,0,26.49,79.04,47.12,55.38,0,0,0,0,24.99,20.8,130.84,0,0,45.53,0,0,0,0,125.27,0,149.89,18.46,21.65,45,51.2,80,0,13.04,549.38,667.25,0,175.79,0,0,0,0,84.24,0,13.06,0,8.62,24.48,0,343.12,59.52,0,3.22,0,0,0,33.94,7.05,40.57,22.3,5.73,27.69,23.38,0,0,42.15,0,5.7,98.32,0.96,0

13,03:00-03:15,0,0,148.3,0,0,65.42,0,0,26.49,79.04,47.12,55.38,0,0,0,0,24.99,20.8,130.84,0,0,45.53,0,0,0,0,125.27,0,149.89,18.93,21.65,45,51.84,80,0,13.04,689.38,667.25,0,175.79,0,0,0,0,80.76,0,11.91,0,8.62,24.48,0,343.12,59.52,0,3.22,0,0,0,33.94,7.05,40.57,22.3,5.73,27.69,23.38,0,0,42.15,0,5.7,98.32,0.96,0

14,03:15-03:30,0,0,148.3,0,0,65.42,0,0,26.49,79.04,47.12,55.38,0,0,0,0,24.99,20.8,130.84,0,0,45.53,0,0,0,0,125.27,0,149.89,18.93,21.65,45,51.84,80,0,13.04,689.38,667.25,0,175.79,0,0,0,0,80.76,0,11.91,0,8.62,24.48,0,343.12,59.52,0,3.22,0,0,0,33.94,7.05,40.57,22.3,5.73,27.69,23.38,0,0,42.15,0,5.7,98.32,0.96,0

15,03:30-03:45,0,0,148.3,0,0,65.42,0,0,26.49,79.04,47.12,55.38,0,0,0,0,24.99,20.8,130.84,0,0,45.53,0,0,0,0,125.27,0,149.89,18.93,21.65,45,51.84,80,0,13.04,689.38,667.25,0,175.79,0,0,0,0,80.76,0,11.91,0,8.62,24.48,0,343.12,59.52,0,3.22,0,0,0,33.94,7.05,40.57,32.71,5.73,27.69,23.38,0,0,42.15,0,5.7,98.32,0.96,0

16,03:45-04:00,0,0,148.3,0,0,65.42,0,0,52.36,79.04,47.12,55.38,0,0,0,0,24.99,20.8,130.84,0,0,45.53,0,0,0,0,125.27,0,149.89,18.93,21.65,45,51.84,80,0,13.04,689.38,667.25,0,175.79,0,0,0,0,80.76,0,11.91,0,8.62,24.48,0,343.12,59.52,0,3.22,0,0,0,33.94,7.05,40.57,32.71,5.73,27.69,23.38,0,0,42.15,0,5.7,98.32,0.96,0

