Time,Block,NR/2023/14953/C,NR/2023/11470/A,NR/2023/14945/C,NR/2023/12646/A,NR/2023/11954/A,NR/2023/14957/C,NR/2023/14688/F,NR/2023/14688/F/II,NR/2023/14942/C,NR/2023/13573/A,NR/2023/11697/A,NR/2023/13283/A,NR/2023/14958/C,NR/2023/14934/D,NR/2023/14976/C,NR/2023/13859/A,NR/2023/11654/A,NR/2023/11739/A,NR/2023/11203/A,NR/2023/11458/A,NR/2023/13983/F,NR/2023/11325/A,NR/2023/11328/A,NR/2023/13983/F/II,NR/2023/14955/C,NR/2023/14949/C,NR/2023/14959/C,NR/2023/11469/A,NR/2023/14954/C,NR/2023/13284/A,NR/2023/14187/F,NR/2023/13858/A,NR/2023/11315/A,NR/2023/14935/D,NR/2023/14936/D,NR/2023/14938/D,Total
,,HPXL,NVVNL,GBHHPL,MANIKARAN,KEIPL,IEXL,GMRETL,GMRETL,SJVNL,NVVNL,APPCPL,APPCPL,IEXL,NVVNL,HPXL,MANIKARAN,TPTCL,NVVNL,KEIPL,STATKRAFT,ITCLH,APPCPL,APPCPL,ITCLH,TPDDL,HPXL,IEXL,NVVNL,IEXL,APPCPL,GBHHPL,MANIKARAN,GMRETL,TS1PL_BKN,NVVNL,TS1PL_BKN,Total

,,NA,NA,HIMACHAL PRADESH,TAMIL NADU,MEGHALAYA,NA,GOA,GOA,WEST BENGAL,NA,HIMACHAL PRADESH,GOA,NA,NA,KARNATAKA,HIMACHAL PRADESH,NA,MP,MEGHALAYA,TAMIL NADU,ANDHRA PRADESH,MEGHALAYA,UTTARAKHAND,ANDHRA PRADESH,HIMACHAL PRADESH,UTTAR PRADESH,NA,NA,KARNATAKA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,MEGHALAYA,NA,NA,NA,
,,Teesta_III,KAMENG,GBHHPL,TANGEDCO,Meghalaya_Ben,ADHPL,GOA_Beneficiary,GOA_Beneficiary,IPCL_WB,SKS Raigarh,HP,GOA_Beneficiary,MCCPL,KAMENG,PCKL,HP,JPL-2,JP BINA,Meghalaya_Ben,TANGEDCO,ITCWIND,Meghalaya_Ben,UTTARAKHAND,ITCWIND,CHANJUII,PPGCL,HIRIYUR_OSTROKANNADA,JPNIGRIE_JNSTPP,NSLSUGAR,HP,GBHHPL,HP,Meghalaya_Ben,TS1PL_BKN,SOLAPUR_SOLAR,TS1PL_BKN,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BRPL,BRPL,DIAPL,BRPL,BYPL,BRPL,TPDDL,TPDDL,NDMC,NDMC,BYPL,BRPL,BRPL,TPDDL,BRPL,BRPL,BRPL,BRPL,BYPL,BYPL,ITCLH,BYPL,BYPL,ITCLH,TPDDL,BRPL,BRPL,BRPL,MES (Delhi),BRPL,DIAPL,BRPL,BYPL,BYPL,MES (Delhi),BRPL,
,,East-North,North East-East-North,North-North,South-West-North,North East-East-North,North-North,West-North,West-East-North,East-North,West-North,North-North,West-North,West-North,North East-East-North,South-East-North,North-North,West-North,West-North,North East-East-North,South-West-North,South-West-North,North East-East-North,North-North,South-East-North,North-North,North-North,South-West-North,West-North,South-West-North,North-North,North-North,North-North,North East-East-North,North-North,West-North,North-North,
1,00:00-00:15,48.270000,21.230000,0.970000,23.100000,36.420000,91.710000,0.000000,24.140000,0.000000,0.000000,36.780000,24.140000,0.000000,193.080000,0.000000,181.010000,152.530000,42.470000,62.990000,98.470000,0.630000,24.140000,48.270000,0.240000,19.600000,0.000000,0,84.940000,6.760000,85.820000,3.860000,84.470000,22.200000,0,0,0,1418.24

2,00:15-00:30,48.270000,21.230000,0.970000,23.100000,36.420000,91.710000,0.000000,24.140000,0.000000,0.000000,36.780000,24.140000,0.000000,193.080000,0.000000,181.010000,152.530000,42.470000,62.990000,98.470000,0.630000,24.140000,48.270000,0.240000,19.600000,0.000000,0,84.940000,6.760000,85.820000,3.860000,84.470000,22.200000,0,0,0,1418.24
