Column1,Block,NR/2024/23159/C,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2024/23122/A/37843,NR/2024/22803/A/37848,NR/2024/22874/A/37847,NR/2024/22848/A/37837,NR/2024/23153/C,NR/2024/23118/A/37842,NR/2024/21658/A/37586,NR/30092023/26122029/SH-06,NR/2024/23158/C,NR/2024/22754/A/37812,NR/2024/22820/A/37580,NR/2024/23119/A/37844,NR/2024/23121/A/37845,NR/2024/23017/A/37617,NR/2024/23038/A/37576,NR/2024/22835/A/37884,NR/2024/23115/A/37770,NR/2024/23157/C,NR/2024/23116/A/37774,GNA/NR/2024/09/01/8090,GNA/NR/2024/09/01/6020,GNA/NR/2024/09/01/7908,GNA/NR/2024/09/01/2171,GNA/NR/2024/09/01/6566,NR/30092023/31122025/SH-07,GNA/NR/2024/09/16/2535,GNA/NR/2024/09/01/9821,GNA/NR/2024/09/01/7119,Total
,,NVVNL,DELHI,NVVNL,NVVNL,NVVNL,APPCPL,TPDDL,NVVNL,ITCLH,PUNJAB,NVVNL,PTC,IEXL,NVVNL,NVVNL,DIAPL,IEXL,MANIKARAN,SJVNL,NVVNL,SJVNL,DELHI,INSTINCT,MANIKARAN,MANIKARAN,TPTCL,BAWANA_GAS,PTC,APPCPL,JITPL,
,,NA,HIMACHAL_STATE,NA,NA,MP_State,UTTARAKHAND_STATE,NA,NA,ANDHRA_PRADESH_STATE,DELHI_UT,NA,HIMACHAL_STATE,KARNATAKA_STATE,NA,NA,HIMACHAL_STATE,MSEB_State,MSEB_State,NA,NA,NA,NA,NA,MP_State,ODISHA_STATE,NA,DELHI_UT,HIMACHAL_STATE,Arunachal_State,NA,
,,SORANG_HEP,CHANJUII,JPL2,JPNIGRIE_JNSTPP,JP_BINA,UTTARAKHAND,JHAJJAR,TRN_ENERGY,ITCWIND,BAWANA_GAS,Kameng,HP,NSLSUGAR,RKM_POWER,RKM_POWER,GBHHPL,A_A_Energy_MH_Bio,AEML,RSRPL_BKN,SOLAPUR_SOLAR,TPSL_BKN2,SKS_Raigarh,JPL2,BLAPOWER_MP,MAADURGA_THERMAL,JITPL,BAWANA_GAS,HP,Arunachal_Ben,JITPL,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,
,,TPDDL,TPDDL,NDMC,TPDDL,TPDDL,BYPL,TPDDL,NDMC,ITCLH,PUNJAB,TPDDL,BYPL,MES_Delhi,NDMC,NDMC,DIAPL,MES_Delhi,BYPL,NDMC,MES_Delhi,NDMC,NDMC,BRPL,BRPL,BRPL,BRPL,HARYANA,BRPL,BRPL,NDMC,
,,North-North,North-North,West-North,West-North,West-North,North-North,North-North,West-North,South-West-North,North-North,North East-East-North,North-North,South-West-North,West-North,West-North,North-North,West-North,West-North,North-North,West-North,North-North,West-North,West-North,West-North,East-North,East-North,North-North,North-North,North East-East-North,East-North,
1,00:00-00:15,28.11,10.91,26.43,96.92,48.46,84.49,0,8.81,0.87,32,165.01,48.46,4.85,26.43,26.43,8.72,3.88,91.1,0,0,0,8.81,82.38,18.51,2.13,20.6,32,145.38,32.95,17.52,1072.1599999999999

2,00:15-00:30,28.11,10.91,26.43,96.92,48.46,84.49,0,8.81,0.87,32,165.01,48.46,4.85,26.43,26.43,8.72,3.88,91.1,0,0,0,8.81,82.38,18.51,2.13,20.6,32,145.38,32.95,17.52,1072.1599999999999

3,00:30-00:45,28.11,10.91,26.43,96.92,48.46,84.49,0,8.81,0.87,32,165.01,48.46,4.85,26.43,26.43,8.72,3.88,91.1,0,0,0,8.81,82.38,18.51,2.13,20.6,32,145.38,32.95,17.52,1072.1599999999999

4,00:45-01:00,28.11,10.91,26.43,96.92,48.46,84.49,0,8.81,0.87,32,165.01,48.46,4.85,26.43,26.43,8.72,3.88,91.1,0,0,0,8.81,82.38,18.51,2.13,20.6,32,145.38,32.95,17.52,1072.1599999999999

5,01:00-01:15,28.11,10.83,26.43,96.92,48.46,84.49,0,8.81,0.68,32,165.01,48.46,4.85,26.43,26.43,8.72,3.88,91.1,0,0,0,8.81,82.38,18.51,2.13,20.6,32,145.38,32.95,17.52,1071.8899999999999

6,01:15-01:30,28.11,10.83,26.43,96.92,48.46,84.49,0,8.81,0.68,32,165.01,48.46,4.85,26.43,26.43,8.72,3.88,91.1,0,0,0,8.81,82.38,18.51,2.13,20.6,32,145.38,32.95,17.52,1071.8899999999999

7,01:30-01:45,28.11,10.83,26.43,96.92,48.46,84.49,0,8.81,0.68,32,165.01,48.46,4.85,26.43,26.43,8.72,3.88,91.1,0,0,0,8.81,82.38,18.51,2.13,20.6,32,145.38,32.95,17.52,1071.8899999999999

8,01:45-02:00,28.11,10.83,26.43,96.92,48.46,84.49,0,8.81,0.68,32,165.01,48.46,4.85,26.43,26.43,8.72,3.88,91.1,0,0,0,8.81,82.38,18.51,2.13,20.6,32,145.38,32.95,17.52,1071.8899999999999

9,02:00-02:15,28.11,10.73,26.43,96.92,48.46,84.49,0,8.81,0.68,32,165.01,48.46,4.85,26.43,26.43,8.72,3.88,91.1,0,0,0,8.81,82.38,18.51,2.13,20.6,32,145.38,32.95,17.52,1071.79

10,02:15-02:30,28.11,10.73,26.43,96.92,48.46,84.49,0,8.81,0.68,32,165.01,48.46,4.85,26.43,26.43,8.72,3.88,91.1,0,0,0,8.81,82.38,18.51,2.13,20.6,32,145.38,32.95,17.52,1071.79

11,02:30-02:45,28.11,10.73,26.43,96.92,48.46,84.49,0,8.81,0.68,32,165.01,48.46,4.85,26.43,26.43,8.72,3.88,91.1,0,0,0,8.81,82.38,18.51,2.13,20.6,32,145.38,32.95,17.52,1071.79

12,02:45-03:00,28.11,10.73,26.43,96.92,48.46,84.49,0,8.81,0.68,32,165.01,48.46,4.85,26.43,26.43,8.72,3.88,91.1,0,0,0,8.81,82.38,18.51,2.13,20.6,32,145.38,32.95,17.52,1071.79

13,03:00-03:15,28.11,10.64,26.43,96.92,48.46,84.49,0,8.81,0.63,32,165.01,48.46,4.85,26.43,26.43,8.72,3.88,91.1,0,0,0,8.81,82.38,18.51,2.13,20.6,32,145.38,0,17.52,1038.7

14,03:15-03:30,28.11,10.64,26.43,96.92,48.46,84.49,0,8.81,0.63,32,165.01,48.46,4.85,26.43,26.43,8.72,3.88,91.1,0,0,0,8.81,82.38,18.51,2.13,20.6,32,145.38,0,17.52,1038.7

15,03:30-03:45,28.11,10.64,26.43,96.92,48.46,84.49,0,8.81,0.63,32,165.01,48.46,4.85,26.43,26.43,8.72,3.88,91.1,0,0,0,8.81,82.38,18.51,2.13,20.6,32,145.38,0,17.52,1038.7

16,03:45-04:00,28.11,10.64,26.43,96.92,48.46,84.49,0,8.81,0.63,32,165.01,48.46,4.85,26.43,26.43,8.72,3.88,91.1,0,0,0,8.81,82.38,18.51,2.13,20.6,32,145.38,0,17.52,1038.7

17,04:00-04:15,28.11,10.64,26.43,96.92,48.46,84.49,0,8.81,0.58,32,165.01,48.46,4.85,26.43,26.43,8.72,3.88,91.1,0,0,0,8.81,82.38,18.51,2.13,20.6,32,145.38,0,17.52,1038.6499999999999

18,04:15-04:30,28.11,10.64,26.43,96.92,48.46,84.49,0,8.81,0.58,32,165.01,48.46,4.85,26.43,26.43,8.72,3.88,91.1,0,0,0,8.81,82.38,18.51,2.13,20.6,32,145.38,0,17.52,1038.6499999999999

19,04:30-04:45,28.11,10.64,26.43,96.92,48.46,84.49,0,8.81,0.58,32,165.01,48.46,4.85,26.43,26.43,8.72,3.88,91.1,0,0,0,8.81,82.38,18.51,2.13,20.6,32,145.38,0,17.52,1038.6499999999999

20,04:45-05:00,28.11,10.64,26.43,96.92,48.46,84.49,0,8.81,0.58,32,165.01,48.46,4.85,26.43,26.43,8.72,3.88,91.1,0,0,0,8.81,82.38,18.51,2.13,20.6,32,145.38,0,17.52,1038.6499999999999

21,05:00-05:15,28.11,10.54,26.43,96.92,48.46,84.49,0,8.81,0.58,32,165.01,48.46,4.85,26.43,26.43,8.72,3.88,91.1,0,0,0,8.81,82.38,18.51,2.13,20.6,32,145.38,0,17.52,1038.55

22,05:15-05:30,28.11,10.54,26.43,96.92,48.46,84.49,0,8.81,0.58,32,165.01,48.46,4.85,26.43,26.43,8.72,3.88,91.1,0,0,0,8.81,82.38,18.51,2.13,20.6,32,145.38,0,17.52,1038.55

23,05:30-05:45,28.11,10.54,26.43,96.92,48.46,84.49,0,8.81,0.58,32,165.01,48.46,4.85,26.43,26.43,8.72,3.88,91.1,0,0,0,8.81,82.38,18.51,2.13,20.6,32,145.38,0,17.52,1038.55

24,05:45-06:00,28.11,10.54,26.43,96.92,48.46,84.49,0,8.81,0.58,32,165.01,48.46,4.85,26.43,26.43,7.75,3.88,91.1,0,0,0,8.81,82.38,18.51,2.13,20.6,32,145.38,0,17.52,1037.58

25,06:00-06:15,28.11,10.36,26.43,96.92,48.46,84.49,0,8.81,0.68,32,165.01,0,4.85,26.43,26.43,7.75,3.88,91.1,0,0,0,8.81,82.38,18.51,2.13,20.6,32,0,0,17.52,843.6599999999999

26,06:15-06:30,28.11,10.36,26.43,96.92,48.46,84.49,0,8.81,0.68,32,165.01,0,4.85,26.43,26.43,7.75,3.88,91.1,0,0,0,8.81,82.38,18.51,2.13,20.6,32,0,0,17.52,843.6599999999999

27,06:30-06:45,28.11,10.36,26.43,96.92,48.46,84.49,0,8.81,0.68,32,165.01,0,4.85,26.43,26.43,7.75,3.88,91.1,0,0.03,0,8.81,82.38,18.51,2.13,20.6,32,0,0,17.52,843.6899999999998

28,06:45-07:00,28.11,10.36,26.43,96.92,48.46,84.49,0,8.81,0.68,32,165.01,0,4.85,26.43,26.43,7.75,3.88,91.1,0,0.39,0,8.81,82.38,18.51,2.13,20.6,32,0,0,17.52,844.0499999999998

29,07:00-07:15,28.11,10.36,26.43,96.92,48.46,84.49,0,8.81,0.68,32,165.01,0,4.85,26.43,26.43,7.75,3.88,91.1,0,0.48,0,8.81,82.38,18.51,2.13,20.6,32,0,0,17.52,844.1399999999999

30,07:15-07:30,28.11,10.36,26.43,96.92,48.46,84.49,0,8.81,0.68,32,165.01,0,4.85,26.43,26.43,7.75,3.88,91.1,0,0.73,0,8.81,82.38,18.51,2.13,20.6,32,0,0,17.52,844.3899999999999

31,07:30-07:45,28.11,10.36,26.43,96.92,48.46,84.49,0,8.81,0.68,32,165.01,0,4.85,26.43,26.43,7.75,3.88,91.1,0,1.01,0,8.81,82.38,18.51,2.13,20.6,32,0,0,17.52,844.6699999999998

32,07:45-08:00,28.11,10.36,26.43,96.92,48.46,84.49,0,8.81,0.68,32,165.01,0,4.85,26.43,26.43,7.75,3.88,91.1,0,1.34,0,8.81,82.38,18.51,2.13,20.6,32,0,0,17.52,844.9999999999999

