Block,Time,CHAMERA1,CHAMERA3,DULHASTI,KGSU1AND2,KOLDAM,NLCIIST1,PARBATI2,RSTPSU1TO6,URI,ANTA_LF,AURY_CRF,AURY_GF,KUDGI,NJPC,RAMPUR,RAPPC,SEWA2,SINGRAULI_HYDRO,TALA,TALST2,TANAKPUR,UNCHAHAR4,URI2,ANTA_CRF,KHSTPP-I,KKNPPU2,NLCEXP,NTPL,RSTPSU7,TelanganaSTPP,UNCHAHAR3,BRBCL,CHAMERA2,DHAULIGNGA,FSTPP I & II,KGSU3AND4,NAPP,SIMHST1,SIMHST2,ANTA_GF,AURY_LF,KHSTPP-II,KOTESHWR,NNTPP,PARBATI3,RAPPB,RIHAND3,SALAL,ANTA_RF,KISHANGANGA,NLCIIST2,RIHAND1,RIHAND2,TEHRIPSP,DADRI_CRF,BSIUL,MAPS,TANDA2,TEHRI,UNCHAHAR1,UNCHAHAR2,AURY_RF,DADRI_LF,DADRT2,JHAJJAR,KKNP,NLCTS2EXP,RAPPD,SASAN,SINGRAULI,VALLURNTECL,DADRI_GF,DADRI_RF
1,00:00-00:15,42.15,33.94,55.38,0,8.62,0,0,0,52.36,0,0,0,0,175.79,5.7,65.42,12.22,0.96,18.09,0,11.15,3.22,38.97,0,45.53,0,0,0,0,0,27.69,24.99,47.12,42.46,20.8,0,24.62,0,0,0,0,98.87,40.57,0,32.71,0,130.84,72.05,51.96,7.05,0,47.02,125.27,81.1,0,13.04,0,5.73,59.52,21.65,45,79.74,0,549.38,667.25,0,0,0,337.5,150.71,0,0,79.04

2,00:15-00:30,42.15,33.94,55.38,0,8.62,0,0,0,52.36,0,0,0,0,175.79,5.7,65.42,12.22,0.96,18.09,0,11.15,3.22,38.97,0,45.53,0,0,0,0,0,27.69,24.99,47.12,42.46,20.8,0,24.62,0,0,0,0,98.87,40.57,0,32.71,0,130.84,72.05,51.96,7.05,0,47.02,125.27,0,0,13.04,0,5.73,59.52,21.65,45,79.74,0,549.38,667.25,0,0,0,337.5,150.71,0,0,79.04

3,00:30-00:45,42.15,33.94,55.38,0,8.62,0,0,0,52.36,0,0,0,0,175.79,5.7,65.42,12.22,0.96,18.09,0,11.15,3.22,38.97,0,45.53,0,0,0,0,0,27.69,24.99,47.12,42.46,20.8,0,24.62,0,0,0,0,98.87,40.57,0,32.71,0,130.84,72.05,51.96,7.05,0,47.02,125.27,0,0,13.04,0,5.73,59.52,21.65,45,79.74,0,549.38,667.25,0,0,0,337.5,150.71,0,0,79.04

4,00:45-01:00,42.15,33.94,55.38,0,8.62,0,0,0,37.53,0,0,0,0,175.79,5.7,65.42,12.22,0.96,18.09,0,11.15,3.22,38.97,0,45.53,0,0,0,0,0,27.69,24.99,47.12,42.46,20.8,0,24.62,0,0,0,0,98.87,40.57,0,32.71,0,130.84,72.05,51.96,7.05,0,47.02,125.27,0,0,13.04,0,5.73,59.52,21.65,45,79.74,0,549.38,667.25,0,0,0,337.5,150.71,0,0,79.04

5,01:00-01:15,42.15,33.94,55.38,0,8.62,0,0,0,37.53,0,0,0,0,175.79,5.7,65.42,12.22,0.96,18.17,0,11.15,3.22,28.06,0,45.53,0,0,0,0,0,27.69,24.99,47.12,42.46,20.8,0,24.62,0,0,0,0,98.87,40.57,0,32.71,0,130.84,72.05,51.96,7.05,0,47.02,125.27,0,0,13.04,0,5.73,59.52,21.65,45,79.74,0,549.38,667.25,0,0,0,337.5,150.71,0,0,79.04

