Column1,Block,NER/2024/2820/A/47842,WR/2024/25501/A/47849,NR/2024/24418/A/47598,NR/2024/24507/A/47879,NR/2024/24435/A/47626,GNA/WR/2025/01/01/8625,GNA/NR/2025/01/01/3945,SR/2024/15456/A/47723,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/01/01/7459,GNA/NR/2025/01/01/6775,NR/2025/24648/C,NR/2024/24566/A/47604,NR/2025/24649/C,NR/2025/24650/C,NR/2024/24508/A/47875,GNA/NR/2025/01/01/3733,NR/2024/24614/A/47869,NR/2025/24660/C,NR/2025/24661/C,NR/2024/24434/A/47627,NR/2025/24659/C,GNA/NR/2025/01/01/3514,GNA/NR/2025/01/01/5531,GNA/WR/2024/11/01/4200,NR/30092023/26122029/SH-06,GNA/NR/2025/01/01/8738,GNA/NR/2025/01/01/6528,GNA/NR/2025/01/02/1250,GNA/WR/2025/01/01/9606,GNA/NR/2025/01/01/8058,NR/30092023/31122025/SH-07,GNA/NR/2025/01/01/3925,Total
,,APPCPL,APPCPL,ITCLH,NVVNL,IEXL,TPTCL,NDMC,IEXL,DELHI,NDMC,NDMC,TPDDL,IEXL,NVVNL,NVVNL,NVVNL,IEXL,NVVNL,SJVNL,SJVNL,IEXL,SJVNL,HPXL,PXIL,MANIKARAN,PUNJAB,IEXL,NDMC,IEXL,APPCPL,IEXL,BAWANA_GAS,HPXL,
,,DELHI_UT,DELHI_UT,ANDHRA_PRADESH_STATE,NA,KARNATAKA_STATE,DELHI_UT,NA,DELHI_UT,HIMACHAL_STATE,NA,NA,NA,TELANGANA_State,NA,NA,NA,ODISHA_STATE,NA,NA,UTTARPRADESH_STATE,NA,NA,NA,NA,DELHI_UT,DELHI_UT,MP_State,NA,NA,DELHI_UT,NA,DELHI_UT,NA,
,,BYPL,BRPL,ITCWIND,JITPL,NSLSUGARALAND,BYPL,JPL2,BYPL,CHANJUII,RKM_POWER,RKM_POWER,JHAJJAR,NSLKSLWPRTY,TRN_ENERGY,JITPL,TRN_ENERGY,NBVLIPP,TRN_ENERGY,TPSL_BKN2,BCMLUH,TESPL_BKN2,RSRPL_BKN,SKS_Raigarh,JPNIGRIE_JNSTPP,BRPL,BAWANA_GAS,JP_BINA,SKS_Raigarh,SKS_Raigarh,BYPL,JPNIGRIE_JNSTPP,BAWANA_GAS,JPNIGRIE_JNSTPP,
,,Manipur_State,GOA_State,DELHI_UT,DELHI_UT,DELHI_UT,MSEB_State,DELHI_UT,TAMILNADU_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,MSEB_State,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,MSEB_State,DELHI_UT,HARYANA_STATE,DELHI_UT,
,,Manipur_Ben,GOA_Beneficiary,ITCLH,NDMC,MES_Delhi,TPC_MSEB,NDMC,TANGEDCO,TPDDL,NDMC,NDMC,TPDDL,MES_Delhi,NDMC,NDMC,NDMC,BRPL,NDMC,NDMC,NDMC,MES_Delhi,NDMC,BRPL,BRPL,AEML,PUNJAB,BRPL,NDMC,BRPL,AEML,BRPL,HARYANA,BRPL,
,,North-East-North East,North-West,South-West-North,East-North,South-West-North,North-West,West-North,North-West-South,North-North,West-North,West-North,North-North,South-West-North,West-North,East-North,West-North,East-North,West-North,North-North,North-North,North-North,North-North,West-North,West-North,North-West,North-North,West-North,West-North,West-North,North-West,West-North,North-North,West-North,
1,00:00-00:15,0,0,0.38,17.29,9.61,0,25.94,0,1.74,25.94,25.94,0,5.76,0,0,8.73,20.18,0,0,0,0,0,19.22,28.82,0,0,48.04,8.65,48.04,0,26.9,0,48.04,369.22

2,00:15-00:30,0,0,0.38,17.29,9.61,0,25.94,0,1.74,25.94,25.94,0,5.76,0,0,8.73,20.18,0,0,0,0,0,19.22,28.82,0,0,48.04,8.65,48.04,0,26.9,0,48.04,369.22

3,00:30-00:45,0,0,0.38,17.29,9.61,0,25.94,0,1.74,25.94,25.94,0,5.76,0,0,8.73,20.18,0,0,0,0,0,19.22,28.82,0,0,48.04,8.65,48.04,0,26.9,0,48.04,369.22

4,00:45-01:00,0,0,0.38,17.29,9.61,0,25.94,0,1.74,25.94,25.94,0,5.76,0,0,8.73,20.18,0,0,0,0,0,19.22,28.82,0,0,48.04,8.65,48.04,0,26.9,0,48.04,369.22

5,01:00-01:15,0,0,0.38,17.29,9.61,0,25.94,0,1.74,25.94,25.94,0,5.76,0,0,8.73,20.18,0,0,0,0,0,19.22,28.82,0,0,48.04,8.65,48.04,0,26.9,0,48.04,369.22

6,01:15-01:30,0,0,0.38,17.29,9.61,0,25.94,0,1.74,25.94,25.94,0,5.76,0,0,8.73,20.18,0,0,0,0,0,19.22,28.82,0,0,48.04,8.65,48.04,0,26.9,0,48.04,369.22

7,01:30-01:45,0,0,0.38,17.29,9.61,0,25.94,0,1.74,25.94,25.94,0,5.76,0,0,8.73,20.18,0,0,0,0,0,19.22,28.82,0,0,48.04,8.65,48.04,0,26.9,0,48.04,369.22

8,01:45-02:00,0,0,0.38,17.29,9.61,0,25.94,0,1.74,25.94,25.94,0,5.76,0,0,8.73,20.18,0,0,0,0,0,19.22,28.82,0,0,48.04,8.65,48.04,0,26.9,0,48.04,369.22

9,02:00-02:15,0,0,0.38,17.29,9.61,0,24.98,0,1.74,24.98,24.98,0,5.76,0,0,8.73,20.18,0,0,0,0,0,19.22,28.82,0,0,48.04,8.65,48.04,0,26.9,0,48.04,366.34000000000003

10,02:15-02:30,0,0,0.38,17.29,9.61,0,24.98,0,1.74,24.98,24.98,0,5.76,0,0,8.73,20.18,0,0,0,0,0,19.22,28.82,0,0,48.04,8.65,48.04,0,26.9,0,48.04,366.34000000000003

11,02:30-02:45,0,0,0.38,17.29,9.61,0,24.98,0,1.74,24.98,24.98,0,5.76,0,0,8.73,20.18,0,0,0,0,0,19.22,28.82,0,0,48.04,8.65,48.04,0,26.9,0,48.04,366.34000000000003

12,02:45-03:00,0,0,0.38,17.29,9.61,0,24.98,0,1.74,24.98,24.98,0,5.76,0,0,8.73,20.18,0,0,0,0,0,19.22,28.82,0,0,48.04,8.65,48.04,0,26.9,0,48.04,366.34000000000003

13,03:00-03:15,0,0,0.38,17.29,9.61,0,24.98,0,1.65,24.98,24.98,0,5.76,0,0,8.73,20.18,0,0,0,0,0,19.22,28.82,0,0,48.04,8.65,48.04,0,26.9,0,48.04,366.25

14,03:15-03:30,0,0,0.38,17.29,9.61,0,24.98,0,1.65,24.98,24.98,0,5.76,0,0,8.73,20.18,0,0,0,0,0,19.22,28.82,0,0,48.04,8.65,48.04,0,26.9,0,48.04,366.25

15,03:30-03:45,0,0,0.38,17.29,9.61,0,24.98,0,1.65,24.98,24.98,0,5.76,0,0,8.73,20.18,0,0,0,0,0,19.22,28.82,0,0,48.04,8.65,48.04,0,26.9,0,48.04,366.25

16,03:45-04:00,0,0,0.38,17.29,9.61,0,24.98,0,1.65,24.98,24.98,0,5.76,0,0,8.73,20.18,0,0,0,0,0,19.22,28.82,0,0,48.04,8.65,48.04,0,26.9,0,48.04,366.25

17,04:00-04:15,0,0,0.38,17.29,9.61,0,24.98,0,1.74,24.98,24.98,0,5.76,0,0,8.73,20.18,0,0,0,0,0,19.22,28.82,0,0,48.04,8.65,48.04,0,26.9,0,48.04,366.34000000000003

18,04:15-04:30,0,0,0.38,17.29,9.61,0,24.98,0,1.74,24.98,24.98,0,5.76,0,0,8.73,20.18,0,0,0,0,0,19.22,28.82,0,0,48.04,8.65,48.04,0,26.9,0,48.04,366.34000000000003

19,04:30-04:45,0,0,0.38,17.29,9.61,0,24.98,0,1.74,24.98,24.98,0,5.76,0,0,8.73,20.18,0,0,0,0,0,19.22,28.82,0,0,48.04,8.65,48.04,0,26.9,0,48.04,366.34000000000003

20,04:45-05:00,0,0,0.38,17.29,9.61,0,24.98,0,1.74,24.98,24.98,0,5.76,0,0,8.73,20.18,0,0,0,0,0,19.22,28.82,0,0,48.04,8.65,48.04,0,26.9,0,48.04,366.34000000000003

21,05:00-05:15,38.43,0,0.43,17.29,16.33,0,24.98,0,1.65,24.98,24.98,0,5.76,0,0,8.73,20.18,0,0,0,0,0,19.22,28.82,0,0,48.04,8.65,48.04,0,26.9,0,48.04,411.45

22,05:15-05:30,38.43,0,0.43,17.29,16.33,0,24.98,0,1.65,24.98,24.98,0,5.76,0,0,8.73,20.18,0,0,0,0,0,19.22,28.82,0,0,48.04,8.65,48.04,0,26.9,0,48.04,411.45

23,05:30-05:45,38.43,0,0.43,17.29,16.33,0,24.98,0,1.65,24.98,24.98,0,5.76,0,0,8.73,20.18,0,0,0,0,0,19.22,28.82,0,0,48.04,8.65,48.04,0,26.9,0,48.04,411.45

24,05:45-06:00,38.43,0,0.43,17.29,16.33,0,24.98,0,1.65,24.98,24.98,0,5.76,0,0,8.73,20.18,0,0,0,0,0,19.22,28.82,0,0,48.04,8.65,48.04,0,26.9,0,48.04,411.45

25,06:00-06:15,38.43,0,0.38,17.29,16.33,0,28.82,413.14,1.74,28.82,28.82,0,5.76,0,0,8.73,20.18,0,0,0,0,0,19.22,28.82,0,0,48.04,8.65,48.04,0,26.9,0,48.04,836.15

26,06:15-06:30,38.43,0,0.38,17.29,16.33,0,28.82,413.14,1.74,28.82,28.82,0,5.76,0,0,8.73,20.18,0,0,0,0,0,19.22,28.82,0,0,48.04,8.65,48.04,0,26.9,0,48.04,836.15

27,06:30-06:45,38.43,0,0.38,17.29,16.33,0,31.71,413.14,1.74,31.71,31.71,0,5.76,0,0,8.73,20.18,0,0,0,0,0,19.22,28.82,0,0,48.04,8.65,48.04,0,26.9,0,48.04,844.8199999999999

28,06:45-07:00,38.43,0,0.38,17.29,16.33,0,31.71,413.14,1.74,31.71,31.71,0,5.76,0,0,8.73,20.18,0,0,0,0,0,19.22,28.82,0,0,48.04,8.65,48.04,0,26.9,0,48.04,844.8199999999999

29,07:00-07:15,38.43,0,0.86,28.82,16.33,50,31.71,192.16,1.65,31.71,31.71,0,5.76,0,0,14.41,20.18,0,0,0,0,0,19.22,28.82,0,0,48.04,8.65,48.04,0,26.9,0,48.04,691.4399999999998

30,07:15-07:30,38.43,0,0.86,28.82,16.33,50,31.71,192.16,1.65,31.71,31.71,0,5.76,0,0,14.41,20.18,0,0,0,0,0,19.22,28.82,0,0,48.04,8.65,48.04,0,26.9,0,48.04,691.4399999999998

31,07:30-07:45,38.43,0,0.86,28.82,16.33,50,36.51,192.16,1.65,36.51,36.51,0,5.76,0,0,14.41,20.18,0,0,0,0,0,19.22,28.82,0,0,48.04,8.65,48.04,0,26.9,0,48.04,705.8399999999999

32,07:45-08:00,38.43,0,0.86,28.82,16.33,50,36.51,192.16,1.65,36.51,36.51,0,5.76,0,0,14.41,20.18,0,0,0,0,0,19.22,28.82,0,0,48.04,8.65,48.04,0,26.9,0,48.04,705.8399999999999

33,08:00-08:15,38.43,0,0.86,28.82,16.33,50,43.24,0,1.74,36.51,36.51,0,5.76,0,0,14.41,20.18,0,0,0,0,0,19.22,28.82,0,0,48.04,8.65,48.04,0,26.9,0,48.04,520.5

34,08:15-08:30,38.43,0,0.86,28.82,16.33,50,43.24,0,1.74,36.51,36.51,0,5.76,0,0,14.41,20.18,0,0,0,0,0,19.22,28.82,0,0,48.04,8.65,48.04,0,26.9,0,48.04,520.5

35,08:30-08:45,38.43,0,0.86,28.82,16.33,50,43.24,0,1.74,36.51,36.51,0,5.76,0,0,14.41,20.18,0,0,0,0,0,19.22,28.82,0,0,48.04,8.65,48.04,0,26.9,0,48.04,520.5

36,08:45-09:00,38.43,0,0.86,28.82,16.33,50,43.24,0,1.74,36.51,36.51,0,5.76,0,0,14.41,20.18,0,0,0,0,0,19.22,28.82,0,0,48.04,8.65,48.04,0,26.9,0,48.04,520.5

37,09:00-09:15,0,0,0.86,0,16.33,0,43.24,0,1.65,36.51,36.51,30.75,5.76,14.41,28.82,0,20.18,0,0,0,3.84,0,19.22,28.82,0,0,48.04,8.65,48.04,0,26.9,0,48.04,466.57

38,09:15-09:30,0,0,0.86,0,16.33,0,43.24,0,1.65,36.51,36.51,30.75,5.76,14.41,28.82,0,20.18,0,0,0,3.84,0,19.22,28.82,0,0,48.04,8.65,48.04,0,26.9,0,48.04,466.57

39,09:30-09:45,0,0,0.86,0,16.33,0,43.24,0,1.65,36.51,36.51,78.79,5.76,14.41,28.82,0,20.18,0,0,0,3.84,0,19.22,28.82,0,0,48.04,8.65,48.04,0,26.9,0,48.04,514.61

40,09:45-10:00,0,0,0.86,0,16.33,0,43.24,0,1.65,36.51,36.51,78.79,5.76,14.41,28.82,0,20.18,0,0,0,3.84,0,19.22,28.82,0,0,48.04,8.65,48.04,0,26.9,0,48.04,514.61

41,10:00-10:15,0,0,0.86,28.82,16.33,0,43.24,0,1.74,36.51,36.51,78.79,5.76,0,0,7.87,20.18,6.54,25.46,4.8,4.8,22.58,19.22,28.82,0,0,48.04,8.65,48.04,0,26.9,0,48.04,568.5

