Block,Time,ANTA_GF,CHAMERA2,PARBATI3,DADRI_RF,AURY_LF,BSIUL,SALAL,DADRI_CRF,ANTA_LF,RIHAND1,KOLDAM,RAPPC,RAPPB,RIHAND3,DADRT2,NAPP,SINGRAULI,UNCHAHAR4,RAMPUR,DULHASTI,AURY_CRF,UNCHAHAR3,AURY_RF,DADRI_GF,JHAJJAR,TANDA2,CHAMERA3,RIHAND2,ANTA_RF,CHAMERA1,KOTESHWR,KISHANGANGA,DADRI_LF,URI,SEWA2,AURY_GF,DHAULIGNGA,UNCHAHAR1,TANAKPUR,ANTA_CRF,TEHRI,SINGRAULI_HYDRO,UNCHAHAR2,URI2,NJPC,SASAN,KHSTPP-II,KHSTPP-I,BRBCL,TALA,FSTPP I & II,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,0.000000,0.000000,0.000000,0.000000,12.553844,12.303953,0.000000,0.000000,80.858400,0.000000,51.426809,0.000000,119.040531,360.012400,41.739106,120.204675,0.000000,0.000000,0.000000,0.000000,22.802341,0.000000,0.000000,539.277494,0.000000,0.000000,113.707125,0.000000,0.000000,8.067551,0.000000,0.000000,39.320285,10.162515,0.000000,0.000000,10.501966,0.000000,0.000000,0.000000,0.644509,40.360447,20.718232,0.000000,373.609125,141.998541,44.663754,19.178399,0.000000,10.035105,0,0,0,0,0

2,00:15-00:30,0.000000,0.000000,0.000000,0.000000,0.000000,12.553844,12.303953,0.000000,0.000000,80.858400,0.000000,51.426809,0.000000,119.040531,360.012400,41.739106,120.204675,0.000000,0.000000,0.000000,0.000000,25.035463,0.000000,0.000000,548.903494,0.000000,0.000000,113.707125,0.000000,0.000000,8.067551,0.000000,0.000000,39.320285,10.162515,0.000000,0.000000,10.501966,0.000000,0.000000,0.000000,0.644509,40.804710,20.718232,0.000000,373.609125,141.998541,44.663754,16.553046,0.000000,10.035105,0,0,0,0,0

3,00:30-00:45,0.000000,0.000000,0.000000,0.000000,0.000000,12.553844,12.303953,0.000000,0.000000,80.858400,0.000000,51.426809,0.000000,119.040531,360.012400,41.739106,120.204675,0.000000,0.000000,0.000000,0.000000,19.173178,0.000000,0.000000,450.236994,0.000000,0.000000,113.707125,0.000000,0.000000,8.067551,0.000000,0.000000,33.475378,10.162515,0.000000,0.000000,8.440366,0.000000,0.000000,0.000000,0.644509,35.024008,22.013122,0.000000,373.609125,141.998541,44.663754,15.694332,0.000000,9.812359,0,0,0,0,0

4,00:45-01:00,0.000000,0.000000,0.000000,0.000000,0.000000,12.553844,12.303953,0.000000,0.000000,80.858400,0.000000,51.426809,0.000000,119.040531,360.012400,41.739106,120.204675,0.000000,0.000000,0.000000,0.000000,13.976952,0.000000,0.000000,353.421293,0.000000,0.000000,113.707125,0.000000,0.000000,8.067551,0.000000,0.000000,33.475378,10.162515,0.000000,0.000000,7.219500,0.000000,0.000000,0.000000,0.644509,35.024008,22.013122,0.000000,373.609125,141.998541,44.663754,13.365672,0.000000,9.812359,0,0,0,0,0

5,01:00-01:15,0.000000,0.000000,0.000000,0.000000,0.000000,12.553844,17.896659,0.000000,0.000000,80.858400,0.000000,51.426809,0.000000,119.040531,360.012400,41.739106,120.204675,0.000000,0.000000,0.000000,0.000000,13.976952,0.000000,0.000000,346.362732,0.000000,0.000000,113.707125,0.000000,0.000000,8.067551,0.000000,0.000000,33.475378,10.162515,0.000000,0.000000,7.219500,6.165453,0.000000,0.000000,0.644509,27.691210,23.308011,0.000000,373.609125,141.998541,35.925291,13.333905,0.000000,7.546784,0,0,0,0,0

6,01:15-01:30,0.000000,0.000000,0.000000,0.000000,0.000000,12.553844,64.875390,0.000000,0.000000,80.858400,0.000000,51.426809,0.000000,119.040531,360.012400,41.739106,120.204675,0.000000,0.000000,0.000000,0.000000,13.976952,0.000000,0.000000,346.362732,0.000000,0.000000,113.707125,0.000000,0.000000,8.067551,0.000000,0.000000,33.475378,10.162515,0.000000,0.000000,7.219500,6.165453,0.000000,0.000000,0.644509,23.288276,23.308011,0.000000,373.609125,141.998541,35.925291,12.352360,0.000000,7.546784,0,0,0,0,0

7,01:30-01:45,0.000000,0.000000,0.000000,0.000000,0.000000,6.276922,64.875390,0.000000,0.000000,80.858400,0.000000,51.426809,0.000000,119.040531,360.012400,41.739106,120.204675,0.000000,0.000000,0.000000,0.000000,13.976952,0.000000,0.000000,346.362732,0.000000,0.000000,113.707125,0.000000,0.000000,8.067551,0.000000,0.000000,39.320285,10.162515,0.000000,0.000000,7.219500,6.165453,0.000000,0.000000,0.644509,23.102400,23.308011,0.000000,373.609125,114.163590,35.925291,10.954821,0.000000,7.546784,0,0,0,0,0

