Block,Time,FSTPP I & II,KKNP,KOTESHWR,NLCIIST1,RAPPC,RIHAND1,RSTPSU7,TANAKPUR,TelanganaSTPP,UNCHAHAR2,AURY_CRF,DADRT2,JHAJJAR,KGSU3AND4,KHSTPP-I,NAPP,NJPC,NTPL,RAPPB,RIHAND2,UNCHAHAR3,AURY_LF,AURY_RF,DADRI_CRF,CHAMERA1,SALAL,TALST2,URI2,DADRI_RF,BRBCL,KUDGI,MAPS,NLCEXP,SASAN,TALA,UNCHAHAR4,URI,DADRI_GF,CHAMERA2,KHSTPP-II,PARBATI3,SIMHST1,SIMHST2,BSIUL,DULHASTI,KISHANGANGA,KKNPPU2,KOLDAM,NLCTS2EXP,TANDA2,TEHRI,ANTA_LF,ANTA_RF,DHAULIGNGA,KGSU1AND2,RSTPSU1TO6,SEWA2,SINGRAULI,VALLURNTECL,ANTA_CRF,AURY_GF,DADRI_LF,CHAMERA3,NLCIIST2,NNTPP,RAMPUR,RIHAND3,SINGRAULI_HYDRO,UNCHAHAR1,ANTA_GF
1,00:00-00:15,20.8,0,8.87,0,53.3,92,0,7.81,0,42.39,0,683.14,651.98,0,33.69,43.79,0,0,0,118.76,26.4,0,53.75,0,0,1.4,0,4.31,69.05,20,0,0,0,135,0,0,1.11,0,0,148.3,0,0,0,0,16.48,0,0,0,0,0,0,0,44.62,0,0,0,0,139.69,0,0,0,23.56,0,0,0,0,124.33,0,10.28,0

2,00:15-00:30,20.8,0,8.87,0,53.3,92,0,7.81,0,42.39,0,683.14,651.98,0,33.69,43.79,0,0,0,118.76,26.4,0,53.75,0,0,1.4,0,4.31,69.05,20,0,0,0,135,0,0,1.11,0,0,148.3,0,0,0,0,16.48,0,0,0,0,0,0,0,44.62,0,0,0,0,139.69,0,0,0,23.56,0,0,0,0,124.33,0,10.28,0

3,00:30-00:45,20.8,0,8.87,0,53.3,92,0,7.81,0,42.39,0,683.14,651.98,0,33.69,43.79,0,0,0,118.76,26.4,0,53.75,0,0,1.4,0,4.31,69.05,20,0,0,0,135,0,0,1.11,0,0,148.3,0,0,0,0,16.48,0,0,0,0,0,0,0,44.62,0,0,0,0,139.69,0,0,0,23.56,0,0,0,0,124.33,0,10.28,0

4,00:45-01:00,20.8,0,8.87,0,53.3,92,0,7.81,0,42.39,0,683.14,651.98,0,33.69,43.79,0,0,0,118.76,26.4,0,53.75,0,0,1.4,0,4.31,69.05,20,0,0,0,135,0,0,1.11,0,0,148.3,0,0,0,0,16.48,0,0,0,0,0,0,0,44.62,0,0,0,0,139.69,0,0,0,23.56,0,0,0,0,124.33,0,10.28,0

5,01:00-01:15,20.8,0,8.87,0,53.3,92,0,7.81,0,42.39,0,683.14,651.98,0,33.69,43.79,0,0,0,118.76,26.4,0,53.75,0,0,1.4,0,4.31,69.05,20,0,0,0,135,0,0,1.11,0,0,148.3,0,0,0,0,16.48,0,0,0,0,0,0,0,44.62,0,0,0,0,139.69,0,0,0,23.56,0,0,0,0,124.33,0,10.28,0

6,01:15-01:30,20.8,0,8.87,0,53.3,92,0,7.81,0,42.39,0,683.14,651.98,0,33.69,43.79,0,0,0,118.76,26.4,0,53.75,0,0,1.4,0,4.31,69.05,20,0,0,0,135,0,0,1.11,0,0,148.3,0,0,0,0,16.48,0,0,0,0,0,0,0,44.62,0,0,0,0,139.69,0,0,0,23.56,0,0,0,0,124.33,0,10.28,0

7,01:30-01:45,20.8,0,8.87,0,53.3,92,0,7.81,0,42.39,0,683.14,651.98,0,33.69,43.79,0,0,0,118.76,26.4,0,53.75,0,0,1.4,0,4.31,69.05,20,0,0,0,135,0,0,1.11,0,0,148.3,0,0,0,0,16.48,0,0,0,0,0,0,0,44.62,0,0,0,0,139.69,0,0,0,23.56,0,0,0,0,124.33,0,10.28,0

8,01:45-02:00,20.8,0,8.87,0,53.3,92,0,7.81,0,42.39,0,683.14,651.98,0,33.69,43.79,0,0,0,118.76,26.4,0,53.75,0,0,1.4,0,4.31,69.05,20,0,0,0,135,0,0,1.11,0,0,148.3,0,0,0,0,16.48,0,0,0,0,0,0,0,44.62,0,0,0,0,139.69,0,0,0,23.56,0,0,0,0,124.33,0,10.28,0

9,02:00-02:15,20.8,0,8.87,0,53.3,92,0,2.05,0,42.39,0,683.14,651.98,0,33.69,43.79,0,0,0,118.76,26.4,0,53.75,0,0,1.4,0,4.31,69.05,20,0,0,0,146.25,0,0,1.11,0,0,148.3,0,0,0,0,16.48,0,0,0,0,0,0,0,44.62,0,0,0,0,139.69,0,0,0,23.56,0,0,0,0,124.33,0,10.28,0

10,02:15-02:30,20.8,0,8.87,0,53.3,92,0,2.05,0,42.39,0,683.14,651.98,0,33.69,43.79,0,0,0,118.76,26.4,0,53.75,0,0,1.4,0,4.31,69.05,20,0,0,0,146.25,0,0,1.11,0,0,148.3,0,0,0,0,16.48,0,0,0,0,0,0,0,44.62,0,0,0,0,139.69,0,0,0,23.56,0,0,0,0,124.33,0,10.28,0

11,02:30-02:45,20.8,0,8.87,0,53.3,92,0,2.05,0,42.39,0,683.14,651.98,0,33.69,43.79,0,0,0,118.76,26.4,0,53.75,0,0,1.4,0,4.31,69.05,20,0,0,0,146.25,0,0,1.11,0,0,148.3,0,0,0,0,16.48,0,0,0,0,0,0,0,44.62,0,0,0,0,139.69,0,0,0,23.56,0,0,0,0,124.33,0,10.28,0

12,02:45-03:00,20.8,0,8.87,0,53.3,92,0,2.05,0,42.39,0,683.14,651.98,0,33.69,43.79,0,0,0,118.76,26.4,0,53.75,0,0,1.4,0,4.31,69.05,20,0,0,0,146.25,0,0,1.11,0,0,148.3,0,0,0,0,16.48,0,0,0,0,0,0,0,44.84,0,0,0,0,139.69,0,0,0,23.56,0,0,0,0,124.33,0,10.28,0

13,03:00-03:15,20.8,0,8.87,0,53.3,92,0,2.05,0,42.39,0,683.14,651.98,0,33.69,43.79,0,0,0,118.76,26.4,0,53.75,0,0,1.4,0,4.31,69.05,20,0,0,0,157.5,0,0,1.11,0,0,148.3,0,0,0,0,16.48,0,0,0,0,0,0,0,44.84,0,0,0,0,139.69,0,0,0,23.56,0,0,0,0,124.33,0,10.28,0

14,03:15-03:30,20.8,0,8.87,0,53.3,92,0,2.05,0,42.39,0,683.14,651.98,0,33.69,43.79,0,0,0,118.76,26.4,0,53.75,0,0,1.4,0,4.31,69.05,20,0,0,0,157.5,0,0,1.11,0,0,148.3,0,0,0,0,16.48,0,0,0,0,0,0,0,44.84,0,0,0,0,139.69,0,0,0,23.56,0,0,0,0,124.33,0,10.28,0

15,03:30-03:45,20.8,0,8.87,0,53.3,92,0,2.05,0,42.39,0,683.14,651.98,0,33.69,43.79,0,0,0,118.76,26.4,0,53.75,0,0,1.4,0,4.31,69.05,20,0,0,0,157.5,0,0,1.11,0,0,148.3,0,0,0,0,16.48,0,0,0,0,0,0,0,44.84,0,0,0,0,139.69,0,0,0,23.56,0,0,0,0,124.33,0,10.28,0

16,03:45-04:00,20.8,0,8.87,0,53.3,92,0,2.05,0,42.39,0,683.14,651.98,0,33.69,43.79,0,0,0,118.76,26.4,0,53.75,0,0,1.4,0,4.31,69.05,20,0,0,0,157.5,0,0,1.11,0,0,148.3,0,0,0,0,16.48,0,0,0,0,0,0,0,44.84,0,0,0,0,139.69,0,0,0,23.56,0,0,0,0,124.33,0,10.28,0

17,04:00-04:15,20.8,0,8.87,0,53.3,92,0,2.05,0,42.39,0,683.14,651.98,0,33.69,43.79,0,0,0,118.76,26.4,0,53.75,0,0,1.4,0,4.31,69.05,20,0,0,0,168.75,0,0,1.11,0,0,148.3,0,0,0,0,16.48,0,0,0,0,0,0,0,44.84,0,0,0,0,139.69,0,0,0,23.56,0,0,0,0,124.33,0,10.28,0

18,04:15-04:30,20.8,0,8.87,0,53.3,92,0,2.05,0,42.39,0,683.14,651.98,0,33.69,43.79,0,0,0,118.76,26.4,0,53.75,0,0,1.4,0,4.31,69.05,20,0,0,0,168.75,0,0,1.11,0,0,148.3,0,0,0,0,16.48,0,0,0,0,0,0,0,44.84,0,0,0,0,139.69,0,0,0,23.56,0,0,0,0,124.33,0,10.28,0

