Block,Time Block,KOTESHWR,KUDGI,DADRI_RF,DADRI_LF,KKNP,KHSTPP-II,KKNPPU2,KISHANGANGA,KHSTPP-I,KOLDAM,DADRI_GF,AURY_GF,DADRI_CRF,AURY_CRF,AURY_RF,ANTA_RF,AURY_LF,DULHASTI,JHAJJAR,KGSU1AND2,KGSU3AND4,DHAULIGNGA,FSTPP I & II,ANTA_LF,ANTA_GF,ANTA_CRF,VALLURNTECL,URI2,TelanganaSTPP,UNCHAHAR4,UNCHAHAR1,UNCHAHAR2,URI,UNCHAHAR3,RSTPSU7,SIMHST1,SALAL,SEWA2,SASAN,SINGRAULI_HYDRO,TALST2,TEHRI,TANAKPUR,SINGRAULI,TANDA2,TALA,SIMHST2,BSIUL,CHAMERA3,CHAMERA2,BRBCL,DADRT2,CHAMERA1,NLCIIST2,MAPS,NLCEXP,NJPC,NLCIIST1,NAPP,RAPPB,RSTPSU1TO6,NLCTS2EXP,PARBATI3,RIHAND3,NTPL,RAPPC,RIHAND1,RIHAND2,NNTPP,RAMPUR,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,8.51,0,0,0,0,122.56,0,0,37.66,0,0,0,0,0,0,0,0,0,248.45,0,0,0,15.06,0,0,0,0,30.62,0,0,7.87,35.07,34.12,21.83,0,0,25.66,15.17,393.36,0.74,0,0,0,134.01,0,0,0,6.26,0,0,19.04,651.64,0,0,0,0,0,0,19.78,0,0,0,0,81.1,0,24.48,88.3,113.99,0,0,0,0,0,0,0

2,00:15-00:30,8.51,0,0,0,0,122.56,0,0,37.66,0,0,0,0,0,0,0,0,0,248.45,0,0,0,15.06,0,0,0,0,30.62,0,0,8.03,35.07,34.12,21.84,0,0,25.66,15.17,394.11,0.74,0,0,0,134.07,0,0,0,6.26,0,0,19.2,567.39,0,0,0,0,0,0,19.78,0,0,0,0,81.1,0,24.48,88.3,113.99,0,0,0,0,0,0,0

3,00:30-00:45,8.51,0,0,0,0,122.56,0,0,37.66,0,0,0,0,0,0,0,0,0,248.45,0,0,0,15.06,0,0,0,0,30.62,0,0,8.03,35.07,34.12,21.84,0,0,25.66,15.17,394.11,0.74,0,0,0,134.07,0,0,0,6.26,0,0,16.38,570.91,0,0,0,0,0,0,19.78,0,0,0,0,113.95,0,24.48,88.3,113.99,0,0,0,0,0,0,0

4,00:45-01:00,8.51,0,0,0,0,122.56,0,0,37.66,0,0,0,0,0,0,0,0,0,248.45,0,0,0,15.06,0,0,0,0,30.62,0,0,8.03,35.07,34.12,21.84,0,0,25.66,15.17,394.11,0.74,0,0,0,134.07,0,0,0,6.26,0,0,14.96,592.51,0,0,0,0,0,0,19.78,0,0,0,0,119.33,0,24.48,88.3,113.99,0,0,0,0,0,0,0

5,01:00-01:15,8.51,0,0,0,0,122.56,0,0,37.66,0,0,0,0,0,0,0,0,0,248.45,0,0,0,15.06,0,0,0,0,30.62,0,0,8.03,35.07,34.12,21.84,0,0,68.03,15.17,394.11,0.74,0,0,5.53,134.07,0,0,0,6.26,0,0,14.53,555.03,0,0,0,0,0,0,19.78,0,0,0,0,119.33,0,24.48,88.3,113.99,0,0,0,0,0,0,0

6,01:15-01:30,8.51,0,0,0,0,122.56,0,0,37.66,0,0,0,0,0,0,0,0,0,248.45,0,0,0,15.06,0,0,0,0,30.62,0,0,8.03,35.07,34.12,21.84,0,0,68.03,15.17,394.11,0.74,0,0,5.53,134.07,0,0,0,6.26,0,0,12.37,507.04,0,0,0,0,0,0,19.78,0,0,0,0,119.33,0,24.48,88.3,113.99,0,0,0,0,0,0,0

7,01:30-01:45,8.51,0,0,0,0,122.68,0,0,37.66,0,0,0,0,0,0,0,0,0,248.45,0,0,0,15.06,0,0,0,0,30.62,0,0,8.03,35.07,34.12,21.84,0,0,68.03,15.17,394.11,0.74,0,0,5.53,134.07,0,0,0,6.26,0,0,13.97,459.05,0,0,0,0,0,0,19.78,0,0,0,0,119.33,0,24.48,88.3,113.99,0,0,0,0,0,0,0

8,01:45-02:00,8.51,0,0,0,0,122.68,0,0,37.66,0,0,0,0,0,0,0,0,0,248.45,0,0,0,15.06,0,0,0,0,30.62,0,0,8.03,35.07,34.12,21.84,0,0,68.03,15.17,394.11,0.74,0,0,5.53,134.07,0,0,0,6.26,0,0,12.77,459.05,0,0,0,0,0,0,19.78,0,0,0,0,119.33,0,24.48,88.3,113.99,0,0,0,0,0,0,0

9,02:00-02:15,8.51,0,0,0,0,122.68,0,0,37.66,0,0,0,0,0,0,0,0,0,248.45,0,0,0,15.06,0,0,0,0,30.62,0,0,8.03,35.07,34.12,21.84,0,0,68.03,15.17,394.11,0.74,0,0,5.53,134.07,0,0,0,6.26,0,0,12.41,408.55,0,0,0,0,0,0,19.78,0,0,0,0,119.33,0,24.48,88.3,113.99,0,0,0,0,0,0,0

10,02:15-02:30,8.51,0,0,0,0,122.68,0,0,37.66,0,0,0,0,0,0,0,0,0,248.45,0,0,0,15.06,0,0,0,0,30.62,0,0,8.03,35.07,34.12,21.84,0,0,68.03,15.17,394.11,0.74,0,0,5.53,134.07,0,0,0,6.26,0,0,11.09,397.87,0,0,0,0,0,0,19.78,0,0,0,0,119.33,0,24.48,88.3,113.99,0,0,0,0,0,0,0

11,02:30-02:45,8.51,0,0,0,0,122.68,0,0,37.66,0,0,0,0,0,0,0,0,0,248.45,0,0,0,15.06,0,0,0,0,30.62,0,0,8.03,35.07,34.12,21.84,0,0,68.03,15.17,394.11,0.74,0,0,0.24,134.07,0,0,0,6.26,0,0,11.87,437.31,0,0,0,0,0,0,19.78,0,0,0,0,119.33,0,24.48,88.3,113.99,0,0,0,0,0,0,0

12,02:45-03:00,8.51,0,0,0,0,122.68,0,0,37.66,0,0,0,0,0,0,0,0,0,248.45,0,0,0,15.06,0,0,0,0,30.62,0,0,8.03,35.07,34.12,21.84,0,0,68.03,15.17,394.11,0.74,0,0,0.24,134.07,0,0,0,6.26,0,0,14.35,493.85,0,0,0,0,0,0,19.78,0,0,0,0,119.33,0,24.48,88.3,113.99,0,0,0,0,0,0,0

13,03:00-03:15,8.51,0,0,0,0,122.68,0,0,37.66,0,0,0,0,0,0,0,0,0,248.45,0,0,0,15.06,0,0,0,0,30.62,0,0,8.03,35.07,34.12,21.84,0,0,24.54,15.17,394.11,0.74,0,0,0.24,134.07,0,0,0,6.26,0,0,13.48,505,0,0,0,0,0,0,19.78,0,0,0,0,119.33,0,24.48,88.3,113.99,0,0,0,0,0,0,0

14,03:15-03:30,8.51,0,0,0,0,122.68,0,0,37.66,0,0,0,0,0,0,0,0,0,248.45,0,0,0,15.06,0,0,0,0,30.62,0,0,8.03,35.07,34.12,21.84,0,0,24.54,15.17,394.11,0.74,0,0,0.24,134.07,0,0,0,6.26,0,0,13.57,505,0,0,0,0,0,0,19.78,0,0,0,0,119.33,0,24.48,88.3,113.99,0,0,0,0,0,0,0

15,03:30-03:45,8.51,0,0,0,0,122.68,0,0,37.66,0,0,0,0,0,0,0,0,0,248.45,0,0,0,11.23,0,0,0,0,30.62,0,0,8.03,35.07,34.12,21.84,0,0,24.54,15.17,394.11,0.74,0,0,0.24,134.07,0,0,0,6.26,0,0,14.65,505,0,0,0,0,0,0,19.78,0,0,0,0,119.33,0,24.48,88.3,113.99,0,0,0,0,0,0,0

16,03:45-04:00,8.51,0,0,0,0,122.68,0,0,37.66,0,0,0,0,0,0,0,0,0,248.45,0,0,0,11.23,0,0,0,0,30.62,0,0,8.03,35.07,34.12,21.84,0,0,24.54,15.17,394.11,0.74,0,0,0.24,134.07,0,0,0,6.26,0,0,17.16,505,0,0,0,0,0,0,19.78,0,0,0,0,119.33,0,24.48,88.3,113.99,0,0,0,0,0,0,0

17,04:00-04:15,8.51,0,0,0,0,122.68,0,0,37.66,0,0,0,0,0,0,0,0,0,229.45,0,0,0,10.73,0,0,0,0,30.62,0,0,8.03,35.07,34.12,21.84,0,0,24.54,15.17,394.11,0.74,0,0,0.24,134.07,0,0,0,12.52,0,0,17.58,552.99,0,0,0,0,0,0,19.78,0,0,0,0,119.33,0,24.48,88.3,113.99,0,0,0,0,0,0,0

18,04:15-04:30,8.51,0,0,0,0,122.68,0,0,37.66,0,0,0,0,0,0,0,0,0,229.45,0,0,0,10.73,0,0,0,0,30.62,0,0,8.03,35.07,34.12,21.84,0,0,24.54,15.17,394.11,0.74,0,0,0.24,134.07,0,0,0,12.52,0,0,19.2,552.99,0,0,0,0,0,0,19.78,0,0,0,0,119.33,0,24.48,88.3,113.99,0,0,0,0,0,0,0

19,04:30-04:45,8.51,0,0,0,0,122.68,0,0,37.66,0,0,0,0,0,0,0,0,0,229.45,0,0,0,10.73,0,0,0,0,30.62,0,0,8.03,35.07,34.12,21.84,0,0,24.54,15.17,394.11,0.74,0,0,0.24,134.07,0,0,0,12.52,0,0,19.2,552.99,0,0,0,0,0,0,19.78,0,0,0,0,119.33,0,24.48,88.3,113.99,0,0,0,0,0,0,0

