Block,Time,DADRT2,SALAL,TANAKPUR,ANTA_CRF,SINGRAULI_HYDRO,ANTA_RF,DADRI_RF,DADRI_GF,ANTA_LF,BSIUL,AURY_LF,JHAJJAR,KISHANGANGA,SINGRAULI,KOLDAM,AURY_CRF,ANTA_GF,URI2,UNCHAHAR3,NAPP,RIHAND2,TANDA2,RAPPC,DADRI_LF,RIHAND1,UNCHAHAR1,RAPPB,SEWA2,DULHASTI,AURY_GF,AURY_RF,CHAMERA2,URI,UNCHAHAR2,CHAMERA3,CHAMERA1,DHAULIGNGA,RIHAND3,KOTESHWR,TEHRI,RAMPUR,NJPC,DADRI_CRF,UNCHAHAR4,PARBATI3,TALA,BRBCL,KHSTPP-I,FSTPP I & II,SASAN,KHSTPP-II,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,360.464620,54.299970,0.000000,0.000000,0.792565,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,231.240000,0.000000,121.003556,0.000000,0.000000,0.000000,30.733128,14.886075,41.983934,113.813438,0.000000,51.963964,0.000000,43.357500,6.532530,0.000000,15.227200,1.854256,0.000000,0.000000,0.000000,38.293344,22.468820,0.000000,0.000000,0.000000,59.573205,8.550099,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19.269968,24.588520,13.835860,397.805062,102.583941,0,0,0,0,0

2,00:15-00:30,360.464620,54.299970,0.000000,0.000000,0.792565,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,231.240000,0.000000,121.003556,0.000000,0.000000,0.000000,30.733128,14.886075,41.983934,113.813438,0.000000,51.963964,0.000000,43.357500,6.532530,0.000000,15.227200,1.854256,0.000000,0.000000,0.000000,38.293344,22.468820,0.000000,0.000000,0.000000,59.573205,8.550099,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,18.073719,24.588520,13.835860,397.805062,93.912441,0,0,0,0,0

3,00:30-00:45,360.464620,54.299970,0.000000,0.000000,0.792565,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,231.240000,0.000000,118.876630,0.000000,0.000000,0.000000,30.733128,14.886075,41.983934,91.770774,0.000000,51.963964,0.000000,30.066981,6.532530,0.000000,15.227200,1.854256,0.000000,0.000000,0.000000,8.509632,22.468820,0.000000,0.000000,0.000000,59.573205,8.550099,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16.482049,24.588520,13.835860,397.805062,93.912441,0,0,0,0,0

4,00:45-01:00,360.464620,54.299970,0.000000,0.000000,0.792565,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,231.240000,0.000000,108.875596,0.000000,0.000000,0.000000,30.733128,14.886075,41.983934,91.770774,0.000000,51.963964,0.000000,30.066981,6.532530,0.000000,15.227200,1.854256,0.000000,0.000000,0.000000,8.509632,22.468820,0.000000,0.000000,0.000000,43.540083,8.550099,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15.431525,24.588520,13.835860,397.805062,93.912441,0,0,0,0,0

5,01:00-01:15,360.464620,54.299970,0.000000,0.000000,0.792565,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,231.240000,0.000000,108.875596,0.000000,0.000000,0.000000,30.733128,14.886075,41.983934,91.770774,0.000000,51.963964,0.000000,30.066981,6.532530,0.000000,15.227200,1.854256,0.000000,0.000000,0.000000,38.293344,22.468820,0.000000,0.000000,0.000000,43.540083,8.550099,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14.947156,24.588520,13.835860,397.805062,78.236200,0,0,0,0,0

6,01:15-01:30,360.464620,54.299970,0.000000,0.000000,0.792565,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,231.240000,0.000000,108.875596,0.000000,0.000000,0.000000,30.733128,14.886075,41.983934,91.770774,0.000000,51.963964,0.000000,30.066981,6.532530,0.000000,15.227200,1.854256,0.000000,0.000000,0.000000,38.293344,22.468820,0.000000,0.000000,0.000000,43.540083,8.550099,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15.302037,24.588520,13.835860,397.805062,78.236200,0,0,0,0,0

7,01:30-01:45,360.464620,54.299970,0.000000,0.000000,0.792565,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,231.240000,0.000000,108.875596,0.000000,0.000000,0.000000,20.737603,14.886075,41.983934,91.770774,0.000000,51.963964,0.000000,30.066981,6.532530,0.000000,15.227200,1.854256,0.000000,0.000000,0.000000,4.254816,22.468820,0.000000,0.000000,0.000000,43.540083,8.550099,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14.894716,24.588520,13.835860,397.805062,78.236200,0,0,0,0,0

8,01:45-02:00,360.464620,54.299970,0.000000,0.000000,0.792565,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,231.240000,0.000000,108.875596,0.000000,0.000000,0.000000,20.737603,14.886075,41.983934,91.770774,0.000000,51.963964,0.000000,30.066981,6.532530,0.000000,15.227200,1.854256,0.000000,0.000000,0.000000,4.254816,22.468820,0.000000,0.000000,0.000000,43.540083,8.550099,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.709762,24.588520,13.835860,397.805062,78.236200,0,0,0,0,0

9,02:00-02:15,360.464620,54.299970,0.000000,0.000000,0.792565,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,231.240000,0.000000,108.875596,0.000000,0.000000,0.000000,30.733128,14.886075,41.983934,91.770774,0.000000,51.963964,0.000000,30.066981,6.532530,0.000000,15.227200,1.854256,0.000000,0.000000,0.000000,38.293344,22.468820,0.000000,0.000000,0.000000,43.540083,8.550099,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.843485,24.588520,13.835860,397.805062,78.236200,0,0,0,0,0

10,02:15-02:30,360.464620,54.299970,0.000000,0.000000,0.792565,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,231.240000,0.000000,108.875596,0.000000,0.000000,0.000000,30.733128,14.886075,41.983934,91.770774,0.000000,51.963964,0.000000,30.066981,6.532530,0.000000,15.227200,1.854256,0.000000,0.000000,0.000000,38.293344,22.468820,0.000000,0.000000,0.000000,43.540083,8.550099,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14.620008,24.588520,13.835860,397.805062,78.236200,0,0,0,0,0

11,02:30-02:45,360.464620,54.299970,5.060398,0.000000,0.792565,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,231.240000,0.000000,119.297390,0.000000,0.000000,0.000000,20.089553,14.269435,41.983934,91.481724,0.000000,51.963964,0.000000,30.163331,6.465085,0.000000,15.227200,1.854256,0.000000,0.000000,0.000000,5.318520,22.613345,0.000000,0.000000,0.000000,43.540083,8.550099,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14.422651,24.588520,13.729875,397.805062,78.236200,0,0,0,0,0

12,02:45-03:00,360.464620,54.299970,5.060398,0.000000,0.792565,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,231.240000,0.000000,119.297390,0.000000,0.000000,0.000000,20.089553,14.269435,41.983934,91.481724,0.000000,51.963964,0.000000,30.163331,6.465085,0.000000,15.227200,1.854256,0.000000,0.000000,0.000000,5.318520,22.613345,0.000000,0.000000,0.000000,43.540083,8.550099,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,17.023296,24.588520,13.729875,397.805062,78.236200,0,0,0,0,0

13,03:00-03:15,360.464620,53.740176,5.060398,0.000000,0.792565,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,231.240000,0.000000,119.297390,0.000000,0.000000,0.000000,20.089553,14.269435,41.983934,91.481724,0.000000,51.963964,0.000000,30.163331,6.465085,0.000000,15.227200,1.854256,0.000000,0.000000,0.000000,10.637040,22.613345,0.000000,0.000000,0.000000,43.540083,8.550099,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,18.648750,24.588520,13.729875,397.805062,78.236200,0,0,0,0,0

