Block,Time Block,BRBCL,CHAMERA1,BSIUL,TANDA2,TALST2,SINGRAULI_HYDRO,SASAN,TANAKPUR,TALA,SIMHST1,SIMHST2,SINGRAULI,RSTPSU7,SALAL,SEWA2,RIHAND3,RAMPUR,RIHAND1,RSTPSU1TO6,RIHAND2,PARBATI2,PARBATI3,RAPPC,RAPPB,MAPS,NAPP,NTPL,NLCEXP,NJPC,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,KOLDAM,KOTESHWR,KUDGI,KKNPPU2,KGSU1AND2,KGSU3AND4,KHSTPP-I,JHAJJAR,ANTA_CRF,ANTA_LF,ANTA_RF,ANTA_GF,DADRI_LF,AURY_CRF,DADRI_GF,AURY_LF,DADRI_CRF,DADRI_RF,AURY_GF,AURY_RF,DHAULIGNGA,DULHASTI,FSTPP I & II,VALLURNTECL,CHAMERA3,CHAMERA2,DADRT2,URI2,URI,TelanganaSTPP,UNCHAHAR4,UNCHAHAR2,TEHRI,UNCHAHAR1,UNCHAHAR3,KISHANGANGA,KHSTPP-II,KKNP,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,19.25,40.57,12.55,5.26,0,0.9,402.91,0.49,0,0,0,144.62,0,68.22,18.17,125.85,3.15,93.54,0,119.86,10.82,16.23,66.51,0,0,49.03,0,0,79.78,0,0,0,0,0,10.02,0,0,0,0,44.11,479.11,0,0,12.64,0,0,0,0,0,0,17.63,0,20.35,0,38.13,14.72,0,22.43,31.27,663.04,38.14,33.48,0,1.63,19.46,12.49,20.82,26.63,8.24,142.74,0,0,0,0,0,0

2,00:15-00:30,17.18,40.57,12.55,5.26,0,0.9,403.07,0.49,0,0,0,144.62,0,68.22,18.17,125.85,1.69,93.54,0,119.86,10.82,16.23,66.51,0,0,49.03,0,0,43.06,0,0,0,0,0,10.02,0,0,0,0,44.11,479.82,0,0,12.64,0,0,0,0,0,0,17.63,0,20.35,0,38.13,14.72,0,22.43,31.27,663.04,38.14,33.48,0,1.63,19.51,12.49,20.82,26.63,8.24,142.74,0,0,0,0,0,0

3,00:30-00:45,15.34,40.57,12.55,5.26,0,0.9,403.07,0.49,0,0,0,144.62,0,68.22,18.17,125.85,1.69,93.54,0,119.86,10.82,16.23,66.51,0,0,49.03,0,0,43.06,0,0,0,0,0,10.02,0,0,0,0,44.11,479.82,0,0,12.64,0,0,0,0,0,0,17.63,0,20.35,0,38.13,14.72,0,22.43,31.27,663.04,38.14,33.48,0,1.63,19.51,0,20.82,26.63,8.24,142.74,0,0,0,0,0,0

4,00:45-01:00,14.16,40.57,12.55,5.26,0,0.9,403.07,0.49,0,0,0,144.62,0,68.22,18.17,125.85,1.69,93.54,0,119.86,10.82,16.23,66.51,0,0,49.03,0,0,43.06,0,0,0,0,0,10.02,0,0,0,0,44.11,479.82,0,0,12.64,0,0,0,0,0,0,17.63,0,20.35,0,38.13,14.72,0,22.43,31.27,663.04,38.14,33.48,0,1.63,19.51,0,20.82,26.63,8.24,142.74,0,0,0,0,0,0

5,01:00-01:15,11.67,40.57,12.55,5.26,0,0.91,403.07,0,0,0,0,144.62,0,68.22,18.17,125.85,1.69,93.54,0,119.86,10.82,16.23,66.51,0,0,49.03,0,0,43.06,0,0,0,0,0,10.02,0,0,0,0,44.11,479.82,0,0,12.64,0,0,0,0,0,0,17.63,0,20.35,0,38.13,14.72,0,22.43,31.27,663.04,38.14,33.48,0,1.63,19.51,0,20.82,26.63,8.24,142.74,0,0,0,0,0,0

6,01:15-01:30,12.04,30.39,12.55,5.26,0,0.91,403.07,0,0,0,0,144.62,0,68.22,18.17,125.85,1.69,93.54,0,119.86,10.82,16.23,66.51,0,0,49.03,0,0,43.06,0,0,0,0,0,10.02,0,0,0,0,44.11,479.82,0,0,12.7,0,0,0,0,0,0,17.63,0,20.35,0,38.13,14.72,0,22.43,31.27,663.04,38.14,33.48,0,1.63,19.51,0,20.82,26.63,8.24,142.74,0,0,0,0,0,0

7,01:30-01:45,10.44,27.05,12.55,5.26,0,0.91,403.07,0,0,0,0,144.62,0,68.22,18.17,125.85,1.69,93.54,0,119.86,10.82,16.23,66.51,0,0,49.03,0,0,43.06,0,0,0,0,0,10.02,0,0,0,0,44.11,479.82,0,0,12.7,0,0,0,0,0,0,17.63,0,20.35,0,38.13,14.72,0,22.43,31.27,663.04,38.14,33.48,0,1.63,19.51,0,20.82,26.63,8.24,142.74,0,0,0,0,0,0

8,01:45-02:00,10.47,27.05,12.55,5.26,0,0.91,403.07,0,0,0,0,144.62,0,68.22,18.17,125.85,1.69,93.54,0,119.86,10.82,16.23,66.51,0,0,49.03,0,0,43.06,0,0,0,0,0,10.02,0,0,0,0,44.11,479.82,0,0,12.7,0,0,0,0,0,0,17.63,0,20.35,0,38.13,14.72,0,22.43,31.27,663.04,38.14,33.48,0,1.63,19.51,0,20.82,26.63,8.24,142.74,0,0,0,0,0,0

