Block,Time Block,RIHAND2,RIHAND1,RSTPSU7,RSTPSU1TO6,RAPPD,RIHAND3,DHAULIGNGA,FSTPP I & II,DULHASTI,DADRT2,CHAMERA3,CHAMERA2,CHAMERA1,BSIUL,BRBCL,KKNP,AURY_GF,DADRI_CRF,DADRI_RF,AURY_RF,DADRI_LF,AURY_LF,DADRI_GF,KHSTPP-II,KHSTPP-I,TelanganaSTPP,ANTA_GF,UNCHAHAR2,URI,ANTA_CRF,UNCHAHAR1,VALLURNTECL,ANTA_RF,AURY_CRF,UNCHAHAR4,URI2,ANTA_LF,UNCHAHAR3,KGSU1AND2,KGSU3AND4,NNTPP,NAPP,KUDGI,NLCEXP,MAPS,NLCIIST1,NJPC,NLCIIST2,NLCTS2EXP,RAMPUR,NTPL,PARBATI3,PARBATI2,RAPPC,RAPPB,SIMHST1,SINGRAULI_HYDRO,SIMHST2,SALAL,SEWA2,SINGRAULI,SASAN,TANDA2,TEHRI,TALST2,TANAKPUR,TALA,KKNPPU2,KOTESHWR,KOLDAM,JHAJJAR,KISHANGANGA,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,120.34,93.92,0,0,20.92,92.53,10.58,18.12,57.48,443.32,33.84,47.15,40.72,12.6,19.32,0,0,0,0,0,0,0,0,143.26,43.98,0,0,42.51,49.59,0,21.19,0,0,0,1.74,36.8,0,26.74,0,0,0,25.14,0,0,0,0,160.35,0,0,6.28,0,41.5,39.92,65.57,0,0,1.04,0,81.38,18.26,145.23,399.9,5.33,29.77,0,6.06,0,0,10.08,9.26,452.74,8.34,0,0,0,0,0

2,00:15-00:30,120.34,93.92,0,0,20.92,92.53,10.58,18.12,57.48,443.32,33.84,47.15,40.72,12.6,18.92,0,0,0,0,0,0,0,0,143.26,43.98,0,0,42.51,49.59,0,21.19,0,0,0,1.74,36.8,0,26.74,0,0,0,25.14,0,0,0,0,160.35,0,0,6.28,0,41.5,39.92,65.57,0,0,1.04,0,81.38,12.18,145.23,399.92,5.33,29.77,0,6.06,0,0,10.08,9.26,452.74,8.34,0,0,0,0,0

3,00:30-00:45,120.34,93.92,0,0,20.92,92.53,10.58,18.12,57.48,443.32,33.84,47.15,40.72,12.6,16.89,0,0,0,0,0,0,0,0,143.26,43.98,0,0,42.51,49.59,0,21.19,0,0,0,1.64,36.8,0,26.74,0,0,0,25.14,0,0,0,0,160.35,0,0,6.28,0,41.5,39.92,65.57,0,0,1.04,0,81.38,5.75,145.23,399.92,5.33,29.77,0,6.06,0,0,10.08,9.26,452.74,8.34,0,0,0,0,0

4,00:45-01:00,120.34,93.92,0,0,20.92,92.53,10.58,18.12,57.48,443.32,33.84,47.15,40.72,12.6,15.78,0,0,0,0,0,0,0,0,143.26,43.98,0,0,42.51,49.59,0,21.19,0,0,0,1.64,36.8,0,26.74,0,0,0,25.14,0,0,0,0,160.35,0,0,6.28,0,41.5,39.92,65.57,0,0,1.04,0,81.38,5.75,145.23,399.92,5.33,29.77,0,6.06,0,0,10.08,9.26,452.74,8.34,0,0,0,0,0

5,01:00-01:15,120.34,93.92,0,0,20.92,92.53,10.58,18.12,57.48,443.32,33.84,47.15,40.72,12.6,15.28,0,0,0,0,0,0,0,0,143.26,43.98,0,0,42.51,49.59,0,21.19,0,0,0,1.64,36.8,0,26.74,0,0,0,25.14,0,0,0,0,160.35,0,0,6.28,0,41.5,43.55,65.57,0,0,1.04,0,81.38,5.75,145.23,399.92,5.33,29.77,0,0.49,0,0,10.08,9.26,452.74,8.34,0,0,0,0,0

6,01:15-01:30,120.34,93.92,0,0,20.92,92.53,10.58,18.12,57.48,443.32,33.84,47.15,40.72,12.6,13.53,0,0,0,0,0,0,0,0,143.26,43.98,0,0,42.51,49.59,0,21.19,0,0,0,1.64,36.8,0,26.74,0,0,0,25.14,0,0,0,0,160.35,0,0,6.28,0,41.5,43.55,65.57,0,0,1.04,0,81.38,0,145.23,399.92,5.33,29.77,0,0.49,0,0,10.08,9.26,452.74,8.34,0,0,0,0,0

7,01:30-01:45,120.34,93.92,0,0,20.92,92.53,10.58,18.12,57.48,443.32,33.84,47.15,40.72,12.6,13.78,0,0,0,0,0,0,0,0,143.26,43.98,0,0,42.51,49.59,0,21.19,0,0,0,1.64,36.8,0,26.74,0,0,0,25.14,0,0,0,0,176.38,0,0,6.91,0,41.5,43.55,65.57,0,0,1.04,0,81.38,0,145.23,399.92,5.33,29.77,0,0.49,0,0,10.08,9.26,452.74,8.34,0,0,0,0,0

8,01:45-02:00,120.34,93.92,0,0,20.92,92.53,10.58,18.12,57.48,443.32,33.84,47.15,40.72,12.6,11.18,0,0,0,0,0,0,0,0,143.26,43.98,0,0,42.51,49.59,0,21.19,0,0,0,1.64,36.8,0,26.74,0,0,0,25.14,0,0,0,0,176.38,0,0,6.91,0,41.5,43.55,65.57,0,0,1.04,0,81.38,0,145.23,399.92,5.33,29.77,0,0.49,0,0,10.08,9.26,452.74,8.34,0,0,0,0,0

9,02:00-02:15,120.34,93.92,0,0,20.92,91.91,10.58,18.12,57.48,388.04,33.84,47.15,40.72,12.6,11.06,0,0,0,0,0,0,0,0,143.26,43.98,0,0,42.51,49.59,0,21.19,0,0,0,1.64,36.8,0,26.74,0,0,0,25.14,0,0,0,0,176.38,0,0,6.91,0,48.92,43.55,65.57,0,0,1.04,0,81.38,0,145.23,399.92,5.33,29.77,0,0.49,0,0,10.08,9.26,452.74,8.34,0,0,0,0,0

10,02:15-02:30,120.34,93.92,0,0,20.92,91.91,10.58,18.12,57.48,266.85,33.84,47.15,40.72,12.6,10.07,0,0,0,0,0,0,0,0,143.26,43.98,0,0,42.51,49.59,0,21.19,0,0,0,1.64,36.8,0,26.74,0,0,0,25.14,0,0,0,0,176.38,0,0,6.91,0,48.92,43.55,65.57,0,0,1.04,0,81.38,0,145.23,399.92,5.33,29.77,0,0.49,0,0,10.08,9.26,452.74,8.34,0,0,0,0,0

11,02:30-02:45,120.34,93.92,0,0,20.92,92.53,10.58,18.12,57.48,172.64,33.84,47.15,40.72,12.6,9.62,0,0,0,0,0,0,0,0,143.26,43.98,0,0,42.51,49.59,0,21.19,0,0,0,1.64,36.8,0,26.74,0,0,0,25.14,0,0,0,0,176.38,0,0,6.8,0,48.92,43.55,65.57,0,0,1.04,0,81.38,0,145.23,395.58,5.33,29.77,0,0.49,0,0,10.08,9.26,369.93,8.34,0,0,0,0,0

12,02:45-03:00,120.34,93.92,0,0,20.92,92.53,10.58,18.12,57.48,95.25,33.84,47.15,40.72,12.6,12.28,0,0,0,0,0,0,0,0,143.26,43.98,0,0,36.99,49.59,0,18.38,0,0,0,1.64,36.8,0,23.22,0,0,0,25.14,0,0,0,0,176.38,0,0,6.8,0,48.92,43.55,65.57,0,0,1.04,0,81.38,0,145.23,395.58,5.33,29.77,0,0.49,0,0,10.08,9.26,263.55,8.34,0,0,0,0,0

13,03:00-03:15,120.34,93.92,0,0,20.92,92.53,10.58,15.61,57.48,95.25,33.84,47.15,40.72,12.6,13.34,0,0,0,0,0,0,0,0,143.26,43.98,0,0,37.32,49.59,0,18.38,0,0,0,2.14,36.8,0,23.22,0,0,0,25.14,0,0,0,0,176.38,0,0,6.8,0,48.92,43.55,65.57,0,0,1.04,0,76.68,0,145.23,395.58,5.33,29.77,0,0.49,0,0,10.08,9.26,165.99,8.34,0,0,0,0,0

14,03:15-03:30,120.34,93.92,0,0,20.92,92.53,10.58,15.61,57.48,95.25,33.84,47.15,27.14,12.6,11.9,0,0,0,0,0,0,0,0,143.26,43.98,0,0,31.75,49.59,0,15.13,0,0,0,2.14,36.8,0,19.64,0,0,0,25.14,0,0,0,0,176.38,0,0,6.8,0,48.92,43.55,65.57,0,0,1.04,0,76.68,0,145.23,395.58,5.33,29.77,0,0.49,0,0,10.08,9.26,165.99,8.34,0,0,0,0,0

15,03:30-03:45,120.34,93.92,0,0,20.92,91.89,10.58,18.12,57.48,95.25,33.84,47.15,27.14,12.6,12.13,0,0,0,0,0,0,0,0,143.26,43.98,0,0,37.15,49.59,0,17.94,0,0,0,2.14,36.8,0,23.16,0,0,0,25.14,0,0,0,0,176.38,0,0,6.8,0,48.92,43.55,65.57,0,0,1.04,0,76.68,0,145.23,395.58,5.33,29.77,0,0.49,0,0,10.08,9.26,165.99,8.34,0,0,0,0,0

