Block,Time Block,DULHASTI,FSTPP I & II,DHAULIGNGA,DADRT2,KISHANGANGA,KHSTPP-II,AURY_LF,ANTA_RF,UNCHAHAR2,URI,ANTA_LF,UNCHAHAR1,AURY_GF,UNCHAHAR4,AURY_RF,VALLURNTECL,ANTA_GF,AURY_CRF,UNCHAHAR3,URI2,ANTA_CRF,TANDA2,TANAKPUR,TEHRI,TelanganaSTPP,DADRI_CRF,DADRI_RF,DADRI_LF,DADRI_GF,CHAMERA3,RSTPSU1TO6,NNTPP,SIMHST2,RAPPC,RSTPSU7,NTPL,SALAL,SEWA2,PARBATI3,RIHAND3,RAPPB,RIHAND2,SASAN,RIHAND1,SIMHST1,RAMPUR,TALA,SINGRAULI,TALST2,SINGRAULI_HYDRO,BRBCL,CHAMERA2,CHAMERA1,BSIUL,KGSU3AND4,MAPS,NLCEXP,NLCIIST1,NLCIIST2,NJPC,NAPP,NLCTS2EXP,KUDGI,KOTESHWR,KKNPPU2,KOLDAM,KHSTPP-I,KKNP,KGSU1AND2,JHAJJAR,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,12.24,0,361.78,0,78.45,0,0,22.5,1.07,0,5.77,0,0,0,0,0,0,14.26,4.15,0,0,0,0,0,0,0,0,0,0,0,0,0,51.87,0,0,1.35,0,0,58.36,0,114.22,402.77,88.49,0,0,0,134.35,0,0.54,18.54,0,0,0,0,0,0,0,0,0,42.32,0,0,8.53,0,0,18.41,0,0,229.93,0,0,0,0,0

2,00:15-00:30,0,11,0,361.78,0,78.45,0,0,22.5,1.07,0,5.77,0,0,0,0,0,0,14.26,4.15,0,0,0,0,0,0,0,0,0,0,0,0,0,51.87,0,0,1.35,0,0,58.36,0,114.22,402.77,88.49,0,0,0,134.35,0,0.54,18.09,0,0,0,0,0,0,0,0,0,42.32,0,0,8.53,0,0,18.41,0,0,229.93,0,0,0,0,0

3,00:30-00:45,0,11,0,361.78,0,94.75,0,0,22.5,1.07,0,5.77,0,0,0,0,0,0,14.26,4.15,0,0,0,0,0,0,0,0,0,0,0,0,0,51.87,0,0,1.35,0,0,58.36,0,114.22,402.77,88.49,0,0,0,134.35,0,0.54,17.2,0,0,0,0,0,0,0,0,0,42.32,0,0,8.53,0,0,18.41,0,0,229.93,0,0,0,0,0

4,00:45-01:00,0,11,0,361.78,0,94.75,0,0,22.5,1.07,0,5.77,0,0,0,0,0,0,14.26,4.15,0,0,0,0,0,0,0,0,0,0,0,0,0,51.87,0,0,1.35,0,0,58.36,0,114.22,402.77,88.49,0,0,0,134.35,0,0.54,17.3,0,0,0,0,0,0,0,0,0,42.32,0,0,8.53,0,0,18.41,0,0,229.93,0,0,0,0,0

5,01:00-01:15,0,11,0,361.78,0,94.75,0,0,22.5,1.07,0,5.77,0,0,0,0,0,0,14.26,4.15,0,0,5.54,0,0,0,0,0,0,0,0,0,0,51.87,0,0,1.35,0,0,58.36,0,114.22,402.77,88.49,0,0,0,134.35,0,0.54,16.6,0,0,0,0,0,0,0,0,0,42.32,0,0,8.53,0,0,18.41,0,0,229.93,0,0,0,0,0

6,01:15-01:30,0,11,0,361.78,0,94.75,0,0,22.5,1.07,0,5.77,0,0,0,0,0,0,14.26,4.15,0,0,5.54,0,0,0,0,0,0,0,0,0,0,51.87,0,0,1.35,0,0,58.36,0,114.22,402.77,88.49,0,0,0,134.35,0,0.54,13.06,0,0,0,0,0,0,0,0,0,42.32,0,0,8.53,0,0,18.41,0,0,229.93,0,0,0,0,0

7,01:30-01:45,0,11,0,361.78,0,94.75,0,0,22.5,1.07,0,5.77,0,0,0,0,0,0,14.26,4.15,0,0,5.54,0,0,0,0,0,0,0,0,0,0,51.87,0,0,1.35,0,0,58.36,0,114.22,402.77,88.49,0,0,0,134.35,0,0.54,11.26,0,0,0,0,0,0,0,0,0,42.32,0,0,8.53,0,0,18.41,0,0,229.93,0,0,0,0,0

8,01:45-02:00,0,11,0,361.78,0,94.75,0,0,22.5,1.07,0,5.77,0,0,0,0,0,0,14.26,4.15,0,0,5.54,0,0,0,0,0,0,0,0,0,0,51.87,0,0,1.35,0,0,58.36,0,114.22,402.77,88.49,0,0,0,134.35,0,0.54,10.58,0,0,0,0,0,0,0,0,0,42.32,0,0,8.53,0,0,18.41,0,0,229.93,0,0,0,0,0

9,02:00-02:15,0,11,0,361.78,0,94.75,0,0,22.5,1.07,0,5.77,0,0,0,0,0,0,14.26,4.15,0,0,5.54,0,0,0,0,0,0,0,0,0,0,51.87,0,0,1.35,0,0,58.36,0,114.22,402.77,88.49,0,0,0,134.35,0,0.54,10.58,0,0,0,0,0,0,0,0,0,42.32,0,0,8.53,0,0,18.41,0,0,229.93,0,0,0,0,0

10,02:15-02:30,0,11,0,361.78,0,94.75,0,0,22.5,1.07,0,5.77,0,0,0,0,0,0,14.26,4.15,0,0,5.54,0,0,0,0,0,0,0,0,0,0,51.87,0,0,1.35,0,0,58.36,0,114.22,402.77,88.49,0,0,0,134.35,0,0.54,10.58,0,0,0,0,0,0,0,0,0,42.32,0,0,8.53,0,0,18.41,0,0,229.93,0,0,0,0,0

11,02:30-02:45,0,11,0,362,0,94.75,0,0,22.5,1.16,0,5.77,0,0,0,0,0,0,14.26,4.15,0,0,0,0,0,0,0,0,0,0,0,0,0,51.87,0,0,1.35,0,0,58.36,0,114.22,402.77,88.49,0,0,0,134.35,0,0.54,10.58,0,0,0,0,0,0,0,0,0,42.32,0,0,8.53,0,0,18.41,0,0,229.93,0,0,0,0,0

12,02:45-03:00,0,11,0,362,0,94.75,0,0,22.5,1.16,0,5.77,0,0,0,0,0,0,14.26,4.15,0,0,0,0,0,0,0,0,0,0,0,0,0,51.87,0,0,1.35,0,0,58.36,0,114.22,402.77,88.49,0,0,0,134.35,0,0.54,12.15,0,0,0,0,0,0,0,0,0,42.32,0,0,8.53,0,0,18.41,0,0,229.93,0,0,0,0,0

13,03:00-03:15,0,11,0,362,0,94.75,0,0,22.5,1.16,0,5.77,0,0,0,0,0,0,14.26,4.15,0,0,0,0,0,0,0,0,0,0,0,0,0,51.87,0,0,1.35,0,0,58.36,0,114.22,402.77,88.49,0,0,0,134.35,0,0.54,13.94,0,0,0,0,0,0,0,0,0,42.32,0,0,8.53,0,0,18.41,0,0,229.93,0,0,0,0,0

14,03:15-03:30,0,11,0,362,0,94.75,0,0,22.5,1.16,0,5.77,0,0,0,0,0,0,14.26,4.15,0,0,0,0,0,0,0,0,0,0,0,0,0,51.87,0,0,1.35,0,0,58.36,0,114.22,402.77,88.49,0,0,0,134.35,0,0.54,16.21,0,0,0,0,0,0,0,0,0,42.32,0,0,8.53,0,0,18.41,0,0,229.93,0,0,0,0,0

15,03:30-03:45,0,11,0,362,0,94.75,0,0,22.5,1.07,0,5.77,0,0,0,0,0,0,14.26,4.15,0,0,0,0,0,0,0,0,0,0,0,0,0,51.87,0,0,1.35,0,0,58.36,0,114.22,402.77,88.49,0,0,0,134.35,0,0.54,14.98,0,0,0,0,0,0,0,0,0,42.32,0,0,8.53,0,0,18.41,0,0,229.93,0,0,0,0,0

