Column1,Block,GNA/NR/2025/03/01/2563,GNA/NR/2025/03/01/3469,NR/30092023/26122029/SH-06,GNA/NR/2025/03/01/5143,NR/30092023/31122025/SH-07,GNA/WR/2025/01/01/8625,GNA/NR/2025/03/01/1906,GNA/NR/2025/03/01/8036,GNA/NR/2025/03/01/4651,GNA/NR/2025/03/01/6891,GNA/NR/2025/03/01/9482,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/WR/2025/01/01/9606,GNA/SR/2025/03/01/7500,NR/2025/25159/A/58643,WR/2025/26499/A/58998,WR/2025/26426/A/58783,WR/2025/26427/A/58785,WR/2025/26582/A/58997,GNA/WR/2025/03/01/6406,NR/2025/25517/A/58986,NR/2025/25516/A/58978,NR/2025/25651/C,NR/2025/25650/C,NR/2025/25518/A/58982,GNARE/NR/2024/12/20/3668,Total
,,NDMC,NDMC,PUNJAB,PTC,BAWANA_GAS,TPTCL,NDMC,NDMC,NDMC,PTC,NDMC,DELHI,APPCPL,APPCPL,ITCLH,APPCPL,KEIPL,KEIPL,APPCPL,APPCPL,OIDLWM2_AEROCITY,ABLWM1_AEROCITY,SJVNL,SJVNL,OIDLWM3_AEROCITY,SECI_Trader,
,,NA,NA,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,NA,NA,NA,DELHI_UT,NA,HIMACHAL_STATE,DELHI_UT,DELHI_UT,ANDHRA_PRADESH_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,NA,NA,NA,NA,NA,NA,
,,RKM_POWER,TRN_ENERGY,BAWANA_GAS,BRPL,BAWANA_GAS,BYPL,JPL2,RKM_POWER,SKS_Raigarh,BYPL,JIPL,CHANJUII,BYPL,BYPL,ITCWIND,BRPL,BYPL,BRPL,BRPL,BRPL,TCSPL_BKN2,TCSPL_BKN2,RSRPL_BKN,TPSL_BKN2,TCSPL_BKN2,APSEPL_FTG,
,,DELHI_UT,DELHI_UT,PUNJAB_STATE,HIMACHAL_STATE,HARYANA_STATE,MSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,HIMACHAL_STATE,DELHI_UT,DELHI_UT,MSEB_State,KERALA_State,DELHI_UT,MSEB_State,CSEB_State,CSEB_State,CSEB_State,MSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,NDMC,NDMC,PUNJAB,HP,HARYANA,TPC_MSEB,NDMC,NDMC,NDMC,HP,NDMC,TPDDL,AEML,KSEB,ITCLH,AEML,CSEB_Beneficiary,CSEB_Beneficiary,CSEB_Beneficiary,AEML,OIDLWM2_AEROCITY,ABLWM1_AEROCITY,NDMC,NDMC,OIDLWM3_AEROCITY,TPDDL,
,,West-North,West-North,North-North,North-North,North-North,North-West,West-North,West-North,West-North,North-North,East-North,North-North,North-West,North-West-South,South-West-North,North-West,North-West,North-West,North-West,North-West,North-North,North-North,North-North,North-North,North-North,North-North,
29,07:00-07:15,23.31,8.64,31.45,0,31.45,0,23.31,23.31,6.72,0,17.28,3.58,0,0,0.58,40.31,167.53,0,0,0,0,0,0,0,0,0.72,378.19000000000005

30,07:15-07:30,23.31,8.64,32,0,32,0,23.31,23.31,6.72,0,17.28,3.58,0,0,0.58,40.31,167.53,0,0,0,0,0,0,0,0,3.16,381.7300000000001

31,07:30-07:45,23.31,8.64,32,0,25.62,0,23.31,23.31,6.72,0,17.28,3.58,0,0,0.58,40.31,167.53,0,0,0,0,0,0,0,0,8.44,380.63000000000005

32,07:45-08:00,23.31,8.64,32,0,25.62,0,38.39,23.31,6.72,0,17.28,3.58,0,0,0.58,40.31,167.53,0,0,0,0.02,0.03,0,0,0.01,13.82,401.15

33,08:00-08:15,23.31,8.64,32,0,25.62,0,38.39,23.31,6.72,0,17.28,3.58,0,0,0.96,40.31,0,0,0,0,0.1,0.12,0,0,0.07,23.47,243.88000000000002

34,08:15-08:30,23.31,8.64,32,0,25.62,0,38.39,23.31,6.72,0,17.28,3.58,0,0,0.96,40.31,0,0,0,0,0.28,0.36,0,0,0.2,30.88,251.84000000000003

35,08:30-08:45,23.31,8.64,32,0,25.62,0,38.39,23.31,6.72,0,17.28,3.58,0,0,0.96,40.31,0,0,0,0,0.59,0.65,0,0,0.36,38.54,260.26000000000005

36,08:45-09:00,23.31,8.64,32,0,25.62,0,38.39,23.31,6.72,0,17.28,3.58,0,0,0.96,40.31,0,0,0,0,0.74,0.83,0,0,0.46,47.62,269.77000000000004

37,09:00-09:15,23.31,8.64,26.99,0,26.99,0,23.31,23.31,6.72,0,17.28,3.49,0,0,0.91,40.31,0,0,0,0,0.77,0.86,38.39,14.4,0.38,55.56,311.62000000000006

38,09:15-09:30,23.31,8.64,26.99,0,26.99,0,23.31,23.31,6.72,0,17.28,3.49,0,0,0.91,40.31,0,0,0,0,0.77,0.96,38.39,14.4,0.38,63.54,319.70000000000005

39,09:30-09:45,23.31,8.64,26.99,0,26.99,0,23.31,23.31,6.72,0,17.28,3.49,0,0,0.91,40.31,0,0,0,0,0.67,0.96,38.39,14.4,0.38,70.7,326.76

40,09:45-10:00,23.31,8.64,26.99,0,26.99,0,23.31,23.31,6.72,0,17.28,3.49,0,0,0.91,40.31,0,0,0,0,0.77,0.96,38.39,14.4,0.48,77.19,333.45

41,10:00-10:15,23.31,8.64,26.99,0,26.99,0,23.31,23.31,6.72,0,17.28,3.49,0,0,0.91,40.31,0,0,0,0,0.77,1.06,38.39,14.4,0.48,83.19,339.55

42,10:15-10:30,23.31,8.64,26.99,0,26.99,0,23.31,23.31,6.72,0,17.28,3.49,0,0,0.91,40.31,0,0,0,0,0.77,1.06,38.39,14.4,0.48,93.24,349.6

