Block,Time,CHAMERA2,KOTESHWR,NLCIIST1,RIHAND1,RIHAND3,RSTPSU7,SEWA2,SINGRAULI_HYDRO,TALST2,UNCHAHAR2,VALLURNTECL,DADRI_GF,DADRI_LF,CHAMERA3,KGSU3AND4,KOLDAM,NLCTS2EXP,NTPL,RAPPC,RSTPSU1TO6,SASAN,SIMHST1,SINGRAULI,TALA,TelanganaSTPP,FSTPP I & II,KUDGI,MAPS,NLCEXP,SALAL,SIMHST2,URI,DADRI_CRF,BRBCL,NLCIIST2,RAPPB,TANAKPUR,URI2,ANTA_RF,DADRI_RF,DHAULIGNGA,KHSTPP-I,NJPC,RAMPUR,RIHAND2,UNCHAHAR4,ANTA_CRF,ANTA_LF,BSIUL,DULHASTI,JHAJJAR,NAPP,TANDA2,TEHRI,UNCHAHAR3,ANTA_GF,AURY_LF,AURY_RF,CHAMERA1,DADRT2,KISHANGANGA,KKNP,KKNPPU2,NNTPP,AURY_CRF,KGSU1AND2,KHSTPP-II,PARBATI3,UNCHAHAR1,AURY_GF
1,00:00-00:15,2.4,8.87,0,92,124.32,0,0,0,0,28.53,0,0,21.92,0,0,0,0,0,52.15,0,418.77,0,102.75,0,0,18.07,0,0,0,13.95,0,1.11,0,20,0,0,11.92,4.57,42.74,66.85,9.11,33.99,0,0,118.76,0,0,0,0,32.96,429.66,42.08,0,0,26.39,0,0,70.16,0,341.57,0,0,0,0,0,0,148.3,0,20.56,0

2,00:15-00:30,2.4,8.87,0,92,124.32,0,0,0,0,28.53,0,0,21.92,0,0,0,0,0,52.15,0,418.77,0,102.75,0,0,18.07,0,0,0,79.38,0,1.11,0,20,0,0,11.92,4.57,42.74,66.85,9.11,33.99,0,0,118.76,0,0,0,0,32.96,429.66,42.08,0,0,26.39,0,0,70.16,0,341.57,0,0,0,0,0,0,148.3,0,20.56,0

3,00:30-00:45,2.4,8.87,0,92,124.32,0,0,0,0,28.53,0,0,21.92,0,0,0,0,0,52.15,0,418.77,0,102.75,0,0,18.07,0,0,0,79.38,0,1.11,0,20,0,0,5.13,4.57,42.74,66.85,9.11,33.99,0,0,118.76,0,0,0,0,32.96,429.66,42.08,0,0,26.39,0,0,70.16,0,341.57,0,0,0,0,0,0,148.3,0,20.56,0

4,00:45-01:00,2.4,8.87,0,92,124.32,0,0,0,0,28.53,0,0,21.92,0,0,0,0,0,52.15,0,418.77,0,102.75,0,0,18.07,0,0,0,79.38,0,1.11,0,20,0,0,5.13,4.57,42.74,66.85,9.11,33.99,0,0,118.76,0,0,0,0,32.96,429.66,42.08,0,0,26.39,0,0,70.16,0,341.57,0,0,0,0,0,0,148.3,0,20.56,0

5,01:00-01:15,2.4,8.87,0,92,124.32,0,0,0,0,21.19,0,0,21.92,0,0,0,0,0,52.15,0,418.77,0,102.75,0,0,18.07,0,0,0,79.38,0,1.11,0,20,0,0,5.13,4.57,42.74,66.85,1.32,33.99,0,0,118.76,0,0,0,0,32.96,429.66,42.08,0,0,26.39,0,0,70.16,0,341.57,0,0,0,0,0,0,148.3,0,20.56,0

6,01:15-01:30,2.4,8.87,0,92,124.32,0,0,0,0,21.19,0,0,21.92,0,0,0,0,0,52.15,0,418.77,0,102.75,0,0,18.07,0,0,0,13.95,0,1.11,0,20,0,0,5.13,4.57,42.74,66.85,1.32,33.99,0,0,118.76,0,0,0,0,32.96,429.66,42.08,0,0,26.39,0,0,70.16,0,341.57,0,0,0,0,0,0,148.3,0,20.56,0

