Column1,Block,NR/2024/22542/C,NR/01082024/15082024/APL-Raigarh,NR/01082024/31082024/jitpl,NR/01082024/15082024/IIPL/JPL-T-BRPL/04/Aug24,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/26122029/SH-06,NR/01082024/30082024/NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01082024/31082024/APPCPL/180/F25/GNA/12763,NR/2024/22539/C,NR/2024/22541/C,NR/30092023/31122025/SH-07,NR/01082024/31082024/SKS-Raigarh,NR/2024/22052/A/32071,NR/2024/22547/C,NR/01102023/14082046/L_NR_2021_16,NR/2024/22058/A/32072,NR/2024/22042/A/32017,NR/2024/21974/A/32324,NR/2024/21961/A/32296,NR/2024/21971/A/32323,NR/2024/21938/A/32298,NR/2024/21956/A/32340,NR/2024/22010/A/32353,NR/2024/21943/A/32336,NR/2024/21909/A/32276,NR/2024/21918/A/32350,NR/2024/21968/A/32321,NR/2024/21940/A/32338,NR/2024/21954/A/32337,NR/2024/21983/A/32053,NR/2024/22398/A/32397,NR/2024/22279/A/32016,NR/2024/21814/A/32325,NR/01102023/02012046/L_NR_2021_17,NR/2024/22432/A/32117,NR/2024/21970/A/32322,NR/2024/21658/A/32001,NR/2024/22014/A/32018,NR/2024/21860/A/32398,NR/2024/21966/A/32074,Total
89,22:00-22:15,0,192.34,8.41,48.08,48.08,16.8,9.1736,0,0,27.89,163.73,9.1736,8.74,0,0,0,0,3.85,26.23,113.61,26.23,37.87,43.28,0,38.47,0,90.4,26.23,83.84,23.97,0,240.42,4.81,0,0,10.58,8.74,0.77,1.92,0,0,1313.6372000000001

90,22:15-22:30,0,192.34,8.41,48.08,48.08,16.8,9.1736,0,0,27.89,163.73,9.1736,8.74,0,0,0,0,3.85,26.23,113.61,26.23,37.87,43.28,0,38.47,0,90.4,26.23,83.84,23.97,0,240.42,4.81,0,0,10.58,8.74,0.77,1.92,0,0,1313.6372000000001

91,22:30-22:45,0,192.34,8.41,48.08,48.08,14.5,9.1736,0,0,27.89,163.73,9.1736,8.74,0,0,0,0,3.85,26.23,113.61,26.23,37.87,67.32,0,38.47,0,90.4,26.23,83.84,23.97,0,240.42,4.81,0,0,9.62,8.74,0.77,1.92,0,0,1334.4172

92,22:45-23:00,0,192.34,8.41,48.08,48.08,14.5,9.1736,0,0,27.89,163.73,9.1736,8.74,0,0,0,0,3.85,26.23,113.61,26.23,37.87,67.32,0,38.47,0,90.4,26.23,83.84,23.97,0,240.42,4.81,0,0,9.62,8.74,0.77,1.92,0,0,1334.4172

93,23:00-23:15,0,192.34,8.41,48.08,48.08,14.5,9.1736,0,0,27.89,163.73,9.1736,8.74,0,0,0,0,3.85,26.23,113.61,26.23,37.87,67.32,0,38.47,0,90.4,26.23,83.84,23.97,0,240.42,4.81,0,0,9.62,8.74,0.72,1.92,0,0,1334.3672000000001

94,23:15-23:30,0,192.34,8.41,48.08,48.08,14.5,9.1736,0,0,27.89,163.73,9.1736,8.74,0,0,0,0,3.85,26.23,113.61,26.23,37.87,67.32,0,38.47,0,90.4,26.23,83.84,23.97,0,240.42,4.81,0,0,9.62,8.74,0.72,1.92,0,0,1334.3672000000001

95,23:30-23:45,0,192.34,8.41,48.08,48.08,14.5,9.1736,0,0,27.89,163.73,9.1736,8.74,0,0,0,0,3.85,26.23,113.61,26.23,37.87,67.32,0,38.47,0,90.4,26.23,83.84,23.97,0,240.42,4.81,0,0,9.62,8.74,0.72,1.92,0,0,1334.3672000000001

96,23:45-24:00,0,192.34,8.41,48.08,48.08,14.5,9.1736,0,0,27.89,163.73,9.1736,8.74,0,0,0,0,3.85,26.23,113.61,26.23,37.87,67.32,0,38.47,0,90.4,26.23,83.84,23.97,0,240.42,4.81,0,0,9.62,8.74,0.72,1.92,0,0,1334.3672000000001

