Block,Time,KUDGI,PARBATI3,RAMPUR,SASAN,TANAKPUR,UNCHAHAR2,AURY_LF,DADRI_GF,DHAULIGNGA,KHSTPP-I,NLCIIST1,NNTPP,NTPL,RAPPB,RSTPSU7,SEWA2,SIMHST2,UNCHAHAR3,ANTA_GF,DADRI_CRF,DADRI_LF,DADRI_RF,CHAMERA2,KHSTPP-II,KOTESHWR,NJPC,NLCTS2EXP,RAPPC,RIHAND1,RIHAND2,RIHAND3,SALAL,SINGRAULI,ANTA_LF,FSTPP I & II,NAPP,SINGRAULI_HYDRO,TANDA2,TEHRI,UNCHAHAR1,UNCHAHAR4,AURY_CRF,DULHASTI,JHAJJAR,MAPS,NLCIIST2,TALA,ANTA_CRF,CHAMERA1,KGSU3AND4,KISHANGANGA,SIMHST1,KGSU1AND2,KKNP,KKNPPU2,NLCEXP,RSTPSU1TO6,TALST2,URI,URI2,VALLURNTECL,ANTA_RF,AURY_GF,BRBCL,BSIUL,CHAMERA3,DADRT2,KOLDAM,TelanganaSTPP,AURY_RF
1,00:00-00:15,0,21.08,3.54,376.88,10.89,42.405115681,0,0,40.4,44.31,0,0,0,0,0,17.37,0,26.423,0,0,0,79.73,44.22,148.3,38.64,167.1,0,60.53,72.01,121.71,127.6,83.67,93.48,0,14.3,45.34,0.45,0.19,53.16,20.569375,0,0,53.79,406.41,0,0,10.44,0,42.15,0,2.88,0,0,0,0,0,0,0,38.64,36.05,0,31.81,0,20.01,13.04,32.08,682.83,5.35,0,60.28

2,00:15-00:30,0,21.08,3.54,376.88,10.89,42.405115681,0,0,40.4,44.31,0,0,0,0,0,17.37,0,26.423,0,0,0,79.73,44.22,148.3,38.64,167.1,0,60.53,72.01,121.71,127.6,83.67,93.48,0,14.3,45.34,0.45,0.19,53.16,20.569375,0,0,53.79,406.41,0,0,10.44,0,42.15,0,2.88,0,0,0,0,0,0,0,38.64,36.05,0,31.81,0,20.01,13.04,32.08,682.83,5.35,0,60.28

3,00:30-00:45,0,21.08,3.54,376.88,10.89,39.655115681,0,0,40.4,44.31,0,0,0,0,0,11.58,0,26.423,0,0,0,79.73,44.22,148.3,38.64,167.1,0,60.53,72.01,121.71,127.6,83.67,93.48,0,14.3,45.34,0.45,0.19,53.16,20.569375,0,0,53.79,406.41,0,0,10.44,0,42.15,0,2.88,0,0,0,0,0,0,0,33.12,23.65,0,31.81,0,20.01,13.04,32.08,682.83,5.35,0,60.28

4,00:45-01:00,0,21.08,3.54,376.88,10.89,39.655115681,0,0,40.4,44.31,0,0,0,0,0,11.58,0,26.423,0,0,0,79.73,44.22,148.3,38.64,167.1,0,60.53,72.01,121.71,127.6,83.67,93.48,0,14.3,45.34,0.45,0.19,53.16,20.569375,0,0,53.79,406.41,0,0,10.44,0,42.15,0,2.88,0,0,0,0,0,0,0,33.12,23.65,0,31.81,0,20.01,13.04,32.08,682.83,5.35,0,60.28

5,01:00-01:15,0,17.56,3.54,376.88,10.89,39.655115681,0,0,40.4,44.31,0,0,0,0,0,11.58,0,26.423,0,0,0,79.73,44.22,148.3,38.64,167.1,0,60.53,72.01,121.71,127.6,83.67,93.48,0,14.3,45.34,0.45,0.19,53.16,20.569375,0,0,53.79,406.41,0,0,10.44,0,42.15,0,2.88,0,0,0,0,0,0,0,33.12,24.38,0,31.81,0,20.01,6.52,32.08,682.83,5.35,0,60.89

