Time,Block,NR/2023/13242/A,NR/2023/16073/A,NR/2023/17172/C,NR/2023/16185/A,NR/2023/13148/A,NR/2023/17174/C,NR/2023/13165/A,NR/2023/17170/C,NR/2023/13387/A,NR/2023/16191/A,NR/2023/17168/C,NR/2023/13383/A,NR/2023/13385/A,NR/2023/13254/A,NR/2023/13150/A,NR/2023/13253/A,NR/2023/16993/F,NR/2023/17177/C,NR/2023/15770/A,ER/2023/10970/C,NR/2023/17178/C,ER/2023/10972/C,NR/2023/17159/D,NR/2023/17173/C,NR/2023/16077/A,NR/2023/17175/C,NR/2023/16291/F,Total
,,APPCPL,APPCPL,SJVNL,MANIKARAN,KEIPL,SJVNL,GMRETL,PXIL,NVVNL,MANIKARAN,GBHHPL,APPCPL,NVVNL,APPCPL,KEIPL,APPCPL,NVVNL,IEXL,NVVNL,IEXL,HPXL,HPXL,NVVNL,SJVNL,APPCPL,TPDDL,ITCLH,Total

,,SIKKIM,GOA,ARUNACHAL PRADESH,HIMACHAL PRADESH,MEGHALAYA,NA,MEGHALAYA,NA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,MP,MEGHALAYA,MEGHALAYA,UTTARAKHAND,NA,NA,NA,DELHI,NA,DELHI,NA,UTTAR PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,ANDHRA PRADESH,
,,SIKKIM,GOA_Beneficiary,Arunachal_Ben,HP,Meghalaya_Ben,RSRPL_BKN,Meghalaya_Ben,RKM_POWER,JPNIGRIE_JNSTPP,HP,GBHHPL,HP,JP BINA,Meghalaya_Ben,Meghalaya_Ben,UTTARAKHAND,KAMENG,RKM_POWER,SKS Raigarh,BYPL,Teesta_III,BYPL,SOLAPUR_SOLAR,BCMLB001,HP,CHANJUII,ITCWIND,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,WEST BENGAL,DELHI,ODISHA,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BYPL,BRPL,NDMC,BRPL,BYPL,NDMC,BYPL,BRPL,BRPL,BRPL,DIAPL,BYPL,BRPL,BYPL,BYPL,BYPL,TPDDL,BRPL,NDMC,IPCL_WB,BRPL,VLSEZ,MES (Delhi),NDMC,BRPL,TPDDL,ITCLH,
,,East-North,West-North,North East-East-North,North-North,North East-East-North,North-North,North East-East-North,West-North,West-North,North-North,North-North,North-North,West-North,North East-East-North,North East-East-North,North-North,North East-East-North,West-East-North,West-North,North-East,East-North,North-East,West-North,North-North,North-North,North-North,South-West-North,
1,00:00-00:15,29.370000,23.990000,0.000000,38.390000,36.210000,0,22.070000,0.000000,99.330000,77.740000,6.060000,50.380000,49.660000,19.470000,62.570000,47.980000,157.500000,191.940000,62.380000,13.000000,99.810000,0.000000,0,0.000000,117.560000,12.640000,0.860000,1218.91

2,00:15-00:30,29.370000,23.990000,0.000000,38.390000,36.210000,0,22.070000,0.000000,99.330000,77.740000,6.060000,50.380000,49.660000,19.470000,62.570000,47.980000,157.500000,191.940000,62.380000,13.000000,67.180000,0.000000,0,0.000000,117.560000,12.640000,0.860000,1186.28

