Column1,Block,NR/2025/31420/A/91679,NR/2025/31136/A/91898,NR/2025/31138/A/91905,GNARE/NR/2024/12/20/3668,NR/2025/31138/A/91906,NR/2025/29985/A/91555,NR/2025/31137/A/91903,NR/2025/31136/A/91897,NR/2025/31347/A/91457,NR/2025/31419/A/91680,NR/2025/31137/A/91904,NR/2025/32314/C,NR/2025/32307/C,NR/2025/30101/A/91982,GNA/NR/2025/07/01/1192,GNA/NR/2025/07/26/3975,GNA/NR/2025/07/16/5917,GNA/NR/2025/07/01/3109,GNA/NR/2025/07/01/8154,NR/30092023/31122025/SH-07,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/26122029/SH-06,NR/2025/29439/A/91535,NR/2025/29628/A/91861,NR/2025/32213/C,NR/2025/30191/A/91458,NR/2025/32311/C,NR/2025/32214/C,NR/2025/29353/A/91949,NR/2025/32312/C,NR/2025/28728/A/91892,NR/2025/30105/A/91853,NR/2025/32304/C,NR/2025/32259/C,NR/2025/32279/C,NR/2025/27978/A/91986,NR/2025/27975/A/91911,NR/2025/32304/C/Alternate/1,NR/2025/27973/A/91910,NR/2025/32261/C,NR/2025/30084/A/91855,NR/2025/32306/C,NR/2025/32264/C,NR/2025/30082/A/91940,NR/2025/29910/A/91859,NR/2025/29992/A/91828,NR/2025/31780/A/91554,NR/2025/32322/C,NR/2025/30217/A/91852,NR/2025/32323/C,NR/2025/32324/C,NR/2025/30067/A/91926,NR/2025/32326/C,NR/2025/32269/C,NR/2025/29352/A/91951,NR/2025/30083/A/91856,NR/2025/32270/C,NR/2025/30086/A/91854,NR/2025/29915/A/91440,NR/2025/31870/A/91553,NR/2025/27965/A/91907,NR/2025/30121/A/91461,NR/2025/29440/A/91477,NR/2025/27966/A/91908,NR/2025/29167/A/91441,NR/2025/32327/C,GNA/NR/2025/07/23/7329,GNA/NR/2025/07/01/2997,GNA/NR/2025/07/01/8139,GNA/NR/2025/07/16/7255,GNA/NR/2025/07/01/2786,Total
,,GMRETL,ABLWM1_AEROCITY,OIDLWM3_AEROCITY,SECI_Trader,OIDLWM3_AEROCITY,BRPL,OIDLWM2_AEROCITY,ABLWM1_AEROCITY,IEXL,GMRETL,OIDLWM2_AEROCITY,MES_Delhi,NVVNL,NVVNL,PTC,IEXL,PowerPulse,APPCPL,MANIKARAN,BAWANA_GAS,DELHI,PUNJAB,IVPL_Trader,APPCPL,IEXL,IEXL,APPCPL,IEXL,PTC,APPCPL,PowerPulse,APPCPL,NVVNL,HPXL,ITCLH,NVVNL,PowerPulse,NVVNL,PowerPulse,BYPL,APPCPL,NVVNL,PowerPulse,HPXL,APPCPL,BYPL,BRPL,APPCPL,APPCPL,APPCPL,APPCPL,MANIKARAN,APPCPL,PowerPulse,PTC,APPCPL,PowerPulse,APPCPL,TPTCL,DIAPL,PowerPulse,IEXL,ITCLH,PowerPulse,TPTCL,APPCPL,PowerPulse,APPCPL,PowerPulse,PowerPulse,NDMC,
,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MP_State,MP_State,NA,NA,NA,GOA_State,MSEB_State,DELHI_UT,HIMACHAL_STATE,DELHI_UT,MSEB_State,MSEB_State,TAMILNADU_State,NA,MSEB_State,NA,GoHP_NJPC_STATE,KERALA_State,NA,NA,NA,NA,ANDHRA_PRADESH_STATE,NA,NA,NA,NA,KERALA_State,NA,NA,NA,NA,KERALA_State,KERALA_State,NA,NA,NA,NA,NA,NA,NA,NA,GoHP_Chamera1_STATE,NA,NA,NA,UTTARPRADESH_STATE,HIMACHAL_STATE,NA,TAMILNADU_State,ANDHRA_PRADESH_STATE,NA,MSEB_State,NA,NA,GOA_State,NA,NA,NA,
,,JNEPL_BKN2,TCSPL_BKN2,TESPL_BKN2,APSEPL_FTG,TCSPL_BKN2,TS1PL_BKN,TESPL_BKN2,TESPL_BKN2,TPSL_BKN2,JNEPL_BKN2,TCSPL_BKN2,NTPCREL_PSS2_KPS2_S,JP_BINA,JP_BINA,MEENAKSHI,SIMHAPURI,APL_Raipur_TPP,GOA_Beneficiary,AEML,BAWANA_GAS,CHANJUII,BAWANA_GAS,TPC_MSEB,AEML,PCBLTNLTD_UNIT2,IND_BHARAT,AEML,IND_BHARAT,GoHP_NJPC,KSEB,APL_Raipur_TPP,JIPL,Kameng,SKS_Raigarh,ITCWIND,JPNIGRIE_JNSTPP,APL_Raigarh_TPP,Kameng,APL_Raigarh_TPP,KSEB,RKM_POWER,JPNIGRIE_JNSTPP,APL_Raipur_TPP,SKS_Raigarh,KSEB,KSEB,DADRT2,SKS_Raigarh,TRN_ENERGY,RKM_POWER,JIPL,MBMP,RKM_POWER,MAHAN_ENERGEN,GoHP_Chamera1,SKS_Raigarh,APL_Raigarh_TPP,RKM_POWER,PPGCL,GBHHPL,MAHAN_ENERGEN,PCBLTNLTD_UNIT2,ITCWIND,MAHAN_ENERGEN,TPC_MSEB,TRN_ENERGY,APL_Raigarh_TPP,GOA_Beneficiary,APL_Raipur_TPP,MAHAN_ENERGEN,JPL2,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,BLKMH,ABLWM1_AEROCITY,OIDLWM3_AEROCITY,TPDDL,OIDLWM3_AEROCITY,BRPL,OIDLWM2_AEROCITY,ABLWM1_AEROCITY,MES_Delhi,DTCP,OIDLWM2_AEROCITY,MES_Delhi,TPDDL,TPDDL,BRPL,BRPL,BRPL,BRPL,BRPL,HARYANA,TPDDL,PUNJAB,BYPL,BYPL,MES_Delhi,BRPL,BYPL,BRPL,BRPL,BYPL,BRPL,NDMC,TPDDL,BRPL,ITCLH,TPDDL,TPDDL,TPDDL,TPDDL,BYPL,NDMC,TPDDL,BRPL,BRPL,BYPL,BYPL,BRPL,NDMC,NDMC,NDMC,NDMC,BRPL,NDMC,TPDDL,BRPL,NDMC,TPDDL,NDMC,BRPL,DIAPL,TPDDL,MES_Delhi,ITCLH,TPDDL,BYPL,NDMC,BRPL,BRPL,BRPL,BRPL,NDMC,
,,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,West-North,West-North,West-North,South-East-North,South-East-North,West-North,West-North,West-North,North-North,North-North,North-North,West-North,West-North,South-West-North,East-North,West-North,East-North,North-North,South-West-North,West-North,East-North,North East-East-North,West-North,South-West-North,West-North,West-North,North East-East-West-North,West-North,South-West-North,West-North,West-North,West-North,West-North,South-West-North,South-West-North,North-North,West-North,West-North,West-North,East-North,West-North,West-North,West-North,North-North,West-North,West-North,West-North,North-North,North-North,West-North,South-West-North,South-West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,
1,00:00-00:15,0,0,0,0,0,0,0,0,0,0,0,0,0,32.12,49.02,0,81.69,19.22,20.73,0,18.21,32,25.07,105.72,0,48.06,0,0,81.69,0,81.69,17.47,0,0,0,96.11,0,192.22,96.11,0,26.21,0,0,48.06,19.22,44.21,96.11,0,7.69,0,0,204.23,0,0,28.59,8.74,0,26.21,20.42,12.49,96.11,6.73,0.91,0,54.06,0,134.79,15.23,0,163.39,43.68,2054.21

2,00:15-00:30,0,0,0,0,0,0,0,0,0,0,0,0,0,32.12,49.02,0,81.69,19.22,20.73,0,18.21,32,25.07,105.72,0,48.06,0,0,81.69,0,81.69,17.47,0,0,0,96.11,0,192.22,96.11,0,26.21,0,0,48.06,19.22,44.21,96.11,0,7.69,0,0,204.23,0,0,28.59,8.74,0,26.21,20.42,12.49,96.11,6.73,0.91,0,54.06,0,134.79,15.23,0,163.39,43.68,2054.21

