Block,Time,L_NR_2019_07,L_NR_2021_15,L_NR_2019_11,LT-31,L_NR_2021_14,LT-05,L_NR_2022_09,SH-07,SH-06,L_NR_2012_02,L_NR_2020_02,L_NR_2019_19,L_NR_2021_17,L_NR_2012_07,L_NR_2012_04,L_NR_2020_07,L_NR_2012_01,LT-35,LT-59,L_NR_2018_61,L_NR_2023_04,L_NR_2019_06,L_NR_2021_12,L_NR_2023_07,LT-36,L_NR_2019_05,L_NR_2021_13,L_NR_2021_16,L_NR_2020_06,L_NR_2020_05,L_NR_2023_10,L_NR_2022_08,L_NR_2022_10
1,00:00-00:15,0,0,4.770000,0.000000,0,115.990000,29.08,14.350000,30.930000,258.960000,0.000000,0,0,74.120000,271.860000,11.33,101.250000,0.000000,5.210000,18.75,27.780000,0,0,0,0.000000,0,0,0,11.34,34.01,0,10.01,29.08

2,00:15-00:30,0,0,4.770000,0.000000,0,115.990000,29.34,14.350000,30.930000,258.960000,0.000000,0,0,74.120000,271.860000,12.17,101.250000,0.000000,5.210000,18.66,27.780000,0,0,0,0.000000,0,0,0,12.17,36.51,0,10.34,29.34

3,00:30-00:45,0,0,4.770000,0.000000,0,115.990000,29.62,14.350000,30.930000,258.960000,0.000000,0,0,74.120000,271.860000,13.17,101.250000,0.000000,5.210000,20.01,27.780000,0,0,0,0.000000,0,0,0,13.17,39.51,0,9.77,29.62

4,00:45-01:00,0,0,4.770000,0.000000,0,115.990000,29.84,14.350000,30.930000,258.960000,0.000000,0,0,74.120000,271.860000,12.83,101.250000,0.000000,5.210000,20.81,27.780000,0,0,0,0.000000,0,0,0,12.84,38.51,0,9.72,29.84

5,01:00-01:15,0,0,4.770000,0.000000,0,115.990000,30,24.510000,30.930000,258.960000,0.000000,0,0,74.120000,271.860000,12.83,101.250000,0.000000,5.210000,21.61,27.780000,0,0,0,0.000000,0,0,0,12.84,38.51,0,9.64,30

6,01:15-01:30,0,0,4.770000,0.000000,0,115.990000,30.67,24.510000,30.930000,258.960000,0.000000,0,0,74.120000,271.860000,12.55,101.250000,0.000000,5.210000,22.01,27.780000,0,0,0,0.000000,0,0,0,12.54,37.62,0,9.56,30.67

7,01:30-01:45,0,0,4.770000,0.000000,0,115.990000,30.67,24.510000,30.930000,258.960000,0.000000,0,0,74.120000,271.860000,12.5,101.250000,0.000000,5.210000,13.66,27.780000,0,0,0,0.000000,0,0,0,12.5,37.49,0,9.56,30.67

8,01:45-02:00,0,0,4.770000,0.000000,0,115.990000,29.84,24.510000,30.930000,258.960000,0.000000,0,0,74.120000,271.860000,12.51,101.250000,0.000000,5.210000,14.06,27.780000,0,0,0,0.000000,0,0,0,12.5,37.51,0,11.67,29.84

9,02:00-02:15,0,0,4.770000,0.000000,0,115.990000,29.59,24.510000,30.930000,258.960000,0.000000,0,0,74.120000,271.860000,13.33,101.250000,0.000000,5.210000,14.26,27.820000,0,0,0,0.000000,0,0,0,13.34,40.01,0,11.67,29.59

10,02:15-02:30,0,0,4.770000,0.000000,0,115.990000,29.02,24.510000,30.930000,258.960000,0.000000,0,0,74.120000,271.860000,13.01,101.250000,0.000000,5.210000,14.96,27.820000,0,0,0,0.000000,0,0,0,13,39.01,0,11.75,29.02

