Column1,Block,NR/2025/32534/A/97571,NR/2025/32535/A/97581,NR/2025/33632/A/97527,NR/2025/32535/A/97582,NR/2025/33633/A/97525,NR/2025/33778/C,NR/2025/32599/A/97263,NR/2025/33637/A/97523,NR/2025/32532/A/97561,GNARE/NR/2024/12/20/3668,NR/2025/32534/A/97569,NR/2025/32532/A/97563,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,GNA/NR/2025/08/01/5126,GNA/NR/2025/08/01/3698,GNA/NR/2025/08/01/4125,GNA/NR/2025/08/01/1196,GNA/NR/2025/08/01/5784,GNA/NR/2025/08/01/6475,GNA/NR/2025/08/01/6452,GNA/NR/2025/08/01/4452,GNA/NR/2025/08/01/6187,NR/2025/33773/C,NR/2025/33656/A/97580,NR/2025/33469/A/97219,NR/2025/32559/A/97625,NR/2025/33670/A/97609,NR/2025/29440/A/97111,NR/2025/31043/A/97573,NR/2025/32262/A/97154,NR/2025/32004/A/97629,NR/2025/31049/A/97576,NR/2025/32556/A/97626,NR/2025/31421/A/97660,NR/2025/33752/C,NR/2025/31048/A/97575,NR/2025/32375/A/97656,NR/2025/33755/C,NR/2025/32610/A/97624,NR/2025/31045/A/97574,NR/2025/29992/A/97254,NR/2025/33759/C,NR/2025/33750/C,NR/2025/32397/A/97146,NR/2025/32455/A/97737,GNA/NR/2025/08/01/6209,GNA/NR/2025/08/01/2414,NR/01082024/19092033/Chanju/TPDDL/01082024,Total
,,OIDLWM2_AEROCITY,OIDLWM3_AEROCITY,GMRETL,OIDLWM3_AEROCITY,GMRETL,MES_Delhi,BRPL,GMRETL,ABLWM1_AEROCITY,SECI_Trader,OIDLWM2_AEROCITY,ABLWM1_AEROCITY,BAWANA_GAS,PUNJAB,MANIKARAN,NDMC,NDMC,APPCPL,PowerPulse,MANIKARAN,NVVNL,APPCPL,NDMC,NVVNL,PowerPulse,DIAPL,APPCPL,PTC,ITCLH,PowerPulse,TPTCL,APPCPL,PowerPulse,APPCPL,NVVNL,APPCPL,PowerPulse,NVVNL,APPCPL,APPCPL,PowerPulse,BYPL,APPCPL,APPCPL,IEXL,MANIKARAN,MANIKARAN,MANIKARAN,DELHI,
,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DELHI_UT,DELHI_UT,MP_State,NA,NA,GOA_State,MSEB_State,MSEB_State,NA,GOA_State,NA,NA,NA,HIMACHAL_STATE,NA,GoHP_NJPC_STATE,ANDHRA_PRADESH_STATE,NA,MSEB_State,MSEB_State,NA,NA,NA,NA,NA,MP_State,NA,NA,NA,KERALA_State,NA,MSEB_State,MSEB_State,NA,NA,NA,HIMACHAL_STATE,
,,TCSPL_BKN2,TESPL_BKN2,JGCPL_BKN2,TCSPL_BKN2,JGCPL_BKN2,NTPCREL_PSS2_KPS2_S,TS1PL_BKN,JGCPL_BKN2,TESPL_BKN2,APSEPL_FTG,TESPL_BKN2,TCSPL_BKN2,BAWANA_GAS,BAWANA_GAS,BLAPOWER_MP,TRN_ENERGY,SKS_Raigarh,GOA_Beneficiary,Vidarbha_Industry_MH,AEML,JHABUA_IPP,GOA_Beneficiary,JIPL,Kameng,APL_Raipur_TPP,GBHHPL,RKM_POWER,GoHP_NJPC,ITCWIND,MAHAN_ENERGEN,TPC_MSEB,AEML,APL_Raigarh_TPP,JPL2,JPNIGRIE_JNSTPP,RKM_POWER,APL_Raigarh_TPP,JP_BINA,JPL2,RKM_POWER,MAHAN_ENERGEN,KSEB,RKM_POWER,AEML,A_A_Energy_MH_Bio,MBMP,MBMP,DBPL,CHANJUII,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,OIDLWM2_AEROCITY,OIDLWM3_AEROCITY,MAX_HPTL,OIDLWM3_AEROCITY,DTCP,MES_Delhi,BRPL,BLKMH,ABLWM1_AEROCITY,TPDDL,OIDLWM2_AEROCITY,ABLWM1_AEROCITY,HARYANA,PUNJAB,BRPL,NDMC,NDMC,BRPL,BRPL,BRPL,BRPL,BRPL,NDMC,TPDDL,BRPL,DIAPL,NDMC,BRPL,ITCLH,TPDDL,BYPL,BYPL,TPDDL,NDMC,TPDDL,NDMC,TPDDL,TPDDL,NDMC,NDMC,TPDDL,BYPL,NDMC,BYPL,MES_Delhi,BRPL,BRPL,BRPL,TPDDL,
,,North-North,North-North,North-North,North-North,North-North,West-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,East-North,North East-East-North,West-North,North-North,West-North,North-North,South-West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,South-West-North,West-North,West-North,West-North,West-North,West-North,West-North,North-North,
1,00:00-00:15,0,0,0,0,0,0,0,0,0,0,0,0,26.93,26.93,20.47,8.76,8.76,19.27,81.9,20.79,20.47,15.27,17.38,192.7,163.8,12.53,24.09,81.9,0.87,0,54.2,105.98,0,24.09,0,0,0,0,0,24.09,0,44.32,0,0,8.67,48.18,33.72,40.95,15.49,1142.5100000000002

2,00:15-00:30,0,0,0,0,0,0,0,0,0,0,0,0,26.93,26.93,20.47,8.76,8.76,19.27,81.9,20.79,20.47,15.27,17.38,192.7,163.8,12.53,24.09,81.9,0.87,0,54.2,105.98,0,24.09,0,0,0,0,0,24.09,0,44.32,0,0,8.67,48.18,33.72,40.95,15.49,1142.5100000000002

