Block,Time Block,TEHRI,UNCHAHAR1,VALLURNTECL,ANTA_GF,UNCHAHAR4,URI2,ANTA_CRF,UNCHAHAR3,TelanganaSTPP,UNCHAHAR2,ANTA_LF,URI,DADRI_CRF,DADRI_RF,AURY_CRF,AURY_RF,DADRI_LF,ANTA_RF,AURY_LF,DADRI_GF,AURY_GF,KOLDAM,KISHANGANGA,KUDGI,KHSTPP-I,MAPS,KOTESHWR,KHSTPP-II,KKNP,KKNPPU2,RAPPB,NLCEXP,NLCIIST1,NJPC,NLCIIST2,RIHAND1,RAMPUR,NLCTS2EXP,RAPPC,NNTPP,NAPP,NTPL,PARBATI3,RIHAND2,TANDA2,SASAN,SIMHST1,SINGRAULI_HYDRO,TALST2,RSTPSU1TO6,SIMHST2,RSTPSU7,TANAKPUR,SALAL,SEWA2,SINGRAULI,TALA,RIHAND3,JHAJJAR,KGSU1AND2,KGSU3AND4,DADRT2,CHAMERA1,BSIUL,CHAMERA3,CHAMERA2,DHAULIGNGA,FSTPP I & II,BRBCL,DULHASTI,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,45.29,19.95,0,0,0,26.1,0,0,0,41.13,0,5.03,0,0,0,0,0,0,0,0,0,0,0,0,43.58,0,8.6,143.87,0,0,0,0,0,45.38,0,43.65,0,0,50.1,0,40.2,0,0,115.21,0,392.89,0,0,0,0,0,0,12.67,25.36,0,128.78,8.84,120.6,523.91,0,0,329.25,0,0,9.39,12.28,8.84,13.87,14.55,31.97,0,0,0,0,0

2,00:15-00:30,28.98,19.95,0,0,0,26.1,0,0,0,41.13,0,5.03,0,0,0,0,0,0,0,0,0,0,0,0,43.58,0,8.6,143.87,0,0,0,0,0,45.38,0,43.65,0,0,50.1,0,40.2,0,0,115.21,0,392.89,0,0,0,0,0,0,12.67,25.36,0,128.78,8.84,120.6,460.59,0,0,322.38,0,0,9.39,12.28,8.84,13.87,14.55,31.97,0,0,0,0,0

3,00:30-00:45,14.48,19.95,0,0,0,26.1,0,0,0,41.13,0,5.03,0,0,0,0,0,0,0,0,0,0,0,0,43.58,0,8.6,143.87,0,0,0,0,0,45.38,0,43.65,0,0,50.1,0,40.2,0,0,115.21,0,392.89,0,0,0,0,0,0,12.67,12.4,0,128.78,8.84,120.6,460.59,0,0,307.83,0,0,9.39,12.28,8.84,13.87,14.55,31.97,0,0,0,0,0

4,00:45-01:00,14.48,19.95,0,0,0,26.1,0,0,0,41.13,0,5.03,0,0,0,0,0,0,0,0,0,0,0,0,43.58,0,8.6,143.87,0,0,0,0,0,45.38,0,43.65,0,0,50.1,0,40.2,0,0,115.21,0,392.89,0,0,0,0,0,0,12.67,12.4,0,128.78,8.84,120.6,460.59,0,0,293.28,0,0,9.39,12.28,8.84,13.87,14.55,31.97,0,0,0,0,0

5,01:00-01:15,14.48,19.95,0,0,0,26.1,0,0,0,41.13,0,5.03,0,0,0,0,0,0,0,0,0,0,0,0,43.58,0,8.6,143.87,0,0,0,0,0,45.38,0,43.65,0,0,50.1,0,40.2,0,0,115.21,0,392.89,0,0,0,0,0,0,11.19,12.4,0,98.95,8.84,120.6,455.4,0,0,288.43,0,0,0,12.28,8.84,13.87,14.55,31.97,0,0,0,0,0

6,01:15-01:30,14.48,19.95,0,0,0,26.1,0,0,0,41.13,0,5.03,0,0,0,0,0,0,0,0,0,0,0,0,43.58,0,8.6,143.87,0,0,0,0,0,45.38,0,43.65,0,0,50.1,0,40.2,0,0,115.21,0,392.89,0,0,0,0,0,0,11.19,12.4,0,98.95,8.84,120.6,436,0,0,288.43,0,0,0,12.28,8.84,13.87,14.55,31.97,0,0,0,0,0

7,01:30-01:45,14.48,17.79,0,0,0,5.22,0,0,0,36.83,0,5.03,0,0,0,0,0,0,0,0,0,0,0,0,43.58,0,8.6,143.87,0,0,0,0,0,45.38,0,43.65,0,0,50.1,0,40.2,0,0,115.21,0,392.89,0,0,0,0,0,0,11.19,12.4,0,98.95,6.56,120.6,431.15,0,0,288.43,0,0,0,2.33,8.84,13.87,14.55,31.97,0,0,0,0,0

8,01:45-02:00,14.48,17.79,0,0,0,5.22,0,0,0,36.5,0,5.03,0,0,0,0,0,0,0,0,0,0,0,0,43.58,0,8.6,143.87,0,0,0,0,0,45.38,0,43.65,0,0,50.1,0,40.2,0,0,115.21,0,392.89,0,0,0,0,0,0,11.19,12.4,0,98.95,6.56,120.6,431.15,0,0,288.43,0,0,0,2.33,8.84,13.87,14.55,31.97,0,0,0,0,0

