Block,Time,DHAULIGNGA,NLCIIST2,RSTPSU1TO6,SINGRAULI,SINGRAULI_HYDRO,TALA,CHAMERA1,FSTPP I & II,NLCEXP,TALST2,URI2,BSIUL,NAPP,NTPL,SALAL,TelanganaSTPP,DADRI_CRF,DADRI_RF,CHAMERA2,KHSTPP-II,RAPPB,SASAN,AURY_CRF,AURY_GF,DADRI_LF,KGSU1AND2,KKNPPU2,KOLDAM,KOTESHWR,RIHAND2,TANAKPUR,UNCHAHAR1,URI,VALLURNTECL,DADRI_GF,CHAMERA3,JHAJJAR,KUDGI,NNTPP,RAMPUR,RIHAND1,SIMHST1,SIMHST2,TANDA2,UNCHAHAR4,ANTA_RF,AURY_LF,DULHASTI,KGSU3AND4,NLCIIST1,NLCTS2EXP,PARBATI3,RAPPC,SEWA2,TEHRI,UNCHAHAR3,ANTA_CRF,AURY_RF,BRBCL,DADRT2,KHSTPP-I,KISHANGANGA,KKNP,MAPS,NJPC,RIHAND3,RSTPSU7,UNCHAHAR2,ANTA_GF,ANTA_LF
1,00:00-00:15,1.32,0,0,139.68,0,0,0,20.8,0,0,4.57,0,41.65,0,2.33,0,0,66.85,2,148.3,0,418.77,0,0,21.92,0,0,0,8.87,118.76,11.91,20.56,2.21,0,0,0,654.31,0,0,0,92,0,0,0,0,42.74,0,32.96,0,0,0,0,51.9,0,14.93,26.39,0,70.16,15,341.57,44.31,0,0,0,21.78,124.32,0,42.4,0,0

2,00:15-00:30,1.32,0,0,139.68,0,0,0,20.8,0,0,4.57,0,41.65,0,2.33,0,0,66.85,2,148.3,0,418.77,0,0,21.92,0,0,0,8.87,118.76,11.91,20.56,2.21,0,0,0,654.31,0,0,0,92,0,0,0,0,42.74,0,32.96,0,0,0,0,51.9,0,14.93,26.39,0,70.16,15,341.57,44.31,0,0,0,21.78,124.32,0,42.4,0,0

3,00:30-00:45,1.32,0,0,139.68,0,0,0,20.8,0,0,4.57,0,41.65,0,2.33,0,0,66.85,2,148.3,0,418.77,0,0,21.92,0,0,0,8.87,118.76,7.05,20.56,2.21,0,0,0,654.31,0,0,0,92,0,0,0,0,42.74,0,32.96,0,0,0,0,51.9,0,14.93,26.39,0,70.16,15,341.57,44.31,0,0,0,21.78,124.32,0,42.4,0,0

4,00:45-01:00,1.32,0,0,139.68,0,0,0,20.8,0,0,4.57,0,41.65,0,18.59,0,0,66.85,2,148.3,0,418.77,0,0,21.92,0,0,0,8.87,118.76,7.05,20.56,2.21,0,0,0,654.31,0,0,0,92,0,0,0,0,42.74,0,32.96,0,0,0,0,51.9,0,14.93,26.39,0,70.16,15,341.57,44.31,0,0,0,21.78,124.32,0,42.4,0,0

5,01:00-01:15,9.11,0,0,139.68,0,0,0,20.8,0,0,4.57,0,41.65,0,79.38,0,0,66.85,2,148.3,0,418.77,0,0,21.92,0,0,0,8.87,118.76,7.05,20.56,2.21,0,0,0,654.31,0,0,0,92,0,0,0,0,42.74,0,32.96,0,0,0,0,51.9,0,14.93,26.39,0,70.16,15,341.57,44.31,0,0,0,21.78,124.32,0,42.4,0,0

6,01:15-01:30,9.11,0,0,139.68,0,0,0,20.8,0,0,4.57,0,41.65,0,79.38,0,0,66.85,2,148.3,0,418.77,0,0,21.92,0,0,0,8.87,118.76,7.05,20.56,2.21,0,0,0,654.31,0,0,0,92,0,0,0,0,42.74,0,32.96,0,0,0,0,51.9,0,14.93,26.39,0,70.16,15,341.57,44.31,0,0,0,21.78,124.32,0,42.4,0,0

