Time,Block,NR/2023/16185/A,NR/2023/16993/F,NR/2023/17319/C,NR/2023/13150/A,NR/2023/13253/A,NR/2023/16073/A,NR/2023/17317/C,NR/2023/17316/C,NR/2023/13387/A,NR/2023/16291/F,NR/2023/17308/D,NR/2023/17329/C,NR/2023/17330/C,NR/2023/16077/A,NR/2023/16191/A,NR/2023/17335/C,NR/2023/17324/C,NR/2023/13168/A,NR/2023/13254/A,NR/2023/13385/A,NR/2023/13148/A,NR/2023/13383/A,NR/2023/15770/A,NR/2023/13165/A,NR/2023/17309/D,NR/2023/17334/C,Total
,,MANIKARAN,NVVNL,IEXL,KEIPL,APPCPL,APPCPL,TPDDL,PXIL,NVVNL,ITCLH,SJVNL,IEXL,GBHHPL,APPCPL,MANIKARAN,IEXL,HPXL,GMRETL,APPCPL,NVVNL,KEIPL,APPCPL,NVVNL,GMRETL,NVVNL,SJVNL,Total

,,HIMACHAL PRADESH,NA,NA,MEGHALAYA,UTTARAKHAND,GOA,HIMACHAL PRADESH,NA,NA,ANDHRA PRADESH,UTTAR PRADESH,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NA,MEGHALAYA,MEGHALAYA,MP,MEGHALAYA,HIMACHAL PRADESH,NA,MEGHALAYA,NA,NA,
,,HP,KAMENG,RKM_POWER,Meghalaya_Ben,UTTARAKHAND,GOA_Beneficiary,CHANJUII,RKM_POWER,JPNIGRIE_JNSTPP,ITCWIND,BCMLB001,Teesta_III,GBHHPL,HP,HP,SINGOLI,SIMHAPURI,Meghalaya_Ben,Meghalaya_Ben,JP BINA,Meghalaya_Ben,HP,SKS Raigarh,Meghalaya_Ben,SOLAPUR_SOLAR,RSRPL_BKN,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BRPL,TPDDL,BRPL,BYPL,BYPL,BRPL,TPDDL,BRPL,BRPL,ITCLH,NDMC,BRPL,DIAPL,BRPL,BRPL,BRPL,BRPL,BYPL,BYPL,BRPL,BYPL,BYPL,NDMC,BYPL,MES (Delhi),NDMC,
,,North-North,North East-East-North,West-East-North,North East-East-North,North-North,West-North,North-North,West-North,West-North,South-West-North,North-North,East-North,North-North,North-North,North-North,North-North,South-East-North,North East-East-North,North East-East-North,West-North,North East-East-North,North-North,West-North,North East-East-North,West-North,North-North,
1,00:00-00:15,38.390000,106.060000,191.940000,62.570000,47.980000,23.990000,9.710000,0.000000,99.330000,0.860000,0.000000,438.580000,6.060000,85.320000,41.750000,48.940000,86.370000,34.550000,19.470000,49.660000,36.210000,36.560000,0.000000,22.070000,0,0,1486.37

2,00:15-00:30,38.390000,106.060000,191.940000,62.570000,47.980000,23.990000,9.710000,0.000000,99.330000,0.860000,0.000000,398.280000,6.060000,85.320000,41.750000,48.940000,86.370000,34.550000,19.470000,49.660000,36.210000,36.560000,0.000000,22.070000,0,0,1446.07

3,00:30-00:45,38.390000,106.060000,191.940000,62.570000,47.980000,23.990000,9.710000,0.000000,99.330000,0.860000,0.000000,381.960000,6.060000,85.320000,41.750000,48.940000,86.370000,34.550000,19.470000,49.660000,36.210000,36.560000,0.000000,22.070000,0,0,1429.75

4,00:45-01:00,38.390000,106.060000,191.940000,62.570000,47.980000,23.990000,9.710000,0.000000,99.330000,0.860000,0.000000,384.840000,6.060000,85.320000,41.750000,16.310000,86.370000,34.550000,19.470000,49.660000,36.210000,36.560000,0.000000,22.070000,0,0,1400

5,01:00-01:15,38.390000,106.060000,143.960000,62.570000,47.980000,23.990000,9.710000,0.000000,99.330000,0.620000,0.000000,404.990000,6.060000,85.320000,41.750000,16.310000,47.980000,34.550000,19.470000,49.660000,36.210000,36.560000,0.000000,22.070000,0,0,1333.54

6,01:15-01:30,38.390000,106.060000,143.960000,62.570000,47.980000,23.990000,9.710000,0.000000,99.330000,0.620000,0.000000,413.630000,6.060000,85.320000,41.750000,16.310000,9.600000,34.550000,19.470000,49.660000,36.210000,36.560000,0.000000,22.070000,0,0,1303.8

7,01:30-01:45,38.390000,106.060000,143.960000,62.570000,47.980000,23.990000,9.710000,0.000000,99.330000,0.620000,0.000000,402.110000,6.060000,85.320000,41.750000,16.310000,0.000000,34.550000,19.470000,49.660000,36.210000,36.560000,0.000000,22.070000,0,0,1282.68

8,01:45-02:00,38.390000,106.060000,143.960000,62.570000,47.980000,23.990000,9.710000,0.000000,99.330000,0.620000,0.000000,368.520000,6.060000,85.320000,41.750000,16.310000,0.000000,34.550000,19.470000,49.660000,36.210000,36.560000,0.000000,22.070000,0,0,1249.09

9,02:00-02:15,38.390000,106.060000,0.000000,62.570000,47.980000,23.990000,9.620000,0.000000,99.330000,0.620000,0.000000,476.010000,6.060000,85.320000,41.750000,23.990000,0.000000,34.550000,19.470000,49.660000,36.210000,36.560000,0.000000,22.070000,0,0,1220.21

