Column1,Time,GNA/NR/2024/12/01/1475,NR/01102023/30042040/GNA_LT_35,GNA/NR/2024/12/01/7739,GNA/NR/2024/12/01/3428,NR/30092023/31122025/SH-07,NR/01102023/31052040/LT-31,GNA/NR/2024/12/01/1766,NR/01102023/22052037/LT-59,NR/01102023/30042040/GNA_LT_36,GNA/SR/2024/12/01/6968,NR/01102023/19072037/LT-05,GNA/NR/2024/12/01/1599,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2024/12/01/2197,SR/01102023/07102043/L_NR_2018_61,WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/31102037/L_NR_2019_11,GNA/NR/2024/12/01/1899,GNA/WR/2024/11/01/4200,GNA/WR/2024/10/15/7089,NR/30092023/26122029/SH-06,NR/01102023/02122045/L_NR_2021_13,NR/01102023/08032047/L_NR_2021_14,GNARE/NR/2024/12/20/3668,NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_17,NR/26072023/25122043/L_NR_2023_10,NR/26072023/31072042/L_NR_2023_07,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_16,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,WR/01102023/24112044/L_NR_2020_07,WR/01102023/30052048/L_NR_2022_10,L_NR_2019_19,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/06022042/L_NR_2012_02,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/06022042/L_NR_2012_07
1,00:00-00:15,25.97,0,31.71,8.66,0,0,25.97,0.69,0,75,70.13,95.13,1.65,1.62,25.97,6,0,0,1.14,8.66,0,0,0,0,0,0,0,0,0,0,0,0,64.99,0,15,21.67,61.67,21.67,61.67,0,134.65,25.23,94.56,52.9,64.08

2,00:15-00:30,25.97,0,31.71,8.66,0,0,25.97,0.69,0,75,70.13,95.13,1.65,1.62,25.97,6,0,0,1.14,8.66,0,0,0,0,0,0,0,0,0,0,0,0,66,0,15,22,61.67,22,61.67,0,134.65,25.23,94.56,52.9,64.08

3,00:30-00:45,25.97,0,31.71,8.66,0,0,25.97,0.69,0,75,70.13,95.13,1.65,1.62,25.97,6,0,0,1.14,8.66,0,0,0,0,0,0,0,0,0,0,0,0,67.5,0,15,22.5,41.67,22.5,41.67,0,134.65,25.23,64.44,52.9,57.42

4,00:45-01:00,25.97,0,31.71,8.66,0,0,25.97,0.69,0,75,70.13,95.13,1.65,1.62,25.97,6,0,0,1.14,8.66,0,0,0,0,0,0,0,0,0,0,0,0,67.01,0,15.33,22.33,42,22.33,42,0,134.65,25.23,64.44,52.9,57.42

5,01:00-01:15,25.97,0,31.71,8.66,0,0,25.97,0.69,0,75,70.13,95.13,1.65,1.62,25.97,6,0,0,1.14,8.66,0,0,0,0,0,0,0,0,0,0,0,0,40,0,9.67,13.34,38.33,13.33,38.33,0,134.65,25.23,64.44,52.9,57.42

6,01:15-01:30,25.97,0,31.71,8.66,0,0,25.97,0.69,0,75,70.13,95.13,1.65,1.62,25.97,6,0,0,1.14,8.66,0,0,0,0,0,0,0,0,0,0,0,0,41.5,0,10,13.84,38.67,13.83,38.67,0,134.65,25.23,64.44,52.9,57.42

