Block,Time Block,TALA,TALST2,BSIUL,BRBCL,CHAMERA1,FSTPP I & II,DHAULIGNGA,DULHASTI,DADRT2,CHAMERA3,CHAMERA2,JHAJJAR,KGSU1AND2,KGSU3AND4,KHSTPP-II,KKNP,KOTESHWR,KUDGI,KKNPPU2,KOLDAM,KISHANGANGA,KHSTPP-I,NJPC,NAPP,MAPS,NLCEXP,NNTPP,NTPL,NLCIIST1,NLCIIST2,NLCTS2EXP,RAMPUR,PARBATI3,RAPPB,RSTPSU1TO6,SIMHST1,RAPPC,RSTPSU7,SIMHST2,SINGRAULI_HYDRO,RIHAND3,SALAL,SEWA2,SINGRAULI,RIHAND2,RIHAND1,SASAN,TEHRI,VALLURNTECL,URI,TANDA2,UNCHAHAR1,UNCHAHAR4,TANAKPUR,UNCHAHAR3,URI2,TelanganaSTPP,UNCHAHAR2,ANTA_GF,AURY_CRF,AURY_RF,DADRI_LF,ANTA_CRF,ANTA_RF,AURY_LF,DADRI_GF,ANTA_LF,AURY_GF,DADRI_CRF,DADRI_RF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,9.95,0,12.54,19.23,40.54,12.22,38.85,34.97,659.5,30.85,42.53,397.27,0,0,141.93,0,37.16,0,0,5.15,2.77,30.94,160.7,43.14,0,0,0,0,0,0,0,3.4,29.74,0,0,0,58.21,0,0,0.39,122.71,80.47,16.7,97.39,117.05,41.56,389.49,51.12,0,44.59,2.68,17.36,1.56,10.47,26.01,34.67,0,33.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

2,00:15-00:30,9.95,0,12.54,18.96,40.54,13.62,38.85,34.97,659.5,30.85,42.53,397.27,0,0,142.62,0,37.16,0,0,5.15,2.77,30.94,160.7,43.14,0,0,0,0,0,0,0,3.4,29.74,0,0,0,58.21,0,0,0.39,122.71,80.47,16.7,97.39,117.05,41.56,389.49,51.12,0,44.59,2.69,17.36,1.56,10.47,26.01,34.67,0,33.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,9.95,0,12.54,15.96,40.54,10.69,38.85,34.97,659.5,30.85,42.53,397.27,0,0,133.16,0,27.87,0,0,5.15,2.77,30.94,160.7,43.14,0,0,0,0,0,0,0,3.4,29.74,0,0,0,58.21,0,0,0.39,122.71,80.47,16.7,97.39,117.05,41.56,389.49,51.12,0,44.59,2.69,17.36,1.56,10.47,26.01,34.67,0,33.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,9.95,0,12.54,12.82,40.54,10.69,38.85,34.97,659.5,30.85,42.53,397.27,0,0,133.16,0,27.87,0,0,5.15,2.77,30.94,160.7,43.14,0,0,0,0,0,0,0,3.4,29.74,0,0,0,58.21,0,0,0.39,122.71,80.47,16.7,97.39,117.05,41.56,389.49,51.12,0,33.98,2.69,17.36,1.56,10.47,26.01,34.67,0,33.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,9.95,0,12.54,13.32,40.54,10.69,38.85,34.97,659.5,30.85,42.53,397.27,0,0,133.16,0,27.87,0,0,5.15,2.77,30.94,160.7,43.14,0,0,0,0,0,0,0,3.4,33.79,0,0,0,58.21,0,0,0.39,122.71,80.47,16.7,97.39,117.05,41.56,389.49,51.12,0,32.92,2.69,17.36,1.56,9.37,26.01,34.67,0,33.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

