Column1,Time,NR/01102023/19072037/LT-05,NR/01102023/30042040/GNA_LT_36,NR/01102023/30042040/GNA_LT_35,NR/01102023/31052040/LT-31,GNA/NR/2025/06/01/2868,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2025/04/01/8510,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/04/01/8456,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2025/04/01/8964,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/31122025/SH-07,NR/01102023/06022042/L_NR_2012_07,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_16,NR/26072023/25122043/L_NR_2023_10,NR/01102023/02122045/L_NR_2021_13,GNARE/NR/2024/12/20/3668,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_17,NR/26072023/31072042/L_NR_2023_07,NR/01102023/25072045/L_NR_2021_15,L_NR_2019_19,WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/24112044/L_NR_2020_07,WR/01102023/30052048/L_NR_2022_10,WR/01102023/31032046/L_NR_2020_05,GNARE/SR/2025/01/13/4532,GNA/NR/2025/06/16/6051,GNA/NR/2025/06/01/9719,GNA/NR/2025/06/01/7782,GNA/NR/2025/06/01/7762,GNA/NR/2025/06/07/5932,GNA/NR/2025/06/01/7786,GNA/NR/2025/06/01/9257,GNA/NR/2025/06/01/4444,GNA/NR/2025/06/01/2569,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/06/01/7663,GNA/NR/2025/06/01/5280,GNA/NR/2025/06/16/8791,GNA/NR/2025/06/01/4973,NR/01102023/22052037/LT-59,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/30092023/26122029/SH-06
1,00:00-00:15,116.04,0,0,0,17.41,7.97,15.34,100.78,10.58,130.89,7.1,16.48,26.93,87.26,0,0,0,0,0,0,0,0,0,0,0,0,0,40,38,0,38,0,114,42.42,19.35,20.56,11.92,20.56,-0,41.11,20.56,0,53.45,10.8,41.11,11.93,15.33,41.11,10.46,273.53,27.25,26.93

2,00:15-00:30,116.04,0,0,0,17.41,7.97,15.34,100.78,10.58,130.89,7.1,16.48,26.93,87.26,0,0,0,0,0,0,0,0,0,0,0,0,0,40,38,0,38,0,114,42.42,19.35,20.56,11.92,20.56,-0,41.11,20.56,0,53.45,10.8,41.11,11.93,15.33,41.11,10.46,273.53,27.25,26.93

3,00:30-00:45,116.04,0,0,0,17.41,7.97,15.34,100.78,10.35,130.89,7.1,16.48,26.93,87.26,0,0,0,0,0,0,0,0,0,0,0,0,0,40,38,0,38,0,114,42.42,19.35,20.56,11.92,20.56,-0,41.11,20.56,0,53.45,10.8,41.11,11.93,15.33,41.11,10.46,273.53,28.27,26.93

4,00:45-01:00,116.04,0,0,0,17.41,7.97,15.34,100.78,10.35,130.89,7.1,16.48,26.93,87.26,0,0,0,0,0,0,0,0,0,0,0,0,0,40,38,0,38,0,114,42.42,19.35,20.56,11.92,20.56,-0,41.11,20.56,0,53.45,10.8,41.11,11.93,15.33,41.11,10.46,273.53,28.27,26.93

5,01:00-01:15,116.04,0,0,0,17.41,7.84,15.34,100.78,10.35,130.89,7.1,16.39,26.93,87.26,0,0,0,0,0,0,0,0,0,0,0,0,0,40,38,0,38,0,114,42.42,19.35,20.56,11.92,20.56,-0,41.11,20.56,0,53.45,10.8,41.11,11.93,15.33,41.11,10.46,273.53,28.27,26.93

6,01:15-01:30,116.04,0,0,0,17.41,7.84,15.34,100.78,10.35,130.89,7.1,16.39,26.93,87.26,0,0,0,0,0,0,0,0,0,0,0,0,0,40,38,0,38,0,114,42.42,19.35,20.56,11.92,20.56,-0,41.11,20.56,0,53.45,10.8,41.11,11.93,15.33,41.11,10.46,273.53,28.27,26.93

