Block,Time Block,DADRT2,DHAULIGNGA,FSTPP I & II,DULHASTI,NTPL,PARBATI3,NLCEXP,RAMPUR,PARBATI2,NLCIIST1,NJPC,RAPPB,NLCIIST2,NLCTS2EXP,NAPP,NNTPP,CHAMERA3,CHAMERA2,KHSTPP-II,KHSTPP-I,JHAJJAR,KGSU1AND2,KGSU3AND4,DADRI_LF,ANTA_CRF,ANTA_RF,AURY_LF,DADRI_GF,ANTA_LF,AURY_GF,DADRI_CRF,DADRI_RF,ANTA_GF,AURY_CRF,AURY_RF,CHAMERA1,BRBCL,BSIUL,KKNPPU2,KUDGI,KKNP,KOLDAM,MAPS,KISHANGANGA,KOTESHWR,UNCHAHAR2,URI,TANDA2,UNCHAHAR1,UNCHAHAR4,VALLURNTECL,TEHRIPSP,TALST2,URI2,TANAKPUR,UNCHAHAR3,TEHRI,TelanganaSTPP,SIMHST2,RSTPSU7,SALAL,SEWA2,SASAN,SINGRAULI_HYDRO,SIMHST1,TALA,SINGRAULI,RIHAND3,RAPPC,RIHAND2,RIHAND1,RSTPSU1TO6,RAPPD,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,565.95,42.38,20.1,38.4,0,0,0,6.8,0,0,175.07,0,0,0,24.31,0,33.91,47.26,143.32,44,221.48,0,0,0,0,22.48,0,0,0,0,0,34.49,0,0,36.96,40.73,16.4,12.6,0,0,0,10.29,0,8.42,10.09,42.52,50.6,4.64,20.92,2.13,0,0,0,31.1,11.76,26.83,43.53,0,0,0,82.54,18.29,337.25,1.09,0,21.45,150.35,127.92,66.26,121.91,95.1,0,25.26,0,0,0,0,0

2,00:15-00:30,565.95,42.38,20.1,38.4,0,0,0,6.8,0,0,175.07,0,0,0,24.31,0,33.91,47.26,143.32,44,192.49,0,0,0,0,22.48,0,0,0,0,0,34.49,0,0,36.96,40.73,12.65,12.6,0,0,0,10.29,0,8.42,10.09,42.21,50.6,4.26,20.92,1.61,0,0,0,31.1,11.76,26.83,43.53,0,0,0,82.54,18.29,337.25,1.09,0,21.45,150.35,127.92,66.26,121.91,95.74,0,25.26,0,0,0,0,0

3,00:30-00:45,565.95,42.38,20.1,56.06,0,0,0,6.8,0,0,175.07,0,0,0,24.31,0,33.91,47.26,143.32,44,207.95,0,0,0,0,4.2,0,0,0,0,0,5.29,0,0,7.54,40.73,13.1,12.6,0,0,0,10.29,0,8.42,10.09,42.21,50.6,4.26,20.92,1.44,0,0,0,31.1,11.76,26.83,43.53,0,0,0,82.54,18.29,337.25,1.09,0,21.45,150.35,127.92,66.26,121.91,95.74,0,25.26,0,0,0,0,0

4,00:45-01:00,565.95,42.38,20.1,56.06,0,0,0,6.8,0,0,175.07,0,0,0,24.31,0,33.91,47.26,143.32,44,207.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.73,13.68,12.6,0,0,0,10.29,0,8.42,10.09,42.21,50.6,4.26,20.92,1.44,0,0,0,31.1,11.76,26.83,43.53,0,0,0,82.54,18.29,337.25,1.09,0,21.45,150.35,127.92,66.26,121.91,95.74,0,25.26,0,0,0,0,0

5,01:00-01:15,511.16,42.38,20.1,56.06,0,0,0,6.8,0,0,175.07,0,0,0,24.31,0,33.91,47.26,143.32,44,178.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.73,12.46,12.6,0,0,0,10.29,0,8.42,10.09,43.31,35.21,5.07,21.1,2.15,0,0,0,31.1,11.76,27.05,43.53,0,0,0,82.54,18.29,337.25,1.09,0,21.45,150.35,127.92,66.26,121.91,95.74,0,25.26,0,0,0,0,0

6,01:15-01:30,493.64,42.38,20.1,56.06,0,0,0,6.8,0,0,175.07,0,0,0,24.31,0,33.91,47.26,143.32,44,149.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.73,11,12.6,0,0,0,10.29,0,8.42,10.09,43.31,35.21,5.07,21.1,2.15,0,0,0,31.1,11.76,27.05,43.53,0,0,0,82.54,18.29,337.25,1.09,0,21.45,150.35,127.92,66.26,121.91,95.74,0,25.26,0,0,0,0,0

7,01:30-01:45,493.64,42.38,20.1,56.06,0,0,0,6.8,0,0,175.07,0,0,0,24.31,0,33.91,47.26,143.32,44,137.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.73,10.85,12.6,0,0,0,10.29,0,8.42,10.09,43.31,35.21,5.07,21.1,2.15,0,0,0,31.1,11.76,27.05,43.53,0,0,0,82.54,18.29,337.25,1.09,0,21.45,150.35,127.92,66.26,121.91,90.17,0,25.26,0,0,0,0,0

8,01:45-02:00,493.64,42.38,20.1,56.06,0,0,0,6.8,0,0,175.07,0,0,0,24.31,0,33.91,47.26,143.32,44,137.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.73,10.87,12.6,0,0,0,10.29,0,8.42,10.09,43.31,35.21,5.07,21.1,2.15,0,0,0,31.1,11.76,27.05,43.53,0,0,0,82.54,18.29,337.25,1.09,0,21.45,150.35,127.92,66.26,121.91,90.17,0,25.26,0,0,0,0,0

