Time,Block,NR/2023/12053/A,NR/2023/16555/C,NR/2023/12168/A,NR/2023/14898/A,NR/2023/12148/A,NR/2023/16534/C,NR/2023/12347/A,NR/2023/16519/D,NR/2023/16528/D,NR/2023/12592/A,NR/2023/12591/A,NR/2023/12422/A,NR/2023/16540/C,NR/2023/15057/F,NR/2023/16539/C,NR/2023/16541/C,NR/2023/12052/A,NR/2023/13635/A,NR/2023/16190/F,NR/2023/15402/F,NR/2023/14737/A,NR/2023/12167/A,NR/2023/14746/A,NR/2023/13862/A,NR/2023/15309/F,NR/2023/16542/C,NR/2023/12431/A,NR/2023/14745/A,NR/2023/14895/A,NR/2023/16532/C,SR/2023/9108/C,NR/2023/16546/C,ER/2023/10290/C,NR/2023/16530/D,Total
,,KEIPL,IEXL,APPCPL,MANIKARAN,GMRETL,TPDDL,STATKRAFT,IEXL,KEIPL,NVVNL,NVVNL,APPCPL,PXIL,ITCLH,PXIL,IEXL,KEIPL,NVVNL,NVVNL,SJVNL,NVVNL,APPCPL,APPCPL,MANIKARAN,IEXL,HPXL,TPTCL,APPCPL,MANIKARAN,GBHHPL,HPXL,SJVNL,HPXL,NVVNL,Total

,,MEGHALAYA,NA,UTTARAKHAND,HIMACHAL PRADESH,MEGHALAYA,HIMACHAL PRADESH,TAMIL NADU,TAMIL NADU,ODISHA,NA,NA,HIMACHAL PRADESH,DELHI,ANDHRA PRADESH,NA,TAMIL NADU,MEGHALAYA,NA,NA,UTTAR PRADESH,NA,MEGHALAYA,HIMACHAL PRADESH,TAMIL NADU,JAMMU AND KASHMIR,NA,NA,GOA,HIMACHAL PRADESH,HIMACHAL PRADESH,DELHI,NA,DELHI,NA,
,,Meghalaya_Ben,JHABUA_IPP,UTTARAKHAND,HP,Meghalaya_Ben,CHANJUII,TANGEDCO,OPGPGPLU4TN,MAITHAN_ISPAT,JPNIGRIE_JNSTPP,JPNIGRIE_JNSTPP,HP,BYPL,ITCWIND,Teesta_III,OPGPGPLU4TN,Meghalaya_Ben,KAMENG,KAMENG,BCMLB001,SKS Raigarh,Meghalaya_Ben,HP,TANGEDCO,SAPU1234,SCLTPS,JPL-2,GOA_Beneficiary,HP,GBHHPL,BYPL,RSRPL_BKN,BYPL,SOLAPUR_SOLAR,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,TELANGANA,DELHI,ODISHA,DELHI,
,,BYPL,BYPL,BYPL,BRPL,BYPL,TPDDL,BYPL,BRPL,BYPL,BRPL,BRPL,BYPL,NPCL(UP),ITCLH,BRPL,BRPL,BYPL,BRPL,TPDDL,NDMC,NDMC,BYPL,BRPL,BRPL,MES (Delhi),BRPL,BRPL,BRPL,BRPL,DIAPL,TSSPDCL,NDMC,VLSEZ,MES (Delhi),
,,North East-East-North,West-East-North,North-North,North-North,North East-East-North,North-North,South-West-North,South-East-North,East-North,West-North,West-North,North-North,North-North,South-West-North,East-North,South-East-North,North East-East-North,North East-East-North,North East-East-North,North-North,West-North,North East-East-North,North-North,South-East-North,North-North,North-North,West-North,West-North,North-North,North-North,North-East-South,North-North,North-East,West-North,
1,00:00-00:15,36.500000,0.000000,46.620000,77.380000,22.250000,13.620000,98.660000,72.550000,0.000000,100.120000,50.060000,38.010000,80.000000,0.870000,72.550000,72.550000,63.120000,25.030000,193.460000,0.000000,62.870000,24.180000,88.700000,23.150000,4.840000,0.000000,125.110000,24.180000,95.760000,5.040000,0.00,0,0.000000,0,1517.18

2,00:15-00:30,36.500000,0.000000,46.620000,77.380000,22.250000,13.620000,98.660000,72.550000,0.000000,100.120000,50.060000,38.010000,80.000000,0.870000,72.550000,72.550000,63.120000,25.030000,193.460000,0.000000,62.870000,24.180000,88.700000,23.150000,4.840000,0.000000,125.110000,24.180000,95.760000,5.040000,0.00,0,0.000000,0,1517.18

3,00:30-00:45,36.500000,0.000000,46.620000,77.380000,22.250000,13.620000,98.660000,72.550000,0.000000,100.120000,50.060000,38.010000,80.000000,0.870000,72.550000,72.550000,63.120000,25.030000,193.460000,0.000000,62.870000,24.180000,88.700000,23.150000,4.840000,0.000000,125.110000,24.180000,95.760000,5.040000,0.00,0,0.000000,0,1517.18

4,00:45-01:00,36.500000,0.000000,46.620000,77.380000,22.250000,13.620000,98.660000,72.550000,0.000000,100.120000,50.060000,38.010000,80.000000,0.870000,72.550000,72.550000,63.120000,25.030000,193.460000,0.000000,62.870000,24.180000,88.700000,23.150000,4.840000,0.000000,125.110000,24.180000,95.760000,5.040000,0.00,0,0.000000,0,1517.18

5,01:00-01:15,36.500000,0.000000,46.620000,77.380000,22.250000,13.620000,98.660000,72.550000,0.000000,100.120000,50.060000,38.010000,50.000000,0.680000,72.550000,72.550000,63.120000,25.030000,193.460000,0.000000,62.870000,24.180000,88.700000,23.150000,4.840000,0.000000,125.110000,24.180000,95.760000,5.040000,0.00,0,50.000000,0,1536.99

6,01:15-01:30,36.500000,0.000000,46.620000,77.380000,22.250000,13.620000,98.660000,72.550000,0.000000,100.120000,50.060000,38.010000,50.000000,0.680000,72.550000,72.550000,63.120000,25.030000,193.460000,0.000000,62.870000,24.180000,88.700000,23.150000,4.840000,0.000000,125.110000,24.180000,95.760000,5.040000,0.00,0,50.000000,0,1536.99

7,01:30-01:45,36.500000,0.000000,46.620000,77.380000,22.250000,13.620000,98.660000,72.550000,0.000000,100.120000,50.060000,38.010000,50.000000,0.680000,72.550000,72.550000,63.120000,25.030000,193.460000,0.000000,62.870000,24.180000,88.700000,23.150000,4.840000,0.000000,125.110000,24.180000,95.760000,5.040000,0.00,0,50.000000,0,1536.99

8,01:45-02:00,36.500000,0.000000,46.620000,77.380000,22.250000,13.620000,98.660000,72.550000,0.000000,100.120000,50.060000,38.010000,50.000000,0.680000,72.550000,72.550000,63.120000,25.030000,193.460000,0.000000,62.870000,24.180000,88.700000,23.150000,4.840000,0.000000,125.110000,24.180000,95.760000,5.040000,0.00,0,50.000000,0,1536.99

9,02:00-02:15,36.500000,0.000000,46.620000,77.380000,22.250000,13.530000,98.660000,72.550000,0.000000,100.120000,50.060000,38.010000,35.000000,0.580000,72.550000,72.550000,63.120000,25.030000,193.460000,0.000000,62.870000,24.180000,88.700000,23.150000,4.840000,0.000000,125.110000,24.180000,95.760000,5.040000,50.00,0,50.000000,0,1571.8

